AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,FRMTYP1_1,FRMTYP1_2,FRMTYP1_3,FRMTYP1_4,FRMTYP1_5,FRMTYP1_6,FRMTYP1_7,FRMTYP1_8,FRMTYP1_9,FRMTYP1_10,FRMTYP1_11,FRMTYP1_12
240530100,2430100,24,5,30,100,Saint-Romain,29,8,4,1,0,0,0,0,1,14,0,0,1
240530105,2430105,24,5,30,105,Stornoway,36,3,5,0,0,0,0,1,0,26,0,0,1
240530110,2430110,24,5,30,110,Stratford,29,6,4,5,1,0,0,0,0,10,0,0,3
240540000,2440000,24,5,40,0,Asbestos,272,105,86,14,1,0,1,9,3,49,2,0,2
240540005,2440005,24,5,40,5,Saint-Joseph-de-Ham-Sud,20,8,3,0,1,0,0,1,0,7,0,0,0
240540010,2440010,24,5,40,10,Saint-Adrien,26,9,3,0,0,0,0,3,0,11,0,0,0
240540017,2440017,24,5,40,17,Wotton,74,34,20,4,0,0,0,1,2,13,0,0,0
240540025,2440025,24,5,40,25,Saint-Camille,34,17,9,2,0,0,1,1,0,2,2,0,0
240540032,2440032,24,5,40,32,Saint-Georges-de-Windsor,50,17,17,5,0,0,0,2,1,6,0,0,2
240540050,2440050,24,5,40,50,Shipton,68,20,34,3,0,0,0,1,0,10,0,0,0
240541000,2441000,24,5,41,0,Le Haut-Saint-Franáois,569,144,224,20,3,1,3,25,11,118,5,5,10
240541005,2441005,24,5,41,5,Saint-Malo,23,15,3,2,0,0,1,0,0,2,0,0,0
240541010,2441010,24,5,41,10,Clifton-Partie-Est,34,16,11,2,0,0,0,0,0,3,0,2,0
240541015,2441015,24,5,41,15,Saint-Isidore-d'Auckland,35,6,17,0,1,0,0,0,0,10,0,0,1
240541030,2441030,24,5,41,30,Ditton,41,13,13,1,0,0,0,1,0,13,0,0,0
240541035,2441035,24,5,41,35,Newport,40,9,18,3,0,0,1,1,0,6,1,0,1
240541050,2441050,24,5,41,50,Eaton,159,39,63,7,2,0,1,12,4,28,2,1,0
240541055,2441055,24,5,41,55,Ascot Corner,28,3,7,1,0,0,0,2,1,12,1,0,1
240541065,2441065,24,5,41,65,Westbury,31,9,15,2,0,0,0,2,2,1,0,0,0
240541070,2441070,24,5,41,70,Bury,48,10,21,0,0,0,0,3,0,10,0,0,4
240541085,2441085,24,5,41,85,Lingwick,34,3,14,0,0,1,0,0,1,13,1,0,1
240541105,2441105,24,5,41,105,Weedon,46,13,16,0,0,0,0,3,1,12,0,1,0
240541117,2441117,24,5,41,117,Dudswell,50,8,26,2,0,0,0,1,2,8,0,1,2
240542000,2442000,24,5,42,0,Le Val-Saint-Franáois,521,192,157,23,2,0,2,31,7,97,6,0,4
240542005,2442005,24,5,42,5,Stoke,39,12,17,2,0,0,0,2,0,4,1,0,1
240542015,2442015,24,5,42,15,Brompton,54,28,17,0,0,0,0,1,1,6,0,0,1
240542020,2442020,24,5,42,20,Saint-Franáois-Xavier-de-Brompton,45,20,10,1,0,0,0,4,2,8,0,0,0
240542032,2442032,24,5,42,32,Racine,33,11,6,1,0,0,1,2,1,10,1,0,0
240542040,2442040,24,5,42,40,Bonsecours,26,5,3,3,0,0,0,1,1,13,0,0,0
240542050,2442050,24,5,42,50,Sainte-Anne-de-la-Rochelle,47,18,12,5,0,0,0,1,0,11,0,0,0
240542060,2442060,24,5,42,60,Valcourt,37,14,7,2,0,0,0,2,1,9,1,0,1
240542065,2442065,24,5,42,65,Maricourt,32,7,9,0,0,0,1,6,1,8,0,0,0
240542075,2442075,24,5,42,75,Melbourne,59,23,22,2,0,0,0,4,0,6,2,0,0
240542095,2442095,24,5,42,95,Val-Joli,62,22,21,3,0,0,0,5,0,11,0,0,0
240542100,2442100,24,5,42,100,Saint-Claude,41,13,16,3,0,0,0,1,0,7,1,0,0
240542110,2442110,24,5,42,110,Cleveland,46,19,17,1,2,0,0,2,0,4,0,0,1
240543000,2443000,24,5,43,0,Sherbrooke,111,28,27,0,1,0,1,5,11,33,1,3,1
240543015,2443015,24,5,43,15,Ascot,45,19,7,0,0,0,1,3,3,12,0,0,0
240543025,2443025,24,5,43,25,Sherbrooke,21,3,4,0,0,0,0,1,2,9,0,2,0
240543030,2443030,24,5,43,30,Rock Forest,21,3,7,0,0,0,0,1,3,5,0,1,1
240543040,2443040,24,5,43,40,Saint-êlie-d'Orford,24,3,9,0,1,0,0,0,3,7,1,0,0
240544000,2444000,24,5,44,0,Coaticook,553,262,93,34,2,1,14,19,20,96,1,5,6
240544010,2444010,24,5,44,10,East Hereford,26,8,6,0,0,0,0,0,0,12,0,0,0
240544015,2444015,24,5,44,15,Saint-HermÇnÇgilde,30,21,1,0,0,0,0,4,0,4,0,0,0
240544023,2444023,24,5,44,23,Dixville,30,17,2,1,0,0,2,0,1,7,0,0,0
240544030,2444030,24,5,44,30,Barford,24,13,6,0,0,0,1,0,0,4,0,0,0
240544040,2444040,24,5,44,40,Barnston,104,65,16,4,0,0,1,5,1,10,0,0,2
240544045,2444045,24,5,44,45,Barnston-Ouest,43,18,10,1,0,0,0,0,1,11,0,1,1
240544050,2444050,24,5,44,50,Stanstead-Est,62,23,12,4,2,0,3,3,2,12,0,0,1
240544055,2444055,24,5,44,55,Sainte-Edwidge-de-Clifton,67,27,17,7,0,0,0,3,0,12,0,1,0
240544060,2444060,24,5,44,60,Martinville,19,6,6,3,0,0,0,0,1,3,0,0,0
240544067,2444067,24,5,44,67,Compton,77,33,11,8,0,1,6,3,3,7,1,2,2
240544075,2444075,24,5,44,75,Compton Station,71,31,6,6,0,0,1,1,11,14,0,1,0
240545000,2445000,24,5,45,0,MemphrÇmagog,295,42,108,7,5,1,4,30,14,69,6,5,4
240545020,2445020,24,5,45,20,Ogden,40,7,19,3,0,1,0,7,0,3,0,0,0
240545025,2445025,24,5,45,25,Stanstead,19,3,9,1,1,0,0,0,1,3,0,1,0
240545030,2445030,24,5,45,30,Potton,48,7,21,0,0,0,1,7,1,10,1,0,0
240545043,2445043,24,5,45,43,Hatley,27,8,10,0,0,0,2,1,0,6,0,0,0
240545055,2445055,24,5,45,55,Hatley,16,3,4,0,0,0,0,3,0,6,0,0,0
240545060,2445060,24,5,45,60,Sainte-Catherine-de-Hatley,51,7,17,3,0,0,1,7,2,11,1,1,1
240545075,2445075,24,5,45,75,Magog,39,2,15,0,3,0,0,2,6,8,2,1,0
240545085,2445085,24,5,45,85,Austin,40,3,8,0,1,0,0,2,4,17,1,2,2
240545105,2445105,24,5,45,105,Stukely-Sud,15,2,5,0,0,0,0,1,0,5,1,0,1
240600000,2400000,24,6,0,0,MontrÇal-Laval,271,13,2,2,2,2,9,8,13,141,2,67,10
240665000,2465000,24,6,65,0,Laval,194,4,2,1,0,2,5,5,6,110,1,51,7
240665005,2465005,24,6,65,5,Laval,194,4,2,1,0,2,5,5,6,110,1,51,7
240666000,2466000,24,6,66,0,CommunautÇ-Urbaine-de-MontrÇal,77,9,0,1,2,0,4,3,7,31,1,16,3
240666025,2466025,24,6,66,25,MontrÇal,77,9,0,1,2,0,4,3,7,31,1,16,3
240700000,2400000,24,7,0,0,Lanaudiäre,"1,996",500,195,158,178,10,177,199,34,328,18,146,53
240752000,2452000,24,7,52,0,D'Autray,544,181,59,23,54,4,74,60,7,57,6,10,9
240752010,2452010,24,7,52,10,Saint-Antoine-de-Lavaltrie,36,3,1,0,1,0,0,16,2,10,1,1,1
240752020,2452020,24,7,52,20,Lanoraie-d'Autray,54,3,2,1,1,1,2,25,3,11,0,5,0
240752030,2452030,24,7,52,30,Sainte-êlisabeth,81,37,3,6,4,0,21,2,0,3,0,3,2
240752040,2452040,24,7,52,40,Sainte-Geneviäve-de-Berthier,42,10,1,2,2,1,10,1,1,10,1,1,2
240752045,2452045,24,7,52,45,Saint-Ignace-de-Loyola,39,16,11,0,1,1,7,0,0,0,1,0,2
240752055,2452055,24,7,52,55,Saint-BarthÇlÇmy,65,30,8,0,6,0,10,7,0,4,0,0,0
240752065,2452065,24,7,52,65,Saint-Cuthbert,77,36,5,4,2,0,17,4,0,6,1,0,2
240752070,2452070,24,7,52,70,Saint-Norbert,37,13,6,1,7,0,5,0,1,3,1,0,0
240752085,2452085,24,7,52,85,Saint-Gabriel-de-Brandon,82,22,15,4,29,1,2,1,0,7,1,0,0
240752090,2452090,24,7,52,90,Saint-Didace,31,11,7,5,1,0,0,4,0,3,0,0,0
240760000,2460000,24,7,60,0,L'Assomption,183,61,16,3,4,0,22,15,2,36,0,20,4
240760010,2460010,24,7,60,10,Le Gardeur,24,12,3,0,0,0,2,1,1,5,0,0,0
240760020,2460020,24,7,60,20,Saint-Sulpice,23,3,1,0,0,0,7,0,0,7,0,4,1
240760027,2460027,24,7,60,27,L'Assomption,57,20,3,0,1,0,4,10,0,12,0,5,2
240760040,2460040,24,7,60,40,L'êpiphanie,43,17,5,2,3,0,4,3,0,6,0,3,0
240760045,2460045,24,7,60,45,Saint-GÇrard-Majella,36,9,4,1,0,0,5,1,1,6,0,8,1
240761000,2461000,24,7,61,0,Joliette,311,84,52,17,17,1,19,71,8,27,1,11,3
240761005,2461005,24,7,61,5,Saint-Paul,91,28,11,4,5,0,11,13,1,13,0,4,1
240761027,2461027,24,7,61,27,Saint-Thomas,70,13,8,2,3,0,2,29,3,7,0,2,1
240761040,2461040,24,7,61,40,Saint-Ambroise-de-Kildare,80,29,19,9,3,1,0,9,1,5,1,3,0
240761045,2461045,24,7,61,45,Notre-Dame-de-Lourdes,27,6,3,0,1,0,4,8,1,2,0,2,0
240761050,2461050,24,7,61,50,Sainte-MÇlanie,43,8,11,2,5,0,2,12,2,0,0,0,1
240762000,2462000,24,7,62,0,Matawinie,257,42,31,11,78,0,8,10,2,60,4,3,8
240762010,2462010,24,7,62,10,Saint-FÇlix-de-Valois,105,19,8,5,56,0,6,1,0,6,0,1,3
240762015,2462015,24,7,62,15,Saint-Jean-de-Matha,45,5,8,3,14,0,0,0,0,15,0,0,0
240762020,2462020,24,7,62,20,Sainte-BÇatrix,25,3,3,1,4,0,0,1,0,9,1,0,3
240762030,2462030,24,7,62,30,Sainte-Marcelline-de-Kildare,26,2,2,0,0,0,0,2,0,17,1,1,1
240762040,2462040,24,7,62,40,Rawdon,34,11,3,2,0,0,1,4,2,7,2,1,1
240762075,2462075,24,7,62,75,Saint-Damien,22,2,7,0,4,0,1,2,0,6,0,0,0
240763000,2463000,24,7,63,0,Montcalm,559,111,24,101,21,4,41,27,7,101,5,93,24
240763005,2463005,24,7,63,5,Sainte-Marie-SalomÇ,23,8,1,6,0,0,1,3,0,2,0,2,0
240763015,2463015,24,7,63,15,Saint-Jacques,80,22,1,7,0,0,10,2,0,24,0,10,4
240763025,2463025,24,7,63,25,Saint-Alexis,64,16,3,9,2,1,5,1,1,13,0,8,5
240763030,2463030,24,7,63,30,Saint-Esprit,82,18,0,17,8,0,5,4,1,17,0,6,6
240763035,2463035,24,7,63,35,Saint-Roch-de-l'Achigan,130,17,5,33,7,1,9,6,0,9,1,38,4
240763050,2463050,24,7,63,50,Saint-Lin,95,11,4,14,3,1,7,6,2,17,1,25,4
240763060,2463060,24,7,63,60,Sainte-Julienne,39,10,5,5,0,0,1,2,1,11,2,2,0
240763065,2463065,24,7,63,65,Saint-Liguori,46,9,5,10,1,1,3,3,2,8,1,2,1
240764000,2464000,24,7,64,0,Les Moulins,142,21,13,3,4,1,13,16,8,47,2,9,5
240764010,2464010,24,7,64,10,Terrebonne,43,4,4,1,2,1,3,6,5,14,1,1,1
240764015,2464015,24,7,64,15,Mascouche,71,8,6,2,2,0,5,6,3,27,0,8,4
240764020,2464020,24,7,64,20,La Plaine,28,9,3,0,0,0,5,4,0,6,1,0,0
240800000,2400000,24,8,0,0,Outaouais,"1,427",210,732,6,10,0,15,168,15,227,21,11,12
240880000,2480000,24,8,80,0,Papineau,346,78,120,2,2,0,5,49,6,69,5,4,6
240880015,2480015,24,8,80,15,Notre-Dame-de-Bon-Secours-Partie-Nord,24,6,12,0,0,0,0,2,1,3,0,0,0
240880020,2480020,24,8,80,20,Notre-Dame-de-la-Paix,28,6,7,0,0,0,0,8,1,4,2,0,0
240880030,2480030,24,8,80,30,Saint-AndrÇ-Avellin,65,15,21,0,1,0,0,10,2,13,1,1,1
240880040,2480040,24,8,80,40,Sainte-AngÇlique,28,5,4,1,0,0,0,4,2,10,1,0,1
240880045,2480045,24,8,80,45,Plaisance,18,10,3,0,0,0,0,2,0,3,0,0,0
240880055,2480055,24,8,80,55,Lochaber,44,15,14,0,0,0,2,6,0,6,1,0,0
240880060,2480060,24,8,80,60,Lochaber-Partie-Ouest,29,11,10,0,0,0,2,3,0,3,0,0,0
240880065,2480065,24,8,80,65,Mayo,15,2,6,0,1,0,1,1,0,3,0,1,0
240880070,2480070,24,8,80,70,Saint-Sixte,16,2,7,0,0,0,0,2,0,5,0,0,0
240880080,2480080,24,8,80,80,Ripon,34,1,12,0,0,0,0,6,0,11,0,2,2
240880085,2480085,24,8,80,85,Mulgrave-et-Derry,22,1,17,0,0,0,0,1,0,3,0,0,0
240880115,2480115,24,8,80,115,Boileau,23,4,7,1,0,0,0,4,0,5,0,0,2
240881000,2481000,24,8,81,0,CommunautÇ-Urbaine-de-l'Outaouais,103,16,27,0,0,0,4,18,0,32,3,2,1
240881010,2481010,24,8,81,10,Masson-Angers,24,6,5,0,0,0,2,6,0,5,0,0,0
240881015,2481015,24,8,81,15,Gatineau,53,9,16,0,0,0,2,10,0,13,3,0,0
240881025,2481025,24,8,81,25,Aylmer,26,1,6,0,0,0,0,2,0,14,0,2,1
240882000,2482000,24,8,82,0,Les Collines-de-l'Outaouais,354,37,181,1,6,0,3,38,8,69,5,3,3
240882005,2482005,24,8,82,5,L'Ange-Gardien,70,9,33,0,2,0,0,5,2,18,0,1,0
240882010,2482010,24,8,82,10,Notre-Dame-de-la-Salette,24,6,6,0,0,0,0,4,0,7,1,0,0
240882015,2482015,24,8,82,15,Val-des-Monts,52,3,27,0,2,0,0,4,0,13,1,1,1
240882020,2482020,24,8,82,20,Cantley,31,4,16,0,1,0,1,3,2,3,0,0,1
240882030,2482030,24,8,82,30,Pontiac,98,9,54,1,1,0,2,9,2,16,2,1,1
240882035,2482035,24,8,82,35,La Pàche,79,6,45,0,0,0,0,13,2,12,1,0,0
240883000,2483000,24,8,83,0,La VallÇe-de-la-Gatineau,222,22,146,1,2,0,1,24,0,22,4,0,0
240883010,2483010,24,8,83,10,Low,43,3,33,0,0,0,0,3,0,3,1,0,0
240883015,2483015,24,8,83,15,Kazabazua,20,1,15,0,1,0,0,0,0,2,1,0,0
240883020,2483020,24,8,83,20,Lac-Sainte-Marie,20,1,16,1,0,0,1,1,0,0,0,0,0
240883025,2483025,24,8,83,25,Northfield,16,1,10,0,0,0,0,4,0,1,0,0,0
240883035,2483035,24,8,83,35,Wright,25,3,19,0,0,0,0,1,0,2,0,0,0
240883050,2483050,24,8,83,50,Bouchette,27,4,16,0,0,0,0,4,0,3,0,0,0
240883060,2483060,24,8,83,60,Messines,30,5,15,0,0,0,0,4,0,6,0,0,0
240883080,2483080,24,8,83,80,Montcerf,41,4,22,0,1,0,0,7,0,5,2,0,0
240884000,2484000,24,8,84,0,Pontiac,402,57,258,2,0,0,2,39,1,35,4,2,2
240884005,2484005,24,8,84,5,Bristol,56,12,31,0,0,0,0,7,1,4,1,0,0
240884015,2484015,24,8,84,15,Clarendon,140,29,78,2,0,0,1,11,0,15,1,2,1
240884035,2484035,24,8,84,35,Grand-Calumet,35,5,24,0,0,0,0,4,0,1,1,0,0
240884040,2484040,24,8,84,40,Litchfield,43,5,30,0,0,0,0,7,0,1,0,0,0
240884045,2484045,24,8,84,45,Thorne,23,1,16,0,0,0,0,1,0,5,0,0,0
240884065,2484065,24,8,84,65,Mansfield-et-Pontefract,21,1,15,0,0,0,0,4,0,1,0,0,0
240884075,2484075,24,8,84,75,L'Isle-aux-Allumettes-Partie-Est,27,0,24,0,0,0,0,2,0,1,0,0,0
240884085,2484085,24,8,84,85,L'Isle-aux-Allumettes,28,3,22,0,0,0,0,1,0,2,0,0,0
240884090,2484090,24,8,84,90,Chichester,29,1,18,0,0,0,1,2,0,5,1,0,1
240900000,2400000,24,9,0,0,Laurentides,"1,629",337,270,25,40,6,72,116,182,400,21,106,54
240972000,2472000,24,9,72,0,Deux-Montagnes,339,33,15,1,6,1,18,18,132,53,1,51,10
240972005,2472005,24,9,72,5,Saint-Eustache,123,9,6,1,4,1,11,8,11,35,0,29,8
240972025,2472025,24,9,72,25,Saint-Joseph-du-Lac,113,0,0,0,0,0,2,2,95,7,0,6,1
240972035,2472035,24,9,72,35,Oka,63,12,1,0,2,0,0,4,25,5,0,13,1
240972043,2472043,24,9,72,43,Saint-Placide,40,12,8,0,0,0,5,4,1,6,1,3,0
240973000,2473000,24,9,73,0,ThÇräse-De Blainville,120,10,6,2,2,3,14,10,12,34,1,23,3
240973015,2473015,24,9,73,15,Blainville,31,0,1,0,0,1,0,1,3,13,0,11,1
240973035,2473035,24,9,73,35,Sainte-Anne-des-Plaines,89,10,5,2,2,2,14,9,9,21,1,12,2
240974000,2474000,24,9,74,0,Mirabel,446,109,59,7,11,2,24,31,27,126,6,24,20
240974005,2474005,24,9,74,5,Mirabel,446,109,59,7,11,2,24,31,27,126,6,24,20
240975000,2475000,24,9,75,0,La Riviäre-du-Nord,96,7,11,9,11,0,2,9,1,39,2,2,3
240975010,2475010,24,9,75,10,Bellefeuille,50,5,10,2,3,0,1,4,0,21,1,1,2
240975030,2475030,24,9,75,30,Sainte-Sophie,46,2,1,7,8,0,1,5,1,18,1,1,1
240976000,2476000,24,9,76,0,Argenteuil,231,83,56,3,2,0,12,19,4,38,3,2,9
240976015,2476015,24,9,76,15,Saint-AndrÇ-d'Argenteuil,91,41,16,0,0,0,7,3,2,18,2,0,2
240976020,2476020,24,9,76,20,Lachute,25,3,4,1,1,0,0,4,1,7,1,2,1
240976045,2476045,24,9,76,45,Chatham,68,31,10,2,1,0,5,7,1,6,0,0,5
240976060,2476060,24,9,76,60,Grenville,29,7,15,0,0,0,0,3,0,3,0,0,1
240976065,2476065,24,9,76,65,Harrington,18,1,11,0,0,0,0,2,0,4,0,0,0
240977000,2477000,24,9,77,0,Les Pays-d'en-Haut,14,2,3,0,1,0,0,0,0,7,0,1,0
240977045,2477045,24,9,77,45,Saint-Sauveur,14,2,3,0,1,0,0,0,0,7,0,1,0
240978000,2478000,24,9,78,0,Les Laurentides,122,17,32,1,2,0,0,8,2,48,6,3,3
240978055,2478055,24,9,78,55,Montcalm,17,0,2,0,0,0,0,0,0,12,2,1,0
240978060,2478060,24,9,78,60,Arundel,17,1,7,0,1,0,0,1,0,5,1,1,0
240978085,2478085,24,9,78,85,Saint-Jovite,26,2,8,1,0,0,0,2,0,11,0,1,1
240978115,2478115,24,9,78,115,La Conception,42,12,9,0,1,0,0,4,1,12,2,0,1
240978130,2478130,24,9,78,130,La Minerve,20,2,6,0,0,0,0,1,1,8,1,0,1
240979000,2479000,24,9,79,0,Antoine-Labelle,261,76,88,2,5,0,2,21,4,55,2,0,6
240979020,2479020,24,9,79,20,Saint-AimÇ-du-Lac-des-?les,25,6,14,1,0,0,1,0,0,3,0,0,0
240979025,2479025,24,9,79,25,Kiamika,29,13,8,1,2,0,0,2,0,3,0,0,0
240979030,2479030,24,9,79,30,Lac-Nominingue,35,2,9,0,1,0,1,4,2,14,0,0,2
240979080,2479080,24,9,79,80,Beaux-Rivages,13,0,5,0,1,0,0,0,1,6,0,0,0
240979085,2479085,24,9,79,85,Mont-Laurier,21,5,10,0,0,0,0,3,0,3,0,0,0
240979090,2479090,24,9,79,90,Des Ruisseaux,42,10,14,0,0,0,0,5,0,10,1,0,2
240979100,2479100,24,9,79,100,Ferme-Neuve,63,23,20,0,0,0,0,6,0,12,1,0,1
240979110,2479110,24,9,79,110,Mont-Saint-Michel,33,17,8,0,1,0,0,1,1,4,0,0,1
241000000,2400000,24,10,0,0,Abitibi-TÇmiscamingue--Nord-du-QuÇbec,843,273,308,5,7,0,9,119,11,92,10,3,6
241085000,2485000,24,10,85,0,TÇmiscamingue,311,138,91,2,1,0,5,30,4,36,2,1,1
241085015,2485015,24,10,85,15,Saint-êdouard-de-Fabre,23,15,5,0,0,0,0,2,0,1,0,0,0
241085020,2485020,24,10,85,20,BÇarn,31,15,5,0,0,0,0,2,0,9,0,0,0
241085030,2485030,24,10,85,30,Duhamel-Ouest,22,7,7,0,0,0,0,3,1,4,0,0,0
241085037,2485037,24,10,85,37,Lorrainville,37,12,12,1,0,0,2,2,1,6,0,0,1
241085045,2485045,24,10,85,45,Saint-Bruno-de-Guigues,53,19,16,0,0,0,3,9,1,5,0,0,0
241085050,2485050,24,10,85,50,Laverlochäre,25,10,8,1,0,0,0,2,0,4,0,0,0
241085055,2485055,24,10,85,55,Fugäreville,25,14,9,0,0,0,0,1,0,1,0,0,0
241085085,2485085,24,10,85,85,Saint-Eugäne-de-Guigues,19,14,1,0,0,0,0,3,0,1,0,0,0
241085090,2485090,24,10,85,90,Notre-Dame-du-Nord,24,8,11,0,1,0,0,1,0,2,0,1,0
241085100,2485100,24,10,85,100,NÇdelec,31,16,11,0,0,0,0,1,1,1,1,0,0
241085105,2485105,24,10,85,105,RÇmigny,21,8,6,0,0,0,0,4,0,2,1,0,0
241086000,2486000,24,10,86,0,Rouyn-Noranda,75,12,35,0,1,0,1,9,1,11,4,0,1
241086010,2486010,24,10,86,10,Rollet,21,1,15,0,0,0,0,3,0,2,0,0,0
241086025,2486025,24,10,86,25,Beaudry,25,10,7,0,1,0,1,1,1,3,1,0,0
241086050,2486050,24,10,86,50,McWatters,12,0,4,0,0,0,0,3,0,2,2,0,1
241086060,2486060,24,10,86,60,Saint-Norbert-de-Mont-Brun,17,1,9,0,0,0,0,2,0,4,1,0,0
241087000,2487000,24,10,87,0,Abitibi-Ouest,225,63,98,0,1,0,3,37,4,16,1,1,1
241087010,2487010,24,10,87,10,Rapide-Danseur,26,5,12,0,0,0,0,4,1,4,0,0,0
241087025,2487025,24,10,87,25,Palmarolle,35,20,8,0,0,0,1,4,2,0,0,0,0
241087030,2487030,24,10,87,30,Sainte-Germaine-BoulÇ,20,9,7,0,0,0,0,4,0,0,0,0,0
241087035,2487035,24,10,87,35,Poularies,23,3,10,0,1,0,0,5,0,3,0,1,0
241087045,2487045,24,10,87,45,Taschereau,21,6,8,0,0,0,0,5,0,1,1,0,0
241087060,2487060,24,10,87,60,Macamic,17,3,7,0,0,0,0,3,0,4,0,0,0
241087075,2487075,24,10,87,75,Clerval,15,2,9,0,0,0,0,2,1,1,0,0,0
241087080,2487080,24,10,87,80,La Reine,15,6,4,0,0,0,1,3,0,1,0,0,0
241087085,2487085,24,10,87,85,Dupuy,16,3,11,0,0,0,1,1,0,0,0,0,0
241087090,2487090,24,10,87,90,La Sarre,37,6,22,0,0,0,0,6,0,2,0,0,1
241088000,2488000,24,10,88,0,Abitibi,185,51,62,2,1,0,0,40,1,21,3,1,3
241088022,2488022,24,10,88,22,Barraute,33,6,11,2,0,0,0,7,0,4,1,0,2
241088045,2488045,24,10,88,45,La Motte,42,13,14,0,0,0,0,12,0,3,0,0,0
241088055,2488055,24,10,88,55,Amos,35,11,13,0,0,0,0,6,0,4,0,0,1
241088085,2488085,24,10,88,85,Sainte-Gertrude-Manneville,47,17,16,0,1,0,0,6,0,6,1,0,0
241088904,2488904,24,10,88,904,Lac-Chicobi,28,4,8,0,0,0,0,9,1,4,1,1,0
241089000,2489000,24,10,89,0,VallÇe-de-l'Or,47,9,22,1,3,0,0,3,1,8,0,0,0
241089030,2489030,24,10,89,30,Vassan,24,5,11,1,3,0,0,1,0,3,0,0,0
241089045,2489045,24,10,89,45,Senneterre,23,4,11,0,0,0,0,2,1,5,0,0,0
241100000,2400000,24,11,0,0,GaspÇsie--?les-de-la-Madeleine,306,56,121,3,4,0,7,30,7,60,6,4,8
241101000,2401000,24,11,1,0,Les ?les-de-la-Madeleine,21,2,5,0,1,0,0,3,1,7,1,1,0
241101010,2401010,24,11,1,10,L'?le-du-Havre-Aubert,21,2,5,0,1,0,0,3,1,7,1,1,0
241102000,2402000,24,11,2,0,Pabok,26,0,17,0,0,0,0,0,0,8,0,0,1
241102050,2402050,24,11,2,50,Port-Daniel,26,0,17,0,0,0,0,0,0,8,0,0,1
241103000,2403000,24,11,3,0,La Cìte-de-GaspÇ,20,0,2,1,0,0,1,2,3,9,0,0,2
241103005,2403005,24,11,3,5,GaspÇ,20,0,2,1,0,0,1,2,3,9,0,0,2
241104000,2404000,24,11,4,0,Denis-Riverin,31,6,11,0,1,0,1,4,1,4,1,1,1
241104045,2404045,24,11,4,45,Cap-Chat,31,6,11,0,1,0,1,4,1,4,1,1,1
241105000,2405000,24,11,5,0,Bonaventure,124,17,56,1,2,0,3,15,1,22,2,2,3
241105010,2405010,24,11,5,10,Shigawake,24,3,12,0,0,0,1,1,0,6,0,0,1
241105045,2405045,24,11,5,45,Bonaventure,28,5,7,0,1,0,1,7,0,6,0,1,0
241105060,2405060,24,11,5,60,Caplan,15,6,6,0,0,0,1,1,0,0,0,1,0
241105065,2405065,24,11,5,65,Saint-Alphonse,27,1,11,1,1,0,0,5,1,6,0,0,1
241105070,2405070,24,11,5,70,New Richmond,30,2,20,0,0,0,0,1,0,4,2,0,1
241106000,2406000,24,11,6,0,Avignon,84,31,30,1,0,0,2,6,1,10,2,0,1
241106010,2406010,24,11,6,10,Carleton,20,9,3,0,0,0,0,4,0,3,1,0,0
241106020,2406020,24,11,6,20,Nouvelle,18,7,7,0,0,0,1,0,1,1,1,0,0
241106040,2406040,24,11,6,40,Saint-AndrÇ-de-Restigouche,18,5,8,1,0,0,0,2,0,1,0,0,1
241106050,2406050,24,11,6,50,Saint-Alexis-de-MatapÇdia,28,10,12,0,0,0,1,0,0,5,0,0,0
241200000,2400000,24,12,0,0,Chaudiäre-Appalaches,"6,208","1,982",992,801,144,4,48,250,62,"1,726",89,25,85
241217000,2417000,24,12,17,0,L'Islet,580,145,60,16,26,1,4,24,4,277,5,1,17
241217010,2417010,24,12,17,10,Saint-Pamphile,47,13,8,4,1,0,0,2,0,19,0,0,0
241217015,2417015,24,12,17,15,Saint-Adalbert,57,3,4,0,0,0,0,2,1,46,1,0,0
241217020,2417020,24,12,17,20,Saint-Marcel,49,14,2,0,0,0,0,3,0,29,0,0,1
241217025,2417025,24,12,17,25,Sainte-FÇlicitÇ,16,0,1,0,0,0,0,0,0,14,0,0,1
241217030,2417030,24,12,17,30,Sainte-PerpÇtue,66,2,4,1,0,0,0,1,0,56,0,0,2
241217040,2417040,24,12,17,40,Saint-Damase-de-l'Islet,34,5,4,0,10,0,0,0,0,14,1,0,0
241217045,2417045,24,12,17,45,Saint-Cyrille-de-Lessard,23,7,4,0,1,0,1,1,0,9,0,0,0
241217050,2417050,24,12,17,50,Saint-Eugäne,32,4,2,0,0,0,0,2,2,18,0,0,4
241217055,2417055,24,12,17,55,Saint-Aubert,51,13,2,4,0,0,0,4,0,25,1,0,2
241217060,2417060,24,12,17,60,Sainte-Louise,45,18,7,1,5,0,0,2,0,9,1,0,2
241217065,2417065,24,12,17,65,Saint-Roch-des-Aulnaies,32,14,4,3,1,0,0,2,1,4,0,0,3
241217070,2417070,24,12,17,70,Saint-Jean-Port-Joli,76,29,10,0,5,0,2,2,0,26,0,0,2
241217080,2417080,24,12,17,80,L'Islet-sur-Mer,52,23,8,3,3,1,1,3,0,8,1,1,0
241218000,2418000,24,12,18,0,Montmagny,370,144,54,23,5,0,8,16,7,106,4,1,2
241218015,2418015,24,12,18,15,Saint-Fabien-de-Panet,34,4,6,0,0,0,0,2,0,22,0,0,0
