AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,NTFAREA,TFAREA,ETFAREA,NAOWNED,AOWNED,EAOWNED,NTOTLSRT,TOTLSRT,ETOTLSRT,NALSDGOV,ALSDGOV,EALSDGOV,NARNTED,ARNTED,EARNTED,NTOTUSE,TOTUSE,ETOTUSE,NCRPLND,CRPLND,ECRPLND,NSUMMRF,SUMMRF,ESUMMRF,NIMPAST,IMPAST,EIMPAST,NUNIMPST,UNIMPST,EUNIMPST,NOTHLND,OTHLND,EOTHLND,NIRRIG,IRRIG,EIRRIG,NFERTIL,FERTIL,EFERTIL,NHERBCI,HERBCI,EHERBCI,NINSECTI,INSECTI,EINSECTI,NFUNGIC,FUNGIC,EFUNGIC,NMSOLID,MSOLID,EMSOLID,NMIRRIG,MIRRIG,EMIRRIG,NMLIQSUR,MLIQSUR,EMLIQSUR,NMLIQINJ,MLIQINJ,EMLIQINJ,NCROPROT,NPRMGRAS,NCOVCROP,NCONTOUR,NSTRIPCR,NGRASWAT,NWINDYES,NTILARS,TILARS,ETILARS,NTILCONV,TILCONV,ETILCONV,NTILCONS,TILCONS,ETILCONS,NTILLNO,TILLNO,ETILLNO,NCHEMSF,CHEMSF,ECHEMSF,NTILLSF,TILLSF,ETILLSF,NCOMBSF,COMBSF,ECOMBSF
240334030,2434030,24,3,34,30,Cap-SantÇ,36,"7,047","2,852",36,"5,873","2,377",12,"1,174",475,1,x,x,12,x,x,36,"7,047","2,852",33,"4,758","1,925",2,x,x,14,456,185,14,245,99,29,x,x,1,x,x,22,"2,502","1,013",21,"1,152",466,7,62,25,2,x,x,27,"1,219",493,1,x,x,3,477,193,0,0,0,29,3,1,2,0,1,3,29,"1,288",521,28,"1,199",485,4,89,36,0,0,0,0,0,0,1,x,x,1,x,x
240334040,2434040,24,3,34,40,Saint-Basile,67,"14,777","5,980",66,"12,638","5,114",20,"2,139",866,4,813,329,19,"1,326",537,67,"14,777","5,980",54,"7,679","3,108",4,119,48,21,"1,353",548,34,"1,315",532,59,"4,311","1,745",1,x,x,25,"3,209","1,299",22,"1,976",800,2,x,x,1,x,x,42,"2,516","1,018",0,0,0,13,"1,818",736,0,0,0,40,4,1,1,1,1,0,44,"2,672","1,081",40,"2,445",989,4,177,72,3,50,20,0,0,0,4,119,48,0,0,0
240334055,2434055,24,3,34,55,Deschambault,32,"5,774","2,337",32,"5,007","2,026",10,767,310,0,0,0,10,767,310,32,"5,774","2,337",27,"3,681","1,490",1,x,x,13,480,194,11,336,136,27,x,x,3,113,46,18,"1,892",766,9,575,233,2,x,x,2,x,x,23,"1,051",425,0,0,0,9,736,298,0,0,0,19,4,0,0,0,0,0,19,646,261,18,616,249,0,0,0,3,30,12,0,0,0,1,x,x,1,x,x
240334060,2434060,24,3,34,60,Saint-Gilbert,37,"7,632","3,089",36,"7,230","2,926",8,402,163,1,x,x,8,x,x,37,"7,632","3,089",34,"3,843","1,555",1,x,x,11,640,259,16,506,205,31,x,x,0,0,0,15,"1,247",505,9,485,196,0,0,0,1,x,x,29,"1,466",593,0,0,0,6,446,180,0,0,0,26,2,1,1,3,0,1,28,"1,166",472,25,"1,116",452,1,x,x,3,x,x,0,0,0,1,x,x,0,0,0
240334070,2434070,24,3,34,70,Grondines,22,"5,649","2,286",22,"4,902","1,984",7,747,302,2,x,x,6,x,x,22,"5,649","2,286",22,"2,911","1,178",0,0,0,9,433,175,8,157,64,22,"2,148",869,0,0,0,10,574,232,4,263,106,1,x,x,0,0,0,17,798,323,0,0,0,4,174,70,0,0,0,14,4,1,1,1,0,3,15,559,226,14,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0
240334080,2434080,24,3,34,80,Saint-Casimir,44,"11,117","4,499",44,"10,352","4,189",13,765,310,0,0,0,13,765,310,44,"11,117","4,499",41,"7,280","2,946",0,0,0,22,838,339,27,"1,055",427,30,"1,944",787,0,0,0,31,"3,695","1,495",23,"1,643",665,2,x,x,0,0,0,33,"1,758",711,0,0,0,11,"1,266",512,0,0,0,31,3,0,2,1,1,1,36,"2,710","1,097",34,"2,642","1,069",1,x,x,2,x,x,0,0,0,0,0,0,0,0,0
240334085,2434085,24,3,34,85,Saint-Thuribe,31,"7,078","2,864",31,"6,649","2,691",7,429,174,1,x,x,7,x,x,31,"7,078","2,864",29,"4,485","1,815",0,0,0,18,518,210,20,661,267,27,"1,414",572,0,0,0,22,"1,820",737,17,743,301,0,0,0,0,0,0,27,"1,581",640,0,0,0,4,400,162,0,0,0,29,4,0,1,1,1,1,27,"1,248",505,23,"1,123",454,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0
240334090,2434090,24,3,34,90,Saint-Ubalde,58,"18,548","7,506",54,"14,735","5,963",26,"3,813","1,543",6,489,198,23,"3,324","1,345",58,"18,548","7,506",38,"10,254","4,150",0,0,0,13,451,183,13,403,163,50,"7,440","3,011",0,0,0,16,"6,022","2,437",18,"5,119","2,072",6,"2,821","1,142",6,"3,157","1,278",15,686,278,2,x,x,13,"3,935","1,592",0,0,0,24,2,1,0,0,0,1,30,"6,856","2,775",25,"5,720","2,315",8,"1,136",460,0,0,0,0,0,0,0,0,0,0,0,0
240334097,2434097,24,3,34,97,Saint-Alban,33,"8,485","3,434",33,"7,399","2,994",8,"1,086",439,2,x,x,8,x,x,33,"8,485","3,434",27,"4,860","1,967",2,x,x,16,804,325,13,867,351,26,x,x,2,x,x,15,"1,615",654,12,"1,202",486,1,x,x,1,x,x,20,892,361,0,0,0,5,559,226,0,0,0,23,3,4,1,1,2,4,24,"1,774",718,21,"1,652",669,3,x,x,1,x,x,1,x,x,1,x,x,0,0,0
240334105,2434105,24,3,34,105,Sainte-Christine-d'Auvergne,23,"4,683","1,895",23,"3,952","1,599",5,731,296,2,x,x,5,x,x,23,"4,683","1,895",17,"2,251",911,0,0,0,7,208,84,7,367,149,22,"1,857",752,1,x,x,9,845,342,6,542,219,0,0,0,0,0,0,13,892,361,0,0,0,5,643,260,0,0,0,9,2,0,0,0,0,0,8,861,348,7,757,306,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0
240334115,2434115,24,3,34,115,Saint-LÇonard-de-Portneuf,19,"5,110","2,068",18,"4,907","1,986",4,203,82,0,0,0,4,203,82,19,"5,110","2,068",14,"2,032",822,0,0,0,3,136,55,7,284,115,16,"2,658","1,076",0,0,0,9,935,378,5,160,65,1,x,x,1,x,x,12,736,298,0,0,0,1,x,x,0,0,0,14,1,0,0,0,0,0,13,712,288,10,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0
240334128,2434128,24,3,34,128,Saint-Raymond,42,"10,990","4,447",41,"9,827","3,977",11,"1,163",471,2,x,x,9,x,x,42,"10,990","4,447",29,"4,644","1,879",0,0,0,13,365,148,14,881,357,39,"5,100","2,064",1,x,x,23,"3,428","1,387",14,"1,538",622,2,x,x,1,x,x,30,"1,481",599,0,0,0,9,297,120,0,0,0,23,7,0,0,0,0,0,21,"1,879",760,19,"1,668",675,2,x,x,3,x,x,0,0,0,0,0,0,0,0,0
240400000,2400000,24,4,0,0,Mauricie--Bois-Francs,"5,405","1,273,766","515,475","5,313","1,123,364","454,609","1,342","150,402","60,866",167,"13,209","5,345","1,272","137,193","55,520","5,405","1,273,766","515,475","4,398","694,578","281,086",118,"4,312","1,745","1,807","77,367","31,309","2,255","102,834","41,615","4,733","394,675","159,719",170,"9,009","3,646","3,125","461,880","186,916","2,567","272,603","110,319",289,"17,501","7,082",236,"17,937","7,259","3,210","188,720","76,372",52,"5,443","2,203","1,109","110,237","44,611",67,"7,858","3,180","3,030",683,169,71,75,119,189,"3,335","344,147","139,271","3,019","289,266","117,062",488,"44,043","17,824",289,"10,838","4,386",38,"1,253",507,61,"2,137",865,25,922,373
240432000,2432000,24,4,32,0,L'êrable,753,"191,500","77,497",740,"179,762","72,747",125,"11,738","4,750",16,"1,274",516,120,"10,464","4,235",753,"191,500","77,497",492,"61,104","24,728",9,285,115,265,"12,924","5,230",354,"18,623","7,536",712,"98,564","39,887",14,507,205,358,"40,983","16,585",207,"12,605","5,101",21,946,383,20,919,372,417,"26,373","10,673",2,x,x,163,"15,253","6,173",4,496,201,294,99,16,12,15,10,20,288,"16,449","6,657",233,"12,795","5,178",44,"2,449",991,38,"1,205",488,6,x,x,2,x,x,1,x,x
240432005,2432005,24,4,32,5,Vianney,27,"6,812","2,757",27,x,x,1,x,x,0,0,0,1,x,x,27,"6,812","2,757",20,"1,746",707,2,x,x,9,408,165,17,970,393,24,x,x,1,x,x,13,"1,120",453,7,79,32,0,0,0,0,0,0,15,717,290,0,0,0,6,493,200,0,0,0,13,3,0,1,0,0,1,11,109,44,4,35,14,4,35,14,3,39,16,1,x,x,1,x,x,0,0,0
240432015,2432015,24,4,32,15,Saint-Ferdinand,71,"15,084","6,104",70,"14,113","5,711",11,971,393,1,x,x,10,x,x,71,"15,084","6,104",42,"4,211","1,704",0,0,0,21,"1,268",513,32,"2,069",837,69,"7,536","3,050",1,x,x,17,"1,665",674,4,115,47,0,0,0,0,0,0,34,"1,787",723,2,x,x,7,491,199,0,0,0,12,5,0,0,0,0,0,12,200,81,10,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0
240432020,2432020,24,4,32,20,Halifax-Nord,82,"14,315","5,793",77,"13,100","5,301",13,"1,215",492,1,x,x,12,x,x,82,"14,315","5,793",50,"4,989","2,019",1,x,x,31,"1,433",580,33,"1,440",583,76,x,x,0,0,0,36,"3,471","1,405",19,"1,111",450,1,x,x,0,0,0,44,"2,861","1,158",0,0,0,9,497,201,1,x,x,27,16,2,1,2,3,2,25,989,400,17,597,242,8,203,82,3,189,76,1,x,x,0,0,0,0,0,0
240432035,2432035,24,4,32,35,Princeville,99,"23,228","9,400",99,"21,702","8,782",19,"1,526",618,2,x,x,19,x,x,99,"23,228","9,400",76,"12,293","4,975",0,0,0,37,"1,190",482,46,"1,825",739,91,"7,920","3,205",3,61,25,67,"8,696","3,519",51,"3,759","1,521",2,x,x,2,x,x,58,"3,999","1,618",0,0,0,36,"4,234","1,713",0,0,0,62,13,3,1,2,2,1,60,"5,169","2,092",49,"4,058","1,642",11,977,395,6,134,54,0,0,0,0,0,0,0,0,0
240432045,2432045,24,4,32,45,Plessisville,100,"23,603","9,552",99,"22,726","9,197",13,877,355,3,160,65,11,717,290,100,"23,603","9,552",63,"8,122","3,287",3,120,49,36,"1,609",651,48,"2,150",870,93,"11,602","4,695",3,94,38,44,"4,720","1,910",38,"2,097",849,5,313,127,6,313,127,49,"4,151","1,680",0,0,0,26,"2,905","1,176",1,x,x,34,10,5,2,3,2,6,36,"2,314",936,33,"1,750",708,6,294,119,3,270,109,2,x,x,1,x,x,0,0,0
240432050,2432050,24,4,32,50,Saint-Pierre-Baptiste,73,"14,830","6,001",70,"13,569","5,491",10,"1,261",510,1,x,x,10,x,x,73,"14,830","6,001",31,"3,468","1,403",0,0,0,28,"1,728",699,36,"2,333",944,71,"7,301","2,955",0,0,0,29,"2,538","1,027",11,309,125,2,x,x,1,x,x,36,"2,463",997,0,0,0,13,994,402,0,0,0,21,10,1,0,2,0,0,18,534,216,16,443,179,1,x,x,4,x,x,0,0,0,0,0,0,0,0,0
240432060,2432060,24,4,32,60,Inverness,115,"43,488","17,599",114,"41,839","16,932",22,"1,649",667,3,3,1,22,"1,646",666,115,"43,488","17,599",66,"7,090","2,869",0,0,0,33,"1,500",607,62,"3,716","1,504",112,"31,182","12,619",2,x,x,48,"5,290","2,141",13,799,323,4,374,151,2,x,x,61,"2,701","1,093",0,0,0,17,"1,072",434,0,0,0,39,24,4,4,4,1,3,30,"1,176",476,25,"1,071",433,2,x,x,7,x,x,0,0,0,0,0,0,0,0,0
240432065,2432065,24,4,32,65,Lyster,69,"21,112","8,544",69,"19,227","7,781",13,"1,885",763,2,x,x,12,x,x,69,"21,112","8,544",58,"9,484","3,838",1,x,x,18,832,337,21,"1,307",529,65,x,x,1,x,x,43,"6,599","2,671",31,"3,220","1,303",4,143,58,7,197,80,41,"3,000","1,214",0,0,0,18,"2,212",895,2,x,x,38,4,0,2,0,0,2,45,"4,045","1,637",37,"2,996","1,212",5,785,318,4,264,107,0,0,0,0,0,0,1,x,x
240432075,2432075,24,4,32,75,Sainte-Julie,72,"17,934","7,258",71,"16,164","6,541",14,"1,770",716,1,x,x,14,x,x,72,"17,934","7,258",50,"6,300","2,550",2,x,x,33,"2,079",841,40,"2,166",877,68,x,x,1,x,x,40,"4,744","1,920",25,836,338,1,x,x,1,x,x,49,"3,110","1,259",0,0,0,26,"2,039",825,0,0,0,29,7,0,1,2,1,1,35,"1,172",474,28,"1,012",410,5,113,46,4,47,19,2,x,x,0,0,0,0,0,0
240432080,2432080,24,4,32,80,Notre-Dame-de-Lourdes,27,"6,420","2,598",26,"6,074","2,458",5,346,140,0,0,0,5,346,140,27,"6,420","2,598",22,"1,823",738,0,0,0,10,472,191,13,478,193,26,"3,647","1,476",1,x,x,11,665,269,3,100,40,1,x,x,1,x,x,17,925,374,0,0,0,3,x,x,0,0,0,9,5,0,0,0,1,4,9,459,186,7,384,155,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0
240432085,2432085,24,4,32,85,Villeroy,18,"4,674","1,892",18,x,x,4,x,x,2,x,x,4,210,85,18,"4,674","1,892",14,"1,578",639,0,0,0,9,405,164,6,169,68,17,"2,522","1,021",1,x,x,10,"1,475",597,5,180,73,1,x,x,0,0,0,13,659,267,0,0,0,2,x,x,0,0,0,10,2,1,0,0,0,0,7,282,114,7,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
240435000,2435000,24,4,35,0,MÇkinac,203,"55,431","22,432",196,"48,440","19,603",64,"6,991","2,829",12,527,213,58,"6,464","2,616",203,"55,431","22,432",172,"25,461","10,304",6,x,x,83,"3,129","1,266",79,"3,683","1,490",181,x,x,4,x,x,99,"9,462","3,829",75,"4,098","1,658",8,x,x,6,x,x,135,"8,320","3,367",2,x,x,37,"2,924","1,183",0,0,0,135,27,8,4,3,4,8,142,"8,282","3,352",126,"7,231","2,926",13,514,208,15,537,217,0,0,0,4,43,17,2,x,x
240435010,2435010,24,4,35,10,Lac-aux-Sables,23,"6,018","2,435",22,"5,090","2,060",8,928,376,2,x,x,6,x,x,23,"6,018","2,435",15,"2,136",864,1,x,x,7,241,98,7,289,117,23,x,x,0,0,0,10,941,381,7,397,161,2,x,x,2,x,x,12,878,355,1,x,x,5,540,219,0,0,0,13,2,1,0,0,0,0,14,799,323,12,x,x,1,x,x,2,x,x,0,0,0,0,0,0,1,x,x
240435015,2435015,24,4,35,15,Saint-Adelphe,30,"7,469","3,023",30,"6,991","2,829",6,478,193,1,x,x,6,x,x,30,"7,469","3,023",27,"3,754","1,519",1,x,x,16,637,258,11,684,277,25,x,x,1,x,x,18,"1,926",779,13,795,322,0,0,0,0,0,0,21,"1,775",718,0,0,0,9,798,323,0,0,0,22,6,3,1,0,1,1,26,"1,386",561,25,"1,323",535,4,x,x,2,x,x,0,0,0,1,x,x,0,0,0
240435020,2435020,24,4,35,20,Saint-SÇverin,32,"7,292","2,951",32,"6,171","2,497",12,"1,121",454,2,x,x,11,x,x,32,"7,292","2,951",30,"4,873","1,972",1,x,x,14,430,174,16,628,254,27,x,x,0,0,0,18,"1,535",621,17,835,338,0,0,0,0,0,0,26,"1,482",600,0,0,0,5,229,93,0,0,0,22,5,3,1,1,1,0,24,"1,550",627,20,"1,371",555,3,55,22,4,124,50,0,0,0,1,x,x,0,0,0
240435030,2435030,24,4,35,30,Saint-Tite,51,"19,637","7,947",49,"17,839","7,219",15,"1,798",728,0,0,0,15,"1,798",728,51,"19,637","7,947",41,"5,850","2,367",1,x,x,22,906,367,20,677,274,47,x,x,2,x,x,26,"2,362",956,20,943,382,3,72,29,2,x,x,29,"1,312",531,1,x,x,8,686,278,0,0,0,30,7,1,1,1,1,3,29,"1,561",632,24,"1,402",567,3,47,19,4,112,45,0,0,0,1,x,x,0,0,0
240435035,2435035,24,4,35,35,HÇrouxville,24,"4,729","1,914",22,"3,877","1,569",11,852,345,2,x,x,10,x,x,24,"4,729","1,914",20,"2,924","1,183",2,x,x,8,197,80,8,618,250,19,x,x,0,0,0,8,"1,244",503,9,555,225,2,x,x,1,x,x,16,983,398,0,0,0,3,292,118,0,0,0,12,1,0,0,0,0,2,13,"1,060",429,11,798,323,2,x,x,1,x,x,0,0,0,1,x,x,1,x,x
240435050,2435050,24,4,35,50,Sainte-Thäcle,43,"10,286","4,163",41,"8,472","3,428",12,"1,814",734,5,96,39,10,"1,718",695,43,"10,286","4,163",39,"5,924","2,397",0,0,0,16,718,291,17,787,318,40,"2,857","1,156",1,x,x,19,"1,454",588,9,573,232,1,x,x,1,x,x,31,"1,890",765,0,0,0,7,379,153,0,0,0,36,6,0,1,1,1,2,36,"1,926",779,34,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0
240436000,2436000,24,4,36,0,Le Centre-de-la-Mauricie,150,"27,920","11,299",148,"24,240","9,810",28,"3,680","1,489",3,x,x,28,x,x,150,"27,920","11,299",119,"12,668","5,127",10,182,74,40,"1,959",793,61,"3,753","1,519",129,"9,358","3,787",7,90,36,60,"4,780","1,934",53,"4,075","1,649",22,"1,022",414,16,721,292,73,"3,121","1,263",0,0,0,16,x,x,0,0,0,66,18,6,0,2,4,8,76,"5,438","2,201",66,"4,689","1,898",8,x,x,7,x,x,5,114,46,4,x,x,2,x,x
240436005,2436005,24,4,36,5,Charette,20,"3,436","1,390",20,"3,169","1,282",5,267,108,0,0,0,5,267,108,20,"3,436","1,390",18,"1,728",699,1,x,x,5,252,102,12,629,255,15,x,x,0,0,0,2,x,x,4,338,137,1,x,x,0,0,0,10,463,187,0,0,0,2,x,x,0,0,0,7,2,0,0,1,0,0,11,675,273,10,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0
240436010,2436010,24,4,36,10,Saint-êlie,19,"2,698","1,092",19,"2,416",978,4,282,114,0,0,0,4,282,114,19,"2,698","1,092",11,683,276,0,0,0,5,121,49,9,354,143,18,"1,540",623,3,18,7,6,x,x,3,37,15,3,18,7,1,x,x,8,271,110,0,0,0,3,155,63,0,0,0,8,3,2,0,0,0,1,7,255,103,6,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
240436020,2436020,24,4,36,20,Saint-Boniface-de-Shawinigan,39,"6,212","2,514",38,"5,292","2,142",6,920,372,2,x,x,6,x,x,39,"6,212","2,514",28,"3,045","1,232",2,x,x,7,272,110,13,144,58,35,x,x,0,0,0,10,448,181,13,461,187,1,x,x,1,x,x,18,911,369,0,0,0,8,570,231,0,0,0,14,4,2,0,1,2,3,18,990,401,16,900,364,2,x,x,2,x,x,1,x,x,0,0,0,1,x,x
240436035,2436035,24,4,36,35,Shawinigan-Sud,19,"2,997","1,213",19,"2,426",982,5,571,231,0,0,0,5,571,231,19,"2,997","1,213",19,"1,947",788,3,86,35,10,185,75,9,278,113,16,501,203,1,x,x,12,617,250,12,487,197,4,175,71,3,26,11,13,398,161,0,0,0,1,x,x,0,0,0,14,1,1,0,0,1,0,13,658,266,12,x,x,0,0,0,1,x,x,2,x,x,2,x,x,0,0,0
240436040,2436040,24,4,36,40,Notre-Dame-du-Mont-Carmel,22,"4,854","1,964",22,"3,811","1,542",4,"1,043",422,0,0,0,4,"1,043",422,22,"4,854","1,964",19,"2,419",979,2,x,x,3,38,15,5,91,37,20,x,x,2,x,x,15,"2,210",894,13,"1,961",794,9,666,270,8,664,269,6,136,55,0,0,0,2,x,x,0,0,0,11,3,0,0,0,1,3,13,"2,145",868,10,"1,917",776,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0
240436055,2436055,24,4,36,55,Grand-Märe,31,"7,723","3,125",30,"7,126","2,884",4,597,242,1,x,x,4,x,x,31,"7,723","3,125",24,"2,846","1,152",2,x,x,10,"1,091",442,13,"2,257",913,25,x,x,1,x,x,15,"1,138",461,8,791,320,4,x,x,3,x,x,18,942,381,0,0,0,0,0,0,0,0,0,12,5,1,0,0,0,1,14,715,289,12,297,120,2,x,x,2,x,x,0,0,0,1,x,x,1,x,x
240437000,2437000,24,4,37,0,Francheville,508,"105,855","42,838",500,"90,115","36,468",161,"15,740","6,370",15,859,348,158,"14,881","6,022",508,"105,855","42,838",439,"64,047","25,919",13,294,119,175,"6,132","2,482",199,"6,837","2,767",420,"28,545","11,552",30,554,224,315,"41,105","16,635",258,"25,594","10,358",53,"1,415",573,36,800,324,309,"15,538","6,288",2,x,x,93,"9,447","3,823",7,945,382,307,65,22,5,7,15,26,341,"31,593","12,785",317,"27,227","11,018",63,"4,014","1,624",15,352,142,3,x,x,10,241,98,1,x,x
240437005,2437005,24,4,37,5,Sainte-Anne-de-la-PÇrade,66,"15,455","6,254",66,"12,588","5,094",24,"2,867","1,160",3,13,5,24,"2,854","1,155",66,"15,455","6,254",60,"9,964","4,032",3,141,57,24,744,301,27,962,389,52,"3,644","1,475",2,x,x,44,"5,869","2,375",41,"4,215","1,706",7,84,34,6,44,18,40,"2,374",961,1,x,x,18,"2,486","1,006",0,0,0,43,8,5,0,0,2,3,47,"4,955","2,005",45,"4,782","1,935",7,x,x,2,x,x,0,0,0,3,141,57,0,0,0
240437010,2437010,24,4,37,10,Saint-Prosper,37,"9,192","3,720",36,"7,651","3,096",18,"1,541",624,3,274,111,17,"1,267",513,37,"9,192","3,720",31,"5,742","2,324",1,x,x,17,541,219,20,700,283,28,x,x,0,0,0,28,"5,189","2,100",26,"3,000","1,214",1,x,x,0,0,0,24,"1,295",524,0,0,0,8,"1,051",425,0,0,0,28,2,0,1,0,0,0,28,"3,490","1,412",27,"3,271","1,324",2,x,x,2,x,x,0,0,0,1,x,x,0,0,0
240437015,2437015,24,4,37,15,Saint-Stanislas,45,"12,506","5,061",43,"10,947","4,430",14,"1,559",631,2,x,x,14,x,x,45,"12,506","5,061",39,"7,324","2,964",0,0,0,18,925,374,22,797,323,42,"3,460","1,400",0,0,0,18,"2,387",966,12,"1,705",690,0,0,0,0,0,0,29,"1,395",565,0,0,0,10,753,305,1,x,x,21,5,0,0,1,1,3,28,"3,193","1,292",25,"2,917","1,180",4,x,x,1,x,x,0,0,0,0,0,0,0,0,0
240437020,2437020,24,4,37,20,Sainte-Geneviäve-de-Batiscan,30,"7,282","2,947",29,"5,837","2,362",10,"1,445",585,0,0,0,10,"1,445",585,30,"7,282","2,947",27,"4,159","1,683",1,x,x,9,279,113,12,388,157,23,x,x,1,x,x,19,"2,431",984,15,"1,225",496,2,x,x,1,x,x,19,"1,243",503,0,0,0,9,526,213,1,x,x,22,4,1,2,0,2,1,21,"1,961",794,21,"1,749",708,4,212,86,0,0,0,0,0,0,1,x,x,0,0,0
240437025,2437025,24,4,37,25,Batiscan,31,"5,872","2,376",31,"5,366","2,172",8,506,205,1,x,x,7,x,x,31,"5,872","2,376",29,"3,696","1,496",0,0,0,12,342,138,12,300,121,25,"1,534",621,0,0,0,25,"3,385","1,370",18,"1,592",644,4,187,76,2,x,x,18,729,295,0,0,0,5,675,273,1,x,x,21,1,0,0,0,0,1,25,"1,829",740,23,"1,601",648,4,x,x,1,x,x,0,0,0,0,0,0,0,0,0
240437030,2437030,24,4,37,30,Champlain,38,"8,687","3,516",37,"7,574","3,065",17,"1,113",450,0,0,0,17,"1,113",450,38,"8,687","3,516",38,"6,753","2,733",2,x,x,16,422,171,4,177,72,30,x,x,2,x,x,33,"5,707","2,310",30,"3,798","1,537",8,124,50,4,44,18,25,"1,503",608,0,0,0,9,986,399,2,x,x,33,9,3,0,0,5,4,33,"3,974","1,608",32,"3,379","1,367",8,x,x,2,x,x,1,x,x,1,x,x,0,0,0
240437035,2437035,24,4,37,35,Saint-Luc-de-Vincennes,27,"4,716","1,908",27,"4,090","1,655",8,626,253,1,x,x,8,x,x,27,"4,716","1,908",21,"2,620","1,060",1,x,x,10,230,93,13,373,151,23,x,x,0,0,0,19,"1,385",560,10,468,189,1,x,x,1,x,x,21,884,358,0,0,0,0,0,0,0,0,0,14,7,1,0,1,0,1,16,561,227,15,x,x,4,121,49,1,x,x,0,0,0,1,x,x,0,0,0
240437040,2437040,24,4,37,40,Saint-Narcisse,43,"11,805","4,777",42,"10,766","4,357",11,"1,039",420,1,x,x,10,x,x,43,"11,805","4,777",37,"5,607","2,269",0,0,0,15,736,298,21,738,299,35,"4,724","1,912",1,x,x,25,"3,372","1,365",19,"1,608",651,0,0,0,0,0,0,22,"1,542",624,0,0,0,5,299,121,0,0,0,26,7,0,0,0,1,1,30,"2,149",870,28,"1,930",781,5,x,x,2,x,x,0,0,0,0,0,0,0,0,0
240437045,2437045,24,4,37,45,Saint-Maurice,64,"14,759","5,973",63,"12,574","5,089",17,"2,185",884,3,30,12,17,"2,155",872,64,"14,759","5,973",61,"9,784","3,959",1,x,x,29,"1,145",463,38,"1,034",418,57,x,x,3,104,42,47,"5,947","2,407",35,"3,620","1,465",2,x,x,1,x,x,51,"2,369",959,1,x,x,8,699,283,0,0,0,49,10,2,0,0,2,1,47,"3,968","1,606",45,"3,511","1,421",6,x,x,2,x,x,0,0,0,1,x,x,0,0,0
240437060,2437060,24,4,37,60,Saint-Louis-de-France,16,997,403,16,997,403,0,0,0,0,0,0,0,0,0,16,997,403,9,265,107,0,0,0,5,103,42,4,142,57,13,487,197,2,x,x,4,171,69,3,95,38,3,95,38,2,x,x,5,120,49,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,3,5,123,50,3,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0
240437065,2437065,24,4,37,65,Trois-Riviäres,25,"3,090","1,250",25,"2,644","1,070",8,446,180,1,x,x,8,x,x,25,"3,090","1,250",22,"1,879",760,0,0,0,9,187,76,8,287,116,19,737,298,1,x,x,15,"1,001",405,12,427,173,4,45,18,2,x,x,17,686,278,0,0,0,0,0,0,0,0,0,12,1,1,0,2,0,1,15,655,265,14,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0
240437075,2437075,24,4,37,75,Pointe-du-Lac,31,"2,890","1,170",31,"2,360",955,9,530,214,0,0,0,9,530,214,31,"2,890","1,170",23,"1,749",708,2,x,x,5,186,75,7,265,107,24,x,x,5,102,41,10,660,267,11,646,261,5,289,117,5,246,100,11,184,74,0,0,0,5,461,187,0,0,0,9,4,4,1,1,1,3,17,"1,102",446,16,755,306,4,347,140,0,0,0,2,x,x,1,x,x,0,0,0
240437080,2437080,24,4,37,80,Saint-êtienne-des-Gräs,55,"8,604","3,482",54,"6,721","2,720",17,"1,883",762,0,0,0,17,"1,883",762,55,"8,604","3,482",42,"4,505","1,823",2,x,x,6,292,118,11,674,273,49,x,x,13,223,90,28,"3,601","1,457",26,"3,195","1,293",16,506,205,12,262,106,27,"1,214",491,0,0,0,16,"1,511",611,2,x,x,26,6,5,1,1,0,4,29,"3,633","1,470",23,"2,209",894,11,x,x,2,x,x,0,0,0,1,x,x,1,x,x
240438000,2438000,24,4,38,0,BÇcancour,557,"131,645","53,275",547,"114,757","46,441",168,"16,888","6,834",22,"1,256",508,158,"15,632","6,326",557,"131,645","53,275",497,"73,912","29,911",15,798,323,202,"7,959","3,221",233,"10,404","4,210",485,"38,572","15,610",14,552,223,331,"43,840","17,741",287,"24,769","10,024",25,"1,059",429,17,959,388,377,"26,001","10,522",2,x,x,98,"11,482","4,647",4,627,254,353,75,15,6,11,11,14,380,"31,576","12,778",342,"27,165","10,993",44,"3,485","1,410",30,926,375,3,x,x,11,659,267,2,x,x
