AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,NTOTFCAP,TOTFCAP,NVALULB,VALULB,NVLBOWN,VLBOWN,NVLBRNT,VLBRNT,NVALMCH,VALMCH,NVALLVSK,VALLVSK,NCAPITAL,CAPITAL,NCAPBLDG,CAPBLDG,NCAPQUOT,CAPQUOT,NCAPLAND,CAPLAND,NCAPLDIM,CAPLDIM,NNEWCAR,NEWCAR,NNEWTRUK,NEWTRUK,NNEWMACH,NEWMACH,NUSEDVEH,USEDVEH
240449070,2449070,24,4,49,70,Saint-Cyrille-de-Wendover,73,"26,389,124",73,"18,003,613",72,"16,470,313",22,"1,533,300",72,"5,143,148",61,"3,242,363",33,"1,122,027",21,"229,580",5,"217,355",1,x,12,"47,999",3,x,1,x,12,"267,635",17,"154,694"
240449080,2449080,24,4,49,80,Notre-Dame-du-Bon-Conseil,39,"17,478,848",39,"12,066,020",39,"11,318,706",12,"747,314",39,"3,394,743",34,"2,018,085",23,"1,094,221",13,"525,955",4,"77,000",3,"97,000",6,x,0,0,1,x,12,"291,109",7,"40,400"
240449085,2449085,24,4,49,85,Sainte-Brigitte-des-Saults,54,"38,763,821",54,"26,849,282",54,"25,562,209",15,"1,287,073",52,"8,041,952",47,"3,872,587",37,"2,674,971",16,"472,147",6,"195,633",6,"648,000",18,"184,948",1,x,4,x,22,"823,685",18,"278,178"
240449090,2449090,24,4,49,90,Saint-Joachim-de-Courval,26,"11,332,007",26,"7,711,610",23,"6,868,110",9,"843,500",25,"2,310,150",17,"1,310,247",14,"1,044,283",9,"413,435",3,"30,800",1,x,8,"54,644",2,x,1,x,6,"301,497",4,"12,907"
240449095,2449095,24,4,49,95,Saint-Majorique-de-Grantham,27,"9,606,049",27,"6,550,238",27,"6,115,738",8,"434,500",26,"2,068,191",20,"987,620",13,"321,141",5,x,1,x,0,0,5,"21,400",0,0,0,0,6,"61,679",9,"139,300"
240449100,2449100,24,4,49,100,Saint-Edmond-de-Grantham,30,"17,638,749",30,"13,133,024",30,"12,094,824",7,"1,038,200",28,"2,383,389",22,"2,122,336",16,"1,272,151",10,"914,078",3,"61,618",0,0,5,"40,500",0,0,2,x,5,"119,605",5,x
240449105,2449105,24,4,49,105,Saint-Eugäne,53,"20,428,235",53,"14,358,409",51,"11,143,909",8,"3,214,500",52,"3,634,234",33,"2,435,592",16,"735,245",9,"331,960",2,x,0,0,5,"11,582",0,0,1,x,8,"108,004",7,"241,340"
240449113,2449113,24,4,49,113,Saint-Guillaume,67,"44,849,860",67,"32,312,167",66,"28,024,266",26,"4,287,901",66,"9,477,805",45,"3,059,888",38,"3,155,532",26,"991,253",6,"198,811",4,"704,284",13,"97,936",0,0,8,"163,188",17,"450,787",23,"549,273"
240449125,2449125,24,4,49,125,Saint-Bonaventure,55,"27,718,207",55,"19,280,247",53,"17,176,647",26,"2,103,600",53,"5,778,737",41,"2,659,223",33,"1,658,932",18,"800,743",3,"89,000",3,"184,000",16,x,0,0,2,x,13,"280,276",16,"201,306"
240449130,2449130,24,4,49,130,Saint-Pie-de-Guire,32,"16,965,838",32,"12,839,230",32,"11,883,730",10,"955,500",32,"2,701,811",23,"1,424,797",17,"724,570",8,"146,126",1,x,3,"141,226",9,"85,551",2,x,0,0,3,x,8,"243,450"
240450000,2450000,24,4,50,0,Nicolet-Yamaska,694,"394,071,441",694,"274,707,956",685,"254,081,129",196,"20,626,827",677,"78,666,466",523,"40,697,019",395,"20,243,564",190,"4,295,731",59,"2,719,854",36,"2,517,805",147,"1,105,890",20,"400,787",34,"701,432",175,"5,572,426",190,"2,929,639"
240450005,2450005,24,4,50,5,Sainte-Eulalie,29,"13,740,228",29,"9,490,185",28,"8,964,003",13,"526,182",29,"2,783,899",23,"1,466,144",18,"679,328",9,"186,347",2,x,2,x,4,"20,051",0,0,3,"91,045",7,"73,629",7,"46,626"
240450015,2450015,24,4,50,15,Saint-Raphaâl-Partie-Sud,23,"9,865,369",23,"6,416,166",23,"6,197,166",7,"219,000",22,"2,419,800",17,"1,029,403",15,"1,154,461",5,"66,180",6,"265,750",2,x,5,x,0,0,1,x,7,"502,500",10,"198,077"
240450023,2450023,24,4,50,23,Saint-Wenceslas,61,"26,508,898",61,"17,162,858",60,"15,590,068",22,"1,572,790",60,"4,074,749",52,"5,271,291",31,"1,956,104",17,"758,982",7,"637,342",2,x,7,x,0,0,3,"102,700",11,"118,105",19,"250,680"
240450035,2450035,24,4,50,35,Saint-CÇlestin,47,"23,381,006",47,"15,972,208",46,"14,621,193",20,"1,351,015",47,"5,125,314",36,"2,283,484",27,"785,870",15,"119,818",1,x,1,x,16,"113,437",5,"109,237",4,x,7,"227,398",13,"96,382"
240450042,2450042,24,4,50,42,Saint-LÇonard-d'Aston,43,"19,928,591",43,"13,459,554",42,"12,584,454",12,"875,100",43,"4,429,297",33,"2,039,740",21,"962,591",9,"99,292",2,x,5,"247,800",6,x,0,0,0,0,9,"250,150",12,"261,505"
240450050,2450050,24,4,50,50,Sainte-PerpÇtue,56,"35,220,015",56,"23,161,003",55,"21,931,403",17,"1,229,600",56,"7,715,407",51,"4,343,605",32,"1,859,142",18,"448,927",7,"208,700",2,x,10,"106,100",1,x,3,x,16,"695,965",12,"220,450"
240450060,2450060,24,4,50,60,Sainte-Monique,43,"32,376,417",43,"22,249,100",43,"21,186,890",10,"1,062,210",43,"6,615,449",39,"3,511,868",25,"1,494,622",11,"113,630",3,x,3,x,9,"143,916",1,x,5,"109,432",10,"391,781",14,"148,663"
240450065,2450065,24,4,50,65,Grand-Saint-Esprit,23,"17,953,795",23,"13,501,890",23,"12,186,890",9,"1,315,000",23,"3,245,194",16,"1,206,711",13,"409,025",8,"101,823",1,x,0,0,7,x,0,0,1,x,5,"199,724",4,"26,386"
240450075,2450075,24,4,50,75,Saint-Jean-Baptiste-de-Nicolet,39,"29,033,789",39,"19,464,997",39,"17,249,697",13,"2,215,300",38,"6,550,115",29,"3,018,677",23,"1,740,542",13,"234,217",5,"234,766",1,x,7,"29,980",1,x,2,x,8,"802,031",8,"356,218"
240450080,2450080,24,4,50,80,Nicolet-Sud,28,"22,960,932",28,"18,404,617",28,"16,616,617",9,"1,788,000",27,"3,322,742",16,"1,233,573",14,"460,433",7,"100,534",1,x,1,x,7,x,0,0,0,0,7,"232,356",8,"47,900"
240450085,2450085,24,4,50,85,La Visitation-de-Yamaska,38,"25,118,981",38,"17,663,840",38,"16,825,340",5,"838,500",35,"5,085,931",27,"2,369,210",24,"916,800",8,"74,318",4,"99,347",0,0,9,x,1,x,3,"65,278",15,"481,589",8,"125,300"
240450090,2450090,24,4,50,90,Saint-ZÇphirin-de-Courval,60,"36,981,798",60,"25,358,554",60,"24,219,359",9,"1,139,195",58,"7,752,429",51,"3,870,815",43,"2,039,014",19,"370,368",8,"206,939",3,"305,000",15,"128,329",3,x,2,x,21,"521,222",23,"427,256"
240450095,2450095,24,4,50,95,Saint-Elphäge,30,"20,476,000",30,"14,667,703",30,"13,852,359",7,"815,344",30,"4,109,310",23,"1,698,987",21,"1,310,169",11,"213,219",6,"171,668",2,x,11,"123,601",2,x,2,x,14,"271,814",11,"219,621"
240450100,2450100,24,4,50,100,Baie-du-Febvre,63,"41,102,150",63,"29,142,188",62,"26,464,225",15,"2,677,963",60,"7,790,362",54,"4,169,600",41,"2,766,838",19,"820,474",4,"89,976",8,"871,855",18,"106,826",3,"41,500",4,"50,000",20,"442,071",19,"344,136"
240450130,2450130,24,4,50,130,Saint-Franáois-du-Lac,111,"39,423,472",111,"28,593,093",108,"25,591,465",28,"3,001,628",106,"7,646,468",56,"3,183,911",47,"1,708,625",21,"587,602",2,x,4,"253,000",16,x,3,"86,150",1,x,18,"362,091",22,"160,439"
240451000,2451000,24,4,51,0,MaskinongÇ,526,"241,147,791",526,"161,360,210",522,"148,575,749",150,"12,784,461",514,"46,410,999",424,"33,376,582",282,"13,621,783",151,"4,663,880",57,"1,652,050",24,"1,439,640",118,"861,357",19,"252,775",22,"373,886",99,"3,320,179",111,"1,058,016"
240451010,2451010,24,4,51,10,Saint-Joseph-de-MaskinongÇ,51,"22,005,547",51,"14,757,874",50,"14,083,424",15,"674,450",50,"4,648,041",35,"2,599,632",24,"957,420",12,"209,251",3,x,3,x,10,"36,523",0,0,4,"109,630",9,"188,541",10,"54,675"
240451015,2451015,24,4,51,15,Louiseville,61,"32,925,879",61,"22,681,076",61,"20,826,476",18,"1,854,600",59,"5,660,227",47,"4,584,576",26,"1,158,718",10,"305,902",6,x,1,x,11,"96,165",1,x,1,x,13,"210,933",6,"56,200"
240451020,2451020,24,4,51,20,Yamachiche,82,"40,633,163",82,"28,274,876",81,"25,470,175",29,"2,804,701",79,"7,009,275",68,"5,349,012",51,"1,690,411",27,"343,912",3,x,1,x,20,"160,896",0,0,6,"108,810",19,"801,769",24,"236,774"
240451025,2451025,24,4,51,25,Saint-BarnabÇ,43,"19,720,520",43,"12,442,425",43,"11,518,925",13,"923,500",43,"3,930,398",40,"3,347,697",20,"1,422,049",14,"533,661",5,x,1,x,7,"80,977",0,0,1,x,7,"256,115",5,"32,195"
240451030,2451030,24,4,51,30,Saint-SÇväre,36,"16,014,944",36,"10,828,782",36,"10,238,482",7,"590,300",35,"3,049,454",33,"2,136,708",22,"1,000,665",11,"310,293",6,x,0,0,7,"26,317",2,x,1,x,5,"138,950",12,"264,557"
240451035,2451035,24,4,51,35,Saint-LÇon-le-Grand,73,"38,961,648",73,"25,221,591",73,"23,685,731",18,"1,535,860",73,"8,786,602",63,"4,953,455",47,"3,713,582",26,"1,837,412",8,"328,475",2,x,25,"246,162",8,"119,050",3,x,16,"941,500",22,"171,851"
240451040,2451040,24,4,51,40,Sainte-Ursule,52,"23,998,559",52,"16,163,481",52,"15,494,981",14,"668,500",52,"4,282,357",44,"3,552,721",31,"1,817,016",21,"569,998",14,"435,286",5,x,15,"99,664",3,x,3,x,11,"342,924",11,"88,843"
240451045,2451045,24,4,51,45,Saint-Justin,43,"19,563,808",43,"13,079,941",42,"11,153,391",17,"1,926,550",43,"3,785,147",33,"2,698,720",20,"834,352",12,"330,537",4,x,5,"170,500",10,"52,270",2,x,0,0,7,"165,640",7,"31,700"
240451055,2451055,24,4,51,55,Sainte-Angäle-de-PrÇmont,27,"6,697,501",27,"4,523,167",27,"3,608,667",6,"914,500",25,"1,122,608",18,"1,051,726",12,"180,438",4,x,2,x,3,"37,500",3,"10,717",0,0,1,x,4,"43,000",3,"4,900"
240451060,2451060,24,4,51,60,Saint-Paulin,58,"20,626,222",58,"13,386,997",57,"12,495,497",13,"891,500",55,"4,136,890",43,"3,102,335",29,"847,132",14,x,6,"109,305",3,x,10,"51,666",3,"27,730",2,x,8,"230,807",11,"116,321"
240490000,2490000,24,4,90,0,Le Haut-Saint-Maurice,21,"5,311,442",21,"3,361,201",21,x,4,x,21,"1,485,850",15,"464,391",8,"220,011",7,"45,426",0,0,0,0,2,x,0,0,2,x,5,"67,865",3,x
240490020,2490020,24,4,90,20,Langelier,21,"5,311,442",21,"3,361,201",21,x,4,x,21,"1,485,850",15,"464,391",8,"220,011",7,"45,426",0,0,0,0,2,x,0,0,2,x,5,"67,865",3,x
240500000,2400000,24,5,0,0,Estrie,"3,143","1,145,263,241","3,143","776,710,372","3,077","719,385,023",703,"57,325,349","3,053","215,458,608","2,254","153,094,261","1,558","67,912,689",834,"19,604,177",217,"10,911,763",97,"7,433,620",474,"2,525,686",90,"1,177,615",162,"2,980,932",727,"15,945,588",656,"7,333,308"
240530000,2430000,24,5,30,0,Le Granit,594,"166,380,863",594,"115,145,494",584,"101,657,706",109,"13,487,788",575,"34,304,913",293,"16,930,456",300,"9,859,524",138,"1,800,493",39,"1,045,772",28,"985,652",95,"549,067",16,"223,968",38,"761,869",158,"3,589,935",109,"902,768"
240530005,2430005,24,5,30,5,Saint-Augustin-de-Woburn,24,"7,699,833",24,"5,256,512",23,x,2,x,24,"1,687,199",13,"756,122",12,"370,502",8,"131,773",1,x,1,x,3,"15,254",1,x,1,x,6,x,5,"104,401"
240530020,2430020,24,5,30,20,Piopolis,36,"7,916,598",36,"5,494,961",34,"5,105,661",8,"389,300",34,"1,902,131",14,"519,506",14,"1,139,652",8,"168,948",1,x,0,0,4,"6,463",0,0,3,x,6,x,7,x
240530025,2430025,24,5,30,25,Frontenac,28,"9,884,282",28,"8,476,482",26,"8,254,382",6,"222,100",28,"1,050,722",12,"357,078",10,"165,696",5,"48,394",1,x,1,x,2,x,0,0,1,x,4,x,5,"53,583"
240530045,2430045,24,5,30,45,Nantes,35,"6,574,746",35,"4,494,600",35,"4,182,600",5,"312,000",35,"1,472,250",13,"607,896",16,"292,380",8,"49,803",2,x,3,x,3,"4,818",1,x,2,x,7,"54,449",6,"13,035"
240530050,2430050,24,5,30,50,Sainte-CÇcile-de-Whitton,29,"8,267,538",29,"5,441,442",29,"5,229,442",4,"212,000",28,"1,783,111",14,"1,042,985",12,"367,737",6,"85,022",2,x,1,x,4,"15,454",0,0,2,x,7,"135,227",3,x
240530055,2430055,24,5,30,55,Audet,45,"11,351,673",45,"7,851,415",44,"7,725,415",6,"126,000",45,"2,584,465",20,"915,793",23,"618,949",9,"83,999",1,x,1,x,7,"18,262",2,x,3,x,13,"273,668",11,"128,220"
240530070,2430070,24,5,30,70,Saint-Robert-Bellarmin,58,"22,885,944",58,"16,682,077",56,"8,686,077",13,"7,996,000",57,"4,709,810",30,"1,494,057",28,"1,484,568",11,"132,887",4,"159,860",5,"199,919",13,x,1,x,5,"123,600",15,"548,522",6,"55,150"
240530075,2430075,24,5,30,75,Gayhurst-Partie-Sud-Est,23,"8,337,734",23,"4,612,439",23,"4,243,839",5,"368,600",22,"2,197,072",19,"1,528,223",13,"730,018",10,"201,894",3,"94,997",1,x,6,"51,308",3,x,1,x,11,"202,519",4,x
240530080,2430080,24,5,30,80,Lac-Drolet,46,"11,500,250",46,"7,811,856",44,"7,432,656",12,"379,200",44,"2,355,348",23,"1,333,046",26,"986,879",13,"224,676",5,"111,640",5,"145,000",7,x,1,x,3,"74,000",17,"348,160",8,"41,576"
240530085,2430085,24,5,30,85,Saint-SÇbastien,54,"12,624,054",54,"8,822,356",54,"8,371,918",10,"450,438",52,"2,638,068",21,"1,163,630",28,"599,587",9,"71,338",4,"73,773",2,x,10,"48,953",2,x,5,"70,784",13,"152,844",16,"120,241"
240530090,2430090,24,5,30,90,Courcelles,41,"9,760,553",41,"6,432,709",41,"5,593,809",10,"838,900",39,"1,926,450",25,"1,401,394",22,"405,979",10,"48,124",3,"95,824",1,x,7,"10,846",0,0,2,x,11,"167,910",7,"46,167"
240530095,2430095,24,5,30,95,Lambton,71,"19,162,840",71,"11,728,917",71,"11,467,717",9,"261,200",68,"4,575,755",45,"2,858,168",48,"1,319,172",24,"190,218",7,"176,467",1,x,16,"76,414",3,x,7,"165,950",23,"416,976",19,"115,781"
240530100,2430100,24,5,30,100,Saint-Romain,32,"8,084,989",32,"5,590,186",32,"5,198,186",10,"392,000",29,"1,486,526",14,"1,008,277",21,"509,043",7,"78,767",3,"117,175",1,x,5,"7,803",1,x,0,0,11,"148,822",5,x
240530105,2430105,24,5,30,105,Stornoway,41,"10,472,175",41,"8,063,392",41,"7,202,342",7,"861,050",41,"1,875,706",11,"533,077",14,"415,347",4,"28,704",1,x,3,"150,500",3,"2,984",1,x,2,x,8,"130,509",3,"20,400"
240530110,2430110,24,5,30,110,Stratford,31,"11,857,655",31,"8,386,150",31,x,2,x,29,"2,060,300",19,"1,411,205",13,"454,015",6,"255,946",1,x,2,x,5,x,0,0,1,x,6,"51,941",4,"26,235"
240540000,2440000,24,5,40,0,Asbestos,298,"106,782,553",298,"67,824,068",291,"62,467,308",84,"5,356,760",293,"22,371,551",245,"16,586,934",157,"6,648,136",83,"2,263,735",23,"764,139",7,"231,400",53,"494,291",8,"107,168",16,"234,440",77,"1,764,771",67,"788,192"
240540005,2440005,24,5,40,5,Saint-Joseph-de-Ham-Sud,21,"4,571,817",21,"2,810,088",19,x,3,x,21,"1,134,049",14,"627,680",13,"334,885",8,x,2,x,1,x,6,x,1,x,1,x,6,"86,427",6,x
240540010,2440010,24,5,40,10,Saint-Adrien,29,"8,099,286",29,"5,439,980",28,x,7,x,28,"1,595,900",17,"1,063,406",9,"155,074",2,x,0,0,1,x,1,x,1,x,0,0,7,"67,674",2,x
240540017,2440017,24,5,40,17,Wotton,78,"32,014,325",78,"19,231,908",77,"17,988,308",27,"1,243,600",78,"7,422,380",68,"5,360,037",49,"3,046,380",28,"1,050,071",11,"366,879",2,x,23,"299,087",2,x,3,"48,668",25,"790,583",24,"403,592"
240540025,2440025,24,5,40,25,Saint-Camille,38,"12,903,546",38,"8,295,601",37,"7,854,201",13,"441,400",37,"2,452,934",33,"2,155,011",20,"667,292",11,"124,295",4,"216,235",0,0,8,"55,376",1,x,2,x,9,"133,661",12,"82,725"
240540032,2440032,24,5,40,32,Saint-Georges-de-Windsor,55,"20,961,240",55,"13,221,301",54,"11,358,946",15,"1,862,355",53,"4,019,114",45,"3,720,825",27,"1,529,124",16,"798,783",3,"77,092",3,x,8,"61,041",1,x,2,x,12,"355,395",10,"92,550"
240540050,2440050,24,5,40,50,Shipton,77,"28,232,338",77,"18,825,190",76,"17,616,285",19,"1,208,905",76,"5,747,174",68,"3,659,974",39,"915,381",18,"187,547",3,x,0,0,7,"46,060",2,x,8,"143,142",18,"331,031",13,"152,129"
240541000,2441000,24,5,41,0,Le Haut-Saint-Franáois,624,"218,175,306",624,"148,541,919",614,"140,470,279",154,"8,071,640",611,"41,096,950",479,"28,536,437",311,"10,972,124",175,"2,911,638",27,"1,148,391",16,"1,810,777",95,"313,887",21,"193,313",34,"632,700",133,"2,746,585",136,"1,214,833"
240541005,2441005,24,5,41,5,Saint-Malo,25,"10,427,863",25,"6,602,513",24,"6,318,013",5,"284,500",25,"2,112,658",20,"1,712,692",17,"986,264",9,x,1,x,2,x,10,"46,757",1,x,2,x,10,"227,568",7,"74,486"
240541010,2441010,24,5,41,10,Clifton-Partie-Est,35,"17,720,926",35,"12,479,400",35,"11,818,900",7,"660,500",35,"3,018,805",33,"2,222,721",21,"511,466",6,"114,438",3,"57,050",1,x,5,x,1,x,3,"54,300",11,"209,716",11,"34,608"
240541015,2441015,24,5,41,15,Saint-Isidore-d'Auckland,37,"10,859,598",37,"7,397,000",37,"6,900,500",5,"496,500",37,"1,757,550",30,"1,705,048",15,"227,727",7,"66,256",1,x,0,0,9,x,0,0,1,x,5,"48,523",6,"29,150"
240541030,2441030,24,5,41,30,Ditton,42,"14,696,388",42,"9,994,093",41,"9,567,393",12,"426,700",42,"2,497,101",28,"2,205,194",20,"756,895",14,"255,909",1,x,2,x,9,"30,365",4,"31,294",3,"8,284",9,"132,150",7,"40,761"
240541035,2441035,24,5,41,35,Newport,45,"19,223,168",45,"12,717,971",44,"11,466,171",16,"1,251,800",44,"3,500,192",36,"3,005,005",22,"800,578",13,"196,163",1,x,0,0,5,"18,378",2,x,4,"61,000",8,"369,862",9,"121,175"
240541050,2441050,24,5,41,50,Eaton,173,"74,369,087",173,"51,702,608",171,"49,896,933",43,"1,805,675",170,"14,421,057",139,"8,245,422",89,"4,922,417",51,"1,206,660",11,"598,359",6,"1,187,500",23,"101,637",4,"77,000",10,"298,352",42,"999,233",44,"453,676"
240541055,2441055,24,5,41,55,Ascot Corner,31,"8,466,207",31,"5,848,440",31,"5,517,340",7,"331,100",30,"1,619,950",20,"997,817",13,"238,156",8,"19,439",0,0,0,0,5,x,2,x,0,0,4,"58,264",6,"125,160"
240541065,2441065,24,5,41,65,Westbury,34,"10,199,123",34,"6,918,936",33,"6,212,136",10,"706,800",33,"1,781,647",29,"1,498,540",19,"628,953",13,x,0,0,3,x,4,"6,939",0,0,1,x,5,"239,350",7,"39,750"
240541070,2441070,24,5,41,70,Bury,54,"15,612,651",54,"10,858,200",53,"10,025,800",15,"832,400",54,"2,849,247",42,"1,905,204",23,"620,359",15,"123,193",2,x,0,0,1,x,0,0,4,x,8,"133,685",9,"123,950"
240541085,2441085,24,5,41,85,Lingwick,42,"8,780,147",42,"5,973,807",41,"5,667,542",12,"306,265",39,"1,645,512",27,"1,160,828",17,"353,158",13,"108,903",1,x,1,x,6,x,2,x,0,0,8,"67,725",8,"31,586"
240541105,2441105,24,5,41,105,Weedon,53,"16,199,142",53,"10,433,546",52,"9,993,546",10,"440,000",51,"3,682,740",33,"2,082,856",33,"722,142",15,"150,071",5,"192,100",1,x,12,"34,264",2,x,6,"83,700",15,"185,132",12,"71,150"
240541117,2441117,24,5,41,117,Dudswell,53,"11,621,006",53,"7,615,405",52,"7,086,005",12,"529,400",51,"2,210,491",42,"1,795,110",22,"204,009",11,"36,272",1,x,0,0,6,"6,644",3,x,0,0,8,"75,377",10,"69,381"
240542000,2442000,24,5,42,0,Le Val-Saint-Franáois,576,"188,508,777",576,"120,660,843",563,"112,737,243",116,"7,923,600",552,"35,891,849",468,"31,956,085",274,"10,466,885",155,"3,222,684",36,"2,054,679",16,"962,319",70,"295,137",17,"187,412",24,"371,943",113,"1,848,428",127,"1,524,283"
240542005,2442005,24,5,42,5,Stoke,45,"19,339,495",45,"11,417,292",45,"10,518,292",8,"899,000",44,"4,329,418",40,"3,592,785",21,"1,323,415",15,"214,444",4,"849,303",1,x,6,"12,326",2,x,5,x,5,"30,950",10,"57,007"
240542015,2442015,24,5,42,15,Brompton,58,"20,257,770",58,"12,773,038",56,"12,063,438",14,"709,600",58,"4,033,637",53,"3,451,095",30,"1,068,366",20,"323,948",6,"252,665",1,x,7,"14,839",1,x,2,x,13,"198,895",16,"175,007"
240542020,2442020,24,5,42,20,Saint-Franáois-Xavier-de-Brompton,51,"14,517,765",51,"9,013,675",50,"8,226,775",10,"786,900",49,"2,975,857",37,"2,528,233",21,"1,218,654",13,"116,316",3,x,2,x,7,"96,660",0,0,0,0,7,"240,127",12,"211,578"
240542032,2442032,24,5,42,32,Racine,39,"11,151,207",39,"7,537,309",38,"7,018,909",7,"518,400",38,"2,049,810",25,"1,564,088",20,"766,704",11,"222,751",0,0,1,x,9,x,0,0,2,x,9,"146,254",9,"231,440"
240542040,2442040,24,5,42,40,Bonsecours,30,"7,321,042",30,"5,221,274",30,x,3,x,24,"944,151",16,"1,155,617",10,"636,660",6,x,2,x,0,0,2,x,0,0,0,0,4,x,7,"71,817"
240542050,2442050,24,5,42,50,Sainte-Anne-de-la-Rochelle,52,"18,703,543",52,"12,888,768",50,"12,162,968",11,"725,800",50,"2,946,400",42,"2,868,375",24,"770,066",10,"383,017",3,"38,100",1,x,3,"4,956",2,x,1,x,9,"166,541",10,"122,600"
240542060,2442060,24,5,42,60,Valcourt,40,"13,255,902",40,"8,359,397",38,"8,014,397",5,"345,000",36,"2,651,926",30,"2,244,579",18,"394,083",12,"124,449",2,x,0,0,5,"6,532",2,x,1,x,10,"117,780",7,"57,506"
240542065,2442065,24,5,42,65,Maricourt,36,"7,873,764",36,"5,300,571",36,x,6,x,35,"1,423,279",23,"1,149,914",13,"446,446",8,x,1,x,1,x,5,"11,000",0,0,0,0,3,x,6,"49,100"
240542075,2442075,24,5,42,75,Melbourne,64,"19,251,130",64,"12,006,373",62,"10,874,973",15,"1,131,400",61,"3,875,184",57,"3,369,573",35,"901,405",18,"92,486",4,"102,660",3,x,8,"19,713",3,x,4,"68,500",14,"165,706",18,"223,004"
240542095,2442095,24,5,42,95,Val-Joli,64,"20,578,766",64,"12,709,182",63,"12,140,382",9,"568,800",63,"3,892,010",57,"3,977,574",30,"1,206,225",17,"674,292",4,"71,578",1,x,5,x,3,"37,966",3,"45,318",14,"263,471",14,"86,478"
240542100,2442100,24,5,42,100,Saint-Claude,46,"18,274,356",46,"12,042,200",45,"11,482,700",10,"559,500",44,"3,280,658",41,"2,951,498",24,"1,055,020",13,"350,255",3,"116,321",3,x,6,"16,592",2,x,3,"42,500",13,"247,561",9,"99,045"
240542110,2442110,24,5,42,110,Cleveland,51,"17,984,035",51,"11,391,764",50,"9,968,864",18,"1,422,900",50,"3,489,519",47,"3,102,752",28,"679,841",12,"108,756",4,"44,960",2,x,7,"60,019",2,x,3,"48,000",12,"193,605",9,"139,701"
240543000,2443000,24,5,43,0,Sherbrooke,131,"45,839,983",131,"34,115,006",127,"30,983,740",33,"3,131,266",125,"6,987,415",83,"4,737,562",54,"2,108,476",27,"501,106",5,"412,230",5,"416,500",16,"62,123",4,"60,517",4,"114,000",22,"278,057",21,"263,943"
240543015,2443015,24,5,43,15,Ascot,49,"21,285,078",49,"14,691,300",49,"13,565,400",14,"1,125,900",48,"3,942,188",35,"2,651,590",22,"1,379,422",10,"223,783",4,x,3,x,6,"13,480",0,0,2,x,7,"136,667",13,"221,762"
240543025,2443025,24,5,43,25,Sherbrooke,27,"6,726,946",27,"5,371,446",24,"4,847,700",8,"523,746",24,"835,082",13,"520,418",5,"109,208",0,0,1,x,0,0,1,x,1,x,1,x,2,x,2,x
240543030,2443030,24,5,43,30,Rock Forest,24,"7,738,994",24,"5,800,620",24,"5,599,000",6,"201,620",23,"1,183,195",15,"755,179",12,"285,759",9,"101,042",0,0,1,x,5,x,3,x,0,0,4,x,1,x
240543040,2443040,24,5,43,40,Saint-êlie-d'Orford,31,"10,088,964",31,"8,251,640",30,"6,971,640",5,"1,280,000",30,"1,026,950",20,"810,374",15,"334,087",8,"176,281",0,0,1,x,4,x,0,0,1,x,9,"68,490",5,"23,756"
240544000,2444000,24,5,44,0,Coaticook,572,"297,774,721",572,"199,218,122",561,"187,228,922",132,"11,989,200",561,"55,686,061",448,"42,870,538",317,"23,068,582",177,"7,463,629",79,"5,107,675",19,"2,369,772",107,"647,011",14,"260,682",33,"581,883",172,"4,668,772",130,"1,969,158"
240544010,2444010,24,5,44,10,East Hereford,26,"9,259,235",26,"6,137,556",25,"5,830,456",6,"307,100",26,"1,845,489",14,"1,276,190",15,"977,055",8,x,2,x,1,x,5,"34,227",0,0,0,0,7,"163,591",5,"100,800"
240544015,2444015,24,5,44,15,Saint-HermÇnÇgilde,36,"17,660,149",36,"12,337,274",34,"12,107,074",9,"230,200",35,"2,978,858",26,"2,344,017",21,"1,843,804",12,"684,194",7,"417,836",3,"337,500",10,"117,107",0,0,0,0,12,"165,967",10,"121,200"
240544023,2444023,24,5,44,23,Dixville,34,"14,571,060",34,"9,400,313",34,"9,250,713",5,"149,600",32,"3,091,243",25,"2,079,504",16,"1,193,547",8,x,6,"573,123",1,x,3,"6,980",0,0,2,x,10,"183,460",7,"153,004"
240544030,2444030,24,5,44,30,Barford,25,"11,783,660",25,"8,053,613",25,"7,359,113",7,"694,500",25,"1,821,849",23,"1,908,198",11,"332,822",3,x,2,x,0,0,5,"5,598",1,x,3,x,6,"77,251",7,"59,898"
240544040,2444040,24,5,44,40,Barnston,105,"59,511,506",105,"37,695,058",102,"35,954,958",21,"1,740,100",103,"12,641,472",91,"9,174,976",57,"4,155,997",33,"725,566",19,"1,286,811",2,x,18,"82,199",3,x,10,"169,700",33,"877,895",25,"563,826"
240544045,2444045,24,5,44,45,Barnston-Ouest,47,"19,479,240",47,"11,872,290",47,"10,812,490",14,"1,059,800",47,"4,745,546",33,"2,861,404",26,"1,383,356",12,"425,234",5,"103,005",0,0,12,x,2,x,3,"50,500",16,"568,935",7,"155,410"
240544050,2444050,24,5,44,50,Stanstead-Est,64,"30,422,311",64,"19,393,442",62,"17,305,542",20,"2,087,900",63,"6,056,762",51,"4,972,107",34,"1,843,428",15,"686,844",6,"250,760",1,x,8,x,1,x,3,"63,500",18,"562,955",14,"197,500"
