AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NXMSAREA,XMSAREA,EXMSAREA,NXMASTRE,XMASTRE,NMAPLET,MAPLET,NVFTPROD,VFTPROD
130414021,1314021,13,4,14,21,Saint-Quentin,48,3,16,6,1,x,26,"501,578",23,"463,449"
130415000,1315000,13,4,15,0,Gloucester County,173,22,529,214,18,"20,142",10,"33,650",30,"221,769"
130415001,1315001,13,4,15,1,Saumarez,44,2,x,x,2,x,2,x,7,"97,227"
130415008,1315008,13,4,15,8,Bathurst,44,7,131,53,5,"2,265",3,"22,900",6,"29,785"
130415016,1315016,13,4,15,16,New Bandon,21,2,x,x,1,x,1,x,5,"20,608"
130415021,1315021,13,4,15,21,Saint-Isidore,30,8,284,115,8,"16,162",3,"6,200",8,"53,964"
130415026,1315026,13,4,15,26,Caraquet,34,3,31,13,2,x,1,x,4,"20,185"
240000000,2400000,24,0,0,0,Quebec - QuÇbec,"35,991",562,"30,497","12,342",373,"1,028,229","6,997","20,675,901","8,816","69,648,059"
240100000,2400000,24,1,0,0,Bas-Saint-Laurent,"2,482",13,513,208,10,"11,798",415,"2,426,308",951,"7,697,299"
240107000,2407000,24,1,7,0,La MatapÇdia,259,2,x,x,1,x,17,"28,950",122,"1,240,342"
240107020,2407020,24,1,7,20,Saint-Jacques-le-Majeur-de-Causapscal,19,0,0,0,0,0,0,0,8,"163,820"
240107025,2407025,24,1,7,25,Saint-Raphaâl-d'Albertville,17,0,0,0,0,0,1,x,10,"112,826"
240107030,2407030,24,1,7,30,Saint-LÇon-le-Grand,25,0,0,0,0,0,2,x,13,"109,863"
240107040,2407040,24,1,7,40,Sainte-Iräne,44,1,x,x,1,x,2,x,28,"201,689"
240107047,2407047,24,1,7,47,Amqui,45,1,x,x,0,0,2,x,12,"83,819"
240107055,2407055,24,1,7,55,Saint-Edmond,19,0,0,0,0,0,0,0,7,"162,326"
240107070,2407070,24,1,7,70,Saint-Tharcisius,21,0,0,0,0,0,2,x,15,"168,987"
240107080,2407080,24,1,7,80,Val-Brillant,30,0,0,0,0,0,2,x,11,"33,407"
240107085,2407085,24,1,7,85,Sayabec,18,0,0,0,0,0,2,x,8,"124,812"
240107105,2407105,24,1,7,105,Saint-Damase,21,0,0,0,0,0,4,"4,800",10,"78,793"
240108000,2408000,24,1,8,0,Matane,171,0,0,0,0,0,19,"31,175",57,"357,663"
240108025,2408025,24,1,8,25,Sainte-FÇlicitÇ,17,0,0,0,0,0,0,0,4,"13,569"
240108045,2408045,24,1,8,45,Saint-Luc,45,0,0,0,0,0,5,"9,350",8,"64,639"
240108050,2408050,24,1,8,50,Petit-Matane,32,0,0,0,0,0,7,"8,025",9,"51,616"
240108065,2408065,24,1,8,65,Saint-LÇandre,18,0,0,0,0,0,5,x,8,"72,895"
240108075,2408075,24,1,8,75,Saint-Ulric-de-Matane,33,0,0,0,0,0,1,x,16,"89,626"
240108080,2408080,24,1,8,80,Baie-des-Sables,26,0,0,0,0,0,1,x,12,"65,318"
240109000,2409000,24,1,9,0,La Mitis,321,0,0,0,0,0,14,"26,250",110,"768,217"
240109010,2409010,24,1,9,10,Saint-Charles-Garnier,22,0,0,0,0,0,4,"11,200",13,"96,478"
240109015,2409015,24,1,9,15,Les Hauteurs,36,0,0,0,0,0,1,x,16,"253,155"
240109020,2409020,24,1,9,20,Sainte-Jeanne-d'Arc,20,0,0,0,0,0,0,0,13,"101,933"
240109025,2409025,24,1,9,25,Saint-Gabriel,36,0,0,0,0,0,5,"8,400",12,"57,156"
240109030,2409030,24,1,9,30,Saint-Donat,27,0,0,0,0,0,3,x,13,"55,365"
240109035,2409035,24,1,9,35,Sainte-Angäle-de-MÇrici,35,0,0,0,0,0,1,x,13,"117,126"
240109055,2409055,24,1,9,55,Saint-Octave-de-MÇtis,51,0,0,0,0,0,0,0,15,"51,296"
240109085,2409085,24,1,9,85,Sainte-Flavie,52,0,0,0,0,0,0,0,10,"27,919"
240109095,2409095,24,1,9,95,Sainte-Luce,42,0,0,0,0,0,0,0,5,"7,789"
240110000,2410000,24,1,10,0,Rimouski-Neigette,296,1,x,x,1,x,49,"210,615",122,"649,074"
240110015,2410015,24,1,10,15,Saint-Narcisse-de-Rimouski,35,1,x,x,1,x,12,"110,100",20,"162,067"
240110025,2410025,24,1,10,25,Saint-Marcellin,21,0,0,0,0,0,9,"54,638",13,"97,747"
240110030,2410030,24,1,10,30,Saint-Anaclet-de-Lessard,35,0,0,0,0,0,1,x,12,"73,520"
240110045,2410045,24,1,10,45,Rimouski,37,0,0,0,0,0,4,"6,420",11,"59,382"
240110050,2410050,24,1,10,50,Sainte-Odile-sur-Rimouski,19,0,0,0,0,0,1,x,5,"14,491"
240110055,2410055,24,1,10,55,Sainte-Blandine,17,0,0,0,0,0,0,0,9,"31,307"
240110060,2410060,24,1,10,60,Saint-ValÇrien,26,0,0,0,0,0,3,x,13,"50,201"
240110065,2410065,24,1,10,65,Le Bic,42,0,0,0,0,0,0,0,9,"34,846"
240110070,2410070,24,1,10,70,Saint-Fabien,40,0,0,0,0,0,6,"6,257",11,"49,282"
240110075,2410075,24,1,10,75,Saint-Eugäne-de-Ladriäre,24,0,0,0,0,0,13,"27,850",19,"76,231"
240111000,2411000,24,1,11,0,Les Basques,240,1,x,x,1,x,59,"278,744",111,"1,024,194"
240111005,2411005,24,1,11,5,Saint-ClÇment,29,0,0,0,0,0,4,"15,300",17,"143,621"
240111010,2411010,24,1,11,10,Saint-Jean-de-Dieu,50,1,x,x,1,x,7,"18,650",29,"239,556"
240111015,2411015,24,1,11,15,Sainte-Rita,28,0,0,0,0,0,24,"177,994",18,"296,259"
240111030,2411030,24,1,11,30,Sainte-Franáoise,22,0,0,0,0,0,12,"36,100",13,"160,464"
240111035,2411035,24,1,11,35,Saint-êloi,27,0,0,0,0,0,1,x,6,"74,892"
240111045,2411045,24,1,11,45,Notre-Dame-des-Neiges-des-Trois-Pistoles,47,0,0,0,0,0,2,x,11,"57,928"
240111050,2411050,24,1,11,50,Saint-Mathieu-de-Rioux,17,0,0,0,0,0,5,"14,550",10,"27,791"
240111055,2411055,24,1,11,55,Saint-Simon,20,0,0,0,0,0,4,"8,100",7,"23,683"
240112000,2412000,24,1,12,0,Riviäre-du-Loup,310,2,x,x,2,x,29,"120,910",85,"636,007"
240112005,2412005,24,1,12,5,Saint-Cyprien,26,0,0,0,0,0,14,"84,255",18,"233,261"
240112010,2412010,24,1,12,10,Saint-Hubert,26,0,0,0,0,0,5,"13,480",15,"120,506"
240112015,2412015,24,1,12,15,Saint-Antonin,39,1,x,x,1,x,3,"11,250",7,"47,091"
240112030,2412030,24,1,12,30,Saint-êpiphane,26,0,0,0,0,0,0,0,3,x
240112035,2412035,24,1,12,35,Saint-Paul-de-la-Croix,18,0,0,0,0,0,1,x,13,"116,316"
240112050,2412050,24,1,12,50,Saint-Jean-Baptiste-de-l'Isle-Verte,55,0,0,0,0,0,2,x,13,"24,277"
240112060,2412060,24,1,12,60,Saint-Georges-de-Cacouna,27,0,0,0,0,0,0,0,3,"21,626"
240112065,2412065,24,1,12,65,Saint-Arsäne,58,0,0,0,0,0,3,"5,925",10,"42,706"
240112075,2412075,24,1,12,75,Saint-Patrice-de-la-Riviäre-du-Loup,35,1,x,x,1,x,1,x,3,x
240113000,2413000,24,1,13,0,TÇmiscouata,367,4,48,19,4,810,170,"1,593,997",181,"2,274,369"
240113005,2413005,24,1,13,5,DÇgelis,25,0,0,0,0,0,9,"28,500",15,"98,914"
240113015,2413015,24,1,13,15,Packington,35,2,x,x,2,x,8,"35,700",22,"258,061"
240113030,2413030,24,1,13,30,Saint-Eusäbe,33,1,x,x,1,x,7,"17,250",17,"175,606"
240113035,2413035,24,1,13,35,Notre-Dame-du-Lac,29,1,x,x,1,x,4,"5,700",15,"115,017"
240113040,2413040,24,1,13,40,Saint-Juste-du-Lac,27,0,0,0,0,0,14,"144,500",12,"275,886"
240113045,2413045,24,1,13,45,Auclair,29,0,0,0,0,0,28,"332,800",12,"222,485"
240113050,2413050,24,1,13,50,Lejeune,26,0,0,0,0,0,18,"224,300",7,"107,905"
240113055,2413055,24,1,13,55,Biencourt,32,0,0,0,0,0,14,"122,803",18,"254,572"
240113065,2413065,24,1,13,65,Saint-Michel-du-Squatec,38,0,0,0,0,0,16,"77,300",21,"226,951"
240113080,2413080,24,1,13,80,Saint-Louis-du-Ha! Ha!,18,0,0,0,0,0,0,0,7,"61,180"
240113095,2413095,24,1,13,95,PohÇnÇgamook,52,0,0,0,0,0,30,"242,215",27,"267,269"
240113100,2413100,24,1,13,100,Saint-Athanase,23,0,0,0,0,0,22,"362,929",8,"210,523"
240114000,2414000,24,1,14,0,Kamouraska,518,3,115,47,1,x,58,"135,667",163,"747,433"
240114005,2414005,24,1,14,5,Mont-Carmel,35,0,0,0,0,0,9,"19,950",20,"86,349"
240114020,2414020,24,1,14,20,Saint-Pascal,57,0,0,0,0,0,2,x,12,"43,761"
240114025,2414025,24,1,14,25,Sainte-HÇläne,45,1,x,x,1,x,5,"2,725",20,"120,768"
240114030,2414030,24,1,14,30,Saint-Joseph-de-Kamouraska,18,1,x,x,0,0,2,x,10,"21,293"
240114035,2414035,24,1,14,35,Saint-Alexandre,56,1,x,x,0,0,3,"5,100",21,"82,827"
240114040,2414040,24,1,14,40,Saint-AndrÇ,34,0,0,0,0,0,2,x,10,"28,451"
240114050,2414050,24,1,14,50,Kamouraska,41,0,0,0,0,0,2,x,4,x
240114055,2414055,24,1,14,55,Saint-Denis,30,0,0,0,0,0,0,0,2,x
240114060,2414060,24,1,14,60,Saint-Philippe-de-NÇri,46,0,0,0,0,0,3,"3,532",14,"40,208"
240114065,2414065,24,1,14,65,Riviäre-Ouelle,38,0,0,0,0,0,1,x,4,"20,072"
240114075,2414075,24,1,14,75,Saint-Gabriel-Lalemant,29,0,0,0,0,0,4,"13,900",13,"47,656"
240114080,2414080,24,1,14,80,Saint-OnÇsime-d'Ixworth,24,0,0,0,0,0,5,"8,600",15,"72,787"
240114090,2414090,24,1,14,90,Sainte-Anne-de-la-Pocatiäre,65,0,0,0,0,0,20,"63,515",18,"167,888"
240200000,2400000,24,2,0,0,Saguenay--Lac-Saint-Jean--Cìte-Nord,"1,358",5,220,89,4,"1,086",23,"19,450",244,"1,932,870"
240291000,2491000,24,2,91,0,Le Domaine-du-Roy,221,1,x,x,0,0,4,x,42,x
240291010,2491010,24,2,91,10,Saint-AndrÇ-du-Lac-Saint-Jean,26,0,0,0,0,0,1,x,15,"171,051"
240291020,2491020,24,2,91,20,Chambord,26,0,0,0,0,0,0,0,6,"56,656"
240291035,2491035,24,2,91,35,Saint-Prime,46,1,x,x,0,0,0,0,4,"18,259"
240291040,2491040,24,2,91,40,Saint-FÇlicien,37,0,0,0,0,0,0,0,8,"79,312"
240291045,2491045,24,2,91,45,Saint-MÇthode,41,0,0,0,0,0,2,x,5,"16,539"
240291050,2491050,24,2,91,50,La DorÇ,17,0,0,0,0,0,0,0,1,x
240291902,2491902,24,2,91,902,Lac-Ashuapmushuan,28,0,0,0,0,0,1,x,3,"9,142"
240292000,2492000,24,2,92,0,Maria-Chapdelaine,287,0,0,0,0,0,3,"2,600",48,"413,115"
240292005,2492005,24,2,92,5,Saint-Augustin,21,0,0,0,0,0,0,0,8,"36,908"
240292015,2492015,24,2,92,15,Sainte-Jeanne-d'Arc,29,0,0,0,0,0,0,0,4,x
240292030,2492030,24,2,92,30,Albanel,47,0,0,0,0,0,1,x,11,"28,927"
240292040,2492040,24,2,92,40,Normandin,78,0,0,0,0,0,0,0,7,"42,908"
240292050,2492050,24,2,92,50,Saint-Edmond,29,0,0,0,0,0,1,x,4,"70,510"
240292055,2492055,24,2,92,55,Girardville,24,0,0,0,0,0,0,0,6,"114,913"
240292065,2492065,24,2,92,65,Saint-Eugäne,32,0,0,0,0,0,0,0,3,x
240292902,2492902,24,2,92,902,Chute-des-Passes,27,0,0,0,0,0,1,x,5,"56,590"
240293000,2493000,24,2,93,0,Lac-Saint-Jean-Est,406,1,x,x,1,x,1,x,52,"358,598"
240293010,2493010,24,2,93,10,MÇtabetchouan,49,0,0,0,0,0,0,0,7,"38,729"
240293015,2493015,24,2,93,15,Lac-Ö-la-Croix,41,0,0,0,0,0,0,0,3,x
240293020,2493020,24,2,93,20,HÇbertville,83,0,0,0,0,0,1,x,9,"25,591"
240293030,2493030,24,2,93,30,Saint-Bruno,47,0,0,0,0,0,0,0,9,"20,859"
240293035,2493035,24,2,93,35,Saint-GÇdÇon,39,0,0,0,0,0,0,0,7,"22,777"
240293040,2493040,24,2,93,40,Alma,35,1,x,x,1,x,0,0,1,x
240293045,2493045,24,2,93,45,Saint-Nazaire,19,0,0,0,0,0,0,0,5,x
240293050,2493050,24,2,93,50,Delisle,46,0,0,0,0,0,0,0,1,x
240293065,2493065,24,2,93,65,L'Ascension-de-Notre-Seigneur,31,0,0,0,0,0,0,0,6,"76,461"
240293070,2493070,24,2,93,70,Saint-Henri-de-Taillon,16,0,0,0,0,0,0,0,4,"23,729"
240294000,2494000,24,2,94,0,Le Fjord-du-Saguenay,372,3,x,x,3,x,11,"9,250",77,"628,675"
240294005,2494005,24,2,94,5,Petit-Saguenay,17,0,0,0,0,0,3,800,9,"41,692"
240294035,2494035,24,2,94,35,Saint-Fulgence,17,0,0,0,0,0,2,x,3,"13,800"
240294040,2494040,24,2,94,40,La Baie,44,0,0,0,0,0,2,x,11,"50,147"
240294045,2494045,24,2,94,45,Laterriäre,90,0,0,0,0,0,3,"4,100",6,"30,630"
240294055,2494055,24,2,94,55,Tremblay,21,0,0,0,0,0,0,0,7,"22,445"
240294060,2494060,24,2,94,60,Saint-HonorÇ,36,0,0,0,0,0,1,x,8,"78,833"
240294070,2494070,24,2,94,70,Jonquiäre,95,2,x,x,2,x,0,0,20,"296,272"
240294090,2494090,24,2,94,90,Saint-Ambroise,52,1,x,x,1,x,0,0,13,"94,856"
240295000,2495000,24,2,95,0,La Haute-Cìte-Nord,49,0,0,0,0,0,3,"3,500",23,"174,397"
240295010,2495010,24,2,95,10,SacrÇ-Coeur,27,0,0,0,0,0,2,x,17,"146,820"
240295020,2495020,24,2,95,20,Bergeronnes,22,0,0,0,0,0,1,x,6,"27,577"
240296000,2496000,24,2,96,0,Manicouagan,23,0,0,0,0,0,1,x,2,x
240296020,2496020,24,2,96,20,Baie-Comeau,23,0,0,0,0,0,1,x,2,x
240300000,2400000,24,3,0,0,QuÇbec,"1,398",14,722,292,9,"12,675",309,"662,637",378,"2,203,625"
240315000,2415000,24,3,15,0,Charlevoix-Est,85,1,x,x,1,x,0,0,19,"81,545"
240315005,2415005,24,3,15,5,Saint-IrÇnÇe,21,0,0,0,0,0,0,0,3,"10,121"
240315025,2415025,24,3,15,25,Notre-Dame-des-Monts,39,0,0,0,0,0,0,0,10,"30,546"
240315045,2415045,24,3,15,45,Riviäre-Malbaie,25,1,x,x,1,x,0,0,6,"40,878"
240316000,2416000,24,3,16,0,Charlevoix,162,0,0,0,0,0,13,"7,743",35,"205,379"
240316015,2416015,24,3,16,15,Baie-Saint-Paul,35,0,0,0,0,0,8,x,6,x
240316035,2416035,24,3,16,35,Riviäre-du-Gouffre,22,0,0,0,0,0,1,x,5,"22,200"
240316045,2416045,24,3,16,45,Les êboulements,42,0,0,0,0,0,3,"3,750",9,"29,362"
240316050,2416050,24,3,16,50,Saint-Hilarion,34,0,0,0,0,0,1,x,11,"38,939"
240316055,2416055,24,3,16,55,Saint-Urbain,29,0,0,0,0,0,0,0,4,x
240320000,2420000,24,3,20,0,L'?le-d'OrlÇans,226,1,x,x,0,0,56,"83,605",41,"191,427"
240320005,2420005,24,3,20,5,Saint-Franáois,36,0,0,0,0,0,5,"4,700",3,"5,390"
240320010,2420010,24,3,20,10,Sainte-Famille,69,0,0,0,0,0,20,"29,100",13,"36,592"
240320015,2420015,24,3,20,15,Saint-Jean,39,1,x,x,0,0,6,"10,300",5,"32,800"
240320020,2420020,24,3,20,20,Saint-Laurent,48,0,0,0,0,0,15,"26,030",11,"66,379"
240320025,2420025,24,3,20,25,Saint-Pierre,34,0,0,0,0,0,10,"13,475",9,"50,266"
240321000,2421000,24,3,21,0,La Cìte-de-BeauprÇ,103,2,x,x,2,x,34,"43,320",35,"130,578"
240321005,2421005,24,3,21,5,Saint-Tite-des-Caps,26,0,0,0,0,0,3,"1,580",5,"17,033"
240321030,2421030,24,3,21,30,Sainte-Anne-de-BeauprÇ,25,1,x,x,1,x,7,"13,545",5,"16,576"
240321035,2421035,24,3,21,35,ChÉteau-Richer,27,1,x,x,1,x,12,"11,125",8,"24,233"
240321040,2421040,24,3,21,40,L'Ange-Gardien,25,0,0,0,0,0,12,"17,070",17,"72,736"
240322000,2422000,24,3,22,0,La Jacques-Cartier,70,2,x,x,2,x,15,"20,985",15,"110,166"
240322005,2422005,24,3,22,5,Sainte-Catherine-de-la-Jacques-Cartier,27,0,0,0,0,0,8,"10,595",10,"93,257"
240322025,2422025,24,3,22,25,Saint-Gabriel-de-Valcartier,43,2,x,x,2,x,7,"10,390",5,"16,909"
240323000,2423000,24,3,23,0,CommunautÇ-Urbaine-de-QuÇbec,181,3,x,x,1,x,42,"57,940",39,"210,341"
240323025,2423025,24,3,23,25,QuÇbec,34,1,x,x,0,0,2,x,5,"37,610"
240323050,2423050,24,3,23,50,Val-BÇlair,22,1,x,x,1,x,5,x,5,"25,650"
240323060,2423060,24,3,23,60,Sainte-Foy,48,1,x,x,0,0,10,"16,480",8,"49,084"
240323070,2423070,24,3,23,70,Saint-Augustin-de-Desmaures,77,0,0,0,0,0,25,"38,560",21,"97,997"
240334000,2434000,24,3,34,0,Portneuf,571,5,116,47,3,325,149,"449,044",194,"1,274,189"
240334010,2434010,24,3,34,10,Pointe-aux-Trembles,54,1,x,x,1,x,10,"15,850",13,"55,573"
240334020,2434020,24,3,34,20,Sainte-Jeanne-de-Pont-Rouge,73,0,0,0,0,0,20,"21,887",23,"118,498"
240334030,2434030,24,3,34,30,Cap-SantÇ,36,1,x,x,1,x,10,"16,525",9,"55,204"
240334040,2434040,24,3,34,40,Saint-Basile,67,1,x,x,1,x,25,"109,460",27,"185,197"
240334055,2434055,24,3,34,55,Deschambault,32,0,0,0,0,0,4,x,8,"15,928"
240334060,2434060,24,3,34,60,Saint-Gilbert,37,0,0,0,0,0,5,"10,300",12,"47,726"
240334070,2434070,24,3,34,70,Grondines,22,0,0,0,0,0,1,x,6,"14,326"
240334080,2434080,24,3,34,80,Saint-Casimir,44,0,0,0,0,0,1,x,9,"29,449"
240334085,2434085,24,3,34,85,Saint-Thuribe,31,0,0,0,0,0,7,"15,465",7,"58,408"
240334090,2434090,24,3,34,90,Saint-Ubalde,58,0,0,0,0,0,27,"171,167",17,"261,515"
240334097,2434097,24,3,34,97,Saint-Alban,33,0,0,0,0,0,14,"24,415",17,"87,455"
240334105,2434105,24,3,34,105,Sainte-Christine-d'Auvergne,23,1,x,x,0,0,6,"9,625",11,"52,555"
240334115,2434115,24,3,34,115,Saint-LÇonard-de-Portneuf,19,1,x,x,0,0,6,"8,550",10,"67,353"
240334128,2434128,24,3,34,128,Saint-Raymond,42,0,0,0,0,0,13,"39,850",25,"225,002"
240400000,2400000,24,4,0,0,Mauricie--Bois-Francs,"5,405",48,"1,687",683,34,"44,476",925,"2,378,070","1,076","8,025,380"
240432000,2432000,24,4,32,0,L'êrable,753,15,449,182,10,"13,960",385,"1,173,826",404,"3,824,580"
240432005,2432005,24,4,32,5,Vianney,27,1,x,x,1,x,19,"57,575",20,"178,942"
240432015,2432015,24,4,32,15,Saint-Ferdinand,71,2,x,x,1,x,58,"188,565",41,"560,383"
240432020,2432020,24,4,32,20,Halifax-Nord,82,3,97,39,2,x,51,"153,882",41,"456,500"
240432035,2432035,24,4,32,35,Princeville,99,1,x,x,1,x,22,"46,552",38,"226,158"
240432045,2432045,24,4,32,45,Plessisville,100,2,x,x,1,x,54,"101,015",43,"281,761"
240432050,2432050,24,4,32,50,Saint-Pierre-Baptiste,73,2,x,x,0,0,57,"178,800",43,"402,694"
240432060,2432060,24,4,32,60,Inverness,115,3,133,54,3,"8,500",81,"335,451",79,"1,068,733"
240432065,2432065,24,4,32,65,Lyster,69,0,0,0,0,0,13,"34,625",31,"261,286"
240432075,2432075,24,4,32,75,Sainte-Julie,72,0,0,0,0,0,22,"65,660",38,"265,933"
240432080,2432080,24,4,32,80,Notre-Dame-de-Lourdes,27,1,x,x,1,x,5,"6,750",17,"41,088"
240432085,2432085,24,4,32,85,Villeroy,18,0,0,0,0,0,3,"4,951",13,"81,102"
240435000,2435000,24,4,35,0,MÇkinac,203,0,0,0,0,0,34,"111,207",44,"360,487"
240435010,2435010,24,4,35,10,Lac-aux-Sables,23,0,0,0,0,0,8,"24,275",13,"119,969"
240435015,2435015,24,4,35,15,Saint-Adelphe,30,0,0,0,0,0,6,"34,225",8,"153,597"
240435020,2435020,24,4,35,20,Saint-SÇverin,32,0,0,0,0,0,1,x,2,x
240435030,2435030,24,4,35,30,Saint-Tite,51,0,0,0,0,0,8,"29,957",9,"39,760"
240435035,2435035,24,4,35,35,HÇrouxville,24,0,0,0,0,0,1,x,2,x
240435050,2435050,24,4,35,50,Sainte-Thäcle,43,0,0,0,0,0,10,x,10,"31,961"
240436000,2436000,24,4,36,0,Le Centre-de-la-Mauricie,150,0,0,0,0,0,17,x,21,"55,630"
240436005,2436005,24,4,36,5,Charette,20,0,0,0,0,0,2,x,2,x
240436010,2436010,24,4,36,10,Saint-êlie,19,0,0,0,0,0,5,"3,475",6,"27,434"
240436020,2436020,24,4,36,20,Saint-Boniface-de-Shawinigan,39,0,0,0,0,0,3,"2,200",3,"4,109"
240436035,2436035,24,4,36,35,Shawinigan-Sud,19,0,0,0,0,0,0,0,1,x
240436040,2436040,24,4,36,40,Notre-Dame-du-Mont-Carmel,22,0,0,0,0,0,5,"5,140",2,x
240436055,2436055,24,4,36,55,Grand-Märe,31,0,0,0,0,0,2,x,7,"7,753"
240437000,2437000,24,4,37,0,Francheville,508,1,x,x,1,x,46,"55,120",78,"309,498"
240437005,2437005,24,4,37,5,Sainte-Anne-de-la-PÇrade,66,0,0,0,0,0,10,"7,270",14,"24,062"
240437010,2437010,24,4,37,10,Saint-Prosper,37,0,0,0,0,0,14,"18,275",17,"63,098"
240437015,2437015,24,4,37,15,Saint-Stanislas,45,0,0,0,0,0,5,"17,625",11,"61,669"
240437020,2437020,24,4,37,20,Sainte-Geneviäve-de-Batiscan,30,0,0,0,0,0,2,x,3,x
240437025,2437025,24,4,37,25,Batiscan,31,0,0,0,0,0,0,0,4,"35,752"
240437030,2437030,24,4,37,30,Champlain,38,0,0,0,0,0,2,x,0,0
240437035,2437035,24,4,37,35,Saint-Luc-de-Vincennes,27,0,0,0,0,0,0,0,3,"4,352"
240437040,2437040,24,4,37,40,Saint-Narcisse,43,0,0,0,0,0,2,x,8,"41,038"
240437045,2437045,24,4,37,45,Saint-Maurice,64,0,0,0,0,0,2,x,4,"12,987"
240437060,2437060,24,4,37,60,Saint-Louis-de-France,16,0,0,0,0,0,2,x,3,"5,702"
240437065,2437065,24,4,37,65,Trois-Riviäres,25,1,x,x,1,x,0,0,1,x
240437075,2437075,24,4,37,75,Pointe-du-Lac,31,0,0,0,0,0,2,x,2,x
240437080,2437080,24,4,37,80,Saint-êtienne-des-Gräs,55,0,0,0,0,0,5,"4,900",8,"39,282"
240438000,2438000,24,4,38,0,BÇcancour,557,2,x,x,2,x,50,"80,331",89,"391,627"
240438005,2438005,24,4,38,5,Saint-Sylväre,66,0,0,0,0,0,8,"13,000",5,"33,060"
240438010,2438010,24,4,38,10,BÇcancour,240,1,x,x,1,x,25,"34,131",34,"134,641"
240438020,2438020,24,4,38,20,Lemieux,17,0,0,0,0,0,1,x,4,"8,216"
240438030,2438030,24,4,38,30,Saint-Joseph-de-Blandford,17,1,x,x,1,x,0,0,8,"25,072"
240438035,2438035,24,4,38,35,Sainte-Franáoise,26,0,0,0,0,0,2,x,11,"49,494"
240438040,2438040,24,4,38,40,Sainte-Sophie-de-LÇvrard,34,0,0,0,0,0,3,"4,500",7,"58,244"
240438050,2438050,24,4,38,50,Sainte-Philomäne-de-Fortierville,34,0,0,0,0,0,3,"18,800",4,x
240438055,2438055,24,4,38,55,Parisville,33,0,0,0,0,0,3,"3,650",5,"7,371"
240438060,2438060,24,4,38,60,Sainte-CÇcile-de-LÇvrard,31,0,0,0,0,0,0,0,3,"5,793"
240438065,2438065,24,4,38,65,Saint-Pierre-les-Becquets,35,0,0,0,0,0,2,x,4,"4,755"
240438070,2438070,24,4,38,70,Deschaillons-sur-Saint-Laurent,24,0,0,0,0,0,3,900,4,x
240439000,2439000,24,4,39,0,Arthabaska,"1,068",14,650,263,10,"15,651",234,"711,651",260,"2,036,042"
240439010,2439010,24,4,39,10,Ham-Nord,51,4,344,139,4,"10,242",24,"135,363",25,"227,496"
240439015,2439015,24,4,39,15,Notre-Dame-de-Lourdes-de-Ham,20,0,0,0,0,0,6,"10,400",5,"10,934"
240439020,2439020,24,4,39,20,Saint-RÇmi-de-Tingwick,45,1,x,x,0,0,9,"32,300",18,"122,111"
240439025,2439025,24,4,39,25,Tingwick,98,2,x,x,0,0,28,"49,455",35,"250,549"
240439030,2439030,24,4,39,30,Chesterville,62,0,0,0,0,0,28,"104,500",28,"273,931"
240439035,2439035,24,4,39,35,Chester-Est,37,2,x,x,2,x,29,"124,302",27,"317,547"
240439042,2439042,24,4,39,42,Saint-Norbert-d'Arthabaska,94,0,0,0,0,0,31,"69,659",33,"279,163"
240439062,2439062,24,4,39,62,Victoriaville,121,2,x,x,1,x,30,"96,280",29,"233,219"
240439080,2439080,24,4,39,80,Warwick,111,1,x,x,1,x,21,"37,425",14,"44,426"
240439085,2439085,24,4,39,85,Saint-Albert-de-Warwick,43,0,0,0,0,0,0,0,3,x
240439090,2439090,24,4,39,90,Sainte-êlisabeth-de-Warwick,44,0,0,0,0,0,3,"3,300",4,"4,725"
240439100,2439100,24,4,39,100,Kingsey Falls,39,1,x,x,1,x,6,"10,117",5,"48,412"
240439105,2439105,24,4,39,105,Sainte-SÇraphine,40,0,0,0,0,0,0,0,2,x
240439115,2439115,24,4,39,115,Sainte-Clothilde-de-Horton,45,0,0,0,0,0,1,x,4,"14,636"
240439125,2439125,24,4,39,125,Saint-Jacques-de-Horton,21,0,0,0,0,0,1,x,0,0
240439130,2439130,24,4,39,130,Saint-Samuel,24,0,0,0,0,0,1,x,0,0
240439135,2439135,24,4,39,135,Saint-Valäre,68,1,x,x,1,x,1,x,9,"31,285"
240439145,2439145,24,4,39,145,Saint-Rosaire,49,0,0,0,0,0,10,"23,150",11,"58,098"
240439150,2439150,24,4,39,150,Sainte-Anne-du-Sault,38,0,0,0,0,0,3,"2,300",3,x
240439170,2439170,24,4,39,170,Saint-Louis-de-Blandford,18,0,0,0,0,0,2,x,5,"41,646"
240449000,2449000,24,4,49,0,Drummond,925,11,350,142,7,"2,630",63,"105,731",73,"328,205"
240449005,2449005,24,4,49,5,Kingsey,80,1,x,x,0,0,9,"23,510",6,"26,545"
240449015,2449015,24,4,49,15,Durham-Sud,66,0,0,0,0,0,7,"7,200",11,"58,517"
240449020,2449020,24,4,49,20,Lefebvre,29,0,0,0,0,0,4,"7,528",6,"16,492"
240449025,2449025,24,4,49,25,L'Avenir,60,1,x,x,1,x,14,"26,168",11,"52,307"
240449030,2449030,24,4,49,30,Saint-Lucien,18,0,0,0,0,0,2,x,1,x
240449035,2449035,24,4,49,35,Saint-NicÇphore,30,1,x,x,0,0,1,x,2,x
240449040,2449040,24,4,49,40,Wickham,88,1,x,x,1,x,3,"1,220",3,x
