AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,TOTALM,TOTALF,ONE,ONEM,ONEF,TWO,TWOM,TWOF
240110045,2410045,24,1,10,45,Rimouski,65,50,10,20,20,5,40,35,10
240110050,2410050,24,1,10,50,Sainte-Odile-sur-Rimouski,30,25,10,15,10,0,20,15,5
240110055,2410055,24,1,10,55,Sainte-Blandine,25,20,5,10,5,0,15,10,5
240110060,2410060,24,1,10,60,Saint-ValÇrien,35,30,10,15,10,0,25,20,5
240110065,2410065,24,1,10,65,Le Bic,60,40,15,25,20,0,40,25,15
240110070,2410070,24,1,10,70,Saint-Fabien,65,40,20,20,15,0,40,30,20
240110075,2410075,24,1,10,75,Saint-Eugäne-de-Ladriäre,35,25,5,15,15,0,20,10,5
240111000,2411000,24,1,11,0,Les Basques,365,275,90,140,130,5,230,140,85
240111005,2411005,24,1,11,5,Saint-ClÇment,40,30,5,20,15,0,25,15,5
240111010,2411010,24,1,11,10,Saint-Jean-de-Dieu,75,50,20,30,25,0,45,25,20
240111015,2411015,24,1,11,15,Sainte-Rita,35,30,10,20,15,0,15,15,5
240111030,2411030,24,1,11,30,Sainte-Franáoise,35,25,10,15,10,0,20,15,5
240111035,2411035,24,1,11,35,Saint-êloi,45,35,10,10,15,0,35,25,10
240111045,2411045,24,1,11,45,Notre-Dame-des-Neiges-des-Trois-Pistoles,75,60,15,25,25,0,50,35,15
240111050,2411050,24,1,11,50,Saint-Mathieu-de-Rioux,25,20,5,10,10,0,15,5,5
240111055,2411055,24,1,11,55,Saint-Simon,30,20,10,10,10,0,20,15,10
240112000,2412000,24,1,12,0,Riviäre-du-Loup,480,355,125,160,155,10,320,200,120
240112005,2412005,24,1,12,5,Saint-Cyprien,40,30,10,15,15,0,25,15,5
240112010,2412010,24,1,12,10,Saint-Hubert,40,25,15,10,10,0,30,15,10
240112015,2412015,24,1,12,15,Saint-Antonin,55,40,15,25,25,0,25,15,10
240112030,2412030,24,1,12,30,Saint-êpiphane,40,30,5,15,15,0,25,15,10
240112035,2412035,24,1,12,35,Saint-Paul-de-la-Croix,35,20,15,5,5,0,30,15,15
240112050,2412050,24,1,12,50,Saint-Jean-Baptiste-de-l'Isle-Verte,95,70,30,20,20,0,80,50,30
240112060,2412060,24,1,12,60,Saint-Georges-de-Cacouna,40,35,5,15,15,5,25,15,5
240112065,2412065,24,1,12,65,Saint-Arsäne,90,65,30,25,25,0,70,40,30
240112075,2412075,24,1,12,75,Saint-Patrice-de-la-Riviäre-du-Loup,45,40,5,25,25,0,15,15,5
240113000,2413000,24,1,13,0,TÇmiscouata,550,420,130,220,205,10,330,215,115
240113005,2413005,24,1,13,5,DÇgelis,40,30,10,15,15,5,25,20,5
240113015,2413015,24,1,13,15,Packington,40,30,10,25,25,0,15,10,5
240113030,2413030,24,1,13,30,Saint-Eusäbe,50,40,15,15,15,0,40,25,10
240113035,2413035,24,1,13,35,Notre-Dame-du-Lac,45,30,15,15,15,0,30,20,15
240113040,2413040,24,1,13,40,Saint-Juste-du-Lac,40,30,5,15,15,0,25,15,10
240113045,2413045,24,1,13,45,Auclair,55,35,15,15,10,0,40,25,15
240113050,2413050,24,1,13,50,Lejeune,35,30,0,20,20,0,10,10,0
240113055,2413055,24,1,13,55,Biencourt,50,40,10,15,15,0,25,20,10
240113065,2413065,24,1,13,65,Saint-Michel-du-Squatec,55,40,15,25,25,0,30,20,10
240113080,2413080,24,1,13,80,Saint-Louis-du-Ha! Ha!,35,25,10,5,5,0,25,15,5
240113095,2413095,24,1,13,95,PohÇnÇgamook,75,55,15,35,35,0,40,25,15
240113100,2413100,24,1,13,100,Saint-Athanase,30,25,5,20,15,5,15,10,5
240114000,2414000,24,1,14,0,Kamouraska,775,580,195,280,260,20,495,325,170
240114005,2414005,24,1,14,5,Mont-Carmel,50,40,15,15,15,0,40,25,15
240114020,2414020,24,1,14,20,Saint-Pascal,80,60,20,35,30,0,45,25,20
240114025,2414025,24,1,14,25,Sainte-HÇläne,70,50,20,25,25,0,50,30,20
240114030,2414030,24,1,14,30,Saint-Joseph-de-Kamouraska,25,25,0,5,10,0,20,15,5
240114035,2414035,24,1,14,35,Saint-Alexandre,85,60,30,25,20,5,60,35,25
240114040,2414040,24,1,14,40,Saint-AndrÇ,55,35,15,15,20,0,35,20,15
240114050,2414050,24,1,14,50,Kamouraska,70,50,20,15,10,0,55,40,20
240114055,2414055,24,1,14,55,Saint-Denis,45,35,10,15,15,0,30,20,10
240114060,2414060,24,1,14,60,Saint-Philippe-de-NÇri,65,55,10,25,25,0,35,25,10
240114065,2414065,24,1,14,65,Riviäre-Ouelle,60,45,15,15,15,0,45,30,15
240114075,2414075,24,1,14,75,Saint-Gabriel-Lalemant,35,30,5,20,20,0,15,10,5
240114080,2414080,24,1,14,80,Saint-OnÇsime-d'Ixworth,30,25,10,15,15,5,10,10,5
240114090,2414090,24,1,14,90,Sainte-Anne-de-la-Pocatiäre,95,80,20,35,30,5,60,45,15
240200000,2400000,24,2,0,0,Saguenay--Lac-Saint-Jean--Cìte-Nord,"2,065","1,600",470,760,725,35,"1,300",875,430
240291000,2491000,24,2,91,0,Le Domaine-du-Roy,325,245,75,130,130,0,190,115,70
240291010,2491010,24,2,91,10,Saint-AndrÇ-du-Lac-Saint-Jean,40,30,10,15,15,0,30,15,15
240291020,2491020,24,2,91,20,Chambord,30,25,5,20,20,0,15,10,5
240291035,2491035,24,2,91,35,Saint-Prime,70,55,20,25,25,0,45,35,20
240291040,2491040,24,2,91,40,Saint-FÇlicien,55,45,10,25,25,0,30,20,15
240291045,2491045,24,2,91,45,Saint-MÇthode,55,45,10,30,30,0,30,15,10
240291050,2491050,24,2,91,50,La DorÇ,25,15,10,10,10,0,20,10,10
240291902,2491902,24,2,91,902,Lac-Ashuapmushuan,40,35,10,15,15,0,25,15,10
240292000,2492000,24,2,92,0,Maria-Chapdelaine,420,325,95,180,165,5,240,160,85
240292005,2492005,24,2,92,5,Saint-Augustin,35,25,10,10,10,0,25,15,10
240292015,2492015,24,2,92,15,Sainte-Jeanne-d'Arc,35,35,5,25,25,0,15,15,5
240292030,2492030,24,2,92,30,Albanel,70,50,20,25,25,5,45,25,20
240292040,2492040,24,2,92,40,Normandin,115,90,25,50,45,0,70,45,25
240292050,2492050,24,2,92,50,Saint-Edmond,40,35,5,15,20,0,25,15,5
240292055,2492055,24,2,92,55,Girardville,35,25,5,15,10,0,25,15,10
240292065,2492065,24,2,92,65,Saint-Eugäne,40,35,5,20,20,0,25,15,5
240292902,2492902,24,2,92,902,Chute-des-Passes,40,35,10,15,15,5,25,15,5
240293000,2493000,24,2,93,0,Lac-Saint-Jean-Est,660,505,160,195,185,5,465,320,150
240293010,2493010,24,2,93,10,MÇtabetchouan,75,60,20,25,25,0,50,30,15
240293015,2493015,24,2,93,15,Lac-Ö-la-Croix,65,55,15,20,20,0,45,30,10
240293020,2493020,24,2,93,20,HÇbertville,135,95,35,35,35,5,95,65,30
240293030,2493030,24,2,93,30,Saint-Bruno,85,65,20,20,20,0,65,45,15
240293035,2493035,24,2,93,35,Saint-GÇdÇon,60,40,20,15,20,0,40,20,15
240293040,2493040,24,2,93,40,Alma,50,40,10,20,20,5,30,20,10
240293045,2493045,24,2,93,45,Saint-Nazaire,30,25,5,10,10,0,15,10,5
240293050,2493050,24,2,93,50,Delisle,90,70,20,15,15,0,80,55,20
240293065,2493065,24,2,93,65,L'Ascension-de-Notre-Seigneur,45,35,10,20,15,0,20,10,5
240293070,2493070,24,2,93,70,Saint-Henri-de-Taillon,35,30,5,5,5,0,25,25,5
240294000,2494000,24,2,94,0,Le Fjord-du-Saguenay,570,455,115,205,195,10,365,260,105
240294005,2494005,24,2,94,5,Petit-Saguenay,25,20,5,10,10,0,15,5,5
240294035,2494035,24,2,94,35,Saint-Fulgence,30,25,5,5,5,0,20,20,5
240294040,2494040,24,2,94,40,La Baie,75,60,15,20,15,0,55,40,15
240294045,2494045,24,2,94,45,Laterriäre,145,115,30,45,45,0,95,70,30
240294055,2494055,24,2,94,55,Tremblay,30,25,5,15,10,0,20,15,5
240294060,2494060,24,2,94,60,Saint-HonorÇ,50,40,10,25,20,5,25,20,10
240294070,2494070,24,2,94,70,Jonquiäre,135,110,25,55,60,5,80,55,25
240294090,2494090,24,2,94,90,Saint-Ambroise,80,60,20,30,30,5,50,30,20
240295000,2495000,24,2,95,0,La Haute-Cìte-Nord,70,50,20,30,30,5,35,20,15
240295010,2495010,24,2,95,10,SacrÇ-Coeur,35,25,5,20,20,5,15,10,5
240295020,2495020,24,2,95,20,Bergeronnes,30,25,10,15,10,5,20,10,5
240296000,2496000,24,2,96,0,Manicouagan,25,20,5,20,20,0,5,5,5
240296020,2496020,24,2,96,20,Baie-Comeau,25,20,5,20,15,5,5,0,5
240300000,2400000,24,3,0,0,QuÇbec,"2,020","1,570",450,835,770,65,"1,185",795,390
240315000,2415000,24,3,15,0,Charlevoix-Est,130,105,25,50,45,5,75,55,20
240315005,2415005,24,3,15,5,Saint-IrÇnÇe,35,30,10,5,5,0,30,25,5
240315025,2415025,24,3,15,25,Notre-Dame-des-Monts,55,45,10,25,20,5,35,25,5
240315045,2415045,24,3,15,45,Riviäre-Malbaie,30,25,10,20,15,5,20,10,5
240316000,2416000,24,3,16,0,Charlevoix,235,190,45,95,85,5,140,105,35
240316015,2416015,24,3,16,15,Baie-Saint-Paul,50,45,5,20,20,0,30,25,5
240316035,2416035,24,3,16,35,Riviäre-du-Gouffre,35,25,5,10,10,0,25,15,10
240316045,2416045,24,3,16,45,Les êboulements,60,55,10,30,25,0,35,30,10
240316050,2416050,24,3,16,50,Saint-Hilarion,55,40,10,15,15,5,40,25,15
240316055,2416055,24,3,16,55,Saint-Urbain,35,30,10,20,15,5,15,10,0
240320000,2420000,24,3,20,0,L'?le-d'OrlÇans,330,255,75,135,125,10,195,125,65
240320005,2420005,24,3,20,5,Saint-Franáois,45,35,10,25,25,5,20,10,5
240320010,2420010,24,3,20,10,Sainte-Famille,95,80,15,40,40,5,50,40,15
240320015,2420015,24,3,20,15,Saint-Jean,65,50,15,15,20,0,45,25,15
240320020,2420020,24,3,20,20,Saint-Laurent,75,55,20,25,25,5,50,35,20
240320025,2420025,24,3,20,25,Saint-Pierre,50,40,15,20,20,0,25,15,10
240321000,2421000,24,3,21,0,La Cìte-de-BeauprÇ,140,110,25,65,65,0,75,50,30
240321005,2421005,24,3,21,5,Saint-Tite-des-Caps,30,30,5,20,20,0,10,10,5
240321030,2421030,24,3,21,30,Sainte-Anne-de-BeauprÇ,35,30,10,10,15,0,25,15,10
240321035,2421035,24,3,21,35,ChÉteau-Richer,45,35,10,15,15,5,30,20,10
240321040,2421040,24,3,21,40,L'Ange-Gardien,30,25,5,25,25,5,5,5,5
240322000,2422000,24,3,22,0,La Jacques-Cartier,95,80,20,45,40,5,45,35,15
240322005,2422005,24,3,22,5,Sainte-Catherine-de-la-Jacques-Cartier,35,25,15,20,15,5,20,15,10
240322025,2422025,24,3,22,25,Saint-Gabriel-de-Valcartier,55,50,10,30,30,5,25,25,5
240323000,2423000,24,3,23,0,CommunautÇ-Urbaine-de-QuÇbec,240,180,55,125,105,15,120,75,45
240323025,2423025,24,3,23,25,QuÇbec,45,30,10,25,20,5,15,10,10
240323050,2423050,24,3,23,50,Val-BÇlair,30,20,10,15,15,5,15,5,5
240323060,2423060,24,3,23,60,Sainte-Foy,65,50,15,25,25,5,40,25,10
240323070,2423070,24,3,23,70,Saint-Augustin-de-Desmaures,100,75,20,50,50,0,50,30,15
240334000,2434000,24,3,34,0,Portneuf,850,650,200,320,300,20,530,350,185
240334010,2434010,24,3,34,10,Pointe-aux-Trembles,85,60,25,30,30,5,50,30,20
240334020,2434020,24,3,34,20,Sainte-Jeanne-de-Pont-Rouge,105,85,25,45,40,5,65,45,20
240334030,2434030,24,3,34,30,Cap-SantÇ,50,35,20,20,20,5,35,20,15
240334040,2434040,24,3,34,40,Saint-Basile,100,75,25,40,40,5,60,40,20
240334055,2434055,24,3,34,55,Deschambault,50,40,10,15,15,0,30,25,10
240334060,2434060,24,3,34,60,Saint-Gilbert,50,45,10,25,20,0,30,20,10
240334070,2434070,24,3,34,70,Grondines,35,25,10,15,10,0,20,10,10
240334080,2434080,24,3,34,80,Saint-Casimir,70,55,15,20,20,0,45,30,15
240334085,2434085,24,3,34,85,Saint-Thuribe,50,30,20,15,10,5,40,25,15
240334090,2434090,24,3,34,90,Saint-Ubalde,90,65,20,30,25,0,60,40,20
240334097,2434097,24,3,34,97,Saint-Alban,50,40,10,20,20,0,35,20,10
240334105,2434105,24,3,34,105,Sainte-Christine-d'Auvergne,30,20,10,15,15,0,15,10,5
240334115,2434115,24,3,34,115,Saint-LÇonard-de-Portneuf,25,20,10,10,15,0,15,10,5
240334128,2434128,24,3,34,128,Saint-Raymond,65,55,10,20,20,0,40,30,5
240400000,2400000,24,4,0,0,Mauricie--Bois-Francs,"8,160","5,940","2,215","2,935","2,725",205,"5,225","3,215","2,010"
240432000,2432000,24,4,32,0,L'êrable,"1,125",840,285,430,400,30,695,440,250
240432005,2432005,24,4,32,5,Vianney,45,30,15,10,15,0,30,20,15
240432015,2432015,24,4,32,15,Saint-Ferdinand,100,75,25,50,45,5,50,35,15
240432020,2432020,24,4,32,20,Halifax-Nord,125,90,35,45,40,5,80,55,30
240432035,2432035,24,4,32,35,Princeville,165,115,50,45,40,10,115,75,40
240432045,2432045,24,4,32,45,Plessisville,160,125,40,50,45,5,110,75,35
240432050,2432050,24,4,32,50,Saint-Pierre-Baptiste,100,80,20,45,45,0,55,35,20
240432060,2432060,24,4,32,60,Inverness,150,120,35,80,75,0,75,45,35
240432065,2432065,24,4,32,65,Lyster,115,80,35,30,25,5,80,50,30
240432075,2432075,24,4,32,75,Sainte-Julie,110,80,30,40,35,0,75,40,30
240432080,2432080,24,4,32,80,Notre-Dame-de-Lourdes,30,25,5,20,15,5,10,10,0
240432085,2432085,24,4,32,85,Villeroy,25,20,5,10,15,0,10,10,5
240435000,2435000,24,4,35,0,MÇkinac,310,225,85,105,100,10,205,125,80
240435010,2435010,24,4,35,10,Lac-aux-Sables,35,25,10,10,10,0,25,10,10
240435015,2435015,24,4,35,15,Saint-Adelphe,50,35,20,15,10,0,40,25,15
240435020,2435020,24,4,35,20,Saint-SÇverin,55,40,15,15,15,0,30,20,10
240435030,2435030,24,4,35,30,Saint-Tite,70,55,15,35,30,5,40,25,15
240435035,2435035,24,4,35,35,HÇrouxville,35,25,10,10,10,5,20,15,5
240435050,2435050,24,4,35,50,Sainte-Thäcle,70,50,20,20,20,0,45,30,15
240436000,2436000,24,4,36,0,Le Centre-de-la-Mauricie,185,150,35,115,100,10,75,50,25
240436005,2436005,24,4,36,5,Charette,20,15,5,20,15,5,5,0,0
240436010,2436010,24,4,36,10,Saint-êlie,20,20,0,20,20,0,0,0,0
240436020,2436020,24,4,36,20,Saint-Boniface-de-Shawinigan,50,40,15,25,20,5,25,15,10
240436035,2436035,24,4,36,35,Shawinigan-Sud,25,20,5,15,15,0,10,10,5
240436040,2436040,24,4,36,40,Notre-Dame-du-Mont-Carmel,30,20,5,20,15,0,15,5,5
240436055,2436055,24,4,36,55,Grand-Märe,40,35,5,20,20,0,15,10,5
240437000,2437000,24,4,37,0,Francheville,760,575,190,295,275,20,465,300,165
240437005,2437005,24,4,37,5,Sainte-Anne-de-la-PÇrade,105,85,25,35,35,0,70,45,20
240437010,2437010,24,4,37,10,Saint-Prosper,55,45,15,20,20,0,35,20,15
240437015,2437015,24,4,37,15,Saint-Stanislas,75,60,15,20,20,0,55,40,15
240437020,2437020,24,4,37,20,Sainte-Geneviäve-de-Batiscan,50,40,10,15,15,0,35,25,10
240437025,2437025,24,4,37,25,Batiscan,45,35,10,20,20,0,25,15,10
240437030,2437030,24,4,37,30,Champlain,70,55,15,15,15,0,50,35,15
240437035,2437035,24,4,37,35,Saint-Luc-de-Vincennes,35,30,10,20,15,5,20,10,5
240437040,2437040,24,4,37,40,Saint-Narcisse,60,45,15,25,20,5,35,25,15
240437045,2437045,24,4,37,45,Saint-Maurice,100,70,30,30,30,0,70,35,30
240437060,2437060,24,4,37,60,Saint-Louis-de-France,20,15,5,10,15,0,10,5,0
240437065,2437065,24,4,37,65,Trois-Riviäres,30,25,5,20,15,0,15,10,5
240437075,2437075,24,4,37,75,Pointe-du-Lac,45,30,15,20,20,5,20,10,10
240437080,2437080,24,4,37,80,Saint-êtienne-des-Gräs,75,55,20,35,35,5,35,20,15
240438000,2438000,24,4,38,0,BÇcancour,840,590,245,295,270,25,545,325,220
240438005,2438005,24,4,38,5,Saint-Sylväre,100,70,30,35,30,0,70,45,25
240438010,2438010,24,4,38,10,BÇcancour,345,245,100,140,130,15,205,120,85
240438020,2438020,24,4,38,20,Lemieux,25,20,10,5,10,0,20,10,10
240438030,2438030,24,4,38,30,Saint-Joseph-de-Blandford,25,20,5,15,15,0,10,10,0
240438035,2438035,24,4,38,35,Sainte-Franáoise,40,25,10,10,5,0,35,25,10
240438040,2438040,24,4,38,40,Sainte-Sophie-de-LÇvrard,55,40,15,15,20,0,35,20,15
240438050,2438050,24,4,38,50,Sainte-Philomäne-de-Fortierville,45,35,15,20,15,0,30,15,15
240438055,2438055,24,4,38,55,Parisville,50,35,15,20,20,0,30,15,15
240438060,2438060,24,4,38,60,Sainte-CÇcile-de-LÇvrard,50,35,15,20,15,0,30,20,10
240438065,2438065,24,4,38,65,Saint-Pierre-les-Becquets,60,35,25,10,10,5,50,25,25
240438070,2438070,24,4,38,70,Deschaillons-sur-Saint-Laurent,40,30,10,10,15,0,25,15,10
240439000,2439000,24,4,39,0,Arthabaska,"1,665","1,165",500,530,490,45,"1,140",680,455
240439010,2439010,24,4,39,10,Ham-Nord,75,50,30,25,25,5,50,25,20
240439015,2439015,24,4,39,15,Notre-Dame-de-Lourdes-de-Ham,25,20,5,15,15,0,10,5,5
240439020,2439020,24,4,39,20,Saint-RÇmi-de-Tingwick,65,50,15,25,25,0,40,25,20
240439025,2439025,24,4,39,25,Tingwick,155,105,50,45,40,5,110,65,45
240439030,2439030,24,4,39,30,Chesterville,100,70,30,30,30,0,70,45,30
240439035,2439035,24,4,39,35,Chester-Est,55,35,20,20,20,5,35,20,15
240439042,2439042,24,4,39,42,Saint-Norbert-d'Arthabaska,155,110,45,40,40,5,115,65,45
240439062,2439062,24,4,39,62,Victoriaville,190,135,55,60,60,10,125,80,45
240439080,2439080,24,4,39,80,Warwick,195,135,60,45,40,5,150,90,60
240439085,2439085,24,4,39,85,Saint-Albert-de-Warwick,60,45,15,25,25,5,35,20,15
240439090,2439090,24,4,39,90,Sainte-êlisabeth-de-Warwick,70,50,20,25,15,0,45,30,20
240439100,2439100,24,4,39,100,Kingsey Falls,60,40,15,25,20,5,40,20,15
240439105,2439105,24,4,39,105,Sainte-SÇraphine,65,40,20,15,15,0,50,30,25
240439115,2439115,24,4,39,115,Sainte-Clothilde-de-Horton,70,45,20,20,20,0,45,25,20
240439125,2439125,24,4,39,125,Saint-Jacques-de-Horton,35,25,10,10,10,0,20,15,5
240439130,2439130,24,4,39,130,Saint-Samuel,35,25,10,15,10,0,25,15,10
240439135,2439135,24,4,39,135,Saint-Valäre,105,75,35,35,25,5,75,45,30
240439145,2439145,24,4,39,145,Saint-Rosaire,70,50,20,30,30,5,35,25,15
240439150,2439150,24,4,39,150,Sainte-Anne-du-Sault,55,35,20,20,20,5,35,20,15
240439170,2439170,24,4,39,170,Saint-Louis-de-Blandford,25,15,5,10,10,0,15,10,5
240449000,2449000,24,4,49,0,Drummond,"1,405","1,000",410,485,455,25,920,540,380
240449005,2449005,24,4,49,5,Kingsey,120,80,40,45,35,5,80,40,35
240449015,2449015,24,4,49,15,Durham-Sud,105,70,35,30,25,5,80,45,30
240449020,2449020,24,4,49,20,Lefebvre,45,30,15,15,15,5,30,15,15
240449025,2449025,24,4,49,25,L'Avenir,85,60,25,35,30,0,50,25,20
240449030,2449030,24,4,49,30,Saint-Lucien,25,20,5,15,15,0,15,10,5
240449035,2449035,24,4,49,35,Saint-NicÇphore,45,35,15,10,15,0,30,20,15
240449040,2449040,24,4,49,40,Wickham,140,95,40,45,40,0,95,55,40
240449048,2449048,24,4,49,48,Saint-Germain-de-Grantham,120,80,40,40,35,5,80,50,30
240449057,2449057,24,4,49,57,Drummondville,25,20,5,15,15,0,10,5,5
240449070,2449070,24,4,49,70,Saint-Cyrille-de-Wendover,115,80,35,40,40,0,70,40,30
240449080,2449080,24,4,49,80,Notre-Dame-du-Bon-Conseil,60,40,20,20,20,0,40,25,15
240449085,2449085,24,4,49,85,Sainte-Brigitte-des-Saults,100,65,35,15,15,0,80,50,35
240449090,2449090,24,4,49,90,Saint-Joachim-de-Courval,40,30,10,20,15,0,20,10,10
240449095,2449095,24,4,49,95,Saint-Majorique-de-Grantham,35,30,10,15,20,0,20,10,5
240449100,2449100,24,4,49,100,Saint-Edmond-de-Grantham,40,30,10,15,15,0,25,15,10
240449105,2449105,24,4,49,105,Saint-Eugäne,70,55,20,35,35,5,40,25,15
240449113,2449113,24,4,49,113,Saint-Guillaume,100,70,30,35,35,0,70,40,30
240449125,2449125,24,4,49,125,Saint-Bonaventure,90,65,25,25,25,0,65,45,20
240449130,2449130,24,4,49,130,Saint-Pie-de-Guire,45,35,10,20,15,0,30,20,10
240450000,2450000,24,4,50,0,Nicolet-Yamaska,"1,055",785,275,370,340,30,685,440,245
240450005,2450005,24,4,50,5,Sainte-Eulalie,45,35,15,15,10,0,35,20,15
240450015,2450015,24,4,50,15,Saint-Raphaâl-Partie-Sud,35,25,15,10,10,0,25,15,10
240450023,2450023,24,4,50,23,Saint-Wenceslas,85,60,25,40,30,10,45,25,20
240450035,2450035,24,4,50,35,Saint-CÇlestin,70,55,20,25,25,0,40,25,15
240450042,2450042,24,4,50,42,Saint-LÇonard-d'Aston,65,50,15,25,20,5,35,25,15
240450050,2450050,24,4,50,50,Sainte-PerpÇtue,90,65,25,25,20,0,70,50,25
240450060,2450060,24,4,50,60,Sainte-Monique,65,55,10,25,25,5,40,25,10
240450065,2450065,24,4,50,65,Grand-Saint-Esprit,30,25,10,15,10,5,20,10,10
240450075,2450075,24,4,50,75,Saint-Jean-Baptiste-de-Nicolet,65,55,5,20,20,0,45,40,5
240450080,2450080,24,4,50,80,Nicolet-Sud,40,35,5,20,15,0,25,20,5
240450085,2450085,24,4,50,85,La Visitation-de-Yamaska,60,40,20,15,15,0,45,25,20
240450090,2450090,24,4,50,90,Saint-ZÇphirin-de-Courval,85,70,20,35,35,0,50,35,15
240450095,2450095,24,4,50,95,Saint-Elphäge,50,35,15,15,10,0,40,20,15
240450100,2450100,24,4,50,100,Baie-du-Febvre,105,75,25,30,30,0,70,45,25
240450130,2450130,24,4,50,130,Saint-Franáois-du-Lac,155,110,45,70,60,10,90,55,35
240451000,2451000,24,4,51,0,MaskinongÇ,780,590,185,300,280,10,480,305,175
240451010,2451010,24,4,51,10,Saint-Joseph-de-MaskinongÇ,75,60,15,30,30,0,40,25,15
240451015,2451015,24,4,51,15,Louiseville,90,75,25,35,30,5,60,40,20
240451020,2451020,24,4,51,20,Yamachiche,140,95,45,30,30,5,105,65,40
240451025,2451025,24,4,51,25,Saint-BarnabÇ,65,50,15,20,20,0,45,30,15
240451030,2451030,24,4,51,30,Saint-SÇväre,55,45,10,20,15,0,35,25,15
240451035,2451035,24,4,51,35,Saint-LÇon-le-Grand,110,80,30,40,40,5,65,45,25
240451040,2451040,24,4,51,40,Sainte-Ursule,70,55,10,35,35,0,30,25,10
240451045,2451045,24,4,51,45,Saint-Justin,60,50,10,25,30,0,30,20,10
240451055,2451055,24,4,51,55,Sainte-Angäle-de-PrÇmont,35,30,5,20,20,0,15,10,10
240451060,2451060,24,4,51,60,Saint-Paulin,85,60,25,35,35,5,45,25,20
240490000,2490000,24,4,90,0,Le Haut-Saint-Maurice,30,25,5,15,15,0,20,10,5
240490020,2490020,24,4,90,20,Langelier,30,20,10,15,15,0,15,10,10
240500000,2400000,24,5,0,0,Estrie,"4,750","3,425","1,325","1,745","1,625",120,"3,005","1,800","1,200"
240530000,2430000,24,5,30,0,Le Granit,885,640,240,350,325,25,535,315,220
240530005,2430005,24,5,30,5,Saint-Augustin-de-Woburn,35,20,15,10,10,5,25,15,10
240530020,2430020,24,5,30,20,Piopolis,45,40,10,25,20,0,25,15,5
240530025,2430025,24,5,30,25,Frontenac,35,35,5,20,20,0,15,15,0
240530045,2430045,24,5,30,45,Nantes,55,35,15,20,20,0,35,20,15
240530050,2430050,24,5,30,50,Sainte-CÇcile-de-Whitton,45,35,10,15,15,0,30,20,10
240530055,2430055,24,5,30,55,Audet,65,40,20,25,20,0,35,20,20
240530070,2430070,24,5,30,70,Saint-Robert-Bellarmin,95,70,25,25,25,0,70,50,25
240530075,2430075,24,5,30,75,Gayhurst-Partie-Sud-Est,40,25,10,10,10,0,25,15,15
240530080,2430080,24,5,30,80,Lac-Drolet,65,50,15,35,30,0,35,20,15
240530085,2430085,24,5,30,85,Saint-SÇbastien,75,55,20,30,30,0,45,25,20
240530090,2430090,24,5,30,90,Courcelles,60,45,15,25,25,0,30,20,10
240530095,2430095,24,5,30,95,Lambton,110,80,30,50,40,5,60,40,25
240530100,2430100,24,5,30,100,Saint-Romain,55,35,15,15,15,0,35,20,15
240530105,2430105,24,5,30,105,Stornoway,60,40,15,25,20,0,35,20,15
240530110,2430110,24,5,30,110,Stratford,50,35,15,20,15,5,30,20,10
240540000,2440000,24,5,40,0,Asbestos,445,325,120,170,165,5,275,165,110
240540005,2440005,24,5,40,5,Saint-Joseph-de-Ham-Sud,25,20,5,20,15,0,5,5,5
240540010,2440010,24,5,40,10,Saint-Adrien,35,35,5,20,20,0,20,10,10
240540017,2440017,24,5,40,17,Wotton,130,90,35,40,35,0,90,55,35
240540025,2440025,24,5,40,25,Saint-Camille,65,45,15,20,15,0,45,25,20
240540032,2440032,24,5,40,32,Saint-Georges-de-Windsor,80,60,25,30,30,0,50,30,20
240540050,2440050,24,5,40,50,Shipton,110,80,30,50,45,0,65,35,25
240541000,2441000,24,5,41,0,Le Haut-Saint-Franáois,930,675,255,350,325,20,575,345,235
240541005,2441005,24,5,41,5,Saint-Malo,40,25,15,10,10,0,30,15,15
240541010,2441010,24,5,41,10,Clifton-Partie-Est,60,35,25,10,10,0,50,25,25
240541015,2441015,24,5,41,15,Saint-Isidore-d'Auckland,55,40,10,20,20,0,35,20,15
240541030,2441030,24,5,41,30,Ditton,65,45,20,25,20,5,40,25,20
240541035,2441035,24,5,41,35,Newport,70,50,20,20,20,0,50,30,15
240541050,2441050,24,5,41,50,Eaton,270,195,80,90,85,10,180,110,65
240541055,2441055,24,5,41,55,Ascot Corner,45,30,10,20,15,5,25,15,10
240541065,2441065,24,5,41,65,Westbury,50,35,10,25,20,5,25,15,10
240541070,2441070,24,5,41,70,Bury,70,55,20,35,35,0,35,20,15
240541085,2441085,24,5,41,85,Lingwick,55,40,10,25,25,0,30,15,15
240541105,2441105,24,5,41,105,Weedon,75,60,15,35,30,0,45,30,15
240541117,2441117,24,5,41,117,Dudswell,75,55,20,35,30,5,40,25,20
240542000,2442000,24,5,42,0,Le Val-Saint-Franáois,860,620,235,325,300,20,535,325,210
240542005,2442005,24,5,42,5,Stoke,60,40,20,30,25,5,35,20,20
240542015,2442015,24,5,42,15,Brompton,85,65,20,35,35,0,50,30,20
240542020,2442020,24,5,42,20,Saint-Franáois-Xavier-de-Brompton,85,55,25,25,20,5,60,40,20
240542032,2442032,24,5,42,32,Racine,60,40,20,15,15,5,45,30,15
240542040,2442040,24,5,42,40,Bonsecours,45,30,10,15,15,0,25,15,10
