AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,NTOTEXP,TOTEXP,NTRNTEXP,TRNTEXP,NRNTCSH,RNTCSH,NRNTSHR,RNTSHR,NTCSHWGE,TCSHWGE,NCSHWGEF,CSHWGEF,NCSHWGNF,CSHWGNF,NTINSUR,TINSUR,NINSCROP,INSCROP,NINSOTH,INSOTH,NTMCHEXP,TMCHEXP,NMCHFUEL,MCHFUEL,NREPMCH,REPMCH,NTCRPEXP,TCRPEXP,NFERTPD,FERTPD,NCHEMPD,CHEMPD,NSEEDPD,SEEDPD,NSEEDCO,SEEDCO,NCONTAIN,CONTAIN,NTLVSEXP,TLVSEXP,NFEEDPD,FEEDPD,NFEEDCO,FEEDCO,NLVSTPD,LVSTPD,NVETSER,VETSER,NCUSTOM,CUSTOM,NTOTINT,TOTINT,NTELPHON,TELPHON,NELECTY,ELECTY,NFUELHT,FUELHT,NREPBLDG,REPBLDG,NOTHEXP,OTHEXP,NTOTLAB,TOTLAB,NPDLBYR,PDLBYR,NPDLBSL,PDLBSL
240439015,2439015,24,4,39,15,Notre-Dame-de-Lourdes-de-Ham,20,"455,963",4,"2,300",4,"2,300",0,0,4,x,2,x,3,"5,983",19,"37,892",7,"16,537",17,"21,355",20,"51,141",19,"22,047",15,"29,094",11,"23,085",8,"19,777",4,x,4,x,4,x,6,"4,504",12,"159,847",10,"112,101",10,"76,654",4,x,10,x,6,"6,059",8,"48,379",15,x,17,"23,616",3,x,17,"19,479",16,"36,975",4,77,1,x,4,x
240439020,2439020,24,4,39,20,Saint-RÇmi-de-Tingwick,45,"3,782,570",7,x,6,"2,416",1,x,22,"243,391",16,"147,467",11,"95,924",44,"223,309",13,"105,926",41,"117,383",43,"349,926",41,"108,387",39,"241,539",33,"194,476",31,"141,643",12,"10,058",25,"42,775",22,"39,975",21,"25,023",40,"1,747,929",37,"948,285",36,"726,229",24,"619,190",37,"180,454",27,"125,196",36,"328,467",40,"22,396",43,"110,881",5,x,41,"121,281",40,"278,359",22,654,8,429,17,225
240439025,2439025,24,4,39,25,Tingwick,98,"9,130,503",10,"13,150",10,"13,150",0,0,47,"812,215",25,"458,544",31,"353,671",95,"453,744",42,"182,900",89,"270,844",93,"689,441",88,"223,109",89,"466,332",61,"627,190",58,"348,902",37,"73,253",47,"205,035",45,"185,340",54,"89,454",73,"3,035,782",68,"2,078,220",65,"1,728,337",35,"517,582",70,"439,980",55,"395,392",71,"1,497,087",79,"51,196",94,"256,811",9,"45,522",87,"312,940",78,"850,579",47,"2,326",25,"1,749",32,577
240439030,2439030,24,4,39,30,Chesterville,62,"6,743,763",7,"10,805",6,x,1,x,29,"435,064",19,"305,428",15,"129,636",60,"304,360",25,"106,093",58,"198,267",58,"501,227",57,"165,013",54,"336,214",36,"316,989",35,"221,593",21,"33,055",24,"62,341",24,"55,884",24,"51,440",45,"2,963,105",43,"2,008,739",41,"1,816,888",25,"675,118",39,"279,248",34,"196,714",47,"783,815",53,"34,016",61,"182,589",17,"38,680",53,"254,128",58,"670,831",29,"1,112",14,770,19,342
240439035,2439035,24,4,39,35,Chester-Est,37,"1,357,842",2,x,1,x,1,x,14,x,6,"51,644",10,x,36,"103,508",9,"23,900",34,"79,608",35,"176,565",34,"69,697",34,"106,868",15,"67,842",14,"52,108",4,"1,530",10,"14,204",9,x,18,x,21,"412,959",20,"301,273",19,"250,624",10,x,20,x,21,"68,109",27,"157,802",30,"19,947",37,"59,906",9,"19,229",30,"77,667",32,"105,405",14,421,5,288,10,133
240439042,2439042,24,4,39,42,Saint-Norbert-d'Arthabaska,94,"6,305,347",11,"26,234",11,"26,234",0,0,35,"472,438",20,"358,089",24,"114,349",90,"442,404",30,"151,869",89,"290,535",92,"562,584",91,"196,345",86,"366,239",59,"418,686",55,"268,657",31,"41,800",38,"108,229",33,"96,080",43,"50,736",68,"2,668,139",66,"1,751,743",62,"1,582,128",33,"634,228",67,"282,168",44,"128,203",64,"592,442",78,"46,328",92,"224,292",17,"27,574",73,"239,842",87,"405,445",35,"1,665",17,"1,359",24,306
240439062,2439062,24,4,39,62,Victoriaville,121,"13,853,311",27,"104,419",25,x,2,x,78,"2,060,809",51,"1,079,580",54,"981,229",118,"615,391",45,"211,294",107,"404,097",115,"1,110,788",114,"341,139",109,"769,649",82,"857,389",72,"476,338",56,"141,120",67,"239,931",64,"181,193",58,"244,406",84,"5,073,028",82,"2,907,870",79,"2,250,117",52,"1,657,869",72,"507,289",73,"254,656",86,"1,324,344",96,"88,955",115,"373,405",19,"111,930",100,"445,389",111,"1,188,402",78,"4,488",46,"3,619",45,869
240439080,2439080,24,4,39,80,Warwick,111,"11,973,321",25,"39,504",22,"35,804",3,"3,700",59,"1,245,170",40,"951,497",44,"293,673",109,"684,019",65,"240,263",105,"443,756",104,"1,061,893",102,"310,896",92,"750,997",91,"1,090,318",85,"675,305",65,"127,266",72,"287,747",71,"262,940",62,"83,051",88,"3,464,519",87,"2,498,731",87,"2,113,220",55,"355,590",86,"610,198",83,"513,162",87,"1,708,349",97,"78,636",104,"369,804",20,"17,612",90,"440,439",98,"1,176,845",59,"3,132",32,"2,424",46,708
240439085,2439085,24,4,39,85,Saint-Albert-de-Warwick,43,"14,880,460",5,x,4,x,1,x,30,"1,479,914",24,"530,229",23,"949,685",42,"346,238",26,"94,982",40,"251,256",42,"896,670",41,"255,630",41,"641,040",36,"724,912",34,"444,519",22,"132,194",29,"148,199",28,"132,077",17,"27,022",41,"7,633,178",41,"3,620,932",40,"2,959,431",30,"3,678,337",40,"333,909",33,"606,290",36,"1,377,442",40,"33,251",42,"319,896",6,x,39,"422,776",41,"939,845",30,"2,424",18,"1,790",20,634
240439090,2439090,24,4,39,90,Sainte-êlisabeth-de-Warwick,44,"5,903,984",8,"72,381",7,x,1,x,33,"594,208",22,"390,790",24,"203,418",43,"394,103",32,"226,221",42,"167,882",42,"445,328",41,"154,120",41,"291,208",40,"632,626",33,"379,174",28,"88,847",30,"164,605",29,"145,448",22,"20,135",40,"1,866,026",40,"1,375,829",39,"1,228,977",26,"257,037",39,"233,160",34,"238,000",39,"724,609",44,"34,353",44,"194,245",13,"44,151",39,"202,909",42,"440,910",33,"1,363",13,"1,023",25,340
240439100,2439100,24,4,39,100,Kingsey Falls,39,"3,176,901",7,"17,164",7,"17,164",0,0,18,"334,381",14,"222,679",10,"111,702",37,"193,561",22,"98,005",36,"95,556",37,"249,107",35,"77,510",35,"171,597",29,"358,706",27,"203,723",18,"26,560",21,"128,423",20,"120,913",20,"31,060",33,"1,018,116",30,"539,598",30,"414,463",15,"330,060",31,"148,458",23,"127,371",24,"358,142",33,"22,194",37,"99,803",9,"14,358",30,"96,769",31,"256,169",18,924,9,613,12,311
240439105,2439105,24,4,39,105,Sainte-SÇraphine,40,"10,107,045",8,"42,516",8,"42,516",0,0,33,"795,403",22,"392,776",23,"402,627",38,"511,989",27,"254,157",36,"257,832",33,"605,192",33,"225,078",33,"380,114",26,"759,108",26,"424,764",24,"123,754",24,"210,590",23,"194,194",11,"12,083",36,"4,954,101",36,"3,529,136",36,"3,391,756",26,"1,049,166",35,"375,799",26,"266,075",35,"954,511",40,"49,727",40,"285,197",15,"94,847",40,"443,691",37,"332,605",33,"1,940",19,"1,120",23,820
240439115,2439115,24,4,39,115,Sainte-Clothilde-de-Horton,45,"4,466,916",9,"13,875",9,"13,875",0,0,18,"329,839",13,"206,217",12,"123,622",42,"296,429",23,"173,913",39,"122,516",43,"421,847",43,"138,144",40,"283,703",35,"350,608",33,"219,857",24,"33,027",29,"97,724",28,"78,390",19,x,39,"1,970,776",36,"1,380,298",36,"987,030",26,"310,396",38,"280,082",36,"174,341",37,"388,819",43,"22,737",42,"122,058",2,x,37,"148,844",44,"210,410",18,952,8,676,13,276
240439125,2439125,24,4,39,125,Saint-Jacques-de-Horton,21,"2,295,805",4,"5,650",3,x,1,x,14,"320,990",10,"135,966",12,"185,024",20,"151,202",13,"62,671",20,"88,531",19,"175,822",17,"66,448",18,"109,374",17,"212,515",16,"117,045",13,"30,306",14,"65,164",13,"59,464",9,"10,041",17,"777,901",17,"590,516",15,"476,067",10,"72,649",17,"114,736",13,"70,359",16,"225,191",18,"20,516",19,"83,777",6,"23,501",19,"83,289",17,"135,051",14,730,6,533,11,197
240439130,2439130,24,4,39,130,Saint-Samuel,24,"1,862,714",6,"25,420",6,"25,420",0,0,12,x,4,x,11,x,21,"141,244",14,"66,482",18,"74,762",23,"191,145",23,"67,302",19,"123,843",19,"250,627",16,"135,195",13,"31,685",17,"83,747",17,"78,563",9,"37,209",16,"444,549",15,"306,058",15,"268,371",6,"43,314",14,"95,177",17,"91,095",17,"253,955",23,"16,940",22,"65,375",2,x,19,"48,940",19,"109,700",12,285,3,x,9,x
240439135,2439135,24,4,39,135,Saint-Valäre,68,"5,705,520",13,"36,431",13,"36,431",0,0,32,"573,179",22,"368,025",24,"205,154",66,"287,911",33,"95,214",62,"192,697",64,"583,204",63,"194,760",57,"388,444",53,"475,532",48,"319,133",30,"45,298",35,"111,101",35,"90,275",30,"39,694",61,"1,920,222",55,"1,185,212",54,"1,002,993",35,"486,377",56,"248,633",40,"170,884",46,"657,435",59,"35,941",64,"191,255",10,"30,228",58,"235,466",61,"468,138",32,"1,436",15,"1,089",21,347
240439145,2439145,24,4,39,145,Saint-Rosaire,49,"4,804,694",6,"11,050",5,x,1,x,20,"276,067",11,"103,778",18,"172,289",45,"340,487",31,"187,455",40,"153,032",46,"310,892",46,"120,468",41,"190,424",28,"256,455",26,"153,242",20,"36,775",22,"66,438",21,"64,088",16,"13,977",38,"2,339,515",32,"1,870,367",30,"1,794,053",22,"328,687",33,"140,461",30,"152,588",33,"571,330",40,"31,760",47,"133,235",6,"28,267",39,"118,648",41,"220,423",20,751,6,518,18,233
240439150,2439150,24,4,39,150,Sainte-Anne-du-Sault,38,"3,013,410",11,"35,377",11,"35,377",0,0,15,"209,483",6,"81,302",9,"128,181",36,"247,607",21,"160,478",33,"87,129",35,"179,979",31,"66,676",30,"113,303",27,"234,263",26,"160,710",11,"16,778",23,"56,775",22,"53,758",14,"24,477",33,"1,282,215",31,"685,330",31,"623,228",16,"435,190",30,"161,695",16,"86,488",31,"249,049",34,"31,648",36,"111,819",3,"16,295",34,"101,533",34,"203,177",15,520,5,339,11,181
240439170,2439170,24,4,39,170,Saint-Louis-de-Blandford,18,"2,485,486",3,x,3,x,1,x,11,x,4,x,8,x,17,"98,263",6,"44,280",16,"53,983",17,"185,034",16,"69,466",16,"115,568",13,"155,772",10,"76,313",3,x,11,x,10,"62,915",8,x,15,"646,843",14,"330,051",14,"310,667",8,"286,625",15,"30,167",10,"43,223",10,"452,280",16,x,16,"39,743",2,x,16,"44,694",15,"157,273",11,"1,021",4,936,8,85
240449000,2449000,24,4,49,0,Drummond,925,"132,840,521",252,"857,215",243,"798,511",13,"58,704",477,"13,683,045",290,"5,211,312",330,"8,471,733",891,"6,066,886",508,"2,852,185",844,"3,214,701",889,"8,479,626",872,"3,122,521",826,"5,357,105",687,"11,454,200",611,"6,440,482",451,"1,728,914",524,"3,284,804",491,"2,591,322",368,"609,375",708,"60,736,341",674,"34,676,423",649,"25,454,300",441,"22,221,286",644,"3,838,632",561,"4,145,137",684,"9,353,291",822,"629,372",869,"3,315,835",246,"1,565,505",800,"4,310,076",821,"7,634,617",477,"32,473",227,"24,700",336,"7,773"
240449005,2449005,24,4,49,5,Kingsey,80,"8,326,495",22,"42,060",22,"42,060",0,0,39,"717,378",29,"442,289",27,"275,089",74,"512,094",46,"284,992",70,"227,102",78,"660,525",77,"214,993",73,"445,532",63,"630,975",54,"408,343",30,"80,091",42,"142,541",37,"133,403",39,"36,784",73,"3,575,059",66,"2,454,289",61,"1,833,682",43,"757,525",69,"363,245",53,"262,189",58,"697,368",75,"53,524",76,"223,184",11,"19,688",69,"319,428",69,"576,239",39,"1,834",21,"1,354",27,480
240449015,2449015,24,4,49,15,Durham-Sud,66,"5,595,906",17,"33,511",15,"26,761",3,"6,750",37,"453,352",21,"289,280",25,"164,072",65,"357,149",32,"178,384",61,"178,765",66,"410,545",66,"140,779",61,"269,766",53,"286,837",44,"204,605",17,"20,969",33,"61,263",31,"45,430",36,"48,202",62,"2,301,581",61,"1,467,450",59,"1,205,852",30,"586,681",62,"247,450",35,"121,046",49,"667,452",60,"51,684",62,"174,007",12,"12,483",59,"193,555",60,"484,502",37,"1,686",16,"1,012",26,674
240449020,2449020,24,4,49,20,Lefebvre,29,"2,434,643",9,x,8,"15,030",2,x,12,"121,897",9,"97,814",5,"24,083",29,"153,998",13,"76,033",28,"77,965",28,"236,627",26,"101,072",27,"135,555",21,"222,896",17,"111,551",11,"56,483",15,"54,862",13,"39,755",11,"8,930",24,x,24,"471,917",22,"374,144",11,x,22,"90,593",15,"66,833",23,"201,686",27,"18,104",27,"64,766",5,"6,161",26,"66,568",27,"285,088",12,309,7,x,8,x
240449025,2449025,24,4,49,25,L'Avenir,60,"3,999,079",13,"28,897",12,x,1,x,26,"347,665",11,"270,116",20,"77,549",57,"202,415",21,"59,104",54,"143,311",59,"343,268",59,"143,348",53,"199,920",37,"223,179",33,"138,431",20,"18,912",21,"65,836",18,"61,091",29,"25,188",51,"1,965,952",49,"1,349,798",47,"1,114,020",33,"473,924",41,"142,230",28,"134,305",37,"276,199",48,"30,978",55,"119,125",10,"19,246",50,"94,894",46,"187,768",26,690,8,332,21,358
240449030,2449030,24,4,49,30,Saint-Lucien,18,"1,403,182",7,"34,780",7,"34,780",0,0,7,"135,135",5,x,3,x,17,"89,816",7,x,17,x,18,"177,467",17,"80,096",17,"97,371",12,"151,205",8,"49,096",7,"32,310",12,"69,799",9,x,7,"4,725",14,x,12,"410,740",11,"405,339",9,x,14,"52,891",4,"23,449",13,"86,652",16,"10,154",17,x,4,"6,339",13,x,18,"38,230",7,323,3,109,5,214
240449035,2449035,24,4,49,35,Saint-NicÇphore,30,"3,225,963",10,x,9,"11,218",2,x,18,"551,601",12,"280,420",12,"271,181",30,"140,573",16,"43,771",28,"96,802",28,"282,921",28,"108,998",25,"173,923",22,"224,650",20,"115,612",14,"27,200",17,"81,838",17,"66,967",14,"31,078",22,x,21,"942,303",21,"802,951",14,x,19,"74,913",16,x,22,"213,508",27,"19,736",29,"120,304",8,x,29,"153,028",28,"206,564",18,"1,139",9,776,13,363
240449040,2449040,24,4,49,40,Wickham,88,"33,313,524",10,"12,780",10,"12,780",0,0,43,"3,911,274",26,"768,375",31,"3,142,899",80,"746,879",39,"289,103",76,"457,776",81,"1,094,598",81,"438,180",75,"656,418",51,"786,768",45,"436,636",35,"117,951",38,"232,181",37,"209,717",23,"22,987",67,"22,822,050",65,"9,819,829",64,"4,934,278",44,"12,319,170",53,"683,051",51,"409,643",60,"849,726",77,"78,052",87,"587,886",42,"352,779",83,"839,974",80,"798,128",43,"9,362",27,"8,993",22,369
240449048,2449048,24,4,49,48,Saint-Germain-de-Grantham,78,"11,945,249",24,"100,120",24,"100,120",0,0,42,"1,102,287",26,"615,465",34,"486,822",78,"583,419",41,"232,789",73,"350,630",75,"726,631",72,"287,794",70,"438,837",48,"1,124,653",45,"674,865",35,"140,037",38,"309,751",36,"284,570",17,"31,182",57,"5,066,336",54,"3,435,816",52,"2,810,311",35,"1,291,841",49,"338,679",49,"394,366",56,"927,917",68,"58,881",73,"315,184",27,"200,600",66,"389,971",69,"923,702",42,"3,196",20,"2,427",31,769
240449057,2449057,24,4,49,57,Drummondville,20,"9,499,069",4,x,3,"2,350",1,x,12,"1,096,211",5,"33,805",10,"1,062,406",19,"334,758",10,x,15,x,18,"112,265",18,"47,042",17,"65,223",16,"446,208",14,"138,690",11,x,12,x,11,x,12,"25,944",9,x,8,x,8,x,5,x,9,"106,748",9,x,12,"637,724",17,x,19,x,2,x,16,x,19,"997,463",12,"1,935",6,"1,385",9,550
240449070,2449070,24,4,49,70,Saint-Cyrille-de-Wendover,73,"6,057,749",23,"51,262",23,x,1,x,34,"642,082",22,"385,991",24,"256,091",71,"385,001",43,"189,797",70,"195,204",71,"576,797",70,"205,474",63,"371,323",55,"621,981",49,"410,019",37,"58,819",43,"153,143",41,"120,002",31,"68,383",59,"1,990,608",52,"1,127,892",50,"956,998",40,"631,522",57,"231,194",50,"253,148",53,"584,932",59,"38,291",64,"169,875",10,"22,246",60,"319,325",67,"333,818",34,"1,783",14,"1,387",25,396
240449080,2449080,24,4,49,80,Notre-Dame-du-Bon-Conseil,39,"5,303,208",13,"15,990",13,"15,990",0,0,19,"455,316",12,"189,085",9,"266,231",38,"266,978",21,"137,790",37,"129,188",38,"534,006",36,"158,771",35,"375,235",28,"752,297",25,"368,551",20,"203,646",24,"180,100",22,"170,007",14,"14,520",33,"2,012,867",33,"1,088,531",31,"1,033,811",19,"747,852",32,"176,484",23,"128,308",29,"423,540",33,"21,812",37,"110,336",7,"63,656",34,"147,991",33,"355,591",19,867,12,667,9,200
240449085,2449085,24,4,49,85,Sainte-Brigitte-des-Saults,54,"10,028,835",16,"84,755",15,x,1,x,37,"1,264,084",21,"444,512",26,"819,572",53,"471,784",33,"233,511",52,"238,273",52,"859,231",52,"299,065",52,"560,166",49,"1,645,287",47,"854,382",38,"296,465",42,"494,440",42,"453,588",25,"182,201",46,"2,715,290",46,"1,598,966",45,"1,338,019",33,"784,233",43,"332,091",38,"329,017",49,"1,063,183",53,"49,474",53,"252,399",16,"50,012",51,"377,622",52,"684,496",37,"2,316",16,"1,394",30,922
240449090,2449090,24,4,49,90,Saint-Joachim-de-Courval,26,"2,241,843",8,"16,665",8,"16,665",0,0,18,"213,454",10,"94,902",15,"118,552",24,"169,271",15,"41,892",22,"127,379",25,"241,635",25,"77,047",23,"164,588",19,"243,511",16,"120,164",15,"25,813",14,"97,534",13,"74,686",9,"6,368",17,x,16,x,16,x,12,"197,836",16,"92,959",17,x,19,"222,152",23,"17,539",23,"67,196",7,"23,886",22,x,22,"179,176",18,567,6,293,16,274
240449095,2449095,24,4,49,95,Saint-Majorique-de-Grantham,27,"1,425,987",8,"8,447",8,"8,447",0,0,9,"103,936",5,x,6,x,27,"151,803",18,"75,614",27,"76,189",27,"176,237",26,"60,083",26,"116,154",23,"230,058",20,"155,426",17,x,20,x,19,"49,385",18,"15,331",20,x,20,x,19,"155,191",11,"74,432",17,"51,005",20,x,23,"157,030",23,"10,924",25,x,12,"18,315",26,x,25,"65,499",9,249,2,x,8,x
240449100,2449100,24,4,49,100,Saint-Edmond-de-Grantham,30,"5,457,561",6,"43,400",5,x,1,x,18,"714,556",12,"277,489",13,"437,067",29,"182,093",15,"82,412",26,"99,681",24,"345,167",24,"77,663",24,"267,504",21,"512,450",20,"280,302",16,"77,479",16,"154,669",13,"40,155",11,"7,559",19,"2,514,456",19,"2,113,798",17,"930,646",13,"267,102",18,"133,556",15,"126,046",24,"385,821",26,"20,663",26,"113,697",9,"35,013",24,"197,234",28,"259,406",18,"1,550",9,973,13,577
240449105,2449105,24,4,49,105,Saint-Eugäne,53,"7,324,436",7,"22,060",7,"22,060",0,0,18,"460,196",7,"105,756",14,"354,440",50,"384,642",28,"167,804",48,"216,838",51,"309,457",49,"124,228",47,"185,229",40,"498,871",33,"319,997",28,"86,757",25,"92,117",23,"83,953",16,"12,978",32,"4,426,630",30,"3,212,986",29,"3,105,593",17,"950,764",26,"262,880",26,"137,628",32,"241,918",47,"28,497",47,"191,784",15,"92,860",39,"338,175",44,"178,740",18,844,8,704,12,140
240449113,2449113,24,4,49,113,Saint-Guillaume,67,"7,095,930",27,"208,339",27,"208,339",0,0,38,"625,109",24,"379,092",23,"246,017",66,"448,452",49,"233,823",62,"214,629",67,"638,615",65,"259,491",59,"379,124",59,"1,739,346",56,"1,030,998",44,"215,814",51,"492,534",48,"383,219",20,"26,505",37,"1,045,464",37,"555,234",36,"495,803",29,"281,927",35,"208,303",48,"414,711",58,"939,148",64,"42,150",67,"190,399",22,"101,829",62,"253,443",57,"422,420",38,"1,627",14,952,29,675
240449125,2449125,24,4,49,125,Saint-Bonaventure,55,"5,256,410",18,"89,252",17,x,1,x,34,"547,731",24,"291,988",22,"255,743",54,"293,075",39,"135,769",48,"157,306",53,"500,069",52,"201,234",49,"298,835",46,"707,123",43,"395,758",36,"102,373",39,"208,992",39,"177,576",23,"25,884",41,"1,367,005",36,"857,500",36,"624,035",24,"364,075",39,"145,430",42,"248,516",46,"516,626",51,"33,323",53,"161,472",14,"65,573",43,"227,783",49,"472,978",34,"1,261",16,716,26,545
240449130,2449130,24,4,49,130,Saint-Pie-de-Guire,32,"2,905,452",10,"22,262",10,"22,262",0,0,16,"219,781",9,"118,215",11,"101,566",30,"192,686",22,"114,559",30,"78,127",30,"253,565",29,"97,163",30,"156,402",24,"405,905",22,"227,056",20,"62,122",22,"116,727",22,"115,899",13,"14,626",25,x,25,"501,641",25,"433,057",19,x,23,"104,930",22,"219,348",21,"260,709",28,x,29,"92,970",13,"26,992",28,"108,989",28,"184,809",16,935,13,884,6,51
240450000,2450000,24,4,50,0,Nicolet-Yamaska,694,"86,714,779",183,"861,885",177,"795,020",11,"66,865",411,"8,462,366",260,"4,700,097",285,"3,762,269",668,"5,032,300",429,"2,536,357",639,"2,495,943",666,"7,419,070",654,"2,724,573",643,"4,694,497",571,"13,255,220",528,"7,405,815",431,"1,978,166",487,"3,871,239",465,"3,446,223",305,"382,509",522,"25,713,041",493,"16,355,490",475,"13,425,490",320,"6,457,033",501,"2,900,518",492,"3,377,971",551,"9,298,072",635,"516,777",659,"2,311,883",188,"932,160",602,"2,652,022",630,"6,499,503",411,"20,792",209,"14,558",291,"6,234"
240450005,2450005,24,4,50,5,Sainte-Eulalie,29,"2,940,301",12,"17,827",12,"17,827",0,0,16,"288,233",8,"120,979",11,"167,254",28,"226,881",17,"129,188",28,"97,693",29,"292,250",28,"115,378",29,"176,872",19,"644,040",17,"279,500",16,"154,749",18,"209,791",16,"203,409",15,x,23,"525,237",23,"272,398",20,"191,178",15,"126,446",22,"126,393",18,"90,097",23,"462,393",26,"26,590",27,"93,074",3,x,27,"69,368",26,"172,567",16,742,5,408,12,334
240450015,2450015,24,4,50,15,Saint-Raphaâl-Partie-Sud,23,"1,576,649",4,"3,700",4,"3,700",0,0,9,"129,219",6,"101,242",7,"27,977",22,"100,537",14,"46,975",21,"53,562",22,"164,665",21,"53,286",21,"111,379",18,"340,075",17,"182,667",13,"57,839",16,"99,569",15,"88,261",10,x,16,"296,822",15,"195,299",14,"177,761",7,"42,165",16,"59,358",15,"65,163",16,"198,322",19,"14,263",20,"68,349",4,x,21,"52,111",22,"98,798",9,513,4,462,7,51
240450023,2450023,24,4,50,23,Saint-Wenceslas,61,"12,192,122",19,"60,343",19,"60,343",0,0,34,"1,219,300",18,"467,640",28,"751,660",59,"509,597",28,"240,424",58,"269,173",58,"421,575",55,"144,254",55,"277,321",40,"360,131",32,"185,996",21,"41,774",35,"132,361",31,"84,298",25,"45,115",52,"6,807,746",48,"4,678,271",42,"3,970,470",31,"1,875,382",48,"254,093",38,"148,324",41,"1,050,214",58,"52,817",58,"250,533",12,"64,463",51,"381,070",55,"820,894",34,"2,470",19,"2,042",22,428
240450035,2450035,24,4,50,35,Saint-CÇlestin,47,"4,350,474",15,"44,074",12,"27,324",4,"16,750",25,"330,013",15,"186,036",18,"143,977",47,"279,063",31,"143,764",44,"135,299",47,"346,202",47,"142,285",44,"203,917",37,"713,940",33,"424,724",30,"115,448",32,"173,768",30,"149,944",22,"18,339",38,"1,330,949",37,"746,958",36,"548,700",27,"455,193",38,"128,798",31,"159,223",39,"470,542",41,"30,165",45,"134,069",13,"45,063",41,"128,668",44,"320,164",25,"1,025",9,673,22,352
240450042,2450042,24,4,50,42,Saint-LÇonard-d'Aston,43,"5,317,270",14,"30,668",14,"30,668",0,0,23,"847,054",14,"380,996",19,"466,058",43,"333,542",28,"138,924",41,"194,618",41,"404,041",41,"132,544",40,"271,497",31,"919,598",27,"489,710",20,"163,713",26,"266,175",23,"209,741",15,"13,677",28,"1,399,366",26,"981,403",25,"514,196",15,"267,577",26,"150,386",23,"142,399",27,"481,413",37,"37,142",40,"159,692",8,"68,429",38,"191,997",33,"288,252",23,"1,270",11,919,15,351
240450050,2450050,24,4,50,50,Sainte-PerpÇtue,56,"8,463,121",14,"35,162",14,"35,162",0,0,43,"573,850",27,"379,863",24,"193,987",55,"426,335",38,"195,124",52,"231,211",54,"627,916",54,"257,823",54,"370,093",53,"1,008,472",53,"560,177",41,"149,437",47,"298,858",45,"274,494",26,"26,419",51,"3,403,834",49,"2,270,161",49,"1,875,770",34,"790,227",49,"343,446",43,"330,323",52,"914,330",55,"44,208",55,"222,833",15,"55,254",54,"281,618",54,"512,567",43,"1,683",19,"1,318",29,365
240450060,2450060,24,4,50,60,Sainte-Monique,43,"5,388,557",8,"23,689",8,"23,689",0,0,25,"302,413",16,"148,873",18,"153,540",40,"302,291",27,"153,093",36,"149,198",42,"518,723",42,"204,668",40,"314,055",40,"839,647",39,"539,583",30,"136,388",36,"163,676",36,"134,451",18,"14,271",38,"1,683,381",36,"974,259",36,"850,815",23,"498,907",37,"210,215",35,"244,070",39,"593,457",41,"34,190",43,"167,042",15,"50,125",36,"141,971",43,"473,287",25,"1,011",13,638,17,373
240450065,2450065,24,4,50,65,Grand-Saint-Esprit,23,"2,647,029",5,"33,116",5,x,1,x,15,"295,543",11,"238,609",10,"56,934",22,"141,943",16,"33,675",21,"108,268",21,"225,290",20,"82,504",20,"142,786",17,"435,750",16,"256,166",12,"59,114",14,"120,470",14,"118,045",10,"30,928",16,"535,584",14,"356,042",14,"216,485",9,"64,273",16,"115,269",19,"152,593",19,"261,287",21,"19,270",21,"63,524",7,"35,698",18,"78,688",22,"337,815",15,688,8,418,11,270
240450075,2450075,24,4,50,75,Saint-Jean-Baptiste-de-Nicolet,39,"7,161,037",15,"102,352",15,"102,352",0,0,25,"1,008,471",18,"577,898",21,"430,573",39,"425,308",26,"245,671",37,"179,637",37,"721,003",37,"227,399",35,"493,604",35,"1,338,397",34,"703,109",33,"176,193",33,"459,095",32,"440,972",13,"20,426",28,"1,583,659",28,"1,116,737",28,"923,461",17,"216,557",26,"250,365",32,"204,304",31,"615,656",33,"39,807",36,"182,733",12,"59,668",36,"229,785",38,"629,468",25,"2,060",17,"1,440",17,620
240450080,2450080,24,4,50,80,Nicolet-Sud,28,"3,097,285",9,"103,490",8,x,2,x,16,"313,526",11,"217,885",11,"95,641",28,"185,185",18,"93,419",27,"91,766",24,"386,159",23,"121,401",24,"264,758",22,"794,427",19,"481,710",15,"106,808",19,"205,909",19,"201,499",8,"6,665",18,"337,705",13,"205,338",13,"153,703",7,"38,550",17,"93,817",23,"195,162",22,"404,879",21,"12,847",23,"74,818",6,"31,721",23,"71,285",25,"179,416",16,757,9,522,11,235
240450085,2450085,24,4,50,85,La Visitation-de-Yamaska,38,"4,803,153",6,"80,293",6,x,1,x,27,"525,442",22,"349,360",16,"176,082",36,"252,375",26,"115,621",35,"136,754",38,"524,113",38,"200,855",36,"323,258",35,"752,618",34,"449,799",28,"89,073",27,"213,746",27,"200,558",16,"8,159",29,"941,448",28,"536,814",28,"422,799",20,"149,293",29,"255,341",30,"201,463",31,"601,898",36,"30,442",38,"133,401",15,"70,697",35,"162,964",33,"517,840",27,"1,299",16,"1,095",16,204
