AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,TOTALF,TOTALR,TOTALC,ONE,ONEF,ONER,ONEC,TWO,TWOF,TWOR,TWOC
240334070,2434070,24,3,34,70,Grondines,20,257,"59,180","310,378",10,234,"55,918","303,886",10,290,"63,891","319,755"
240334080,2434080,24,3,34,80,Saint-Casimir,40,253,"121,419","437,027",20,187,"71,875","326,214",25,319,"170,963","547,841"
240334085,2434085,24,3,34,85,Saint-Thuribe,30,228,"116,970","370,876",15,212,"85,184","275,249",20,242,"143,146","449,629"
240334090,2434090,24,3,34,90,Saint-Ubalde,60,320,"167,405","469,349",30,273,"166,548","448,288",30,367,"168,262","490,411"
240334097,2434097,24,3,34,97,Saint-Alban,30,257,"84,988","299,593",15,199,"43,027","212,844",15,326,"135,340","403,693"
240334105,2434105,24,3,34,105,Sainte-Christine-d'Auvergne,20,204,"66,033","290,543",15,195,"46,589","305,805",5,223,"110,475","255,659"
240334115,2434115,24,3,34,115,Saint-Léonard-de-Portneuf,20,269,"143,072","279,581",10,265,"180,593","275,663",5,276,"78,750","286,299"
240334128,2434128,24,3,34,128,Saint-Raymond,45,262,"95,821","334,063",25,177,"41,662","246,791",20,364,"161,382","439,708"
240400000,2400000,24,4,0,0,Mauricie--Bois-Francs,"5,405",236,"151,401","428,744","2,965",197,"117,392","328,755","2,440",283,"192,697","550,157"
240432000,2432000,24,4,32,0,L'Érable,755,254,"125,177","337,613",435,235,"79,580","243,690",325,280,"186,208","463,331"
240432005,2432005,24,4,32,5,Vianney,30,252,"71,562","226,077",15,227,"48,021","212,481",15,275,"93,421","238,701"
240432015,2432015,24,4,32,15,Saint-Ferdinand,70,212,"52,416","235,677",50,165,"30,519","178,025",25,306,"95,298","348,579"
240432020,2432020,24,4,32,20,Halifax-Nord,85,175,"80,526","228,848",45,132,"61,897","172,676",35,226,"103,182","297,165"
240432035,2432035,24,4,32,35,Princeville,100,235,"237,260","560,436",45,198,"284,100","453,631",50,268,"194,923","656,971"
240432045,2432045,24,4,32,45,Plessisville,100,236,"175,346","345,353",50,207,"57,639","229,734",45,267,"297,857","465,692"
240432050,2432050,24,4,32,50,Saint-Pierre-Baptiste,75,203,"62,338","262,353",45,174,"33,251","177,648",25,258,"118,186","424,985"
240432060,2432060,24,4,32,60,Inverness,115,378,"72,576","266,337",80,430,"45,436","220,247",35,265,"132,134","367,480"
240432065,2432065,24,4,32,65,Lyster,70,306,"198,446","466,604",30,212,"95,797","293,932",40,383,"282,187","607,468"
240432075,2432075,24,4,32,75,Sainte-Julie,70,249,"154,732","393,712",35,239,"92,446","301,265",35,260,"224,345","497,035"
240432080,2432080,24,4,32,80,Notre-Dame-de-Lourdes,30,238,"55,855","202,148",20,214,"50,053","199,990",10,322,"76,160","209,700"
240432085,2432085,24,4,32,85,Villeroy,20,260,"96,627","378,898",10,208,"40,301","218,817",10,341,"185,140","630,453"
240435000,2435000,24,4,35,0,Mékinac,200,273,"108,936","323,296",105,188,"74,460","247,927",95,370,"148,130","408,979"
240435010,2435010,24,4,35,10,Lac-aux-Sables,20,262,"113,412","301,384",10,196,"56,027","206,623",15,322,"166,014","388,248"
240435015,2435015,24,4,35,15,Saint-Adelphe,30,249,"147,405","431,277",15,229,"87,417","279,966",20,261,"182,135","518,879"
240435020,2435020,24,4,35,20,Saint-Séverin,35,228,"91,477","324,815",20,169,"46,081","244,997",15,304,"149,842","427,437"
240435030,2435030,24,4,35,30,Saint-Tite,55,385,"91,121","299,528",30,178,"62,268","229,105",15,764,"144,018","428,636"
240435035,2435035,24,4,35,35,Hérouxville,25,197,"159,053","353,331",15,160,"170,725","349,619",10,249,"142,713","358,527"
240435050,2435050,24,4,35,50,Sainte-Thècle,45,239,"85,853","269,977",20,211,"56,636","217,074",20,266,"113,743","320,475"
240436000,2436000,24,4,36,0,Le Centre-de-la-Mauricie,150,186,"84,165","260,641",115,148,"69,371","230,268",35,313,"132,775","360,441"
240436005,2436005,24,4,36,5,Charette,20,172,"36,565","201,563",20,167,"36,352","188,911",5,218,"38,486","315,436"
240436010,2436010,24,4,36,10,Saint-Élie,20,142,"68,900","233,195",20,150,"71,225","242,773",0,0,0,0
240436020,2436020,24,4,36,20,Saint-Boniface-de-Shawinigan,40,159,"151,524","281,821",25,139,"121,016","242,380",15,200,"212,540","360,703"
240436035,2436035,24,4,36,35,Shawinigan-Sud,20,158,"64,339","271,002",10,134,"63,241","223,234",5,225,"67,413","404,754"
240436040,2436040,24,4,36,40,Notre-Dame-du-Mont-Carmel,25,221,"78,807","270,971",20,129,"56,809","212,799",5,465,"137,469","426,097"
240436055,2436055,24,4,36,55,Grand-Mère,30,249,"55,445","275,251",25,162,"47,851","255,589",10,499,"77,277","331,781"
240437000,2437000,24,4,37,0,Francheville,505,208,"117,777","380,938",295,169,"88,589","318,311",210,263,"158,201","467,674"
240437005,2437005,24,4,37,5,Sainte-Anne-de-la-Pérade,70,234,"127,081","403,299",40,201,"114,685","399,034",30,274,"141,956","408,418"
240437010,2437010,24,4,37,10,Saint-Prosper,35,248,"133,820","421,381",20,244,"111,472","382,042",15,254,"163,151","473,014"
240437015,2437015,24,4,37,15,Saint-Stanislas,45,278,"89,102","399,311",20,220,"53,205","291,481",25,338,"126,630","512,044"
240437020,2437020,24,4,37,20,Sainte-Geneviève-de-Batiscan,30,243,"123,534","377,782",15,153,"76,501","219,359",15,332,"170,567","536,205"
240437025,2437025,24,4,37,25,Batiscan,30,189,"129,334","415,894",20,178,"81,915","290,835",15,208,"204,414","613,906"
240437030,2437030,24,4,37,30,Champlain,35,229,"153,623","547,787",15,186,"90,736","469,680",20,260,"199,359","604,592"
240437035,2437035,24,4,37,35,Saint-Luc-de-Vincennes,25,175,"76,588","288,239",20,191,"67,505","305,975",10,147,"92,029","258,088"
240437040,2437040,24,4,37,40,Saint-Narcisse,45,275,"81,095","302,439",25,184,"48,625","225,771",15,413,"130,755","419,696"
240437045,2437045,24,4,37,45,Saint-Maurice,65,231,"111,644","407,748",35,197,"87,719","375,277",30,265,"135,568","440,218"
240437060,2437060,24,4,37,60,Saint-Louis-de-France,20,62,"24,645","195,991",10,55,"22,876","173,166",5,86,"29,950","264,464"
240437065,2437065,24,4,37,65,Trois-Rivières,25,124,"64,170","344,263",15,103,"39,112","298,623",10,188,"143,521","488,790"
240437075,2437075,24,4,37,75,Pointe-du-Lac,30,93,"204,591","356,431",20,83,"256,684","380,263",10,114,"95,196","306,385"
240437080,2437080,24,4,37,80,Saint-Étienne-des-Grès,55,156,"143,425","338,572",40,134,"69,950","254,229",15,206,"307,664","527,101"
240438000,2438000,24,4,38,0,Bécancour,555,236,"136,012","391,557",300,194,"116,088","303,459",260,286,"159,271","494,394"
240438005,2438005,24,4,38,5,Saint-Sylvère,70,226,"149,312","405,361",35,188,"142,075","368,435",35,261,"156,122","440,115"
240438010,2438010,24,4,38,10,Bécancour,240,202,"103,824","364,523",140,164,"80,196","275,728",100,259,"138,060","493,186"
240438020,2438020,24,4,38,20,Lemieux,15,625,"239,559","530,631",5,954,"347,449","605,755",10,333,"143,657","463,854"
240438030,2438030,24,4,38,30,Saint-Joseph-de-Blandford,20,391,"79,113","291,348",15,327,"25,345","190,288",5,544,"208,158","533,889"
240438035,2438035,24,4,38,35,Sainte-Françoise,25,346,"435,281","607,860",10,219,"862,946","619,036",20,414,"208,869","601,944"
240438040,2438040,24,4,38,40,Sainte-Sophie-de-Lévrard,35,316,"153,250","478,032",20,185,"83,654","365,870",20,448,"222,846","590,193"
240438050,2438050,24,4,38,50,Sainte-Philomène-de-Fortierville,35,224,"151,169","340,816",20,176,"120,030","248,802",15,293,"195,652","472,265"
240438055,2438055,24,4,38,55,Parisville,35,181,"122,742","369,028",20,142,"67,297","290,300",15,240,"208,042","490,149"
240438060,2438060,24,4,38,60,Sainte-Cécile-de-Lévrard,30,226,"130,952","409,843",15,177,"82,415","261,398",15,278,"182,726","568,185"
240438065,2438065,24,4,38,65,Saint-Pierre-les-Becquets,35,159,"79,273","332,385",10,95,"44,263","187,363",25,188,"95,320","398,854"
240438070,2438070,24,4,38,70,Deschaillons-sur-Saint-Laurent,25,208,"125,709","405,093",10,151,"82,124","319,114",10,275,"177,218","506,704"
240439000,2439000,24,4,39,0,Arthabaska,"1,070",246,"143,087","431,904",540,216,"103,538","326,288",530,276,"183,232","539,115"
240439010,2439010,24,4,39,10,Ham-Nord,50,288,"79,047","288,718",25,240,"55,738","225,304",30,335,"101,459","349,693"
240439015,2439015,24,4,39,15,Notre-Dame-de-Lourdes-de-Ham,20,178,"31,132","136,685",15,186,"24,413","125,226",5,151,"51,288","171,065"
240439020,2439020,24,4,39,20,Saint-Rémi-de-Tingwick,45,234,"110,054","296,231",25,204,"67,176","228,816",20,277,"168,730","388,484"
240439025,2439025,24,4,39,25,Tingwick,100,282,"122,269","445,994",45,253,"65,899","285,589",55,308,"172,135","587,890"
240439030,2439030,24,4,39,30,Chesterville,60,271,"147,614","341,713",30,225,"59,524","252,263",30,309,"220,158","415,378"
240439035,2439035,24,4,39,35,Chester-Est,35,226,"57,511","227,266",20,176,"21,567","149,210",20,285,"99,799","319,097"
240439042,2439042,24,4,39,42,Saint-Norbert-d'Arthabaska,95,208,"96,781","324,446",40,223,"66,225","260,769",55,195,"120,419","373,705"
240439062,2439062,24,4,39,62,Victoriaville,125,239,"161,295","500,648",65,253,"96,626","402,881",55,223,"233,906","610,422"
240439080,2439080,24,4,39,80,Warwick,110,215,"157,909","536,991",45,138,"81,326","318,785",65,267,"210,126","685,768"
240439085,2439085,24,4,39,85,Saint-Albert-de-Warwick,45,265,"399,006","749,941",30,252,"473,166","742,422",15,283,"285,584","761,441"
240439090,2439090,24,4,39,90,Sainte-Élisabeth-de-Warwick,45,230,"169,632","612,657",20,145,"139,912","429,683",25,307,"196,767","779,719"
240439100,2439100,24,4,39,100,Kingsey Falls,40,261,"114,126","431,093",20,236,"75,896","381,948",20,290,"158,727","488,430"
240439105,2439105,24,4,39,105,Sainte-Séraphine,40,287,"309,157","686,283",15,272,"254,083","624,276",25,297,"345,873","727,620"
240439115,2439115,24,4,39,115,Sainte-Clothilde-de-Horton,45,261,"130,491","397,571",25,221,"95,784","294,864",20,307,"170,155","514,950"
240439125,2439125,24,4,39,125,Saint-Jacques-de-Horton,20,287,"152,265","458,096",15,337,"117,596","358,889",10,231,"190,401","567,224"
240439130,2439130,24,4,39,130,Saint-Samuel,25,235,"127,681","426,448",15,184,"86,069","291,228",10,296,"176,858","586,252"
240439135,2439135,24,4,39,135,Saint-Valère,65,230,"105,217","423,787",30,154,"42,075","256,637",35,301,"164,751","581,385"
240439145,2439145,24,4,39,145,Saint-Rosaire,50,241,"120,477","328,633",30,175,"90,837","237,784",20,354,"171,522","485,094"
240439150,2439150,24,4,39,150,Sainte-Anne-du-Sault,35,227,"95,804","326,173",20,196,"76,800","252,276",15,266,"119,279","417,458"
240439170,2439170,24,4,39,170,Saint-Louis-de-Blandford,15,335,"196,372","442,862",10,403,"280,079","526,586",5,228,"64,832","311,294"
240449000,2449000,24,4,49,0,Drummond,925,227,"182,561","481,077",490,183,"118,796","369,757",435,276,"254,389","606,471"
240449005,2449005,24,4,49,5,Kingsey,80,261,"139,586","447,423",45,232,"84,752","375,433",40,294,"200,192","526,991"
240449015,2449015,24,4,49,15,Durham-Sud,70,291,"107,528","430,006",30,279,"73,002","368,257",35,302,"136,300","481,464"
240449020,2449020,24,4,49,20,Lefebvre,30,233,"113,666","382,420",15,145,"63,806","276,514",15,315,"160,202","481,264"
240449025,2449025,24,4,49,25,L'Avenir,60,211,"88,078","323,640",35,207,"58,489","325,837",25,217,"129,502","320,564"
240449030,2449030,24,4,49,30,Saint-Lucien,15,242,"105,912","370,253",15,189,"56,900","236,228",5,347,"203,936","638,302"
240449035,2449035,24,4,49,35,Saint-Nicéphore,30,168,"140,500","445,421",15,159,"82,095","353,742",15,175,"191,604","525,640"
240449040,2449040,24,4,49,40,Wickham,90,161,"472,631","493,750",40,135,"212,725","392,182",45,186,"720,987","590,804"
240449048,2449048,24,4,49,48,Saint-Germain-de-Grantham,80,188,"189,861","482,705",40,182,"132,721","413,873",40,195,"250,009","555,160"
240449057,2449057,24,4,49,57,Drummondville,20,479,"557,720","900,706",15,182,"524,772","429,195",5,"1,668","689,513","2,786,749"
240449070,2449070,24,4,49,70,Saint-Cyrille-de-Wendover,75,191,"106,316","361,495",40,129,"53,474","255,097",35,262,"166,928","483,539"
240449080,2449080,24,4,49,80,Notre-Dame-du-Bon-Conseil,40,249,"165,857","448,176",20,184,"113,788","320,552",20,311,"215,322","569,418"
240449085,2449085,24,4,49,85,Sainte-Brigitte-des-Saults,55,305,"231,466","717,849",15,170,"128,973","365,703",40,362,"274,621","866,120"
240449090,2449090,24,4,49,90,Saint-Joachim-de-Courval,25,221,"111,776","435,846",15,177,"82,320","347,987",10,319,"178,052","633,530"
240449095,2449095,24,4,49,95,Saint-Majorique-de-Grantham,25,171,"69,260","355,780",20,164,"53,670","307,260",5,186,"100,440","452,819"
240449100,2449100,24,4,49,100,Saint-Edmond-de-Grantham,30,168,"274,209","587,958",20,154,"170,893","547,738",10,190,"429,184","648,289"
240449105,2449105,24,4,49,105,Saint-Eugène,55,160,"153,372","385,438",40,159,"162,433","343,056",20,164,"134,183","475,189"
240449113,2449113,24,4,49,113,Saint-Guillaume,65,288,"137,998","669,401",35,248,"93,651","557,728",35,328,"183,689","784,458"
240449125,2449125,24,4,49,125,Saint-Bonaventure,55,224,"134,630","503,967",25,173,"111,096","371,605",25,269,"155,729","622,637"
240449130,2449130,24,4,49,130,Saint-Pie-de-Guire,30,204,"119,930","530,182",20,143,"54,029","324,884",10,304,"229,767","872,346"
240450000,2450000,24,4,50,0,Nicolet-Yamaska,695,252,"169,057","567,826",375,203,"133,588","436,166",320,309,"210,511","721,704"
240450005,2450005,24,4,50,5,Sainte-Eulalie,25,323,"116,336","473,801",15,185,"45,217","190,738",15,434,"174,120","703,790"
240450015,2450015,24,4,50,15,Saint-Raphaël-Partie-Sud,25,276,"99,763","428,929",10,314,"77,675","392,083",15,248,"116,753","457,272"
240450023,2450023,24,4,50,23,Saint-Wenceslas,65,227,"256,891","434,572",40,187,"284,630","420,130",20,298,"207,717","460,175"
240450035,2450035,24,4,50,35,Saint-Célestin,45,265,"135,310","497,468",25,225,"114,485","455,205",20,319,"163,423","554,524"
240450042,2450042,24,4,50,42,Saint-Léonard-d'Aston,40,259,"148,231","463,456",25,213,"106,025","364,406",15,329,"212,780","614,943"
240450050,2450050,24,4,50,50,Sainte-Perpétue,60,238,"212,830","628,929",20,216,"201,252","529,673",35,252,"220,321","693,153"
240450060,2450060,24,4,50,60,Sainte-Monique,45,269,"184,237","752,940",25,224,"133,799","528,111",20,326,"247,949","1,036,935"
240450065,2450065,24,4,50,65,Grand-Saint-Esprit,25,299,"148,311","780,600",15,247,"87,806","594,984",10,379,"242,430","1,069,335"
240450075,2450075,24,4,50,75,Saint-Jean-Baptiste-de-Nicolet,40,342,"244,697","744,456",20,237,"125,991","412,084",20,443,"357,468","1,060,210"
240450080,2450080,24,4,50,80,Nicolet-Sud,30,311,"164,204","820,033",20,241,"106,538","584,823",10,419,"253,324","1,183,541"
240450085,2450085,24,4,50,85,La Visitation-de-Yamaska,40,232,"175,102","661,026",15,217,"142,485","545,995",25,243,"198,823","744,684"
240450090,2450090,24,4,50,90,Saint-Zéphirin-de-Courval,60,250,"167,243","616,363",35,213,"139,963","513,556",25,309,"211,128","781,750"
240450095,2450095,24,4,50,95,Saint-Elphège,30,306,"187,271","682,533",10,282,"164,180","614,409",20,320,"200,638","721,973"
240450100,2450100,24,4,50,100,Baie-du-Febvre,65,258,"186,438","652,415",30,221,"151,404","546,886",35,289,"216,320","742,425"
240450130,2450130,24,4,50,130,Saint-François-du-Lac,110,168,"106,385","355,166",70,121,"70,301","254,160",40,250,"167,990","527,617"
240451000,2451000,24,4,51,0,Maskinongé,530,206,"216,596","458,456",300,168,"241,472","360,979",225,257,"183,575","587,851"
240451010,2451010,24,4,51,10,Saint-Joseph-de-Maskinongé,50,186,"117,846","431,481",30,161,"105,594","423,930",20,226,"138,481","444,199"
240451015,2451015,24,4,51,15,Louiseville,65,198,"330,538","539,769",35,100,"412,941","437,857",25,329,"219,612","676,958"
240451020,2451020,24,4,51,20,Yamachiche,85,216,"537,443","495,526",25,203,"1,196,188","451,315",55,223,"176,998","519,718"
240451025,2451025,24,4,51,25,Saint-Barnabé,40,218,"179,965","458,617",25,184,"182,626","363,025",20,252,"177,178","558,761"
240451030,2451030,24,4,51,30,Saint-Sévère,35,222,"125,951","444,860",20,182,"88,234","345,534",15,271,"173,098","569,016"
240451035,2451035,24,4,51,35,Saint-Léon-le-Grand,70,211,"170,953","533,721",40,159,"112,940","333,928",35,277,"245,282","789,706"
240451040,2451040,24,4,51,40,Sainte-Ursule,50,206,"130,976","461,511",35,213,"114,736","408,066",20,192,"167,517","581,762"
240451045,2451045,24,4,51,45,Saint-Justin,45,238,"125,783","454,972",25,160,"75,905","297,642",15,384,"218,890","748,655"
240451055,2451055,24,4,51,55,Sainte-Angèle-de-Prémont,25,203,"51,041","248,056",20,192,"47,850","238,433",10,228,"58,619","270,910"
240451060,2451060,24,4,51,60,Saint-Paulin,55,171,"92,005","355,625",40,153,"61,634","267,680",20,205,"149,708","522,719"
240490000,2490000,24,4,90,0,Le Haut-Saint-Maurice,20,290,"37,884","252,926",15,317,"27,238","235,307",10,245,"55,183","281,557"
240490020,2490020,24,4,90,20,Langelier,25,290,"37,884","252,926",15,317,"27,238","235,307",10,245,"55,183","281,557"
240500000,2400000,24,5,0,0,Estrie,"3,145",257,"96,431","364,385","1,750",215,"63,201","274,004","1,390",310,"138,339","478,370"
240530000,2430000,24,5,30,0,Le Granit,595,258,"72,345","280,102",345,208,"41,037","214,574",245,329,"116,943","373,447"
240530005,2430005,24,5,30,5,Saint-Augustin-de-Woburn,20,296,"64,692","320,826",10,353,"75,548","319,258",10,247,"55,507","322,153"
240530020,2430020,24,5,30,20,Piopolis,35,229,"38,141","219,905",25,206,"25,726","172,260",10,281,"66,357","328,190"
240530025,2430025,24,5,30,25,Frontenac,30,221,"30,115","353,010",20,188,"27,900","390,535",5,317,"36,761","240,435"
240530045,2430045,24,5,30,45,Nantes,35,270,"47,630","187,850",20,232,"24,983","146,074",15,315,"74,524","237,458"
240530050,2430050,24,5,30,50,Sainte-Cécile-de-Whitton,30,279,"83,097","285,088",15,201,"36,524","159,374",15,362,"132,995","419,780"
240530055,2430055,24,5,30,55,Audet,45,187,"53,823","252,259",25,134,"28,663","148,909",15,266,"91,563","407,285"
240530070,2430070,24,5,30,70,Saint-Robert-Bellarmin,55,312,"87,022","394,585",25,262,"59,403","353,427",30,349,"107,946","425,766"
240530075,2430075,24,5,30,75,Gayhurst-Partie-Sud-Est,25,310,"162,810","362,510",10,279,"79,143","246,374",15,334,"227,169","451,846"
240530080,2430080,24,5,30,80,Lac-Drolet,45,247,"68,939","250,005",30,211,"38,692","200,301",15,323,"131,451","352,728"
240530085,2430085,24,5,30,85,Saint-Sébastien,55,232,"60,401","233,779",35,172,"41,586","178,776",20,326,"89,968","320,211"
240530090,2430090,24,5,30,90,Courcelles,45,267,"57,327","238,062",25,189,"22,002","148,326",15,418,"125,455","411,126"
240530095,2430095,24,5,30,95,Lambton,70,240,"83,321","269,899",50,175,"33,079","180,632",25,368,"181,711","444,714"
240530100,2430100,24,5,30,100,Saint-Romain,30,238,"87,218","252,656",20,196,"56,744","240,897",20,280,"117,693","264,415"
240530105,2430105,24,5,30,105,Stornoway,40,263,"46,584","255,419",25,161,"17,895","175,073",15,423,"91,411","380,959"
240530110,2430110,24,5,30,110,Stratford,30,334,"145,586","382,505",20,385,"124,288","326,247",15,271,"171,447","450,819"
240540000,2440000,24,5,40,0,Asbestos,295,276,"113,413","358,331",170,243,"99,865","276,259",125,320,"131,654","468,836"
240540005,2440005,24,5,40,5,Saint-Joseph-de-Ham-Sud,20,258,"64,506","217,706",15,240,"51,631","198,193",0,0,0,0
240540010,2440010,24,5,40,10,Saint-Adrien,30,239,"59,695","279,286",20,233,"38,663","224,136",10,251,"106,434","401,841"
240540017,2440017,24,5,40,17,Wotton,80,319,"112,383","410,440",35,268,"53,393","252,476",40,365,"165,617","552,993"
240540025,2440025,24,5,40,25,Saint-Camille,35,317,"86,215","339,567",15,261,"59,773","256,342",20,367,"110,013","414,470"
240540032,2440032,24,5,40,32,Saint-Georges-de-Windsor,55,278,"93,864","381,113",30,269,"55,921","285,099",25,290,"142,873","505,132"
240540050,2440050,24,5,40,50,Shipton,75,229,"175,412","366,654",50,204,"221,687","345,719",25,270,"98,819","401,304"
240541000,2441000,24,5,41,0,Le Haut-Saint-François,625,289,"82,115","349,640",350,266,"53,416","280,704",270,318,"119,255","438,850"
240541005,2441005,24,5,41,5,Saint-Malo,25,356,"128,815","417,115",10,297,"63,332","277,387",15,395,"172,470","510,266"
240541010,2441010,24,5,41,10,Clifton-Partie-Est,35,415,"105,271","506,312",10,467,"100,778","580,830",25,395,"107,069","476,505"
240541015,2441015,24,5,41,15,Saint-Isidore-d'Auckland,35,299,"56,952","293,503",20,293,"37,276","231,555",15,308,"82,776","374,809"
240541030,2441030,24,5,41,30,Ditton,45,346,"78,572","349,914",25,281,"52,385","226,964",20,424,"110,273","498,748"
240541035,2441035,24,5,41,35,Newport,45,309,"120,969","427,182",25,316,"68,572","318,825",25,303,"175,749","540,463"
240541050,2441050,24,5,41,50,Eaton,175,296,"104,794","429,879",90,295,"71,514","384,804",85,297,"140,054","477,637"
240541055,2441055,24,5,41,55,Ascot Corner,35,213,"54,074","273,103",20,189,"33,167","233,990",10,256,"92,086","344,219"
240541065,2441065,24,5,41,65,Westbury,30,182,"82,165","299,974",20,150,"61,025","269,366",15,240,"120,920","356,089"
240541070,2441070,24,5,41,70,Bury,55,265,"57,932","289,123",40,242,"48,178","235,356",20,321,"81,097","416,821"
240541085,2441085,24,5,41,85,Lingwick,45,303,"41,877","209,051",25,307,"35,088","184,284",15,292,"57,022","264,300"
240541105,2441105,24,5,41,105,Weedon,50,264,"70,904","305,644",35,238,"37,347","230,260",20,304,"122,039","420,515"
240541117,2441117,24,5,41,117,Dudswell,50,231,"42,259","219,264",35,202,"33,780","180,014",15,285,"58,746","295,584"
240542000,2442000,24,5,42,0,Le Val-Saint-François,580,227,"91,016","327,272",330,193,"70,515","268,785",250,270,"117,938","404,080"
240542005,2442005,24,5,42,5,Stoke,45,241,"213,073","429,767",30,231,"265,093","422,106",15,256,"127,393","442,384"
240542015,2442015,24,5,42,15,Brompton,60,200,"83,450","349,272",35,179,"59,469","315,506",25,232,"119,944","400,655"
240542020,2442020,24,5,42,20,Saint-François-Xavier-de-Brompton,50,209,"84,438","284,662",30,153,"44,364","206,225",25,272,"129,521","372,904"
240542032,2442032,24,5,42,32,Racine,35,175,"73,116","285,928",15,141,"56,644","245,936",20,204,"87,234","320,208"
240542040,2442040,24,5,42,40,Bonsecours,30,180,"43,077","244,035",20,100,"20,241","173,084",15,285,"72,939","336,816"
240542050,2442050,24,5,42,50,Sainte-Anne-de-la-Rochelle,50,225,"79,122","359,684",25,207,"62,537","305,764",25,244,"97,033","417,916"
240542060,2442060,24,5,42,60,Valcourt,40,249,"90,650","331,398",20,184,"27,935","233,783",15,320,"159,967","439,287"
240542065,2442065,24,5,42,65,Maricourt,35,204,"48,053","218,716",20,159,"24,263","166,672",15,254,"74,643","276,882"
240542075,2442075,24,5,42,75,Melbourne,65,235,"86,906","300,799",35,189,"48,954","242,841",30,290,"132,710","370,748"
240542095,2442095,24,5,42,95,Val-Joli,65,240,"89,027","321,543",40,230,"80,629","299,770",25,256,"103,999","360,356"
240542100,2442100,24,5,42,100,Saint-Claude,45,233,"89,609","397,269",25,190,"38,358","225,914",20,295,"162,439","640,772"
240542110,2442110,24,5,42,110,Cleveland,55,297,"92,048","352,628",35,265,"68,815","277,257",20,351,"131,179","479,569"
240543000,2443000,24,5,43,0,Sherbrooke,130,154,"81,572","349,924",80,128,"65,990","290,142",50,196,"106,815","446,770"
240543015,2443015,24,5,43,15,Ascot,45,226,"103,196","434,389",30,176,"50,711","298,490",20,305,"186,066","648,967"
240543025,2443025,24,5,43,25,Sherbrooke,25,113,"33,173","249,146",20,130,"45,596","255,808",10,80,"8,325","235,822"
240543030,2443030,24,5,43,30,Rock Forest,20,102,"96,567","322,458",15,98,"100,956","317,996",10,107,"90,423","328,705"
240543040,2443040,24,5,43,40,Saint-Élie-d'Orford,30,116,"77,938","325,450",20,72,"83,669","288,963",10,186,"68,863","383,222"
240544000,2444000,24,5,44,0,Coaticook,570,299,"160,526","520,585",240,232,"93,947","340,986",335,346,"208,311","649,487"
240544010,2444010,24,5,44,10,East Hereford,25,413,"136,933","356,124",10,318,"118,815","279,477",15,483,"150,220","412,332"
240544015,2444015,24,5,44,15,Saint-Herménégilde,35,415,"125,630","490,560",20,328,"46,996","245,762",15,513,"213,514","764,157"
240544023,2444023,24,5,44,23,Dixville,35,244,"116,345","428,561",15,169,"69,204","307,094",20,297,"149,343","513,587"
240544030,2444030,24,5,44,30,Barford,25,293,"135,725","471,346",10,170,"91,384","216,418",15,375,"165,286","641,299"
240544040,2444040,24,5,44,40,Barnston,105,298,"183,861","566,776",35,216,"120,322","405,344",65,347,"221,406","662,168"
240544045,2444045,24,5,44,45,Barnston-Ouest,50,271,"113,357","414,452",15,179,"25,356","185,943",30,327,"167,979","556,285"
240544050,2444050,24,5,44,50,Stanstead-Est,60,233,"190,731","475,349",35,207,"155,751","392,123",25,271,"241,856","596,986"
240544055,2444055,24,5,44,55,Sainte-Edwidge-de-Clifton,65,336,"150,185","510,812",30,241,"69,904","338,076",40,411,"213,565","647,182"
240544060,2444060,24,5,44,60,Martinville,20,304,"119,316","379,998",5,191,"70,208","317,153",10,387,"155,031","425,704"
240544067,2444067,24,5,44,67,Compton,75,309,"174,122","577,068",30,278,"85,262","391,189",50,328,"230,842","695,715"
240544075,2444075,24,5,44,75,Compton Station,70,256,"192,424","685,889",20,229,"94,841","400,782",50,269,"236,237","813,897"
240545000,2445000,24,5,45,0,Memphrémagog,350,204,"57,879","350,003",235,174,"41,599","284,207",115,264,"91,297","485,058"
240545020,2445020,24,5,45,20,Ogden,45,222,"77,346","342,569",30,178,"68,706","254,975",15,298,"92,084","491,993"
240545025,2445025,24,5,45,25,Stanstead,30,213,"69,553","346,364",15,151,"16,421","203,696",10,304,"146,836","553,881"
240545030,2445030,24,5,45,30,Potton,55,243,"28,200","367,308",40,190,"18,197","325,294",15,389,"55,542","482,147"
240545043,2445043,24,5,45,43,Hatley,30,209,"87,037","456,407",20,170,"55,536","317,605",15,273,"137,923","680,626"
240545055,2445055,24,5,45,55,Hatley,20,155,"54,137","319,797",15,169,"58,682","342,213",5,108,"39,363","246,948"
240545060,2445060,24,5,45,60,Sainte-Catherine-de-Hatley,60,172,"58,475","343,730",40,157,"50,463","305,619",15,208,"76,856","431,163"
240545075,2445075,24,5,45,75,Magog,45,167,"83,874","339,214",30,132,"57,135","298,315",20,226,"129,489","408,983"
240545085,2445085,24,5,45,85,Austin,45,196,"26,295","318,277",30,191,"26,999","256,945",20,206,"25,010","430,118"
240545105,2445105,24,5,45,105,Stukely-Sud,20,268,"47,347","279,852",15,252,"22,778","190,664",0,0,0,0
240600000,2400000,24,6,0,0,Montréal-Laval,285,87,"284,820","536,424",185,96,"323,231","505,258",105,69,"213,701","594,126"
240665000,2465000,24,6,65,0,Laval,205,77,"163,229","549,852",120,79,"113,873","493,360",85,74,"235,457","632,524"
