AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NTSMFRTC,TSMFRTC,ETSMFRTC,NTARHRV,TARHRV,ETARHRV,NSTWBRYC,STWBRYC,ESTWBRYC,NSTWBRYH,STWBRYH,ESTWBRYH,NRASPBC,RASPBC,ERASPBC,NRASPBH,RASPBH,ERASPBH,NBLUEBC,BLUEBC,EBLUEBC,NBLUEBH,BLUEBH,EBLUEBH,NCRANBC,CRANBC,ECRANBC,NCRANBH,CRANBH,ECRANBH,NGRAPESC,GRAPESC,EGRAPESC,NGRAPESH,GRAPESH,EGRAPESH,NOTHBERC,OTHBERC,EOTHBERC,NOTHBERH,OTHBERH,EOTHBERH
240294090,2494090,24,2,94,90,Saint-Ambroise,52,3,x,x,3,x,x,1,x,x,1,x,x,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240295000,2495000,24,2,95,0,La Haute-Cìte-Nord,49,4,x,x,4,x,x,1,x,x,1,x,x,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240295010,2495010,24,2,95,10,SacrÇ-Coeur,27,2,x,x,2,x,x,1,x,x,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240295020,2495020,24,2,95,20,Bergeronnes,22,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240296000,2496000,24,2,96,0,Manicouagan,23,6,x,x,6,x,x,4,10,4,3,x,x,4,6,3,4,6,3,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240296020,2496020,24,2,96,20,Baie-Comeau,23,6,x,x,6,x,x,4,10,4,3,x,x,4,6,3,4,6,3,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240300000,2400000,24,3,0,0,QuÇbec,"1,398",171,"1,255",508,164,909,368,120,959,388,116,698,283,95,x,x,92,166,67,14,x,x,12,24,10,0,0,0,0,0,0,4,39,16,4,12,5,10,27,11,8,9,4
240315000,2415000,24,3,15,0,Charlevoix-Est,85,2,x,x,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240315005,2415005,24,3,15,5,Saint-IrÇnÇe,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240315025,2415025,24,3,15,25,Notre-Dame-des-Monts,39,2,x,x,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240315045,2415045,24,3,15,45,Riviäre-Malbaie,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240316000,2416000,24,3,16,0,Charlevoix,162,6,x,x,6,x,x,4,5,2,4,x,x,4,4,1,4,4,1,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240316015,2416015,24,3,16,15,Baie-Saint-Paul,35,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240316035,2416035,24,3,16,35,Riviäre-du-Gouffre,22,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240316045,2416045,24,3,16,45,Les êboulements,42,2,x,x,2,x,x,1,x,x,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240316050,2416050,24,3,16,50,Saint-Hilarion,34,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240316055,2416055,24,3,16,55,Saint-Urbain,29,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240320000,2420000,24,3,20,0,L'?le-d'OrlÇans,226,88,972,394,85,690,279,69,825,334,67,588,238,40,105,42,39,85,34,8,x,x,7,x,x,0,0,0,0,0,0,1,x,x,1,x,x,5,26,10,4,8,3
240320005,2420005,24,3,20,5,Saint-Franáois,36,10,75,30,9,50,20,10,68,28,9,x,x,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240320010,2420010,24,3,20,10,Sainte-Famille,69,25,102,41,25,79,32,15,x,x,15,44,18,20,42,17,19,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
240320015,2420015,24,3,20,15,Saint-Jean,39,7,69,28,6,52,21,5,x,x,5,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
240320020,2420020,24,3,20,20,Saint-Laurent,48,31,631,256,30,437,177,29,586,237,28,402,163,10,42,17,10,32,13,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
240320025,2420025,24,3,20,25,Saint-Pierre,34,15,95,39,15,71,29,10,57,23,10,47,19,7,13,5,7,x,x,3,x,x,3,2,0,0,0,0,0,0,0,1,x,x,1,x,x,2,x,x,2,x,x
240321000,2421000,24,3,21,0,La Cìte-de-BeauprÇ,103,29,117,47,28,84,34,19,x,x,18,36,14,22,43,17,22,39,16,2,x,x,2,x,x,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x
240321005,2421005,24,3,21,5,Saint-Tite-des-Caps,26,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0
240321030,2421030,24,3,21,30,Sainte-Anne-de-BeauprÇ,25,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240321035,2421035,24,3,21,35,ChÉteau-Richer,27,15,46,19,14,40,16,10,x,x,9,x,x,13,24,10,13,21,9,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
240321040,2421040,24,3,21,40,L'Ange-Gardien,25,10,34,14,10,30,12,7,15,6,7,12,5,9,19,8,9,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240322000,2422000,24,3,22,0,La Jacques-Cartier,70,8,21,8,6,13,5,3,x,x,2,x,x,4,2,1,3,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0
240322005,2422005,24,3,22,5,Sainte-Catherine-de-la-Jacques-Cartier,27,3,14,6,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240322025,2422025,24,3,22,25,Saint-Gabriel-de-Valcartier,43,5,7,3,4,x,x,2,x,x,1,x,x,3,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0
240323000,2423000,24,3,23,0,CommunautÇ-Urbaine-de-QuÇbec,181,15,42,17,14,35,14,9,23,9,9,20,8,9,x,x,8,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
240323025,2423025,24,3,23,25,QuÇbec,34,4,12,5,4,11,5,2,x,x,2,x,x,3,x,x,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240323050,2423050,24,3,23,50,Val-BÇlair,22,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240323060,2423060,24,3,23,60,Sainte-Foy,48,2,x,x,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240323070,2423070,24,3,23,70,Saint-Augustin-de-Desmaures,77,8,23,9,7,18,7,5,17,7,5,15,6,4,x,x,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
240334000,2434000,24,3,34,0,Portneuf,571,23,88,36,23,73,30,15,51,21,15,43,18,15,x,x,15,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,2,x,x,2,x,x
240334010,2434010,24,3,34,10,Pointe-aux-Trembles,54,6,13,5,6,13,5,5,6,3,5,6,3,4,7,3,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240334020,2434020,24,3,34,20,Sainte-Jeanne-de-Pont-Rouge,73,5,38,15,5,31,12,3,x,x,3,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
240334030,2434030,24,3,34,30,Cap-SantÇ,36,6,8,3,6,7,3,3,3,1,3,2,0,6,5,2,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240334040,2434040,24,3,34,40,Saint-Basile,67,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240334055,2434055,24,3,34,55,Deschambault,32,2,x,x,2,x,x,1,x,x,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0
240334060,2434060,24,3,34,60,Saint-Gilbert,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240334070,2434070,24,3,34,70,Grondines,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240334080,2434080,24,3,34,80,Saint-Casimir,44,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
240334085,2434085,24,3,34,85,Saint-Thuribe,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240334090,2434090,24,3,34,90,Saint-Ubalde,58,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240334097,2434097,24,3,34,97,Saint-Alban,33,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240334105,2434105,24,3,34,105,Sainte-Christine-d'Auvergne,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240334115,2434115,24,3,34,115,Saint-LÇonard-de-Portneuf,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240334128,2434128,24,3,34,128,Saint-Raymond,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240400000,2400000,24,4,0,0,Mauricie--Bois-Francs,"5,405",139,"1,864",754,129,"1,392",563,96,638,258,94,502,203,62,194,79,57,x,x,21,72,29,14,x,x,10,x,x,6,666,269,3,x,x,3,x,x,4,2,0,2,x,x
240432000,2432000,24,4,32,0,L'êrable,753,14,295,119,12,134,54,4,32,13,4,31,13,7,22,9,7,22,9,3,23,9,3,16,6,5,x,x,3,66,27,0,0,0,0,0,0,1,x,x,0,0,0
240432005,2432005,24,4,32,5,Vianney,27,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240432015,2432015,24,4,32,15,Saint-Ferdinand,71,2,x,x,2,x,x,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240432020,2432020,24,4,32,20,Halifax-Nord,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240432035,2432035,24,4,32,35,Princeville,99,2,x,x,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
240432045,2432045,24,4,32,45,Plessisville,100,2,x,x,2,x,x,1,x,x,1,x,x,2,x,x,2,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240432050,2432050,24,4,32,50,Saint-Pierre-Baptiste,73,2,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
240432060,2432060,24,4,32,60,Inverness,115,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240432065,2432065,24,4,32,65,Lyster,69,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240432075,2432075,24,4,32,75,Sainte-Julie,72,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240432080,2432080,24,4,32,80,Notre-Dame-de-Lourdes,27,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
240432085,2432085,24,4,32,85,Villeroy,18,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
240435000,2435000,24,4,35,0,MÇkinac,203,6,x,x,6,x,x,5,9,4,5,9,4,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240435010,2435010,24,4,35,10,Lac-aux-Sables,23,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240435015,2435015,24,4,35,15,Saint-Adelphe,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240435020,2435020,24,4,35,20,Saint-SÇverin,32,2,x,x,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240435030,2435030,24,4,35,30,Saint-Tite,51,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240435035,2435035,24,4,35,35,HÇrouxville,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240435050,2435050,24,4,35,50,Sainte-Thäcle,43,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240436000,2436000,24,4,36,0,Le Centre-de-la-Mauricie,150,11,64,26,10,49,20,8,45,18,8,33,14,6,x,x,5,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240436005,2436005,24,4,36,5,Charette,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240436010,2436010,24,4,36,10,Saint-êlie,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240436020,2436020,24,4,36,20,Saint-Boniface-de-Shawinigan,39,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240436035,2436035,24,4,36,35,Shawinigan-Sud,19,3,14,6,3,13,5,3,14,6,3,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240436040,2436040,24,4,36,40,Notre-Dame-du-Mont-Carmel,22,4,34,14,3,23,9,2,x,x,2,x,x,3,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240436055,2436055,24,4,36,55,Grand-Märe,31,3,x,x,3,x,x,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240437000,2437000,24,4,37,0,Francheville,508,29,236,96,27,183,74,23,174,71,22,131,53,17,59,24,15,48,20,3,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
240437005,2437005,24,4,37,5,Sainte-Anne-de-la-PÇrade,66,2,x,x,1,x,x,2,x,x,1,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240437010,2437010,24,4,37,10,Saint-Prosper,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240437015,2437015,24,4,37,15,Saint-Stanislas,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240437020,2437020,24,4,37,20,Sainte-Geneviäve-de-Batiscan,30,3,14,6,3,10,4,2,x,x,2,x,x,3,x,x,3,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240437025,2437025,24,4,37,25,Batiscan,31,2,x,x,2,x,x,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240437030,2437030,24,4,37,30,Champlain,38,3,16,7,3,16,7,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240437035,2437035,24,4,37,35,Saint-Luc-de-Vincennes,27,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240437040,2437040,24,4,37,40,Saint-Narcisse,43,2,x,x,2,x,x,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240437045,2437045,24,4,37,45,Saint-Maurice,64,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x
240437060,2437060,24,4,37,60,Saint-Louis-de-France,16,2,x,x,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240437065,2437065,24,4,37,65,Trois-Riviäres,25,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240437075,2437075,24,4,37,75,Pointe-du-Lac,31,2,x,x,2,x,x,2,x,x,2,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240437080,2437080,24,4,37,80,Saint-êtienne-des-Gräs,55,9,61,25,8,48,19,8,57,23,8,44,18,3,x,x,3,4,1,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240438000,2438000,24,4,38,0,BÇcancour,557,11,215,87,10,178,72,6,29,12,6,x,x,3,x,x,3,2,0,3,x,x,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0
240438005,2438005,24,4,38,5,Saint-Sylväre,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240438010,2438010,24,4,38,10,BÇcancour,240,5,21,8,4,15,6,3,x,x,3,x,x,2,x,x,2,x,x,2,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0
240438020,2438020,24,4,38,20,Lemieux,17,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
240438030,2438030,24,4,38,30,Saint-Joseph-de-Blandford,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240438035,2438035,24,4,38,35,Sainte-Franáoise,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240438040,2438040,24,4,38,40,Sainte-Sophie-de-LÇvrard,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240438050,2438050,24,4,38,50,Sainte-Philomäne-de-Fortierville,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240438055,2438055,24,4,38,55,Parisville,33,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240438060,2438060,24,4,38,60,Sainte-CÇcile-de-LÇvrard,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240438065,2438065,24,4,38,65,Saint-Pierre-les-Becquets,35,2,x,x,2,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240438070,2438070,24,4,38,70,Deschaillons-sur-Saint-Laurent,24,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439000,2439000,24,4,39,0,Arthabaska,"1,068",16,481,195,14,389,157,9,x,x,9,x,x,8,x,x,8,x,x,1,x,x,0,0,0,3,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
240439010,2439010,24,4,39,10,Ham-Nord,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439015,2439015,24,4,39,15,Notre-Dame-de-Lourdes-de-Ham,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439020,2439020,24,4,39,20,Saint-RÇmi-de-Tingwick,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439025,2439025,24,4,39,25,Tingwick,98,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439030,2439030,24,4,39,30,Chesterville,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439035,2439035,24,4,39,35,Chester-Est,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439042,2439042,24,4,39,42,Saint-Norbert-d'Arthabaska,94,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439062,2439062,24,4,39,62,Victoriaville,121,7,79,32,7,57,23,5,63,26,5,42,17,4,16,6,4,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439080,2439080,24,4,39,80,Warwick,111,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439085,2439085,24,4,39,85,Saint-Albert-de-Warwick,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439090,2439090,24,4,39,90,Sainte-êlisabeth-de-Warwick,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439100,2439100,24,4,39,100,Kingsey Falls,39,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439105,2439105,24,4,39,105,Sainte-SÇraphine,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439115,2439115,24,4,39,115,Sainte-Clothilde-de-Horton,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240439125,2439125,24,4,39,125,Saint-Jacques-de-Horton,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
