AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TFAREA,NTCHICK,TCHICK,NBROILER,BROILER,NPULETS,PULETS,NLAYHEN,LAYHEN,NHENHTCH,HENHTCH,NTURKEY,TURKEY,NOTHPLT,OTHPLT,NBROILPD,BROILPD,GBROILPD,NTURKPRD,TURKPRD,GTURKPRD,NHATCHNM,HATCHNM,NTCATTL,TCATTL,NBULLS,BULLS,NTOTCOW,TOTCOW,NMLKCOW,MLKCOW,NBFCOWS,BFCOWS,NHEIFER,HEIFER,NSTEERS,STEERS,NCALFU1,CALFU1,NTOPIGS,TOPIGS,NBOARS,BOARS,NSOWS,SOWS,NTOTOTP,TOTOTP,NTSHEEP,TSHEEP,NRAMS,RAMS,NEWEWETH,EWEWETH,NLAMBS,LAMBS,NHORSES,HORSES,NGOATS,GOATS,NRABBIT,RABBIT,NMINK,MINK,NFOX,FOX,NBISON,BISON,NDEER,DEER,NLAMAS,LAMAS,NOTHLIV,NBEES,BEES
130202042,1302042,13,2,2,42,Saint David,36,4,x,0,0,1,x,4,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,860,12,x,13,414,3,x,11,x,9,139,2,x,14,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,2,x
130202044,1302044,13,2,2,44,Dumbarton,27,2,x,1,x,1,x,2,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,6,172,5,x,6,78,1,x,5,x,6,23,2,x,6,56,0,0,0,0,0,0,0,0,1,x,0,0,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
130203000,1303000,13,2,3,0,Sunbury County,120,16,x,3,59,1,x,16,400,0,0,0,0,7,99,3,616,"1,358",2,x,x,0,0,51,"1,763",24,28,47,852,16,x,34,x,38,290,14,141,47,452,2,x,0,0,1,x,1,x,11,288,6,8,9,144,7,136,27,112,3,17,6,163,0,0,2,x,0,0,0,0,0,0,3,6,24
130203001,1303001,13,2,3,1,Blissville,32,6,99,2,x,1,x,6,59,0,0,0,0,3,45,1,x,x,0,0,0,0,0,17,377,8,x,16,189,5,69,12,120,10,54,2,x,16,122,0,0,0,0,0,0,0,0,5,103,2,x,5,64,4,x,9,18,0,0,1,x,0,0,1,x,0,0,0,0,0,0,0,1,x
130203004,1303004,13,2,3,4,Gladstone,18,4,x,1,x,0,0,4,105,0,0,0,0,1,x,1,x,x,1,x,x,0,0,9,294,3,4,8,166,4,131,5,35,8,54,3,8,8,62,0,0,0,0,0,0,0,0,3,x,1,x,2,x,2,x,4,9,0,0,3,x,0,0,1,x,0,0,0,0,0,0,1,2,x
130203008,1303008,13,2,3,8,Lincoln,24,2,x,0,0,0,0,2,x,0,0,0,0,2,x,1,x,x,1,x,x,0,0,10,202,6,7,10,98,2,x,8,x,7,27,3,5,9,65,1,x,0,0,1,x,0,0,1,x,1,x,1,x,1,x,6,23,1,x,0,0,0,0,0,0,0,0,0,0,0,0,1,2,x
130203011,1303011,13,2,3,11,Burton,17,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,188,3,x,5,95,1,x,4,x,5,35,2,x,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,1,x
130203016,1303016,13,2,3,16,Maugerville,29,3,101,0,0,0,0,3,101,0,0,0,0,1,x,0,0,0,0,0,0,0,0,10,702,4,x,8,304,4,208,5,96,8,120,4,x,9,157,1,x,0,0,0,0,1,x,2,x,2,x,1,x,0,0,5,17,2,x,1,x,0,0,0,0,0,0,0,0,0,0,1,0,0
130204000,1304000,13,2,4,0,Queens County,162,19,x,10,x,5,134,12,288,0,0,5,x,10,114,11,"1,925,795","4,245,651",5,x,x,0,0,91,"4,186",67,117,87,"1,926",14,412,81,"1,514",71,666,34,203,85,"1,274",7,x,3,9,3,x,6,x,7,x,6,x,7,x,5,x,30,166,2,x,7,x,0,0,1,x,0,0,1,x,0,0,2,8,107
130204004,1304004,13,2,4,4,Gagetown,19,2,x,1,x,1,x,2,x,0,0,1,x,2,x,0,0,0,0,0,0,0,0,8,419,6,x,8,213,3,9,8,204,7,66,4,x,8,117,3,x,2,x,2,x,2,x,2,x,2,x,2,x,1,x,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,1,1,x
130204006,1304006,13,2,4,6,Hampstead,28,3,x,2,x,1,x,1,x,0,0,1,x,1,x,3,x,x,2,x,x,0,0,17,709,14,20,17,358,2,x,16,x,12,89,4,11,16,231,1,x,0,0,0,0,1,x,2,x,2,x,2,x,2,x,6,35,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,1,x
130204008,1304008,13,2,4,8,Wickham,20,2,x,1,x,0,0,1,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,16,881,10,16,15,409,5,207,13,202,14,162,5,14,14,280,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
130204011,1304011,13,2,4,11,Cambridge,44,4,x,2,x,2,x,2,x,0,0,0,0,1,x,2,x,x,0,0,0,0,0,22,992,17,32,22,443,0,0,22,443,15,115,11,67,21,335,0,0,0,0,0,0,0,0,1,x,0,0,1,x,1,x,10,75,1,x,2,x,0,0,0,0,0,0,1,x,0,0,1,2,x
130204018,1304018,13,2,4,18,Waterborough,28,5,419,2,x,1,x,3,45,0,0,1,x,3,11,3,x,x,2,x,x,0,0,18,705,13,31,17,301,1,x,16,x,14,118,7,41,17,214,1,x,1,x,1,x,1,x,2,x,2,x,2,x,1,x,4,24,0,0,3,18,0,0,1,x,0,0,0,0,0,0,0,2,x
130204024,1304024,13,2,4,24,Chipman,23,3,x,2,x,0,0,3,57,0,0,2,x,3,42,2,x,x,1,x,x,0,0,10,480,7,x,8,202,3,x,6,x,9,116,3,x,9,97,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,4,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
130205000,1305000,13,2,5,0,Kings County,525,70,"163,518",16,x,14,x,62,x,2,x,6,x,27,"3,918",27,x,x,24,"765,198","1,686,973",1,x,337,"20,753",213,339,322,"10,165",156,"6,766",212,"3,399",287,"4,045",122,608,317,"5,596",47,x,23,86,28,x,45,x,33,"1,276",22,25,31,637,31,614,117,712,21,320,19,157,0,0,4,278,0,0,3,x,0,0,6,11,"1,013"
130205004,1305004,13,2,5,4,Upham,58,4,91,0,0,1,x,4,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,25,950,21,36,24,415,4,91,21,324,20,99,10,73,24,327,3,x,2,x,2,x,3,x,0,0,0,0,0,0,0,0,13,86,2,x,1,x,0,0,0,0,0,0,1,x,0,0,1,1,x
130205006,1305006,13,2,5,6,Hampton,24,1,x,0,0,1,x,1,x,0,0,0,0,0,0,2,x,x,2,x,x,0,0,15,553,8,x,13,270,4,146,9,124,12,138,1,x,11,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,x
130205014,1305014,13,2,5,14,Kingston,22,8,x,2,x,2,x,8,x,0,0,1,x,1,x,3,x,x,5,x,x,0,0,13,531,12,16,13,272,6,64,10,208,9,67,6,21,12,155,1,x,0,0,0,0,1,x,2,x,1,x,2,x,2,x,3,5,1,x,4,110,0,0,0,0,0,0,0,0,0,0,0,0,0
130205016,1305016,13,2,5,16,Norton,16,2,x,1,x,1,x,2,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,11,570,6,9,10,282,7,207,6,75,10,137,4,24,11,118,2,x,0,0,0,0,2,x,1,x,1,x,1,x,1,x,9,46,2,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0
130205018,1305018,13,2,5,18,Norton,32,5,115,1,x,0,0,5,x,0,0,0,0,3,9,3,718,"1,583",2,x,x,0,0,28,"1,856",15,23,26,902,14,606,16,296,25,336,10,71,26,524,5,797,1,x,4,x,4,719,3,97,2,x,3,x,3,53,6,25,5,13,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0
130205021,1305021,13,2,5,21,Sussex,58,2,x,1,x,1,x,2,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,34,"3,377",20,39,34,"1,757",21,"1,529",16,228,30,764,5,10,34,807,2,x,2,x,2,x,2,x,0,0,0,0,0,0,0,0,13,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130205024,1305024,13,2,5,24,Waterford,21,7,219,0,0,0,0,7,219,0,0,0,0,2,x,4,687,"1,515",1,x,x,0,0,17,854,13,22,17,394,6,181,12,213,15,186,8,21,16,231,2,x,1,x,1,x,2,x,2,x,1,x,2,x,2,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0
130205026,1305026,13,2,5,26,Cardwell,30,4,193,1,x,1,x,4,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"1,079",12,14,18,574,12,454,10,120,17,236,7,16,17,239,8,x,2,x,3,x,8,x,2,x,2,x,2,x,2,x,4,10,0,0,1,x,0,0,0,0,0,0,0,0,0,0,1,2,x
130205028,1305028,13,2,5,28,Havelock,51,10,378,2,x,2,x,8,x,0,0,0,0,5,x,5,895,"1,973",3,243,536,0,0,41,"2,581",23,43,37,"1,192",15,823,26,369,34,482,21,134,40,730,15,"5,935",11,38,11,715,14,"5,182",6,176,3,4,6,99,6,73,11,61,2,x,1,x,0,0,1,x,0,0,0,0,0,0,0,1,x
130205031,1305031,13,2,5,31,Studholm,119,15,x,5,x,2,x,11,243,0,0,4,"20,120",6,43,6,x,x,8,x,x,0,0,93,"6,370",53,85,88,"3,083",52,"2,212",55,871,82,"1,256",36,205,88,"1,741",6,x,3,13,3,x,6,x,12,632,8,9,10,319,10,304,35,205,8,255,3,9,0,0,3,x,0,0,1,x,0,0,1,3,x
130205034,1305034,13,2,5,34,Springfield,39,7,x,3,x,0,0,5,x,1,x,1,x,4,x,2,x,x,2,x,x,0,0,20,"1,332",15,20,20,670,8,329,15,341,19,233,5,9,19,400,2,x,0,0,1,x,2,x,3,85,2,x,3,42,3,x,5,13,0,0,2,x,0,0,0,0,0,0,1,x,0,0,0,1,x
130205036,1305036,13,2,5,36,Kars,18,3,x,0,0,2,x,3,x,1,x,0,0,0,0,0,0,0,1,x,x,1,x,12,358,10,12,12,195,3,18,9,177,5,32,4,5,10,114,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130205038,1305038,13,2,5,38,Greenwich,18,1,x,0,0,0,0,1,x,0,0,0,0,2,x,0,0,0,0,0,0,0,0,6,227,2,x,6,111,2,x,5,x,5,50,2,x,5,51,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,2,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0
130205056,1305056,13,2,5,56,Quispamsis,19,1,x,0,0,1,x,1,x,0,0,0,0,1,x,2,x,x,0,0,0,0,0,4,115,3,3,4,48,2,x,2,x,4,29,3,5,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,59,0,0,1,x,0,0,0,0,0,0,0,0,0,0,2,2,x
130300000,1300000,13,3,0,0,Agricultural Region 3 - RÇgion agricole 3,787,83,"324,049",20,"290,235",7,280,69,"33,534",0,0,13,x,35,"5,000",38,"3,235,212","7,132,421",25,x,x,0,0,466,"30,034",297,520,414,"12,048",95,"4,762",337,"7,286",365,"5,659",199,"2,866",417,"8,941",64,"21,578",29,130,35,"2,388",63,"19,060",35,"3,185",27,51,33,"1,491",29,"1,643",148,793,23,180,27,422,1,x,30,"5,504",1,x,1,x,0,0,6,22,"2,203"
130306000,1306000,13,3,6,0,Albert County,139,10,780,1,x,1,x,10,x,0,0,2,x,9,"1,630",4,907,"2,000",5,789,"1,739",0,0,66,"3,483",43,73,58,"1,392",14,602,45,790,55,666,28,427,62,925,6,"3,383",3,19,3,341,6,"3,023",5,100,3,3,4,46,4,51,23,191,4,25,6,33,1,x,8,"1,258",0,0,0,0,0,0,1,1,x
130306001,1306001,13,3,6,1,Hopewell,36,1,x,0,0,0,0,1,x,0,0,0,0,4,"1,546",0,0,0,1,x,x,0,0,21,"1,342",15,18,18,390,1,x,17,x,20,250,17,356,19,328,1,x,1,x,1,x,1,x,2,x,2,x,1,x,1,x,9,122,2,x,0,0,1,x,1,x,0,0,0,0,0,0,1,1,x
130306008,1306008,13,3,6,8,Elgin,45,4,138,0,0,0,0,4,138,0,0,1,x,3,x,1,x,x,1,x,x,0,0,17,877,8,25,15,410,6,260,9,150,14,173,4,52,17,217,2,x,1,x,1,x,2,x,3,x,1,x,3,x,3,x,0,0,1,x,4,x,0,0,0,0,0,0,0,0,0,0,0,0,0
130306011,1306011,13,3,6,11,Hillsborough,27,2,x,0,0,0,0,2,x,0,0,0,0,0,0,1,x,x,2,x,x,0,0,13,357,10,16,13,164,3,x,10,x,8,47,4,12,12,118,2,x,1,x,1,x,2,x,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,0,4,780,0,0,0,0,0,0,0,0,0
130306014,1306014,13,3,6,14,Coverdale,31,3,382,1,x,1,x,3,x,0,0,1,x,2,x,2,x,x,1,x,x,0,0,15,907,10,14,12,428,4,307,9,121,13,196,3,7,14,262,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,9,47,1,x,2,x,0,0,3,x,0,0,0,0,0,0,0,0,0
130307000,1307000,13,3,7,0,Westmorland County,465,53,"173,518",14,"168,700",4,111,44,"4,707",0,0,8,x,23,"3,351",23,"1,855,707","4,091,134",17,x,x,0,0,293,"19,896",174,318,258,"7,872",64,"3,444",208,"4,428",223,"3,835",126,"2,010",257,"5,861",46,"16,430",19,94,24,"1,733",45,"14,603",21,"2,443",15,31,20,"1,092",17,"1,320",91,445,13,98,16,371,0,0,18,"3,831",0,0,0,0,0,0,2,20,x
130307001,1307001,13,3,7,1,Westmorland,43,1,x,0,0,0,0,1,x,0,0,0,0,0,0,3,182,401,1,x,x,0,0,26,"1,524",17,24,23,637,1,x,22,x,19,232,10,63,24,568,1,x,0,0,0,0,1,x,3,x,2,x,2,x,3,x,10,27,0,0,1,x,0,0,1,x,0,0,0,0,0,0,0,1,x
130307004,1307004,13,3,7,4,Botsford,45,7,x,2,x,1,x,5,80,0,0,1,x,4,x,4,x,x,3,x,x,0,0,28,"1,618",19,25,26,657,3,x,24,x,22,267,11,78,25,591,8,"2,619",3,x,3,x,8,"2,406",3,x,3,8,3,x,3,x,6,12,3,16,1,x,0,0,5,376,0,0,0,0,0,0,1,0,0
130307008,1307008,13,3,7,8,Sackville,83,14,550,3,x,3,x,12,311,0,0,2,x,5,53,7,945,"2,083",5,743,"1,638",0,0,64,"4,241",38,48,56,"1,387",8,367,51,"1,020",47,641,29,561,58,"1,604",1,x,0,0,0,0,1,x,2,x,1,x,2,x,2,x,16,72,4,42,4,x,0,0,1,x,0,0,0,0,0,0,0,1,x
130307013,1307013,13,3,7,13,Memramcook,53,3,x,1,x,0,0,3,x,0,0,2,x,1,x,1,x,x,3,x,x,0,0,33,"2,169",24,105,25,801,5,330,21,471,21,410,11,293,29,560,6,x,1,x,1,x,6,x,2,x,2,x,2,x,1,x,10,47,1,x,1,x,0,0,1,x,0,0,0,0,0,0,0,2,x
130307016,1307016,13,3,7,16,Shediac,58,5,x,1,x,0,0,4,181,0,0,1,x,3,x,2,x,x,2,x,x,0,0,31,"2,074",15,24,30,846,8,331,26,515,20,484,16,122,29,598,9,"3,894",5,17,7,358,9,"3,519",2,x,2,x,2,x,2,x,7,39,1,x,1,x,0,0,2,x,0,0,0,0,0,0,0,1,x
130307019,1307019,13,3,7,19,Moncton,84,11,x,5,x,0,0,8,120,0,0,0,0,4,x,4,x,x,0,0,0,0,0,45,"3,106",26,42,39,"1,229",13,725,27,504,36,617,24,436,37,782,9,"2,127",4,27,5,364,8,"1,736",4,66,0,0,4,x,2,x,19,108,2,x,3,x,0,0,2,x,0,0,0,0,0,0,0,7,"1,298"
130307024,1307024,13,3,7,24,Salisbury,99,12,"1,016",2,x,0,0,11,x,0,0,2,x,6,x,2,x,x,3,x,x,0,0,66,"5,164",35,50,59,"2,315",26,"1,462",37,853,58,"1,184",25,457,55,"1,158",12,"7,191",6,36,8,728,12,"6,427",5,"1,000",5,12,5,439,4,549,23,140,2,x,5,30,0,0,6,"2,136",0,0,0,0,0,0,1,8,799
130308000,1308000,13,3,8,0,Kent County,183,20,"149,751",5,x,2,x,15,x,0,0,3,27,3,19,11,"1,378,598","3,039,288",3,408,899,0,0,107,"6,655",80,129,98,"2,784",17,716,84,"2,068",87,"1,158",45,429,98,"2,155",12,"1,765",7,17,8,314,12,"1,434",9,642,9,17,9,353,8,272,34,157,6,57,5,18,0,0,4,415,1,x,1,x,0,0,3,1,x
130308001,1308001,13,3,8,1,Dundas,34,4,x,2,x,0,0,3,x,0,0,0,0,0,0,2,x,x,0,0,0,0,0,18,"1,142",13,20,16,436,1,x,15,x,13,280,9,145,14,261,4,382,2,x,3,x,4,325,3,x,3,x,3,x,2,x,6,32,3,20,2,x,0,0,0,0,0,0,0,0,0,0,0,1,x
130308004,1308004,13,3,8,4,Wellington,23,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,630,9,25,9,246,2,x,8,x,9,97,3,13,11,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,0,0,1,x,0,0,0,0,1,x,1,x,0,0,0,0,0
130308006,1308006,13,3,8,6,Saint Mary,32,5,146,0,0,0,0,5,146,0,0,2,x,2,x,1,x,x,0,0,0,0,0,25,"1,607",22,34,24,636,3,56,22,580,21,258,11,76,24,603,2,x,1,x,1,x,2,x,2,x,2,x,2,x,2,x,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130308008,1308008,13,3,8,8,Saint-Paul,29,2,x,2,x,0,0,0,0,0,0,0,0,0,0,3,x,x,0,0,0,0,0,10,586,7,10,9,254,2,x,7,x,8,70,3,53,10,199,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,2,x,0,0,0,0,0,0,2,0,0
130308014,1308014,13,3,8,14,Weldford,42,5,x,0,0,2,x,4,x,0,0,1,x,1,x,4,"1,115","2,458",3,408,899,0,0,33,"2,177",21,28,31,989,7,317,25,672,29,358,15,103,30,699,3,473,2,x,2,x,3,x,4,302,4,9,4,159,4,134,11,50,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0
130308016,1308016,13,3,8,16,Richibucto,23,3,x,1,x,0,0,2,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,10,513,8,12,9,223,2,x,7,x,7,95,4,39,9,144,2,x,1,x,1,x,2,x,0,0,0,0,0,0,0,0,5,26,2,x,1,x,0,0,2,x,0,0,0,0,0,0,1,0,0
130400000,1300000,13,4,0,0,Agricultural Region 4 - RÇgion agricole 4,412,34,"161,081",9,x,9,x,30,"57,152",1,x,8,x,12,274,13,x,x,7,996,"2,196",1,x,133,"7,867",80,133,126,"3,883",55,"2,627",83,"1,256",107,"1,407",53,549,123,"1,895",24,"5,885",7,88,5,685,23,"5,112",8,152,6,9,7,71,6,72,54,203,9,125,12,101,0,0,3,112,1,x,0,0,0,0,7,20,962
130409000,1309000,13,4,9,0,Northumberland County,141,14,"93,839",4,x,6,x,10,x,0,0,4,140,4,x,6,x,x,2,x,x,0,0,60,"2,748",33,63,58,"1,310",20,772,40,538,46,485,28,237,55,653,14,x,2,x,1,x,14,x,2,x,2,x,2,x,2,x,23,70,4,44,5,x,0,0,2,x,1,x,0,0,0,0,4,9,x
130409004,1309004,13,4,9,4,Glenelg,23,5,"93,332",1,x,3,x,3,x,0,0,0,0,1,x,1,x,x,0,0,0,0,0,15,844,5,5,14,421,9,345,7,76,14,170,9,60,14,188,3,x,1,x,1,x,3,x,0,0,0,0,0,0,0,0,2,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,2,x
130409024,1309024,13,4,9,24,Ludlow,18,3,203,2,x,2,x,3,x,0,0,2,x,0,0,1,x,x,0,0,0,0,0,5,147,4,4,5,82,1,x,4,x,2,x,1,x,5,53,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,3,6,0,0,1,x,0,0,1,x,0,0,0,0,0,0,1,1,x
130409026,1309026,13,4,9,26,Southesk,24,3,105,1,x,0,0,2,x,0,0,1,x,1,x,2,x,x,0,0,0,0,0,13,523,8,16,13,251,2,x,11,x,10,86,9,27,13,143,3,15,0,0,0,0,3,15,1,x,1,x,1,x,1,x,7,15,1,x,1,x,0,0,0,0,0,0,0,0,0,0,1,2,x
130409031,1309031,13,4,9,31,Newcastle,29,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,x,1,x,x,0,0,14,873,11,32,13,381,5,218,8,163,12,198,5,139,12,123,3,x,1,x,0,0,3,x,1,x,1,x,1,x,1,x,10,38,2,x,1,x,0,0,1,x,1,x,0,0,0,0,2,1,x
130409036,1309036,13,4,9,36,Alnwick,47,3,199,0,0,1,x,2,x,0,0,0,0,1,x,1,x,x,1,x,x,0,0,13,361,5,6,13,175,3,36,10,139,8,x,4,x,11,146,4,12,0,0,0,0,4,12,0,0,0,0,0,0,0,0,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,3,175
130414000,1314000,13,4,14,0,Restigouche County,98,3,x,1,x,1,x,3,x,1,x,1,x,1,x,3,x,x,1,x,x,1,x,29,"2,757",22,33,28,"1,415",17,"1,183",16,232,25,509,10,121,29,679,3,x,3,6,3,x,3,x,2,x,2,x,1,x,1,x,7,16,1,x,2,x,0,0,0,0,0,0,0,0,0,0,0,2,x
130414001,1314001,13,4,14,1,Durham,27,0,0,0,0,0,0,0,0,0,0,1,x,0,0,1,x,x,0,0,0,0,0,9,759,8,x,9,369,5,x,5,x,7,147,3,x,9,218,2,x,2,x,2,x,2,x,1,x,1,x,1,x,1,x,5,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,2,x
130414008,1314008,13,4,14,8,Dalhousie,23,1,x,0,0,1,x,1,x,1,x,0,0,1,x,1,x,x,1,x,x,1,x,7,476,5,x,6,257,2,x,5,x,6,85,1,x,7,109,0,0,0,0,0,0,0,0,1,x,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130414021,1314021,13,4,14,21,Saint-Quentin,48,2,x,1,x,0,0,2,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,13,"1,522",9,12,13,789,10,655,6,134,12,277,6,92,13,352,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0
130415000,1315000,13,4,15,0,Gloucester County,173,17,x,4,226,2,x,17,x,0,0,3,40,7,206,4,626,"1,380",4,776,"1,711",0,0,44,"2,362",25,37,40,"1,158",18,672,27,486,36,413,15,191,39,563,7,x,2,x,1,x,6,x,4,75,2,x,4,39,3,x,24,117,4,x,5,57,0,0,1,x,0,0,0,0,0,0,3,9,510
130415001,1315001,13,4,15,1,Saumarez,44,2,x,1,x,0,0,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,140,1,x,4,54,1,x,3,x,4,x,1,x,5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,x
130415008,1315008,13,4,15,8,Bathurst,44,7,x,1,x,1,x,7,x,0,0,2,x,6,x,1,x,x,0,0,0,0,0,16,797,12,17,15,402,5,196,12,206,12,156,4,10,15,212,3,11,1,x,0,0,2,x,3,x,1,x,3,x,2,x,13,36,2,x,4,x,0,0,0,0,0,0,0,0,0,0,0,1,x
130415016,1315016,13,4,15,16,New Bandon,21,4,132,0,0,0,0,4,132,0,0,0,0,0,0,1,x,x,2,x,x,0,0,17,"1,125",9,14,17,606,10,346,9,260,15,194,6,60,15,251,1,x,0,0,0,0,1,x,1,x,1,x,1,x,1,x,5,x,0,0,0,0,0,0,1,x,0,0,0,0,0,0,1,1,x
130415021,1315021,13,4,15,21,Saint-Isidore,30,1,x,0,0,0,0,1,x,0,0,0,0,1,x,1,x,x,1,x,x,0,0,3,163,1,x,3,x,2,x,2,x,3,31,2,x,3,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,230
130415026,1315026,13,4,15,26,Caraquet,34,3,x,2,x,1,x,3,x,0,0,1,x,0,0,1,x,x,1,x,x,0,0,3,137,2,x,1,x,0,0,1,x,2,x,2,x,1,x,3,x,1,x,1,x,3,x,0,0,0,0,0,0,0,0,5,66,2,x,1,x,0,0,0,0,0,0,0,0,0,0,0,2,x
240000000,2400000,24,0,0,0,Quebec - QuÇbec,"35,991","2,401","25,440,825","1,055","19,508,288",281,"1,993,792","1,595","3,938,745",52,"855,545",404,"1,806,782",850,"1,261,524","1,395","232,781,424","513,195,188",444,"33,464,384","73,776,337",32,"158,430,480","19,658","1,439,743","10,942","22,599","18,527","703,746","11,557","471,855","8,470","231,891","16,012","249,300","4,215","81,715","18,007","382,383","3,040","3,443,832","1,875","12,539","1,955","317,841","2,938","3,113,452","1,088","151,557",849,"3,144",988,"88,585",958,"59,828","4,518","25,108",931,"15,445",889,"105,649",20,"78,213",53,"7,143",56,"2,236",200,"7,586",40,143,167,437,"32,056"
240100000,2400000,24,1,0,0,Bas-Saint-Laurent,"2,482",147,x,28,x,8,x,130,x,0,0,38,"22,965",52,"7,445",50,x,x,47,"23,587","52,000",0,0,"1,717","123,760",907,"2,116","1,678","62,658","1,191","44,586",666,"18,072","1,525","22,982",405,"6,129","1,643","29,875",87,"50,044",45,508,51,"8,089",80,"41,447",148,"44,718",129,787,137,"25,752",138,"18,179",245,"1,099",47,245,68,"2,783",1,x,5,444,4,124,20,534,2,x,12,28,801
240107000,2407000,24,1,7,0,La MatapÇdia,259,14,446,2,x,0,0,13,x,0,0,4,50,2,x,6,"1,260","2,778",3,425,937,0,0,206,"16,158",116,266,196,"7,881",126,"4,881",97,"3,000",178,"2,598",47,870,196,"4,543",9,"2,408",7,x,7,x,8,"2,072",17,"4,053",15,108,17,"2,444",15,"1,501",27,185,7,13,8,31,0,0,0,0,0,0,3,118,0,0,1,0,0
240107020,2407020,24,1,7,20,Saint-Jacques-le-Majeur-de-Causapscal,19,2,x,0,0,0,0,2,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,17,"1,272",9,x,17,631,9,332,8,299,16,210,4,x,17,403,1,x,0,0,0,0,1,x,1,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240107025,2407025,24,1,7,25,Saint-Raphaâl-d'Albertville,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,601,9,15,12,301,4,173,8,128,8,72,4,30,12,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240107030,2407030,24,1,7,30,Saint-LÇon-le-Grand,25,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"1,451",12,15,19,727,12,371,10,356,18,228,4,35,19,446,1,x,1,x,1,x,1,x,3,127,3,4,3,75,3,48,3,22,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0
