AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,NTCHICK,TCHICK,NPULLETS,PULLETS,NHENS,HENS,NAOCHCK,AOCHCK,NHENEGG,HENEGG,NTURKEY,TURKEY,NOTHPLT,OTHPLT,NEGGS,EGGS,NNOCHCK,NOCHCK,NNOTURK,NOTURK,NTCATTL,TCATTL,NBULLS,BULLS,NTOTCOW,TOTCOW,NMLKCOW,MLKCOW,NBFCOWS,BFCOWS,NHEIFER,HEIFER,NMLKHEF,MLKHEF,NBFHEFS,BFHEFS,NBFSLGH,BFSLGH,NSTEERS,STEERS,NCALFU1,CALFU1,NCOWMLK,COWMLK,NTOPIGS,TOPIGS,NBOARS,BOARS,NSOWS,SOWS,NTOTOTP,TOTOTP,NPIGU45,PIGU45,NPIGS45,PIGS45,NPIG130,PIG130,NTSHEEP,TSHEEP,NRAMS,RAMS,NEWEWETH,EWEWETH,NLAMBS,LAMBS,NHORSES,HORSES,NGOATS,GOATS,NRABBIT,RABBIT,NMINK,MINK,NFOX,FOX,NOTHLIV,NBEES,BEES
240234020,24,2,34,20,2434020,- Sainte-Jeanne-de-Pont-Rouge,69,5,x,1,x,2,x,3,x,0,0,0,0,1,x,1,x,2,x,0,0,45,"2,970",13,36,41,"1,356",35,"1,273",8,83,41,636,35,600,4,27,3,9,3,7,41,935,35,"1,050",2,x,2,x,2,x,2,x,2,x,2,x,1,x,0,0,0,0,0,0,0,0,5,21,2,x,1,x,0,0,0,0,0,0,0
240234030,24,2,34,30,2434030,- Cap-SantÇ,47,3,x,2,x,3,149,1,x,0,0,0,0,1,x,1,x,1,x,0,0,32,"2,192",9,11,31,"1,180",28,"1,133",3,47,32,x,27,558,4,27,2,x,2,x,30,411,28,960,2,x,1,x,1,x,2,x,2,x,1,x,1,x,1,x,0,0,1,x,1,x,11,47,2,x,4,68,0,0,0,0,0,1,x
240234040,24,2,34,40,2434040,- Saint-Basile,67,5,535,1,x,4,x,3,x,0,0,1,x,1,x,3,300,2,x,1,x,48,"3,015",21,28,47,"1,588",37,"1,433",13,155,43,778,35,629,10,88,3,61,5,47,46,574,36,"1,188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,18,50,0,0,2,x,0,0,1,x,0,0,0
240234055,24,2,34,55,2434055,- Deschambault,35,2,x,2,x,2,x,1,x,0,0,1,x,1,x,2,x,2,x,1,x,27,"1,398",9,10,27,732,19,589,8,143,24,x,16,256,7,38,1,x,2,x,24,319,19,514,3,x,1,x,2,x,2,x,2,x,2,x,2,x,2,x,2,x,2,x,2,x,6,11,0,0,1,x,0,0,0,0,1,2,x
240234060,24,2,34,60,2434060,- Saint-Gilbert,36,3,163,0,0,3,x,1,x,0,0,0,0,1,x,2,x,1,x,0,0,31,"1,524",21,x,31,791,20,608,12,183,27,345,18,271,10,53,3,21,1,x,28,346,20,501,1,x,1,x,1,x,1,x,1,x,0,0,0,0,2,x,0,0,2,x,2,x,6,15,0,0,3,19,0,0,0,0,0,0,0
240234070,24,2,34,70,2434070,- Grondines,23,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,14,826,7,x,13,405,12,x,2,x,14,210,12,x,2,x,0,0,2,x,11,188,12,281,1,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,4,14,1,x,0,0,0,0,0,0,0,0,0
240234080,24,2,34,80,2434080,- Saint-Casimir,49,4,298,3,129,3,x,1,x,0,0,0,0,0,0,2,x,2,x,0,0,39,"2,402",16,27,39,"1,259",34,"1,140",8,119,37,606,32,541,6,42,4,23,4,42,38,468,33,965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,8,20,1,x,2,x,0,0,0,0,0,1,x
240234085,24,2,34,85,2434085,- Saint-Thuribe,39,1,x,1,x,1,x,1,x,0,0,1,x,1,x,0,0,0,0,0,0,37,"2,035",25,45,37,"1,129",35,"1,109",4,20,35,x,33,451,3,21,2,x,2,x,34,355,35,991,1,x,0,0,0,0,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,1,x,0,0,0,0,0,0,0
240234090,24,2,34,90,2434090,- Saint-Ubalde,74,1,x,1,x,1,x,1,x,0,0,2,x,0,0,0,0,0,0,1,x,33,"2,352",19,x,32,"1,240",22,"1,026",10,214,29,x,22,502,6,43,1,x,3,x,30,509,22,828,2,x,2,x,2,x,2,x,2,x,0,0,0,0,4,x,4,10,4,519,3,x,3,6,2,x,1,x,0,0,0,0,0,1,x
240234100,24,2,34,100,2434100,- Saint-Alban,42,4,263,1,x,4,x,2,x,0,0,1,x,1,x,4,"2,903",1,x,1,x,29,"1,971",16,30,29,"1,051",24,812,8,239,26,x,23,330,3,28,1,x,3,x,28,516,24,709,4,"5,682",4,46,4,904,4,"4,732",4,x,2,x,2,x,0,0,0,0,0,0,0,0,3,x,0,0,0,0,0,0,0,0,0,0,0
240234105,24,2,34,105,2434105,- Sainte-Christine,33,2,x,2,x,2,x,0,0,0,0,0,0,0,0,1,x,0,0,1,x,15,739,6,x,15,412,11,320,7,92,13,171,9,147,5,24,0,0,1,x,14,147,11,260,3,"7,285",3,23,3,665,3,"6,597",3,"2,312",3,"1,578",3,"2,707",3,202,1,x,3,105,3,x,8,26,2,x,2,x,0,0,0,0,0,0,0
240234115,24,2,34,115,2434115,- Saint-LÇonard-de-Portneuf,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,668,3,3,12,306,9,x,3,x,10,113,9,x,1,x,0,0,2,x,10,x,9,216,1,x,1,x,1,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0
240234130,24,2,34,130,2434130,- Saint-Raymond,51,5,x,0,0,4,x,1,x,0,0,1,x,1,x,2,x,4,x,2,x,29,"1,875",13,23,26,678,17,516,9,162,23,289,17,238,6,29,3,22,3,x,24,x,18,422,3,15,0,0,0,0,3,15,1,x,2,x,0,0,2,x,2,x,2,x,1,x,7,20,2,x,1,x,0,0,2,x,1,0,0
240300000,24,3,0,0,2400000,- Beauce-Appalaches,"3,849",304,"2,282,606",61,"170,858",161,"508,701",174,"1,603,047",1,x,34,"63,980",41,"1,705",111,"11,137,497",156,"9,250,936",33,"143,561","2,308","139,347","1,566","3,094","2,216","66,121","1,437","45,701","1,004","20,420","1,972","26,886","1,348","20,380",728,"4,147",273,"2,359",429,"6,001","2,162","37,245","1,424","39,936",562,"481,605",416,"2,100",426,"47,296",554,"432,209",460,"154,873",438,"150,608",376,"126,728",60,"5,373",48,118,58,"2,991",56,"2,264",568,"1,435",43,284,70,"4,535",1,x,11,809,18,19,600
240326000,24,3,26,0,2426000,- La Nouvelle-Beauce,807,75,"1,606,446",16,"128,881",32,"443,027",48,"1,034,538",1,x,8,"31,255",6,x,28,"9,594,628",50,"6,139,529",6,x,543,"41,099",362,993,516,"17,361",392,"13,613",180,"3,748",476,"8,340",367,"6,249",135,941,63,"1,150",107,"3,145",510,"11,260",389,"11,888",354,"337,574",276,"1,441",280,"33,068",352,"303,065",302,"107,919",285,"108,531",248,"86,615",11,"2,075",9,41,11,970,11,"1,064",112,264,4,10,15,"1,734",0,0,2,x,4,5,202
240326005,24,3,26,5,2426005,- Saint-êdouard-de-Frampton,84,7,"10,734",3,x,4,271,6,x,0,0,3,45,3,12,3,x,4,x,1,x,53,"2,430",38,72,52,"1,282",33,836,26,446,41,381,28,297,13,47,4,37,9,55,48,640,34,739,27,"11,843",22,68,24,"1,643",25,"10,132",23,"5,112",17,"2,985",13,"2,035",2,x,2,x,2,x,2,x,10,18,3,x,4,x,0,0,1,x,1,2,x
240326010,24,3,26,10,2426010,- Saints-Anges,55,3,"42,950",0,0,1,x,2,x,0,0,0,0,0,0,1,x,2,x,1,x,37,"2,036",30,57,37,"1,068",29,891,9,177,37,396,29,345,8,28,3,23,8,56,36,459,28,746,31,"20,152",23,93,24,"2,064",31,"17,995",26,"7,494",27,"5,933",22,"4,568",0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0,0,0,0
240326015,24,3,26,15,2426015,- VallÇe-Jonction,19,3,"29,400",0,0,1,x,2,x,0,0,0,0,0,0,1,x,3,"84,000",0,0,17,945,12,14,17,512,10,347,9,165,12,x,9,142,4,15,2,x,4,x,17,234,10,295,3,x,1,x,1,x,3,x,2,x,2,x,1,x,0,0,0,0,0,0,0,0,5,x,0,0,0,0,0,0,0,0,0,0,0
240326025,24,3,26,25,2426025,- Saint-ElzÇar-de-Beauce,95,7,"233,712",1,x,4,x,3,"128,000",0,0,0,0,0,0,4,"2,274,240",4,"827,700",0,0,54,"3,978",29,134,52,"1,767",37,"1,230",20,537,52,981,37,659,17,105,10,217,10,99,50,997,37,"1,060",36,"63,273",27,227,27,"5,161",36,"57,885",32,"19,907",33,"19,769",33,"18,209",0,0,0,0,0,0,0,0,11,27,0,0,1,x,0,0,0,0,1,1,x
240326030,24,3,26,30,2426030,- Sainte-Marie,106,4,x,1,x,3,x,0,0,0,0,0,0,0,0,2,x,0,0,0,0,73,"4,979",50,104,71,"2,259",50,"1,627",34,632,67,"1,108",47,776,29,185,14,147,11,67,70,"1,441",50,"1,415",30,"23,341",20,109,20,"2,520",30,"20,712",23,"8,409",24,"6,613",18,"5,690",4,x,4,24,4,327,4,x,17,33,0,0,1,x,0,0,0,0,0,2,x
240326035,24,3,26,35,2426035,- Sainte-Marguerite,86,14,"219,651",1,x,6,x,9,"141,000",0,0,1,x,2,x,5,"1,211,410",10,"801,500",0,0,60,"3,920",42,133,57,"1,837",47,"1,447",17,390,52,794,45,713,12,75,3,6,12,114,57,"1,042",47,"1,286",39,"28,596",28,127,28,"2,836",39,"25,633",28,"8,515",31,"9,438",27,"7,680",2,x,2,x,2,x,2,x,16,39,0,0,0,0,0,0,0,0,0,0,0
240326040,24,3,26,40,2426040,- Sainte-HÇnÇdine,72,2,x,0,0,2,x,1,x,0,0,1,x,0,0,2,x,2,x,1,x,57,"4,297",39,126,52,"2,072",45,"1,889",14,183,49,945,40,797,10,78,6,70,14,134,53,"1,020",45,"1,712",31,"24,760",25,112,26,"2,634",31,"22,014",27,"8,207",22,"8,871",17,"4,936",1,x,0,0,1,x,1,x,17,47,1,x,1,x,0,0,0,0,1,0,0
240326050,24,3,26,50,2426050,- Taschereau-Fortier,24,2,x,2,x,1,x,0,0,1,x,0,0,0,0,2,x,1,x,1,x,14,925,10,25,12,437,9,341,5,96,12,x,9,188,5,39,2,x,3,x,12,211,9,305,11,x,9,x,9,x,11,x,9,x,8,x,4,x,0,0,0,0,0,0,0,0,2,x,0,0,1,x,0,0,1,x,0,0,0
240326055,24,3,26,55,2426055,- Saint-Bernard,147,19,"781,933",5,"85,227",7,"228,146",14,"468,560",0,0,2,x,0,0,6,"4,965,350",14,"2,892,500",2,x,91,"10,833",65,196,84,"3,300",67,"2,629",25,671,81,"1,962",66,"1,213",20,221,8,528,23,"2,326",87,"3,049",66,"2,280",110,"123,648",87,531,87,"12,453",110,"110,664",97,"37,213",98,"40,807",92,"32,644",0,0,0,0,0,0,0,0,17,48,0,0,3,x,0,0,0,0,1,0,0
240326065,24,3,26,65,2426065,- Saint-Isidore,119,14,"250,926",3,x,3,36,11,x,0,0,1,x,1,x,2,x,10,"1,306,324",0,0,87,"6,756",47,132,82,"2,827",65,"2,376",21,451,73,"1,362",57,"1,119",17,148,11,95,13,268,80,"2,167",63,"2,050",36,"35,618",34,141,34,"3,091",36,"32,386",35,"11,628",23,"11,637",21,"9,121",2,x,1,x,2,x,2,x,8,17,0,0,4,248,0,0,0,0,0,0,0
240327000,24,3,27,0,2427000,- Robert-Cliche,588,45,"278,765",8,"17,217",16,539,29,"261,009",0,0,3,x,4,x,10,"4,527",26,"1,500,088",5,x,406,"20,730",307,582,392,"10,846",269,"7,932",161,"2,914",357,"3,871",261,"3,116",117,577,35,178,72,452,379,"4,979",266,"7,081",85,"56,460",59,193,61,"4,617",83,"51,650",66,"16,664",69,"18,472",57,"16,514",7,354,6,10,7,217,7,127,116,289,7,37,6,56,0,0,0,0,0,2,x
240327010,24,3,27,10,2427010,- Saint-Victor-de-Tring,135,15,"155,324",3,x,2,x,13,"155,288",0,0,2,x,2,x,1,x,14,"942,693",3,x,81,"4,059",66,154,78,"2,053",54,"1,498",38,555,70,757,49,542,31,158,9,57,25,172,75,923,54,"1,366",17,"9,769",10,27,10,596,17,"9,146",10,"2,073",17,"4,017",14,"3,056",1,x,1,x,1,x,1,x,35,94,0,0,1,x,0,0,0,0,0,1,x
240327015,24,3,27,15,2427015,- Saint-Alfred,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,324,5,x,6,172,4,x,2,x,4,36,4,36,0,0,0,0,2,x,6,103,4,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,1,x,0,0,0,0,0,0,0,0,0
240327020,24,3,27,20,2427020,- Saint-Franáois-Ouest,39,1,x,0,0,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0,25,"1,308",18,26,24,658,17,489,7,169,24,x,17,206,7,29,2,x,4,x,25,359,17,443,2,x,2,x,2,x,2,x,2,x,2,x,2,x,1,x,1,x,1,x,1,x,6,9,1,x,1,x,0,0,0,0,0,0,0
240327030,24,3,27,30,2427030,- Saint-Franáois-de-Beauce,44,4,438,1,x,1,x,3,x,0,0,0,0,0,0,1,x,2,x,0,0,16,932,10,x,16,472,12,329,5,143,15,x,12,114,4,32,1,x,2,x,15,221,12,288,2,x,2,x,2,x,2,x,2,x,1,x,1,x,2,x,2,x,2,x,2,x,1,x,2,x,1,x,0,0,0,0,0,0,0
240327035,24,3,27,35,2427035,- Saint-Odilon-de-Cranbourne,69,2,x,0,0,1,x,1,x,0,0,0,0,1,x,1,x,2,x,1,x,52,"3,614",34,93,50,"1,868",42,"1,585",11,283,48,842,40,716,10,107,5,19,6,46,49,765,41,"1,427",12,"10,460",7,19,7,570,11,"9,871",11,"3,025",10,"3,677",10,"3,169",1,x,1,x,1,x,1,x,2,x,1,x,0,0,0,0,0,0,0,0,0
240327040,24,3,27,40,2427040,- Saint-Joseph-de-Beauce,102,4,x,0,0,1,x,4,x,0,0,0,0,0,0,0,0,2,x,0,0,86,"4,025",60,107,83,"2,377",68,"2,128",20,249,78,741,69,714,11,23,3,4,12,76,75,724,69,"1,962",10,"4,858",10,27,10,621,10,"4,210",10,"1,557",7,"1,630",6,"1,023",0,0,0,0,0,0,0,0,18,44,0,0,3,x,0,0,0,0,0,1,x
240327050,24,3,27,50,2427050,- Saint-Joseph-des-êrables,18,2,x,0,0,0,0,2,x,0,0,0,0,0,0,0,0,2,x,0,0,14,688,10,x,14,386,10,x,5,x,13,122,10,114,3,8,0,0,2,x,12,159,10,276,2,x,2,x,2,x,2,x,2,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,0,0,0,0,0,0,0,0,0,0,0
240327055,24,3,27,55,2427055,- Saint-Jules,53,4,x,0,0,1,x,3,x,0,0,0,0,0,0,1,x,2,x,0,0,40,"1,948",32,50,38,994,26,620,18,374,34,345,24,244,15,84,3,17,5,51,37,508,23,487,14,"8,153",9,23,9,541,14,"7,589",12,"2,015",13,"2,848",12,"2,726",1,x,0,0,1,x,1,x,15,50,0,0,0,0,0,0,0,0,0,0,0
240327065,24,3,27,65,2427065,- Saint-FrÇdÇric,80,10,"20,685",4,"17,108",6,x,3,x,0,0,1,x,1,x,3,x,2,x,1,x,63,"2,868",51,74,61,"1,428",31,762,36,666,52,465,30,380,23,71,5,14,8,9,63,892,31,654,19,"13,772",13,48,15,"1,114",18,"12,610",13,"4,470",12,"3,518",8,"4,622",1,x,1,x,1,x,1,x,22,57,2,x,0,0,0,0,0,0,0,0,0
240327070,24,3,27,70,2427070,- Saint-SÇverin,32,3,46,0,0,3,46,0,0,0,0,0,0,0,0,2,x,0,0,0,0,23,964,21,43,22,438,5,96,19,342,19,142,6,50,13,65,7,27,6,16,22,325,5,86,7,"5,803",4,22,4,459,7,"5,322",4,"1,384",7,"2,418",4,"1,520",0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,0,0
240328000,24,3,28,0,2428000,- Les Etchemins,359,22,"19,662",2,x,14,x,12,x,0,0,4,171,6,32,9,x,7,x,2,x,147,"7,115",89,178,140,"3,379",87,"2,238",67,"1,141",118,"1,268",74,851,51,276,25,141,25,190,132,"2,100",84,"1,885",11,"10,793",7,46,8,"1,093",11,"9,654",9,"5,421",8,"2,223",8,"2,010",5,145,3,x,5,x,4,x,38,101,4,10,7,992,0,0,1,x,2,4,88
240328005,24,3,28,5,2428005,- Saint-Zacharie,76,6,179,0,0,5,x,2,x,0,0,1,x,3,16,3,x,1,x,0,0,22,"1,057",18,32,20,416,10,174,13,242,17,127,9,64,9,49,5,14,5,14,21,468,8,125,1,x,0,0,0,0,1,x,0,0,1,x,0,0,1,x,0,0,1,x,1,x,12,23,1,x,3,x,0,0,1,x,1,0,0
240328015,24,3,28,15,2428015,- Sainte-AurÇlie,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,193,4,x,4,110,1,x,4,x,2,x,0,0,2,x,1,x,1,x,3,68,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0
240328020,24,3,28,20,2428020,- Saint-Prosper,42,3,x,0,0,2,x,1,x,0,0,0,0,0,0,2,x,0,0,0,0,24,815,13,14,22,382,13,273,10,109,16,x,9,76,7,29,1,x,3,x,20,201,13,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,1,x
240328025,24,3,28,25,2428025,- Saint-Benjamin,25,1,x,0,0,1,x,0,0,0,0,0,0,1,x,1,x,0,0,0,0,8,330,6,13,8,186,6,156,3,30,7,40,5,x,2,x,1,x,0,0,8,91,6,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0
240328030,24,3,28,30,2428030,- Sainte-Rose-de-Watford,32,1,x,1,x,1,x,1,x,0,0,0,0,0,0,1,x,0,0,0,0,15,654,6,x,15,356,12,300,3,56,13,x,11,151,4,21,1,x,0,0,10,114,12,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0
240328035,24,3,28,35,2428035,- Saint-Louis-de-Gonzague,56,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,220,2,x,3,90,2,x,2,x,3,33,2,x,2,x,1,x,3,x,4,69,2,x,1,x,0,0,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0
240328045,24,3,28,45,2428045,- Sainte-Justine,22,4,x,1,x,1,x,4,520,0,0,1,x,1,x,1,x,2,x,1,x,16,790,11,23,16,384,10,272,7,112,15,152,8,108,8,32,4,12,3,23,15,208,10,250,1,x,1,x,1,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,3,5,1,x,2,x,0,0,0,0,0,0,0
240328055,24,3,28,55,2428055,- Sainte-Germaine-du-Lac-Etchemin,29,1,x,0,0,0,0,1,x,0,0,1,x,0,0,0,0,1,x,1,x,21,"1,395",13,30,21,673,13,375,12,298,20,228,12,134,8,59,6,35,7,60,20,404,13,307,5,x,4,x,4,68,5,585,4,185,3,185,4,215,2,x,1,x,2,x,1,x,7,14,1,x,1,x,0,0,0,0,0,2,x
240328070,24,3,28,70,2428070,- Saint-Camille-de-Lellis,26,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,959,8,x,17,429,10,272,7,157,14,187,8,134,6,46,3,7,2,x,17,311,9,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,2,x,0,0,0,0,0,0,0,0,0,0,0
240328075,24,3,28,75,2428075,- Saint-Magloire-de-Bellechasse,31,4,x,0,0,2,x,3,x,0,0,1,x,1,x,1,x,3,x,0,0,14,702,8,16,14,353,10,321,6,32,11,x,10,139,3,17,2,x,1,x,14,166,10,271,3,x,2,x,2,x,3,x,3,x,3,x,3,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,0,0,0,0,1,1,x
240329000,24,3,29,0,2429000,- Beauce-Sartigan,718,54,"171,261",13,x,29,x,30,x,0,0,9,x,7,"1,036",23,x,27,x,7,"48,129",408,"23,849",281,468,397,"11,612",251,"7,843",182,"3,769",351,"4,637",232,"3,593",130,680,52,364,73,"1,039",385,"6,093",243,"6,655",25,"16,397",22,95,23,"2,234",24,"14,068",24,"5,899",17,"4,299",14,"3,870",6,181,1,x,4,x,5,x,99,329,7,21,15,119,0,0,3,x,1,4,x
240329005,24,3,29,5,2429005,- Saint-ThÇophile,41,1,x,0,0,0,0,1,x,0,0,0,0,1,x,1,x,1,x,0,0,18,649,13,x,18,324,8,188,11,136,11,102,8,82,4,20,0,0,1,x,17,190,8,168,1,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,0,0,1,x,0,0,0,0,0,1,x
240329015,24,3,29,15,2429015,- Saint-GÇdÇon,35,2,x,1,x,2,x,0,0,0,0,0,0,1,x,2,x,1,x,0,0,27,"1,676",19,57,27,875,15,572,16,303,22,313,13,232,8,48,6,33,3,8,27,423,14,500,2,x,2,x,2,x,2,x,2,x,0,0,0,0,1,x,1,x,1,x,1,x,5,8,0,0,1,x,0,0,0,0,0,0,0
240329020,24,3,29,20,2429020,- Saint-Hilaire-de-Dorset,29,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,11,580,6,x,11,302,10,x,1,x,10,155,10,155,0,0,0,0,1,x,11,115,10,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,0,0,0,0,0,0,0,0,0,0,0
240329025,24,3,29,25,2429025,- Saint-êvariste-de-Forsyth,42,7,"29,662",1,x,2,x,6,x,0,0,2,x,2,x,2,x,5,"134,080",1,x,25,"1,860",18,26,25,916,18,639,8,277,23,360,18,313,5,39,3,8,5,13,25,545,18,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,1,0,0
240329030,24,3,29,30,2429030,- La Guadeloupe,16,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,1,x,0,0,8,387,5,10,8,207,4,96,6,111,7,x,4,x,3,x,1,x,1,x,7,115,3,x,2,x,2,x,2,x,2,x,2,x,1,x,1,x,0,0,0,0,0,0,0,0,4,22,1,x,0,0,0,0,0,0,0,0,0
240329040,24,3,29,40,2429040,- Saint-HonorÇ,121,8,x,3,x,4,x,4,205,0,0,2,x,0,0,3,x,4,190,0,0,68,"4,427",42,65,67,"2,130",54,"1,749",19,381,64,950,52,802,16,99,6,49,15,158,67,"1,124",54,"1,475",7,"3,978",5,20,6,558,6,"3,400",6,"1,180",5,"1,152",4,"1,068",0,0,0,0,0,0,0,0,10,25,1,x,1,x,0,0,0,0,0,0,0
240329045,24,3,29,45,2429045,- Saint-Martin,41,1,x,0,0,1,x,0,0,0,0,0,0,1,x,0,0,0,0,0,0,31,"2,270",19,35,30,976,18,546,13,430,27,384,17,257,9,83,5,44,11,309,29,566,18,461,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,0,0,0,0,1,x,7,30,1,x,4,60,0,0,0,0,0,0,0
240329060,24,3,29,60,2429060,- Saint-Cìme-de-Kennebec,51,8,194,1,x,7,x,3,105,0,0,0,0,0,0,5,"1,010",3,83,0,0,34,"1,673",23,x,32,737,22,565,13,172,31,372,18,222,11,48,6,102,5,x,31,320,21,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,1,x,0,0,15,43,1,x,4,9,0,0,0,0,0,0,0
240329065,24,3,29,65,2429065,- Saint-Philibert,28,3,x,0,0,2,x,2,x,0,0,1,x,0,0,1,x,2,x,1,x,11,303,9,13,9,151,3,x,7,x,7,x,1,x,5,x,2,x,4,x,8,94,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,0,0,1,x,2,x,8,13,2,x,0,0,0,0,1,x,0,1,x
240329070,24,3,29,70,2429070,- Saint-Georges-Est,45,2,x,1,x,1,x,2,x,0,0,2,x,0,0,1,x,1,x,2,x,27,"1,503",16,x,24,632,11,293,15,339,23,x,11,143,13,71,1,x,5,x,25,418,11,235,1,x,1,x,1,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,9,67,0,0,1,x,0,0,0,0,0,0,0
240329085,24,3,29,85,2429085,- Aubert-Gallion,25,2,x,1,x,0,0,1,x,0,0,0,0,0,0,0,0,1,x,1,x,15,"1,536",9,15,15,749,10,490,9,259,11,x,9,336,4,16,2,x,3,x,15,374,9,425,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,0,0,1,x,1,x,3,8,0,0,0,0,0,0,0,0,0,0,0
240329090,24,3,29,90,2429090,- Saint-Jean-de-la-Lande,42,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,817,13,18,17,418,10,320,7,98,14,x,8,135,5,14,2,x,2,x,16,213,8,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0
240329100,24,3,29,100,2429100,- Saint-Benoåt-Labre,66,5,129,2,x,4,55,1,x,0,0,0,0,0,0,2,x,1,x,0,0,31,"1,530",28,55,31,768,14,413,18,355,25,248,14,192,16,49,4,7,4,7,29,452,14,354,2,x,2,x,2,x,2,x,2,x,1,x,1,x,0,0,0,0,0,0,0,0,11,19,1,x,2,x,0,0,1,x,0,0,0
240329115,24,3,29,115,2429115,- Saint-êphrem-de-Beauce,112,7,"1,988",1,x,3,x,5,"1,885",0,0,2,x,0,0,4,975,6,x,2,x,70,"3,937",52,84,69,"2,073",49,"1,527",28,546,65,816,46,627,24,126,13,63,11,50,64,914,49,"1,370",8,"6,037",7,31,7,729,8,"5,277",8,"2,156",7,"1,651",5,"1,470",0,0,0,0,0,0,0,0,12,34,0,0,1,x,0,0,0,0,0,2,x
240329125,24,3,29,125,2429125,- Saint-Simon-les-Mines,24,5,186,2,x,2,x,3,120,0,0,0,0,2,x,2,x,1,x,0,0,14,701,9,11,14,354,5,124,11,230,11,x,3,70,7,30,1,x,2,x,14,230,4,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,1,x,0,0,0
240330000,24,3,30,0,2430000,- Le Granit,598,45,"39,089",8,x,27,x,23,x,0,0,7,x,8,54,15,x,18,x,6,x,322,"17,707",195,312,304,"9,128",211,"6,977",116,"2,151",277,"3,735",194,"3,134",93,453,34,148,41,280,300,"4,252",208,"6,110",24,"14,957",12,65,12,"1,218",22,"13,674",15,"4,506",16,"4,762",16,"4,406",12,"1,338",12,25,12,815,12,498,74,137,8,48,12,134,0,0,1,x,5,2,x
240330005,24,3,30,5,2430005,- Saint-Augustin-de-Woburn,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,722,10,13,12,356,7,225,5,131,12,x,7,135,5,22,1,x,2,x,13,182,7,186,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,3,x,1,x,1,x,0,0,0,0,1,0,0
