AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTOTEXP,TOTEXP,NTRNTEXP,TRNTEXP,NRNTCSH,RNTCSH,NRNTSHR,RNTSHR,NTCSHWGE,TCSHWGE,NCSHWGEF,CSHWGEF,NCSHWGNF,CSHWGNF,NELECTY,ELECTY,NTINTRST,TINTRST,NINTOPER,INTOPER,NINTOTHD,INTOTHD,NTELPHON,TELPHON,NTMCHEXP,TMCHEXP,NMCHFUEL,MCHFUEL,NREPMCH,REPMCH,NCUSTOM,CUSTOM,NTCRPEXP,TCRPEXP,NFERTPD,FERTPD,NCHEMPD,CHEMPD,NSEEDPD,SEEDPD,NTLVSEXP,TLVSEXP,NFEEDPD,FEEDPD,NFEEDCO,FEEDCO,NLVSTPD,LVSTPD,NVETSER,VETSER,NFUELHT,FUELHT,NOTHEXP,OTHEXP,SALEDST,SALES95,SALEDST_1,SALEDST_2,SALEDST_3,SALEDST_4,SALEDST_5,SALEDST_6,SALEDST_7,SALEDST_8,SALEDST_9,FRMTYP,FRMTYP1_1,FRMTYP1_2,FRMTYP1_3,FRMTYP1_4,FRMTYP1_5,FRMTYP1_6,FRMTYP1_7,FRMTYP1_8,FRMTYP1_11,FRMTYP1_9,FRMTYP1_10,FRMTYP1_12,NVFTPRD,VFTPRD,NMAPLET,MAPLET,NTOTLAB,TOTLAB,NPDLBYR,PDLBYR,NPDLBSL,PDLBSL
240331055,24,3,31,55,2431055,- Saint-MÇthode-de-Frontenac,57,"3,709,024",13,"14,054",13,"14,054",0,0,28,"483,525",23,"290,048",15,"193,477",49,"106,145",37,"483,744",22,"156,919",22,"326,825",36,"14,779",52,"328,224",48,"104,706",46,"223,518",13,"15,073",33,"110,383",32,"90,117",4,"2,025",14,"18,241",37,"1,481,235",36,"916,211",33,"865,600",22,"495,106",34,"69,918",10,"73,650",35,"598,212",57,"4,742,821",3,3,10,10,7,10,9,3,2,54,18,11,2,2,0,0,2,0,0,18,1,0,37,"155,077",35,"169,620",28,"1,026",11,657,23,369
240331060,24,3,31,60,2431060,- Sainte-Clotilde-de-Beauce,48,"2,000,080",8,"6,912",8,"6,912",0,0,18,"124,138",9,"79,634",11,"44,504",36,"48,521",27,"213,634",14,"89,735",19,"123,899",29,"10,946",39,"148,393",36,"52,104",35,"96,289",6,"3,414",18,"44,497",17,"38,318",3,"1,043",6,"5,136",29,"1,131,877",27,"355,663",25,"325,050",18,x,26,x,6,"16,702",30,"251,046",48,"2,199,148",2,9,11,8,7,9,0,1,1,46,12,11,1,0,0,0,1,0,1,17,0,3,27,"133,906",33,"106,699",18,378,8,257,11,121
240331070,24,3,31,70,2431070,- SacrÇ-Coeur-de-Marie-Partie-Sud,50,"1,560,778",9,"3,980",8,x,1,x,19,"118,491",11,"103,158",12,"15,333",41,"64,093",29,"156,146",15,"47,206",18,"108,940",29,"7,275",48,"209,870",43,"84,446",38,"125,424",6,"6,814",26,"43,208",22,"34,424",3,"1,992",7,"6,792",42,"784,340",42,"563,720",42,"524,232",18,"189,341",36,"31,279",5,"2,620",24,"163,941",50,"1,732,066",7,13,8,9,4,5,2,2,0,43,8,23,3,0,0,0,1,1,0,7,0,0,20,"70,275",17,"25,185",19,595,9,416,11,179
240331080,24,3,31,80,2431080,- Thetford-Partie-Sud,30,"1,273,541",3,x,2,x,1,x,12,"254,522",6,x,8,x,26,"49,024",11,"45,876",6,"17,475",5,"28,401",19,"5,987",27,"136,177",27,"58,879",24,"77,298",4,x,12,"24,551",11,"16,727",2,x,6,x,17,"565,381",17,"484,885",16,"479,286",7,"62,100",15,"18,396",4,"9,559",17,"168,517",30,"1,303,714",1,6,7,8,4,1,1,2,0,29,4,9,2,0,0,0,2,0,0,12,0,0,11,"30,430",14,"52,188",12,596,3,343,10,253
240331085,24,3,31,85,2431085,- Black Lake,23,"954,581",1,x,1,x,0,0,8,"144,306",5,x,4,x,19,"30,368",12,x,5,x,8,x,16,"3,814",21,"125,562",21,"22,970",21,"102,592",7,"26,138",13,"62,061",13,"45,598",5,"9,829",6,"6,634",17,"273,227",16,"207,402",14,"204,403",7,"30,322",16,"35,503",5,x,16,"194,496",23,"1,189,138",1,5,3,6,1,1,6,0,0,22,7,9,0,0,0,0,1,0,0,5,0,0,8,"15,922",9,"15,450",8,360,4,320,6,40
240331095,24,3,31,95,2431095,- Saint-Adrien-d'Irlande,32,"1,504,171",5,"4,852",5,"4,852",0,0,14,"193,786",8,"129,331",9,"64,455",28,"56,245",24,"184,821",11,"76,924",16,"107,897",24,"6,525",30,"175,482",29,"50,611",28,"124,871",6,"11,324",24,"81,887",24,"69,693",8,"2,696",11,"9,498",25,"560,375",22,"333,380",22,"327,862",13,"175,194",22,"51,801",5,"5,930",23,"222,944",32,"1,919,865",2,4,4,5,1,9,7,0,0,30,15,6,0,0,0,0,0,0,0,7,1,1,20,"98,244",23,"74,680",14,508,4,335,12,173
240331100,24,3,31,100,2431100,- Saint-Jean-de-BrÇbeuf,47,"2,868,419",9,"84,685",9,"84,685",0,0,22,"211,455",15,"108,441",10,"103,014",40,"79,832",30,"463,294",13,"119,274",20,"344,020",35,"12,780",45,"298,120",43,"108,766",39,"189,354",18,"70,705",29,"87,302",27,"77,577",5,"1,287",15,"8,438",36,"1,178,448",34,"813,345",33,"724,673",20,"284,487",32,"80,616",13,"50,858",26,"330,940",47,"5,988,232",3,3,2,7,14,9,8,0,1,44,7,22,3,0,0,0,1,0,0,8,2,1,36,"353,038",38,"224,200",22,612,9,369,16,243
240331105,24,3,31,105,2431105,- Kinnear's Mills,37,"1,200,735",6,"38,375",6,"38,375",0,0,14,"96,640",6,"55,172",11,"41,468",34,"32,132",25,"171,220",16,"61,297",15,"109,923",24,"5,309",35,"185,225",32,"74,993",30,"110,232",9,"19,795",17,"64,224",16,"28,715",6,"3,783",9,"31,726",18,"349,528",17,"231,068",17,"195,915",10,"68,676",16,"49,784",3,"1,221",30,"237,066",37,"1,407,572",1,4,10,6,4,8,4,0,0,36,10,9,0,0,0,0,2,0,0,15,0,0,22,"117,114",23,"61,945",14,338,3,130,13,208
240331110,24,3,31,110,2431110,- Pontbriand,30,"551,450",3,x,3,x,0,0,13,"65,969",7,"39,620",8,"26,349",29,"29,531",10,"94,345",7,"22,484",7,"71,861",20,"3,649",30,"101,022",28,"35,077",26,"65,945",8,"10,938",12,"14,009",11,x,3,x,3,x,17,"135,760",16,"83,923",16,x,10,"46,445",13,"5,392",7,x,18,"82,764",30,"775,117",2,5,5,10,4,2,2,0,0,28,1,9,2,0,0,0,1,1,0,14,0,0,20,"79,596",17,"35,925",13,245,3,58,11,187
240331130,24,3,31,130,2431130,- SacrÇ-Coeur-de-JÇsus,66,"2,059,530",10,"4,380",9,x,1,x,33,"85,679",21,"48,597",21,"37,082",62,"82,019",44,"311,631",24,"72,197",32,"239,434",53,"14,512",61,"365,070",61,"163,638",58,"201,432",15,"42,370",50,"155,094",47,"137,478",11,"4,732",21,"12,884",57,"716,287",55,"536,614",55,"483,373",32,"126,149",54,"53,524",9,"11,622",38,"270,866",66,"2,910,704",9,9,3,11,11,16,7,0,0,57,25,15,2,0,0,0,2,0,0,13,0,0,38,"89,611",30,"50,295",33,452,7,240,28,212
240331135,24,3,31,135,2431135,- Saint-Pierre-de-Broughton,77,"2,739,645",14,"9,154",13,x,1,x,38,"260,271",23,"125,166",27,"135,105",60,"77,397",42,"360,245",21,"70,394",32,"289,851",40,"16,187",73,"313,382",67,"113,864",52,"199,518",21,"29,324",37,"126,857",36,"104,323",10,"4,788",16,"17,746",44,"1,057,240",43,"794,468",43,"729,288",23,"160,089",41,"102,683",10,"22,227",39,"467,361",77,"3,718,837",11,14,9,14,4,12,11,2,0,66,22,17,0,0,0,0,0,0,0,24,2,1,36,"175,844",58,"135,650",38,804,16,531,29,273
240331140,24,3,31,140,2431140,- Saint-Jacques-de-Leeds,62,"3,157,982",13,"17,844",12,x,2,x,28,"303,711",16,"226,810",21,"76,901",56,"116,732",44,"526,420",27,"199,708",33,"326,712",52,"18,893",55,"365,391",51,"116,827",50,"248,564",24,"64,242",39,"141,835",36,"107,821",19,"14,839",23,"19,175",41,"1,022,388",41,"749,790",39,"623,257",26,"153,742",37,"118,856",13,"36,515",43,"544,011",62,"4,191,482",3,6,4,14,8,10,14,3,0,59,18,12,3,3,0,0,1,0,0,21,1,0,35,"254,600",44,"174,010",28,639,10,398,20,241
240400000,24,4,0,0,2400000,- Bois-Francs,"4,191","367,260,149",875,"2,328,521",826,"2,063,783",75,"264,738","2,321","36,925,896","1,428","20,288,595","1,623","16,637,301","3,775","11,034,332","3,090","53,834,060","2,026","17,887,142","2,264","35,946,918","3,410","1,859,478","3,885","34,943,216","3,644","11,655,811","3,520","23,287,405","2,353","10,371,622","3,094","32,194,624","2,750","19,822,135","1,928","4,116,222","2,257","8,256,267","3,243","130,626,229","3,156","87,245,857","3,126","73,273,875","1,953","32,472,174","2,980","10,908,198",700,"3,076,678","2,908","50,065,493","4,191","472,061,686",211,307,320,463,389,754,"1,360",273,114,"3,980","1,901",646,259,112,4,254,187,36,34,470,30,47,786,"3,435,384",743,"1,901,955","2,321","87,749",956,"56,117","1,763","31,632"
240432000,24,4,32,0,2432000,- L'êrable,752,"51,219,743",125,"287,498",117,"267,304",15,"20,194",383,"5,924,743",257,"3,848,425",261,"2,076,318",667,"1,545,800",532,"7,290,375",323,"2,333,789",400,"4,956,586",581,"254,245",698,"4,980,863",659,"1,616,620",628,"3,364,243",345,"1,014,412",488,"3,000,936",416,"1,854,562",231,"368,722",327,"777,652",551,"18,562,166",542,"12,669,186",537,"11,149,506",330,"4,423,003",516,"1,469,977",104,"268,704",490,"8,090,001",752,"65,197,880",40,74,81,104,75,146,177,40,15,712,301,166,30,8,0,8,41,4,1,141,5,7,348,"1,697,807",333,"935,605",383,"13,998",154,"8,637",297,"5,361"
240432005,24,4,32,5,2432005,- Vianney,24,"1,013,746",2,x,2,x,0,0,11,x,8,"70,377",5,x,24,"46,950",18,"160,270",9,"62,144",13,"98,126",23,"6,659",21,"103,476",21,"40,627",20,"62,849",9,"11,442",17,"45,397",17,"40,447",2,x,9,x,20,"347,205",20,"274,504",20,"238,978",7,"24,620",18,"48,081",1,x,14,"179,025",24,"1,393,410",1,0,1,3,4,13,2,0,0,23,14,4,2,0,0,0,0,0,0,2,1,0,15,"45,814",16,"42,850",11,280,2,x,10,x
240432015,24,4,32,15,2432015,- Halifax-Sud,72,"2,605,175",10,"12,731",9,x,1,x,25,"169,527",15,"129,274",18,"40,253",57,"76,869",45,"285,323",25,"80,226",35,"205,097",48,"13,026",71,"298,460",64,"105,110",60,"193,350",22,"41,184",33,"105,139",30,"85,994",9,"8,252",16,"10,893",42,"953,730",40,"583,676",40,"522,188",28,"302,985",40,"67,069",11,"15,972",42,"633,214",72,"2,994,704",5,10,14,15,5,14,8,1,0,67,15,20,2,0,0,1,5,1,0,22,0,1,34,"150,776",57,"158,608",25,664,11,548,17,116
240432020,24,4,32,20,2432020,- Halifax-Nord,82,"4,097,806",12,"37,601",12,x,1,x,37,"428,586",24,"290,009",24,"138,577",76,"132,638",53,"527,023",26,"116,311",43,"410,712",58,"19,533",71,"388,376",66,"112,162",63,"276,214",38,"99,405",49,"166,744",41,"117,378",22,"13,370",34,"35,996",55,"1,680,499",54,"1,019,903",54,"873,550",34,"521,778",52,"138,818",8,"19,706",54,"597,695",82,"5,407,822",6,14,8,12,8,15,17,1,1,76,33,13,1,1,0,0,3,0,0,25,0,0,31,"124,830",53,"142,459",37,"1,043",12,568,32,475
240432035,24,4,32,35,2432035,- Princeville,107,"8,955,073",17,"38,303",17,x,2,x,76,"1,460,691",54,"890,866",53,"569,825",95,"332,522",79,"1,450,736",51,"489,310",61,"961,426",92,"56,845",97,"818,830",89,"242,018",91,"576,812",58,"212,339",84,"673,799",71,"414,194",59,"83,299",60,"176,306",90,"2,581,117",88,"1,821,184",87,"1,474,192",50,"436,347",87,"323,586",19,"39,212",68,"1,290,679",107,"12,522,217",3,4,7,10,9,23,41,8,2,104,65,15,1,1,0,2,5,2,0,13,0,0,25,"160,397",12,"26,800",76,"3,397",36,"2,340",55,"1,057"
240432045,24,4,32,45,2432045,- Plessisville,90,"9,957,894",15,"15,236",14,x,1,x,58,"1,476,439",46,"1,052,915",39,"423,524",77,"252,139",65,"1,159,680",43,"276,276",52,"883,404",69,"29,690",86,"779,812",84,"270,313",76,"509,499",51,"215,248",57,"463,857",51,"302,061",41,"44,375",45,"117,421",65,"3,910,039",64,"2,483,068",64,"2,243,773",49,"1,141,230",60,"285,741",15,"29,601",64,"1,626,153",90,"12,163,644",7,9,7,6,4,7,37,9,4,83,46,7,6,3,0,1,2,1,0,14,1,2,38,"125,146",41,"86,328",58,"2,879",32,"1,989",43,890
240432050,24,4,32,50,2432050,- Saint-Pierre-Baptiste,75,"2,538,896",11,"23,016",10,x,1,x,24,"214,586",14,"129,503",16,"85,083",68,"87,148",52,"482,046",31,"173,996",37,"308,050",55,"20,298",66,"341,712",63,"95,519",56,"246,193",26,"46,398",39,"103,605",24,"72,880",10,"3,803",28,"26,922",45,"749,858",44,"462,259",43,"385,368",30,"213,782",44,"73,817",14,"32,530",52,"437,699",75,"3,691,508",4,13,11,7,10,17,11,2,0,71,25,18,0,0,0,0,8,0,0,18,1,1,37,"186,727",48,"138,132",24,698,11,497,16,201
240432060,24,4,32,60,2432060,- Inverness,119,"4,901,601",26,"42,746",22,"27,894",7,"14,852",46,"495,798",29,"372,625",29,"123,173",100,"157,897",83,"804,439",55,"295,302",53,"509,137",89,"26,706",111,"644,164",105,"232,851",98,"411,313",39,"77,715",68,"425,115",61,"207,120",22,"62,420",43,"155,575",83,"1,457,164",83,"1,064,153",83,"971,020",42,"286,483",72,"106,528",15,"34,229",66,"735,628",119,"6,250,801",3,16,13,28,20,26,9,2,2,116,17,54,3,0,0,0,7,0,0,31,1,3,85,"648,374",76,"274,326",46,"1,344",12,640,39,704
240432065,24,4,32,65,2432065,- Lyster,64,"7,839,447",14,"44,284",14,"44,284",0,0,42,"707,596",30,"438,277",34,"269,319",61,"215,007",56,"1,134,341",34,"355,792",43,"778,549",53,"32,796",61,"726,112",59,"232,211",59,"493,901",44,"151,211",51,"443,908",44,"275,783",31,"93,347",33,"74,778",54,"3,111,480",54,"2,165,356",54,"1,998,816",36,"751,204",52,"194,920",10,"38,276",52,"1,234,436",64,"9,619,073",2,1,6,8,3,7,24,10,3,62,31,11,5,1,0,4,3,0,1,6,0,0,32,"94,246",7,"14,100",42,"1,355",15,631,34,724
240432075,24,4,32,75,2432075,- Sainte-Julie,70,"7,515,784",14,"54,374",13,x,2,x,49,"701,692",31,"453,848",32,"247,844",63,"182,303",55,"983,404",35,"364,761",48,"618,643",57,"27,316",66,"647,802",63,"214,859",63,"432,943",36,"107,592",55,"424,601",47,"263,500",27,"56,656",42,"104,445",58,"3,287,877",57,"2,417,326",57,"2,122,911",38,"694,396",54,"176,155",7,"47,572",46,"1,051,251",70,"8,762,165",2,4,6,10,5,12,22,6,3,68,33,14,8,2,0,0,4,0,0,6,1,0,28,"101,563",18,"46,902",49,"1,820",19,"1,167",38,653
240432080,24,4,32,80,2432080,- Notre-Dame-de-Lourdes,31,"1,075,094",4,x,4,x,0,0,5,x,3,x,3,x,30,"38,106",15,"149,364",10,x,7,x,22,x,31,"148,515",30,"47,251",28,"101,264",13,"38,882",22,"107,456",18,"43,049",5,x,11,x,24,"265,349",23,"200,054",21,"166,501",10,"32,252",22,"33,043",1,x,20,"168,858",31,"1,396,573",7,2,5,4,3,6,3,1,0,24,12,6,1,0,0,0,2,0,0,3,0,0,12,"30,000",3,x,5,406,2,x,4,x
240432085,24,4,32,85,2432085,- Villeroy,18,"719,227",0,0,0,0,0,0,10,x,3,x,8,x,16,"24,221",11,"153,749",4,x,8,x,15,x,17,"83,604",15,"23,699",14,"59,905",9,"12,996",13,"41,315",12,"32,156",3,x,6,x,15,"217,848",15,"177,703",14,"152,209",6,"17,926",15,"22,219",3,x,12,"135,363",18,"995,963",0,1,3,1,4,6,3,0,0,18,10,4,1,0,0,0,2,0,0,1,0,0,11,"29,934",2,x,10,112,2,x,9,x
240438000,24,4,38,0,2438000,- BÇcancour,559,"41,696,405",138,"299,758",133,"207,843",11,"91,915",284,"3,704,032",165,"1,969,957",206,"1,734,075",499,"1,187,177",402,"5,902,526",262,"1,913,207",297,"3,989,319",459,"234,838",524,"4,318,250",494,"1,439,399",470,"2,878,851",336,"1,266,390",437,"3,308,185",360,"2,013,325",269,"457,795",333,"837,065",449,"15,300,483",444,"10,647,570",437,"8,873,724",255,"3,334,111",423,"1,318,802",68,"286,775",401,"5,887,991",559,"53,191,430",33,42,37,82,57,101,172,24,11,526,273,100,18,14,1,32,26,5,6,39,7,5,85,"166,778",51,"56,640",284,"9,052",96,"5,136",223,"3,916"
240438005,24,4,38,5,2438005,- Saint-Sylväre,72,"6,105,714",12,x,10,"8,137",2,x,40,"586,663",24,"326,234",25,"260,429",65,"193,105",50,"601,885",32,"267,580",29,"334,305",64,x,64,"506,959",56,"144,463",59,"362,496",39,"180,031",50,"282,696",41,"194,738",27,"32,084",41,"55,874",57,"2,832,483",57,"2,173,952",56,"2,068,186",36,"500,233",55,"158,298",10,"85,904",57,"790,278",72,"7,699,349",3,5,7,12,5,12,23,2,3,69,35,12,1,6,0,3,5,0,0,6,0,1,4,"8,100",11,"18,605",40,"1,375",14,946,30,429
240438010,24,4,38,10,2438010,- BÇcancour,243,"15,818,605",68,"111,295",66,"102,099",4,"9,196",103,"1,118,007",52,"600,002",79,"518,005",207,"434,737",164,"1,873,734",100,"576,921",124,"1,296,813",183,"95,192",224,"1,497,538",213,"456,862",193,"1,040,676",131,"483,301",187,"1,384,284",153,"768,497",112,"173,252",141,"442,535",181,"6,760,874",180,"4,636,351",178,"3,839,798",103,"1,702,033",168,"422,490",28,"73,342",157,"1,986,301",243,"19,978,271",21,16,15,45,29,51,53,9,4,222,100,47,8,5,0,21,11,1,2,22,3,2,32,"55,468",26,"22,210",103,"2,383",29,"1,152",83,"1,231"
240438020,24,4,38,20,2438020,- Lemieux,19,"1,733,426",3,x,2,x,1,x,16,"418,278",9,"129,133",12,"289,145",15,"39,923",13,"185,133",7,"69,587",11,"115,546",14,x,18,"214,329",16,"111,292",16,"103,037",12,"66,301",16,"141,446",15,"86,912",7,"28,296",11,"26,238",13,"348,775",13,"173,499",13,"135,039",7,"101,854",13,"73,422",2,x,13,"260,917",19,"2,534,643",2,0,0,2,4,1,8,0,2,17,10,1,0,0,0,1,1,2,0,2,0,0,6,"8,447",2,x,16,958,7,536,13,422
240438030,24,4,38,30,2438030,- Saint-Joseph-de-Blandford,18,"801,424",4,"3,528",4,"3,528",0,0,8,"99,038",7,"71,925",5,"27,113",18,"25,522",13,"144,238",6,"22,507",11,"121,731",17,x,17,"107,522",16,"28,436",16,"79,086",10,"21,460",15,"50,207",12,"35,216",5,"2,983",9,"12,008",16,"225,674",16,"129,194",16,"111,650",8,"40,459",16,"56,021",1,x,12,"118,285",18,"1,048,964",1,1,0,5,3,6,2,0,0,17,9,6,0,0,0,1,1,0,0,0,0,0,10,"30,516",1,x,8,327,5,x,5,x
240438035,24,4,38,35,2438035,- Sainte-Franáoise,25,"2,402,667",6,"4,070",6,"4,070",0,0,16,"254,523",12,"188,672",8,"65,851",23,"82,894",22,"575,321",16,"164,938",17,"410,383",22,x,24,"353,054",23,"130,414",22,"222,640",18,"58,786",22,"116,907",18,"68,993",12,"14,904",16,"33,010",24,"548,349",24,"411,485",24,"331,648",9,"30,612",23,"106,252",2,x,21,"391,643",25,"3,026,632",0,3,0,2,2,3,14,1,0,25,18,1,1,0,0,0,2,0,0,1,1,1,14,"33,015",4,"4,500",16,660,8,432,9,228
240438040,24,4,38,40,2438040,- Sainte-Sophie-de-LÇvrard,31,"2,981,489",9,x,9,x,1,x,18,"128,627",7,"31,903",14,"96,724",29,"89,071",26,"548,932",17,"123,990",18,"424,942",28,x,31,"410,606",31,"136,839",30,"273,767",20,"95,286",23,"329,565",20,"207,704",18,"40,858",19,"81,003",28,"853,818",28,"520,696",27,"459,910",11,"207,692",25,"125,430",5,"22,944",25,"482,271",31,"4,005,138",0,3,2,1,1,6,13,5,0,31,20,4,2,0,0,2,1,0,0,0,1,1,6,"11,982",2,x,18,324,4,127,15,197
240438050,24,4,38,50,2438050,- Sainte-Philomäne-de-Fortierville,37,"3,952,359",9,"26,601",9,"26,601",0,0,18,"431,564",15,"203,835",13,"227,729",34,"99,861",30,"592,613",22,"204,008",24,"388,605",30,"17,850",36,"368,196",34,"137,950",30,"230,246",22,"63,920",28,"320,782",23,"244,373",20,"32,420",19,"43,989",36,"1,259,024",34,"825,680",32,"445,557",20,"335,257",34,"98,087",7,"53,360",29,"718,588",37,"4,527,501",1,4,4,4,3,5,13,1,2,36,20,11,2,1,0,1,0,0,0,0,1,0,5,x,1,x,18,"1,237",9,634,13,603
240438055,24,4,38,55,2438055,- Parisville,23,"1,193,682",2,x,2,x,0,0,13,"90,931",5,"49,827",11,"41,104",22,"39,746",18,"248,915",12,"94,470",14,"154,445",20,x,20,"157,329",18,"39,442",20,"117,887",18,"46,803",20,"70,746",14,"37,839",14,"9,666",16,"23,241",19,"289,756",19,"204,015",19,"160,960",10,"24,679",17,"61,062",2,x,16,"238,409",23,"1,597,235",1,2,2,3,2,4,9,0,0,22,15,4,0,0,1,0,1,0,0,1,0,0,2,x,2,x,13,188,2,x,11,x
240438060,24,4,38,60,2438060,- Sainte-CÇcile-de-LÇvrard,29,"2,364,409",9,"16,905",9,"16,905",0,0,14,"205,774",8,"167,481",10,"38,293",28,"68,427",22,"484,620",18,"145,292",16,"339,328",26,x,29,"200,462",27,"70,197",26,"130,265",20,"91,802",22,"213,973",18,"138,119",19,"39,363",17,"36,491",28,"768,631",27,"606,901",27,"532,916",16,"86,209",26,"75,521",2,x,23,"299,720",29,"3,162,558",1,2,4,1,3,2,13,3,0,28,16,7,2,0,0,0,1,0,0,1,1,0,0,0,0,0,14,509,7,368,10,141
240438065,24,4,38,65,2438065,- Saint-Pierre-les-Becquets,37,"2,440,116",10,x,10,"34,429",1,x,21,"190,522",13,"95,754",16,"94,768",34,"64,696",24,"280,137",15,"79,677",18,"200,460",34,x,36,"312,985",35,"122,589",34,"190,396",27,"70,677",32,"265,131",29,"170,202",19,"47,938",26,"46,991",27,"856,833",26,"542,994",25,"402,355",19,"232,452",26,"81,387",4,"15,215",29,"336,316",37,"3,180,995",2,4,0,6,4,8,11,2,0,35,14,5,1,2,0,2,1,1,3,6,0,0,0,0,0,0,21,596,5,304,20,292
240438070,24,4,38,70,2438070,- Deschaillons-sur-Saint-Laurent,25,"1,902,514",6,"48,790",6,x,2,x,17,"180,105",13,"105,191",13,"74,914",24,"49,195",20,"366,998",17,"164,237",15,"202,761",21,"12,585",25,"189,270",25,"60,915",24,"128,355",19,"88,023",22,"132,448",17,"60,732",16,"36,031",18,"35,685",20,"556,266",20,"422,803",20,"385,705",16,"72,631",20,"60,832",5,"13,571",19,"265,263",25,"2,430,144",1,2,3,1,1,3,13,1,0,24,16,2,1,0,0,1,2,1,1,0,0,0,6,"12,476",2,x,17,495,6,328,14,167
240439000,24,4,39,0,2439000,- Arthabaska,"1,093","94,503,786",178,"473,548",162,"383,044",22,"90,504",608,"9,006,620",382,"5,145,662",414,"3,860,958","1,000","2,962,036",832,"15,632,489",548,"5,356,443",601,"10,276,046",858,"467,562","1,009","8,955,107",940,"2,757,126",923,"6,197,981",576,"2,571,773",776,"6,844,948",704,"4,409,271",434,"712,360",542,"1,723,317",865,"34,300,216",830,"22,839,022",827,"19,126,922",510,"8,272,109",812,"3,189,085",136,"461,509",764,"12,827,978","1,093","120,269,395",56,77,87,126,91,178,379,76,23,"1,037",534,164,59,24,0,30,33,6,10,161,5,11,246,"1,106,095",237,"664,055",608,"22,030",268,"14,997",443,"7,033"
240439010,24,4,39,10,2439010,- Ham-Nord,53,"2,415,043",6,"12,930",6,"12,930",0,0,22,"185,953",18,"77,315",13,"108,638",52,"95,969",38,"466,710",26,"183,416",26,"283,294",44,"20,350",50,"310,039",45,"85,156",42,"224,883",23,"60,397",33,"201,416",29,"93,430",7,"6,192",21,"101,794",35,"679,920",34,"412,251",34,"326,979",18,"181,987",33,"85,682",8,"26,561",36,"354,798",53,"3,104,086",2,8,4,8,7,10,14,0,0,51,23,12,0,0,0,0,2,0,1,13,0,0,32,"132,209",21,"80,600",22,824,9,387,17,437
240439015,24,4,39,15,2439015,- Notre-Dame-de-Lourdes-de-Ham,24,"647,723",4,"6,000",4,"6,000",0,0,5,"36,016",2,x,4,x,18,"21,698",10,"76,338",7,"14,064",7,"62,274",15,x,20,"67,243",19,"19,155",20,"48,088",7,"6,942",8,"20,115",6,"16,352",2,x,4,x,13,"371,676",10,"242,292",10,"228,405",8,x,13,x,2,x,11,"32,614",24,"778,906",2,6,3,7,2,1,2,1,0,22,5,8,0,0,0,0,2,0,0,6,0,1,12,"32,333",9,"21,550",5,57,0,0,5,57
240439020,24,4,39,20,2439020,- Saint-RÇmi-de-Tingwick,43,"2,794,332",9,x,8,"9,537",2,x,24,"200,032",13,"131,738",16,"68,294",41,"89,403",34,"391,892",20,"203,731",26,"188,161",37,"16,137",42,"350,035",41,"103,935",42,"246,100",22,"55,305",33,"174,321",30,"122,201",16,"12,839",20,"39,281",39,"1,152,187",39,"873,999",39,"814,304",22,"155,741",38,"122,447",1,x,29,"353,170",43,"3,564,225",2,1,5,6,1,14,12,2,0,41,27,6,1,1,0,0,1,0,0,5,0,0,13,"38,878",7,"27,500",24,630,11,436,18,194
240439025,24,4,39,25,2439025,- Tingwick,97,"7,716,840",18,"58,169",14,"29,183",5,"28,986",60,"868,778",40,"535,950",36,"332,828",91,"264,425",76,"1,570,553",44,"353,479",55,"1,217,074",85,"57,048",90,"659,036",87,"232,938",83,"426,098",52,"167,857",73,"640,937",65,"365,566",42,"49,634",49,"225,737",75,"2,048,468",70,"1,408,089",70,"1,146,900",49,"413,938",73,"226,441",17,"46,873",78,"1,334,696",97,"10,185,350",4,4,11,9,11,12,39,7,0,93,49,21,1,0,0,1,2,0,2,16,0,1,25,"126,627",28,"79,440",60,"1,838",26,"1,102",45,736
240439030,24,4,39,30,2439030,- Chesterville,58,"5,537,484",7,"12,573",6,x,2,x,34,"385,200",17,"222,251",24,"162,949",56,"175,511",45,"788,058",32,"328,494",29,"459,564",47,"20,745",53,"556,628",50,"162,338",50,"394,290",32,"128,345",36,"213,608",32,"146,809",16,"15,904",24,"50,895",46,"2,299,110",44,"1,734,945",44,"1,442,229",25,"361,093",43,"203,072",6,"20,766",39,"936,940",58,"6,729,063",2,2,4,7,6,13,17,6,1,56,29,12,0,1,0,0,1,0,0,12,1,0,22,"146,406",24,"78,850",34,"1,086",16,818,24,268
240439035,24,4,39,35,2439035,- Chester-Est,37,"1,211,185",3,x,3,x,0,0,12,"45,304",7,"33,332",6,"11,972",32,"63,857",27,"228,805",15,"76,112",21,"152,693",30,x,33,"183,622",30,"74,027",25,"109,595",17,"38,918",15,"59,009",13,"46,250",3,397,11,"12,362",24,"396,946",21,"263,591",21,"229,518",11,"100,876",22,"32,479",8,"19,697",22,"153,926",37,"1,621,446",2,9,6,5,2,5,8,0,0,35,13,4,1,0,0,0,0,0,0,16,0,1,19,"103,659",23,"101,553",12,168,5,x,7,x
