AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,ALL1,ALL2,ALL3,SEX1,SEX2,AGE1,AGE2,AGE3,RES1,OFF1,OFF2,OFF3,OFF4,OFF5,OFF6,AVAGE1,AVOFF1
240328030,24,3,28,30,2428030,Sainte-Rose-de-Watford,35,25,10,30,10,10,15,15,30,25,0,5,5,5,15,46.0,75.6
240328035,24,3,28,35,2428035,Saint-Louis-de-Gonzague,65,50,20,55,10,10,30,20,30,30,0,0,25,10,35,47.5,108.2
240328045,24,3,28,45,2428045,Sainte-Justine,25,20,5,15,5,5,10,10,20,20,0,5,0,0,5,47.0,37.8
240328055,24,3,28,55,2428055,Sainte-Germaine-du-Lac-Etchemin,40,20,25,30,10,10,20,15,35,30,5,0,5,0,15,46.9,55.2
240328070,24,3,28,70,2428070,Saint-Camille-de-Lellis,35,15,20,25,10,15,10,15,35,20,0,0,5,10,15,43.7,80.2
240328075,24,3,28,75,2428075,Saint-Magloire-de-Bellechasse,40,25,15,30,10,10,25,10,30,30,0,0,10,5,10,44.3,65.5
240329000,24,3,29,0,2429000,Beauce-Sartigan,950,515,435,745,205,215,490,245,730,635,5,35,120,155,315,45.5,74.7
240329005,24,3,29,5,2429005,Saint-ThÇophile,55,25,30,40,15,20,20,15,35,30,0,0,10,15,25,43.1,113.9
240329015,24,3,29,15,2429015,Saint-GÇdÇon,50,20,30,40,15,10,25,15,45,40,0,0,5,5,15,46.6,47.3
240329020,24,3,29,20,2429020,Saint-Hilaire-de-Dorset,40,15,25,30,10,5,30,10,20,30,0,0,5,5,10,44.5,61.7
240329025,24,3,29,25,2429025,Saint-êvariste-de-Forsyth,65,25,40,50,15,10,30,20,50,45,0,5,10,5,20,46.7,54.3
240329030,24,3,29,30,2429030,La Guadeloupe,20,10,10,15,5,0,10,5,15,15,0,0,0,5,10,46.0,84.9
240329040,24,3,29,40,2429040,Saint-HonorÇ,165,85,75,120,45,45,90,25,125,115,5,10,15,20,45,43.4,59.8
240329045,24,3,29,45,2429045,Saint-Martin,50,35,20,45,5,15,25,15,50,40,0,5,5,5,15,45.2,49.4
240329060,24,3,29,60,2429060,Saint-Cìme-de-Kennebec,65,35,30,55,10,20,30,15,60,40,0,5,5,15,25,43.9,94.8
240329065,24,3,29,65,2429065,Saint-Philibert,35,25,15,30,10,5,20,10,25,25,0,5,5,5,15,46.1,75.8
240329070,24,3,29,70,2429070,Saint-Georges-Est,60,30,25,50,15,5,35,15,40,35,0,0,15,15,25,48.4,100.4
240329085,24,3,29,85,2429085,Aubert-Gallion,30,20,10,25,5,0,15,10,25,20,0,5,5,5,10,49.5,68.9
240329090,24,3,29,90,2429090,Saint-Jean-de-la-Lande,55,30,25,45,15,15,30,15,45,35,0,0,10,5,20,45.1,69.4
240329100,24,3,29,100,2429100,Saint-Benoåt-Labre,80,55,25,65,15,10,40,25,55,45,0,0,10,20,35,48.0,105.9
240329115,24,3,29,115,2429115,Saint-êphrem-de-Beauce,150,80,70,120,30,40,70,35,115,110,0,0,15,20,40,45.1,67.0
240329125,24,3,29,125,2429125,Saint-Simon-les-Mines,30,20,0,25,0,5,10,10,20,10,0,0,5,10,15,47.7,103.1
240330000,24,3,30,0,2430000,Le Granit,840,385,460,630,210,210,445,190,685,575,15,25,115,115,270,43.7,63.4
240330005,24,3,30,5,2430005,Saint-Augustin-de-Woburn,35,15,25,25,10,10,20,5,25,20,0,0,5,5,10,42.1,74.9
240330020,24,3,30,20,2430020,Piopolis,40,25,15,30,10,5,25,10,35,20,0,0,5,10,20,48.2,103.2
240330025,24,3,30,25,2430025,Frontenac,45,20,20,40,10,5,10,25,35,35,5,0,5,5,10,49.4,49.0
240330045,24,3,30,45,2430045,Nantes,50,30,20,35,10,10,20,10,30,30,0,0,10,10,15,45.4,82.5
240330050,24,3,30,50,2430050,Sainte-CÇcile-de-Whitton,50,15,30,35,15,15,20,10,40,40,5,0,5,5,10,40.6,37.6
240330055,24,3,30,55,2430055,Audet,75,30,45,50,25,20,35,25,60,50,5,5,15,10,25,44.9,65.3
240330070,24,3,30,70,2430070,Saint-Robert-Bellarmin,95,30,60,70,25,30,50,10,70,55,5,0,15,15,35,41.5,82.1
240330075,24,3,30,75,2430075,Gayhurst-Partie-Sud-Est,35,10,25,20,15,10,15,5,30,25,0,0,5,5,10,42.1,48.3
240330080,24,3,30,80,2430080,Lac-Drolet,60,30,30,45,10,10,40,10,50,40,0,0,5,5,20,43.3,68.1
240330085,24,3,30,85,2430085,Saint-SÇbastien,75,35,40,55,20,20,40,20,60,50,0,5,10,10,25,44.8,51.6
240330090,24,3,30,90,2430090,Courcelles,55,25,35,45,10,15,35,15,45,40,5,5,10,5,20,44.1,40.9
240330095,24,3,30,95,2430095,Lambton,105,60,50,80,25,25,50,25,90,80,0,0,15,5,30,43.9,50.4
240330100,24,3,30,100,2430100,Saint-Romain,35,20,15,35,10,15,15,10,30,30,0,5,0,5,10,42.6,42.1
240330105,24,3,30,105,2430105,Stornoway,40,25,20,35,10,10,25,10,30,20,5,0,10,10,20,43.3,112.5
240330110,24,3,30,110,2430110,Stratford,45,15,30,40,10,15,25,5,35,35,0,0,5,10,15,40.4,57.1
240331000,24,3,31,0,2431000,L'Amiante,"1,040",545,495,820,225,230,575,235,860,720,15,40,150,125,325,44.9,61.4
240331010,24,3,31,10,2431010,Garthby,30,15,15,25,10,5,25,5,30,25,0,0,5,10,15,45.5,82.9
240331020,24,3,31,20,2431020,Disraâli,40,20,20,30,10,5,25,5,40,25,0,0,5,5,15,42.6,54.6
240331025,24,3,31,25,2431025,St-Jacques-le-Majeur-Wolfestown,25,10,15,15,10,5,15,5,20,15,0,5,5,0,10,42.7,42.8
240331030,24,3,31,30,2431030,Saint-Fortunat,55,20,35,40,15,30,20,5,45,45,0,0,5,5,10,38.7,35.1
240331035,24,3,31,35,2431035,Saint-Julien,30,25,5,25,5,5,15,5,20,15,0,0,10,0,20,45.2,97.7
240331040,24,3,31,40,2431040,Irlande,95,50,50,70,25,25,55,15,70,60,5,5,20,20,40,42.0,82.1
240331050,24,3,31,50,2431050,Sainte-Praxäde,25,5,15,20,5,5,10,10,25,20,0,0,0,5,5,45.5,43.9
240331055,24,3,31,55,2431055,Saint-MÇthode-de-Frontenac,70,45,25,60,10,20,35,15,55,50,5,5,5,10,25,44.1,55.2
240331060,24,3,31,60,2431060,Sainte-Clotilde-de-Beauce,70,30,40,55,15,10,40,20,55,50,0,5,10,10,20,49.2,59.1
240331070,24,3,31,70,2431070,SacrÇ-Coeur-de-Marie-Partie-Sud,65,35,30,50,15,15,30,25,60,35,0,5,10,15,30,47.4,104.0
240331080,24,3,31,80,2431080,Thetford-Partie-Sud,35,20,15,30,5,5,25,10,25,20,0,0,10,5,15,47.2,90.1
240331085,24,3,31,85,2431085,Black Lake,30,20,15,25,5,5,15,10,30,20,0,0,0,5,10,47.0,66.5
240331095,24,3,31,95,2431095,Saint-Adrien-d'Irlande,45,20,25,35,10,15,20,10,40,35,0,0,0,5,10,42.1,47.2
240331100,24,3,31,100,2431100,Saint-Jean-de-BrÇbeuf,60,40,20,50,10,10,30,15,50,45,0,0,5,5,10,47.3,39.6
240331105,24,3,31,105,2431105,Kinnear's Mills,60,20,35,40,10,10,35,10,35,40,0,0,10,5,15,46.4,59.1
240331110,24,3,31,110,2431110,Pontbriand,35,25,15,30,5,5,20,10,30,15,0,0,10,10,20,47.5,118.9
240331130,24,3,31,130,2431130,SacrÇ-Coeur-de-JÇsus,80,55,25,65,10,25,40,20,70,65,0,0,5,5,15,44.4,36.2
240331135,24,3,31,135,2431135,Saint-Pierre-de-Broughton,95,60,40,75,25,20,55,20,80,70,5,5,15,10,30,45.7,54.6
240331140,24,3,31,140,2431140,Saint-Jacques-de-Leeds,95,35,60,70,25,20,55,20,70,75,0,5,15,5,20,44.2,40.2
240400000,24,4,0,0,2400000,Bois-Francs,6015,2510,3505,4410,1605,1790,3250,975,5370,4735,50,170,550,500,1280,42.2,42.0
240432000,24,4,32,0,2432000,L'êrable,"1,090",455,635,805,290,330,560,200,930,815,15,35,125,105,275,42.8,49.9
240432005,24,4,32,5,2432005,Vianney,35,15,25,30,10,15,25,5,35,30,0,0,5,0,10,41.3,36.9
240432015,24,4,32,15,2432015,Halifax-Sud,90,55,30,70,15,20,60,10,70,55,5,5,15,15,35,43.9,81.2
240432020,24,4,32,20,2432020,Halifax-Nord,115,50,65,85,30,35,55,25,100,80,0,5,10,15,35,43.1,65.6
240432035,24,4,32,35,2432035,Princeville,170,50,120,115,55,60,80,30,155,145,0,5,15,10,30,42.2,32.0
240432045,24,4,32,45,2432045,Plessisville,150,45,100,110,40,35,80,30,120,115,5,0,15,10,30,43.9,36.4
240432050,24,4,32,50,2432050,Saint-Pierre-Baptiste,100,55,50,80,20,30,55,15,80,70,0,0,5,20,30,42.2,77.5
240432060,24,4,32,60,2432060,Inverness,165,80,80,125,40,55,65,40,135,115,5,10,30,5,45,43.8,41.9
240432065,24,4,32,65,2432065,Lyster,100,30,70,70,30,40,50,10,95,85,0,0,10,5,20,39.5,40.5
240432075,24,4,32,75,2432075,Sainte-Julie,95,45,55,75,25,30,55,10,85,75,0,0,10,10,20,42.0,53.3
240432080,24,4,32,80,2432080,Notre-Dame-de-Lourdes,40,20,25,30,10,10,25,10,35,30,0,0,5,5,15,46.4,63.5
240432085,24,4,32,85,2432085,Villeroy,25,10,20,15,10,5,20,5,25,25,0,0,0,5,5,43.6,29.1
240438000,24,4,38,0,2438000,BÇcancour,780,350,430,585,195,205,400,175,720,595,10,20,90,65,190,43.7,46.4
240438005,24,4,38,5,2438005,Saint-Sylväre,100,45,60,75,25,20,50,25,90,75,0,5,10,10,30,45.6,58.7
240438010,24,4,38,10,2438010,BÇcancour,325,160,165,245,80,70,175,90,295,240,5,10,45,35,90,45.3,56.2
240438020,24,4,38,20,2438020,Lemieux,30,10,15,20,5,10,10,5,25,20,5,0,5,0,5,41.3,42.4
240438030,24,4,38,30,2438030,Saint-Joseph-de-Blandford,20,15,10,20,0,5,15,5,20,10,0,5,5,0,5,42.9,59.0
240438035,24,4,38,35,2438035,Sainte-Franáoise,40,15,25,30,10,20,15,5,40,30,0,0,5,5,5,37.5,29.0
240438040,24,4,38,40,2438040,Sainte-Sophie-de-LÇvrard,45,25,25,35,10,15,20,5,40,35,0,0,0,5,5,42.6,36.1
240438050,24,4,38,50,2438050,Sainte-Philomäne-de-Fortierville,60,20,40,45,15,25,25,10,60,40,0,5,10,0,10,40.2,40.0
240438055,24,4,38,55,2438055,Parisville,25,15,15,25,10,5,20,0,25,25,5,0,5,0,5,44.9,49.4
240438060,24,4,38,60,2438060,Sainte-CÇcile-de-LÇvrard,40,15,25,35,10,10,20,10,40,35,0,5,0,0,5,41.2,11.5
240438065,24,4,38,65,2438065,Saint-Pierre-les-Becquets,55,20,30,40,20,15,20,15,45,45,0,0,5,5,10,45.5,33.6
240438070,24,4,38,70,2438070,Deschaillons-sur-Saint-Laurent,40,15,25,30,10,10,25,5,35,30,0,0,5,5,5,39.4,20.5
240439000,24,4,39,0,2439000,Arthabaska,"1,585",630,955,"1,135",450,490,875,220,"1,380","1,235",10,45,150,145,350,41.6,45.0
240439010,24,4,39,10,2439010,Ham-Nord,75,30,50,55,25,20,50,15,60,55,0,10,10,5,25,43.0,40.0
240439015,24,4,39,15,2439015,Notre-Dame-de-Lourdes-de-Ham,30,20,10,25,5,5,20,5,20,20,0,0,5,5,15,44.3,89.7
240439020,24,4,39,20,2439020,Saint-RÇmi-de-Tingwick,60,25,35,45,20,10,40,5,55,45,0,0,10,0,15,42.6,38.1
240439025,24,4,39,25,2439025,Tingwick,135,65,65,95,35,40,65,35,115,110,0,0,10,10,30,43.6,37.2
240439030,24,4,39,30,2439030,Chesterville,90,30,60,60,25,40,40,10,85,70,0,5,5,5,20,40.3,49.9
240439035,24,4,39,35,2439035,Chester-Est,55,20,35,35,20,20,35,5,45,40,5,0,10,5,20,38.8,59.2
240439040,24,4,39,40,2439040,Chester-Nord,65,15,50,45,25,20,35,5,60,55,0,0,5,5,10,40.2,38.4
240439050,24,4,39,50,2439050,Saint-Norbert-d'Arthabaska,105,45,60,80,30,35,55,15,80,75,0,0,5,20,30,41.7,75.2
240439060,24,4,39,60,2439060,Saint-Christophe-d'Arthabaska,85,35,50,65,20,20,55,10,70,65,0,5,10,10,25,43.5,54.3
240439070,24,4,39,70,2439070,Sainte-Victoire-d'Arthabaska,80,35,50,65,20,25,45,15,70,70,5,0,5,0,10,43.7,20.7
240439080,24,4,39,80,2439080,Warwick,180,65,115,130,45,65,95,15,160,145,0,5,10,15,30,39.5,41.8
240439085,24,4,39,85,2439085,Saint-Albert-de-Warwick,55,30,30,45,15,20,35,0,50,50,0,0,5,5,10,38.9,38.1
240439090,24,4,39,90,2439090,Sainte-êlisabeth-de-Warwick,65,20,45,50,20,30,30,5,65,55,5,0,5,5,10,39.8,29.6
240439100,24,4,39,100,2439100,Kingsey Falls,30,10,20,20,10,15,10,5,25,25,0,0,0,0,0,41.9,20.5
240439105,24,4,39,105,2439105,Sainte-SÇraphine,60,20,45,40,20,15,45,5,55,55,0,0,5,0,5,39.4,16.6
240439115,24,4,39,115,2439115,Sainte-Clothilde-de-Horton,75,35,40,55,20,20,40,10,70,50,0,0,10,10,25,41.5,71.5
240439125,24,4,39,125,2439125,Saint-Jacques-de-Horton,25,10,15,20,5,10,15,5,25,20,0,0,0,0,5,40.4,38.5
240439130,24,4,39,130,2439130,Saint-Samuel,40,15,25,25,10,10,25,5,35,35,0,0,0,0,5,40.2,30.4
240439135,24,4,39,135,2439135,Saint-Valäre,100,45,60,75,30,20,55,25,90,80,0,5,10,15,25,44.4,52.2
240439145,24,4,39,145,2439145,Saint-Rosaire,70,25,45,50,20,20,40,10,65,60,0,5,10,5,15,42.5,37.6
240439150,24,4,39,150,2439150,Sainte-Anne-du-Sault,60,25,40,45,20,20,35,10,50,50,0,0,5,5,15,42.2,51.5
240439170,24,4,39,170,2439170,Saint-Louis-de-Blandford,30,15,10,20,5,10,10,5,30,25,0,0,5,5,5,41.1,56.4
240449000,24,4,49,0,2449000,Drummond,"1,425",600,825,"1,045",385,400,825,205,"1,290","1,135",10,40,110,130,295,42.4,41.9
240449005,24,4,49,5,2449005,Kingsey,140,65,75,110,35,35,80,25,130,120,5,0,10,10,20,42.3,32.9
240449010,24,4,49,10,2449010,Ulverton,25,10,15,20,5,5,15,5,20,20,0,0,5,0,5,42.2,53.2
240449015,24,4,49,15,2449015,Durham-Sud,105,25,80,65,40,30,60,15,105,80,0,5,10,10,25,43.2,46.0
240449020,24,4,49,20,2449020,Lefebvre,30,15,15,25,5,10,20,5,30,25,0,0,0,5,5,41.8,44.5
240449025,24,4,49,25,2449025,L'Avenir,80,40,40,60,20,20,45,10,70,55,0,5,10,10,25,42.2,60.1
240449030,24,4,49,30,2449030,Saint-Lucien,30,15,10,25,0,10,15,0,25,15,0,5,5,5,10,40.9,85.6
240449035,24,4,49,35,2449035,Saint-NicÇphore,45,20,25,30,10,15,20,10,40,35,0,0,5,5,5,43.9,30.3
240449040,24,4,49,40,2449040,Wickham,115,50,70,90,30,35,65,20,105,95,0,5,5,10,20,41.8,36.1
240449050,24,4,49,50,2449050,Saint-Germain-de-Grantham,115,50,70,80,35,45,60,15,105,90,0,0,10,10,25,40.9,51.4
240449055,24,4,49,55,2449055,Grantham-Ouest,25,20,5,25,0,5,10,10,20,20,0,0,0,5,0,52.1,37.3
240449065,24,4,49,65,2449065,Saint-Charles-de-Drummond,110,45,65,75,30,20,75,15,90,80,0,5,15,15,30,43.6,62.2
240449080,24,4,49,80,2449080,Notre-Dame-du-Bon-Conseil,60,30,35,50,10,20,30,15,60,50,0,0,5,10,15,42.4,48.1
240449085,24,4,49,85,2449085,Sainte-Brigitte-des-Saults,100,30,75,65,35,40,55,5,100,95,0,0,0,10,10,39.8,22.2
240449090,24,4,49,90,2449090,Saint-Joachim-de-Courval,40,15,20,30,10,5,30,5,40,30,0,0,5,0,5,40.9,24.7
240449095,24,4,49,95,2449095,Saint-Majorique-de-Grantham,40,20,20,35,10,5,30,5,40,30,0,0,5,5,10,45.9,54.9
240449100,24,4,49,100,2449100,Saint-Edmond-de-Grantham,40,15,25,30,10,10,35,5,35,35,0,0,5,0,5,42.6,21.4
240449105,24,4,49,105,2449105,Saint-Eugäne,75,40,35,55,15,20,35,10,65,55,0,5,10,5,15,43.0,44.8
240449115,24,4,49,115,2449115,Saint-Guillaume,115,55,60,85,30,25,75,15,105,95,0,5,5,10,25,41.8,39.9
240449125,24,4,49,125,2449125,Saint-Bonaventure,85,30,50,60,25,25,50,15,80,65,5,5,10,5,15,42.4,37.1
240449130,24,4,49,130,2449130,Saint-Pie-de-Guire,45,15,30,30,10,15,20,5,40,35,0,0,5,0,5,40.4,17.0
240450000,24,4,50,0,2450000,Nicolet-Yamaska,"1,130",470,665,845,285,370,595,165,"1,055",960,5,30,75,55,170,41.4,27.4
240450005,24,4,50,5,2450005,Sainte-Eulalie,45,20,25,30,15,15,15,10,45,35,0,0,10,5,10,40.5,34.1
240450015,24,4,50,15,2450015,Saint-Raphaâl-Partie-Sud,30,15,15,25,5,10,15,5,30,25,0,0,5,0,5,42.0,47.4
240450025,24,4,50,25,2450025,Saint-Wenceslas,85,45,35,60,20,25,45,10,70,70,5,5,5,10,20,40.5,41.7
240450035,24,4,50,35,2450035,Saint-CÇlestin,70,30,40,55,20,15,50,5,65,60,0,5,5,0,10,41.6,22.8
240450040,24,4,50,40,2450040,Saint-LÇonard,80,25,55,60,25,30,45,15,75,65,0,5,5,10,15,41.1,35.4
240450050,24,4,50,50,2450050,Sainte-PerpÇtue,120,35,85,80,35,35,60,20,110,105,0,5,0,0,10,41.0,10.3
240450060,24,4,50,60,2450060,Sainte-Monique,60,30,30,45,15,15,40,10,55,55,0,5,0,0,10,42.4,14.0
240450065,24,4,50,65,2450065,Grand-Saint-Esprit,45,15,30,30,15,15,25,10,40,35,0,0,5,5,10,43.5,40.7
240450075,24,4,50,75,2450075,Saint-Jean-Baptiste-de-Nicolet,70,30,35,55,10,20,30,20,60,55,0,0,5,0,10,45.2,27.2
240450080,24,4,50,80,2450080,Nicolet-Sud,50,25,25,45,10,15,30,10,50,40,0,0,5,5,10,42.9,41.1
240450085,24,4,50,85,2450085,La Visitation-de-Yamaska,70,20,50,45,25,25,40,5,70,60,0,0,5,5,10,39.4,26.9
240450090,24,4,50,90,2450090,Saint-ZÇphirin-de-Courval,100,50,50,80,25,45,40,20,95,90,0,0,0,5,10,40.2,11.7
240450095,24,4,50,95,2450095,Saint-Elphäge,55,20,35,35,15,25,25,0,45,45,0,0,5,0,5,37.8,21.9
240450100,24,4,50,100,2450100,Baie-du-Febvre,105,40,70,85,25,35,60,15,100,95,0,0,5,5,10,40.4,21.3
240450110,24,4,50,110,2450110,Saint-Thomas-de-Pierreville,150,75,80,110,40,40,85,30,145,120,5,5,20,5,35,43.1,37.9
240500000,24,5,0,0,2400000,Estrie,5325,2195,3130,3865,1460,1260,2845,1220,4815,3840,75,170,600,635,1480,44.7,56.4
240540000,24,5,40,0,2440000,Asbestos,435,180,250,320,115,110,225,90,390,320,5,15,50,45,115,44.3,52.1
240540005,24,5,40,5,2440005,Saint-Joseph-de-Ham-Sud,20,10,10,20,5,5,15,5,15,15,5,5,5,0,5,43.6,29.4
240540010,24,5,40,10,2440010,Saint-Adrien,45,20,25,30,10,10,25,5,40,20,5,0,10,10,20,42.7,102.7
240540020,24,5,40,20,2440020,Wotton,115,40,80,80,40,40,55,20,110,90,0,5,10,10,25,41.6,40.6
240540025,24,5,40,25,2440025,Saint-Camille,65,20,40,50,20,20,35,15,55,50,0,0,15,5,10,44.8,40.8
240540035,24,5,40,35,2440035,Saint-Georges-de-Windsor,70,30,40,55,15,20,35,15,65,55,0,5,5,5,15,43.8,43.0
240540050,24,5,40,50,2440050,Shipton,115,60,60,85,30,20,65,35,105,80,0,5,15,15,35,47.8,60.9
240541000,24,5,41,0,2441000,Le Haut-Saint-Franáois,825,375,450,620,210,180,450,205,750,560,20,40,110,105,270,45.6,59.6
240541005,24,5,41,5,2441005,Saint-Malo,30,15,20,20,10,15,15,5,30,25,0,5,5,5,5,41.8,31.3
240541010,24,5,41,10,2441010,Clifton-Partie-Est,55,15,45,35,20,20,30,10,50,50,0,0,0,0,5,41.4,11.3
240541015,24,5,41,15,2441015,Saint-Isidore-d'Auckland,45,20,25,30,10,10,15,15,40,35,0,0,10,5,15,46.1,44.3
240541030,24,5,41,30,2441030,Ditton,60,25,40,45,15,15,30,15,55,45,5,5,10,5,15,43.7,42.1
240541035,24,5,41,35,2441035,Newport,55,30,30,45,10,10,35,15,55,35,0,0,10,10,15,47.1,58.5
240541050,24,5,41,50,2441050,Eaton,190,90,100,145,45,40,110,40,170,125,5,10,30,20,65,45.5,65.0
240541055,24,5,41,55,2441055,Ascot Corner,50,30,20,40,10,5,25,15,45,25,0,5,5,20,25,47.2,129.4
240541065,24,5,41,65,2441065,Westbury,40,25,20,35,5,0,25,15,40,25,5,0,5,10,15,49.5,81.0
240541070,24,5,41,70,2441070,Bury,95,40,55,70,25,15,50,30,85,60,5,5,15,20,35,47.9,75.1
240541085,24,5,41,85,2441085,Lingwick,55,30,30,35,15,10,35,15,55,35,0,0,5,5,20,46.9,51.5
240541105,24,5,41,105,2441105,Weedon,70,25,45,55,20,20,40,10,55,50,0,5,10,5,15,41.3,43.2
240541125,24,5,41,125,2441125,Dudswell,70,40,35,55,15,15,35,20,65,50,5,0,15,5,25,47.3,61.9
240542000,24,5,42,0,2442000,Le Val-Saint-Franáois,860,395,465,635,225,180,445,235,780,585,15,30,100,135,275,45.7,71.3
240542005,24,5,42,5,2442005,Stoke,70,30,45,45,25,15,45,5,55,40,0,5,10,15,30,40.8,89.1
240542015,24,5,42,15,2442015,Brompton,75,40,35,55,20,15,40,20,75,55,0,0,5,15,15,46.7,71.2
240542020,24,5,42,20,2442020,St-Franáois-Xavier-de-Brompton,75,35,40,55,20,15,45,15,70,45,0,0,10,15,25,44.8,89.5
240542030,24,5,42,30,2442030,Brompton Gore,40,15,25,30,15,5,30,5,35,25,0,0,5,10,15,43.7,75.9
240542035,24,5,42,35,2442035,Racine,30,15,15,15,10,5,15,5,20,20,0,0,5,5,10,46.4,56.1
240542040,24,5,42,40,2442040,Bonsecours,40,20,20,35,10,10,20,10,30,25,0,0,10,5,15,46.6,73.1
240542050,24,5,42,50,2442050,Sainte-Anne-de-la-Rochelle,80,30,55,55,25,25,40,15,70,50,0,5,10,15,30,43.7,71.5
240542060,24,5,42,60,2442060,Valcourt,75,20,55,50,25,10,40,25,70,50,0,5,5,15,25,45.9,86.5
240542065,24,5,42,65,2442065,Maricourt,50,25,30,40,10,10,30,15,50,30,0,0,10,10,25,47.7,96.7
240542075,24,5,42,75,2442075,Melbourne,100,55,50,80,20,25,40,35,95,70,0,0,10,15,30,45.9,68.5
240542095,24,5,42,95,2442095,Windsor,85,45,40,70,20,10,45,30,80,60,5,10,10,10,25,47.9,51.6
240542100,24,5,42,100,2442100,Saint-Claude,65,30,35,50,15,15,35,15,55,45,5,5,5,5,15,44.5,50.5
240542110,24,5,42,110,2442110,Cleveland,70,40,35,60,10,10,30,35,65,55,0,5,5,10,15,49.7,49.3
240543000,24,5,43,0,2443000,Sherbrooke,250,115,135,180,65,35,140,75,225,165,0,5,35,40,80,47.7,73.9
240543015,24,5,43,15,2443015,Ascot,150,65,90,110,40,30,80,45,135,110,0,5,15,25,40,47.8,65.3
240543030,24,5,43,30,2443030,Rock Forest,60,30,30,45,15,5,35,20,50,35,0,0,10,10,25,47.3,87.1
240543040,24,5,43,40,2443040,Saint-êlie-d'Orford,40,20,15,25,10,5,20,10,35,25,0,5,5,5,20,47.8,87.3
240544000,24,5,44,0,2444000,Coaticook,875,265,615,610,265,275,445,160,820,705,5,35,65,70,175,42.0,36.9
240544010,24,5,44,10,2444010,East Hereford,25,10,20,15,5,10,10,5,25,25,0,0,0,0,0,41.5,3.4
240544015,24,5,44,15,2444015,Saint-HermÇnÇgilde,60,15,40,45,15,20,20,15,55,45,0,5,10,0,10,41.7,34.6
240544025,24,5,44,25,2444025,Saint-Mathieu-de-Dixville,55,10,40,35,20,15,30,5,55,45,0,0,5,5,10,40.4,33.2
240544030,24,5,44,30,2444030,Barford,40,15,30,30,10,15,20,5,40,35,0,0,5,0,5,38.9,39.5
240544040,24,5,44,40,2444040,Barnston,165,40,125,110,55,55,85,25,155,130,5,10,5,10,30,41.2,32.5
240544045,24,5,44,45,2444045,Barnston-Ouest,75,10,65,45,30,25,30,20,65,55,0,0,10,5,20,43.1,51.1
240544050,24,5,44,50,2444050,Stanstead-Est,85,30,55,65,25,20,45,20,85,80,0,0,0,0,10,44.7,21.4
240544055,24,5,44,55,2444055,Sainte-Edwidge-de-Clifton,85,30,50,60,25,20,50,10,80,65,0,5,5,5,15,41.4,32.9
240544060,24,5,44,60,2444060,Martinville,35,10,20,25,10,15,5,15,30,20,0,5,5,5,10,45.2,60.7
240544070,24,5,44,70,2444070,Compton,135,50,80,95,45,35,80,25,125,105,0,5,10,10,25,42.4,34.9
240544075,24,5,44,75,2444075,Compton Station,120,35,85,90,35,40,70,15,110,95,0,5,10,15,30,41.7,52.8
240545000,24,5,45,0,2445000,MemphrÇmagog,450,205,245,330,120,70,230,155,405,290,5,20,70,65,155,49.0,69.2
240545020,24,5,45,20,2445020,Ogden,60,20,35,40,15,10,30,20,55,35,0,5,10,10,15,47.9,67.1
240545025,24,5,45,25,2445025,Stanstead,55,20,35,40,15,10,30,20,50,35,5,5,5,10,25,46.4,77.2
240545030,24,5,45,30,2445030,Potton,70,35,35,50,20,10,35,30,65,55,0,5,5,5,15,51.5,44.6
240545045,24,5,45,45,2445045,Hatley-Partie-Ouest,80,30,50,55,25,15,40,20,70,35,5,5,15,15,40,48.0,100.3
240545060,24,5,45,60,2445060,Sainte-Catherine-de-Hatley,50,35,20,45,10,10,35,15,45,35,5,0,5,10,20,45.8,87.7
240545075,24,5,45,75,2445075,Magog,55,25,30,40,10,10,25,20,50,40,0,5,5,10,15,49.7,60.6
240545085,24,5,45,85,2445085,Austin,55,25,30,35,20,10,25,25,45,35,0,5,10,5,15,51.2,53.0
240545105,24,5,45,105,2445105,Stukely-Sud,30,15,15,20,5,0,15,10,20,15,0,0,10,0,10,52.6,47.9
240547000,24,5,47,0,2447000,La Haute-Yamaska,815,365,445,590,215,190,445,170,700,575,15,15,95,115,240,44.5,64.4
240547005,24,5,47,5,2447005,Bromont,85,45,40,60,25,10,50,20,80,50,0,5,10,15,35,46.8,83.8
240547010,24,5,47,10,2447010,Saint-Alphonse,100,35,65,65,25,25,60,10,80,85,5,0,5,5,15,43.0,24.6
240547020,24,5,47,20,2447020,Granby,135,55,75,100,35,35,70,30,115,95,5,0,10,20,40,44.2,66.4
240547035,24,5,47,35,2447035,Shefford,120,60,65,95,20,20,65,40,100,70,0,5,20,25,45,48.0,90.9
240547040,24,5,47,40,2447040,Saint-Joachim-de-Shefford,145,60,85,95,50,35,85,25,130,105,5,0,25,10,40,43.4,55.5
240547050,24,5,47,50,2447050,Roxton Pond,125,55,65,90,35,35,65,25,110,85,5,5,10,15,35,42.5,58.0
240547055,24,5,47,55,2447055,Sainte-CÇcile-de-Milton,110,60,50,80,30,25,60,20,95,80,0,5,10,20,30,44.3,71.8
240548000,24,5,48,0,2448000,Acton,815,295,520,575,240,225,460,125,745,645,10,10,75,65,170,42.4,40.4
240548005,24,5,48,5,2448005,BÇthanie,60,25,35,45,15,15,40,5,55,45,0,0,5,10,20,42.4,68.1
