HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NVALULB,VALULB,NVLBOWN,VLBOWN,NVLBRNT,VLBRNT,NTRCU60,TRCU60,VTRCU60,NTRCO60,TRCO60,VTRCO60,NTRCU100,TRCU100,VTRCU100,NTRC100,TRC100,VTRC100,NTRC149,TRC149,VTRC149,NTOTTRC,TOTTRC,TVALTRC,NTOTTRK,TOTTRK,TVALTRK,NPICKUP,PICKUP,VPICKUP,NOTHTRK,OTHTRK,VOTHTRK,NAUTMBL,AUTMBL,VAUTMBL,NCULTSD,CULTSD,VCULTSD,NCOMB,COMB,VCOMB,NSWTMOW,SWTMOW,VSWTMOW,NBALER,BALER,VBALER,NHARVST,HARVST,VHARVST,NVIRRIG,VIRRIG,NVALOEQ,VALOEQ,NVALMCH,VALMCH,NVALLVSK,VALLVSK,NTOTFCAP,TOTFCAP
24,5,42,20,Saint-Franáois-Xavier-de-Brompton,40,40,"28,058,660",38,"24,457,060",15,"3,601,600",29,62,"444,944",27,47,"923,500",38,109,"1,368,444",9,13,"640,000",7,9,"823,000",39,131,"2,831,444",33,42,"493,713",33,x,x,1,x,x,9,10,"75,200",27,93,"468,200",6,6,x,18,24,"171,243",23,26,"193,500",10,10,"267,400",3,x,25,"890,004",40,"5,882,704",30,"3,153,349",40,"37,094,713"
24,5,42,32,Racine,48,48,"21,286,506",44,"17,001,906",22,"4,284,600",38,84,"463,022",28,46,"892,000",45,130,"1,355,022",4,x,x,2,x,x,45,140,"2,071,022",31,36,"571,852",30,33,x,3,3,x,14,15,"193,300",19,61,"422,500",4,5,x,14,19,"106,000",24,36,"269,600",3,3,x,2,x,32,"559,239",48,"4,297,211",32,"1,875,459",48,"27,459,176"
24,5,42,40,Bonsecours,26,26,"11,203,147",26,"10,348,147",5,"855,000",22,37,"186,001",15,23,"357,000",25,60,"543,001",4,x,x,1,x,x,26,66,"791,001",19,23,"375,500",18,x,x,2,x,x,9,9,x,9,26,"46,600",0,0,0,8,9,"48,100",11,16,"74,400",1,x,x,1,x,15,"326,402",26,"1,732,603",14,"1,453,721",26,"14,389,471"
24,5,42,50,Sainte-Anne-de-la-Rochelle,50,50,"30,332,738",49,"26,102,238",13,"4,230,500",41,92,"496,516",30,66,"1,156,600",48,157,"1,653,116",8,10,x,3,4,x,48,171,"2,338,895",33,45,"473,500",33,40,"434,500",4,5,"39,000",18,20,"144,481",24,85,"267,349",0,0,0,18,22,"127,969",21,36,"231,543",4,4,x,2,x,36,"1,137,974",50,"4,788,211",38,"3,055,039",50,"38,175,988"
24,5,42,60,Valcourt,34,34,"20,192,700",33,"16,972,200",12,"3,220,500",27,60,"295,547",24,38,"1,049,466",33,98,"1,345,013",8,x,x,2,x,x,33,111,"1,830,257",24,27,"390,883",23,x,x,1,x,x,9,9,x,16,48,"298,233",1,x,x,15,18,"143,139",18,22,"184,719",5,5,x,1,x,22,"648,000",34,"3,736,375",25,"1,979,304",34,"25,908,379"
24,5,42,65,Maricourt,33,33,"16,634,658",32,"15,330,606",7,"1,304,052",24,51,"254,200",19,24,"484,500",28,75,"738,700",11,x,x,2,x,x,31,94,"1,695,700",23,28,"567,426",23,x,x,2,x,x,9,10,"94,000",16,49,"179,980",2,x,x,12,14,"78,000",11,13,"179,500",3,x,x,0,0,25,"865,216",33,"3,732,722",20,"2,129,889",33,"22,497,269"
24,5,42,75,Melbourne,71,71,"43,987,889",69,"35,538,989",30,"8,448,900",55,117,"622,233",46,86,"2,446,600",67,203,"3,068,833",12,13,"669,000",5,7,"505,000",68,223,"4,242,833",53,66,"871,700",51,60,"818,500",5,6,"53,200",24,28,"322,100",38,124,"409,367",4,5,x,30,42,"366,800",38,49,"559,100",15,16,"420,500",2,x,52,"1,176,800",71,"8,395,200",58,"4,825,794",71,"57,208,883"
24,5,42,95,Val-Joli,58,58,"30,980,307",58,"28,958,307",15,"2,022,000",44,90,"432,874",37,70,"1,505,369",54,160,"1,938,243",17,24,"1,259,784",3,4,"393,000",56,188,"3,591,027",39,43,"457,026",38,x,x,1,x,x,20,20,"140,700",41,151,"569,282",7,7,x,34,46,"288,500",40,49,"339,032",14,15,"188,223",2,x,41,"1,112,297",58,"6,751,587",47,"3,797,475",58,"41,529,369"
24,5,42,100,Saint-Claude,39,39,"24,192,803",38,"20,404,803",11,"3,788,000",31,65,"346,653",25,41,"732,061",37,106,"1,078,714",12,16,"543,184",3,5,"525,490",38,127,"2,147,388",24,30,"291,003",23,x,x,1,x,x,10,13,"145,518",22,62,"300,385",2,x,x,20,24,"184,849",21,31,"282,142",6,9,x,0,0,27,"867,530",39,"4,390,480",35,"2,733,942",39,"31,317,225"
24,5,42,110,Cleveland,53,53,"26,372,495",52,"22,334,391",23,"4,038,104",44,95,"389,700",37,83,"1,615,482",49,178,"2,005,182",10,x,x,2,x,x,50,195,"2,798,669",40,57,"537,517",38,49,"442,237",6,8,"95,280",23,27,"314,545",36,100,"267,312",2,x,x,26,35,"221,984",35,48,"476,714",11,12,x,0,0,40,"920,758",53,"5,677,640",46,"3,054,167",53,"35,104,302"
24,5,43,0,Sherbrooke,127,127,"48,802,184",126,"45,602,284",23,"3,199,900",99,192,"1,256,640",62,98,"1,955,600",115,290,"3,212,240",23,29,"1,112,000",7,7,"553,000",118,326,"4,877,240",83,101,"1,209,473",81,95,"1,156,273",6,6,"53,200",27,29,"279,020",57,177,"546,875",2,x,x,37,49,"334,675",41,50,"388,008",11,12,"166,500",4,x,78,"1,524,183",127,"9,512,074",64,"3,992,287",127,"62,306,545"
24,5,43,27,Sherbrooke,127,127,"48,802,184",126,"45,602,284",23,"3,199,900",99,192,"1,256,640",62,98,"1,955,600",115,290,"3,212,240",23,29,"1,112,000",7,7,"553,000",118,326,"4,877,240",83,101,"1,209,473",81,95,"1,156,273",6,6,"53,200",27,29,"279,020",57,177,"546,875",2,x,x,37,49,"334,675",41,50,"388,008",11,12,"166,500",4,x,78,"1,524,183",127,"9,512,074",64,"3,992,287",127,"62,306,545"
24,5,44,0,Coaticook,579,579,"442,600,345",562,"405,379,095",195,"37,221,250",461,"1,059","5,797,244",385,723,"16,697,261",541,"1,782","22,494,505",218,373,"17,177,816",97,144,"10,694,927",555,"2,299","50,367,248",462,606,"7,872,442",447,550,"6,980,148",48,56,"892,294",174,203,"1,645,442",388,"1,480","7,851,616",63,65,"2,559,770",286,376,"3,758,144",316,423,"4,843,867",124,147,"2,848,275",29,"623,571",421,"15,818,366",579,"98,188,741",437,"54,899,394",579,"595,688,480"
24,5,44,3,Saint-Malo,30,30,"23,750,979",29,"21,400,016",12,"2,350,963",29,74,"363,367",24,48,"1,147,441",30,122,"1,510,808",8,x,x,3,x,x,30,141,"2,480,808",28,35,"405,666",27,x,x,2,x,x,10,10,x,22,75,"260,680",5,5,"239,204",19,22,"195,438",21,26,"327,218",4,4,"51,500",1,x,16,"369,500",30,"4,446,218",25,"2,866,772",30,"31,063,969"
24,5,44,10,East Hereford,25,25,"18,508,660",24,"16,587,860",11,"1,920,800",20,55,"354,362",18,32,"845,541",25,87,"1,199,903",7,x,x,1,x,x,25,102,"1,937,703",22,29,"354,870",21,x,x,2,x,x,10,10,x,18,75,"195,184",1,x,x,15,21,"197,710",14,18,"144,200",4,6,"89,064",1,x,21,"802,196",25,"3,794,927",15,"1,917,220",25,"24,220,807"
24,5,44,15,Saint-HermÇnÇgilde,19,19,"26,238,812",19,"25,743,812",5,"495,000",15,35,"180,500",13,26,"542,000",18,61,"722,500",8,17,"970,000",5,9,"640,000",18,87,"2,332,500",15,20,"204,000",15,x,x,2,x,x,6,7,"72,000",14,60,"462,100",6,6,"135,500",12,19,"191,208",13,16,"206,600",5,5,"275,000",0,0,14,"824,450",19,"4,703,358",15,"2,373,721",19,"33,315,891"
24,5,44,23,Dixville,29,29,"22,300,256",28,"21,192,256",13,"1,108,000",25,58,"254,500",22,46,"797,000",28,104,"1,051,500",14,30,"720,000",7,11,"605,000",28,144,"2,376,500",26,36,"382,500",24,33,"325,500",3,3,"57,000",12,17,"102,100",22,103,"528,700",4,5,x,18,28,"184,300",19,30,"259,000",13,20,"224,500",2,x,25,"1,017,300",29,"5,410,900",21,"3,229,449",29,"30,940,605"
24,5,44,37,Coaticook,132,132,"96,416,124",128,"91,289,114",40,"5,127,010",106,222,"1,117,250",82,151,"3,661,495",119,373,"4,778,745",55,98,"4,839,911",24,33,"2,473,975",124,504,"12,092,631",97,130,"1,686,613",92,120,"1,533,613",9,10,"153,000",34,38,"295,850",90,313,"1,775,224",11,11,"582,000",65,84,"961,755",66,88,"1,098,249",26,27,"466,528",4,"4,000",99,"3,387,900",132,"22,350,750",100,"13,576,613",132,"132,343,487"
24,5,44,45,Barnston-Ouest,39,39,"38,267,582",39,"31,212,590",12,"7,054,992",31,84,"580,500",25,46,"1,032,000",38,130,"1,612,500",13,24,"1,168,500",6,15,"1,100,000",38,169,"3,881,000",32,39,"539,000",32,x,x,1,x,x,16,20,x,27,90,"504,200",2,x,x,18,26,"350,000",25,31,"589,400",6,10,"220,000",2,x,29,"1,819,096",39,"8,431,896",35,"3,450,893",39,"50,150,371"
24,5,44,50,Stanstead-Est,53,53,"32,023,928",52,"29,766,997",18,"2,256,931",38,103,"577,000",32,62,"1,270,000",47,165,"1,847,000",18,28,"1,229,000",7,10,"470,000",49,203,"3,546,000",44,54,"754,707",43,50,"641,707",4,4,"113,000",9,13,"84,065",33,134,"761,120",5,6,x,22,28,"221,750",26,38,"326,550",12,14,"163,800",3,x,38,"1,003,050",53,"6,948,942",38,"4,387,960",53,"43,360,830"
24,5,44,55,Sainte-Edwidge-de-Clifton,54,54,"39,353,951",53,"37,398,401",13,"1,955,550",46,94,"496,974",36,75,"1,721,875",53,169,"2,218,849",23,32,"1,512,686",10,11,"944,421",54,212,"4,675,956",46,56,"772,541",46,x,x,2,x,x,20,22,x,33,122,"591,792",3,3,x,29,37,"380,881",34,44,"447,440",11,11,"257,286",1,x,35,"1,118,572",54,"8,638,097",44,"5,266,531",54,"53,258,579"
24,5,44,60,Martinville,18,18,"11,452,421",17,"10,245,221",7,"1,207,200",14,37,"133,119",14,25,"626,792",17,62,"759,911",4,4,"170,755",0,0,0,17,66,"930,666",16,19,"281,755",16,x,x,1,x,x,5,6,"25,019",8,26,"51,094",0,0,0,6,6,"30,889",9,13,"99,189",4,4,"40,000",0,0,10,"218,589",18,"1,677,201",15,"1,717,076",18,"14,846,698"
24,5,44,71,Compton,180,180,"134,287,632",173,"120,542,828",64,"13,744,804",137,298,"1,739,672",119,212,"5,053,117",166,510,"6,792,789",68,112,"5,214,164",34,50,"4,106,531",172,671,"16,113,484",136,188,"2,490,790",131,160,"2,023,290",22,28,"467,500",52,59,"492,525",121,482,"2,721,522",26,26,"1,003,916",82,106,"1,044,213",89,120,"1,346,021",39,47,"1,060,597",15,"255,671",134,"5,257,713",180,"31,786,452",129,"16,113,159",180,"182,187,243"
24,5,45,0,MemphrÇmagog,300,300,"191,234,676",294,"169,432,666",88,"21,802,010",246,555,"3,761,522",158,301,"6,218,421",281,856,"9,979,943",49,67,"2,502,897",13,17,"939,219",285,939,"13,422,059",207,254,"3,228,179",202,235,"2,914,680",18,19,"313,499",90,98,"918,051",154,542,"1,941,666",16,x,x,135,172,"951,700",152,209,"1,382,001",40,44,"558,243",15,x,207,"4,837,653",300,"27,803,136",199,"12,308,939",300,"231,346,751"
24,5,45,20,Ogden,36,36,"22,502,400",36,"19,981,300",12,"2,521,100",31,71,"560,000",23,51,"1,078,000",35,122,"1,638,000",4,8,"410,000",0,0,0,35,130,"2,048,000",27,38,"564,000",26,34,"475,000",4,4,"89,000",15,19,"187,200",22,100,"631,000",4,4,x,15,16,"121,000",17,24,"148,500",4,5,x,1,x,28,"636,000",36,"4,542,000",27,"1,650,415",36,"28,694,815"
24,5,45,25,Stanstead,23,23,"22,469,900",23,"20,898,500",8,"1,571,400",16,33,"285,115",11,22,"371,600",20,55,"656,715",9,13,"403,741",3,3,"140,000",20,71,"1,200,456",16,19,"325,815",16,x,x,1,x,x,9,9,"87,000",13,50,"181,800",1,x,x,10,15,"70,100",10,14,"111,400",6,6,x,2,x,13,"422,530",23,"2,485,301",18,"1,695,275",23,"26,650,476"
24,5,45,30,Potton,38,38,"26,245,497",38,"20,417,400",12,"5,828,097",30,71,"444,907",24,53,"1,134,238",36,124,"1,579,145",4,5,"133,000",0,0,0,36,129,"1,712,145",28,31,"438,441",28,x,x,1,x,x,9,11,"82,226",26,75,"130,520",1,x,x,24,31,"178,714",27,44,"292,239",6,6,x,2,x,30,"951,270",38,"3,976,355",27,"1,680,894",38,"31,902,746"
24,5,45,43,Hatley,27,27,"29,823,690",27,"27,291,600",10,"2,532,090",22,41,"276,136",15,30,"669,787",26,71,"945,923",10,13,"536,277",4,7,"475,000",26,91,"1,957,200",21,27,"409,418",20,21,"290,309",5,6,"119,109",8,9,"77,217",15,64,"449,372",2,x,x,12,17,"142,800",14,16,"167,457",4,5,x,1,x,19,"734,523",27,"4,332,299",19,"3,208,294",27,"37,364,283"
24,5,45,55,Hatley,33,33,"15,791,050",31,"13,768,550",14,"2,022,500",27,61,"295,848",11,15,"230,000",29,76,"525,848",1,x,x,1,x,x,30,x,x,21,24,"320,000",19,21,x,3,3,x,8,9,"109,089",13,47,"71,818",1,x,x,8,13,x,9,13,"36,599",0,0,0,2,x,22,"311,197",33,"1,502,929",15,"491,884",33,"17,785,863"
24,5,45,60,Sainte-Catherine-de-Hatley,42,42,"19,543,508",39,"16,913,016",13,"2,630,492",35,82,"515,231",26,47,"826,460",39,129,"1,341,691",10,x,x,2,x,x,39,144,"1,858,253",28,34,"378,474",27,x,x,1,x,x,9,10,"74,800",17,72,"143,762",4,3,"57,500",20,29,"156,728",21,28,"192,762",8,10,"63,422",0,0,27,"700,750",42,"3,626,451",30,"1,039,406",42,"24,209,365"
24,5,45,72,Magog,41,41,"20,857,200",41,"19,343,400",6,"1,513,800",37,84,"528,500",19,32,"682,265",39,115,"1,210,765",5,x,x,2,x,x,40,125,"1,568,131",23,32,"345,000",23,x,x,1,x,x,14,14,"157,634",18,41,"122,676",1,x,x,20,20,"78,635",21,26,"146,326",4,4,x,4,"46,000",28,"274,347",41,"2,762,749",24,"1,116,296",41,"24,736,245"
24,5,45,95,Bolton-Est,18,18,"9,494,631",18,x,3,x,16,37,"344,057",9,15,"374,590",17,52,"718,647",2,x,x,0,0,0,18,x,x,13,14,"118,418",13,14,"118,418",0,0,0,6,6,"45,885",7,30,"41,954",2,x,x,6,11,"44,000",8,12,"84,954",3,3,"6,000",1,x,17,"249,172",18,"1,430,202",9,"243,929",18,"11,168,762"
24,5,45,105,Stukely-Sud,24,24,"16,751,200",23,"15,198,700",8,"1,552,500",17,39,"240,428",13,21,"471,481",23,60,"711,909",3,x,x,1,x,x,23,64,"994,079",18,21,"184,113",18,x,x,2,x,x,6,6,"53,600",14,34,"74,164",0,0,0,12,12,"70,945",15,18,"91,064",3,x,"10,921",0,0,16,"446,364",24,"1,925,250",18,"815,081",24,"19,491,531"
24,5,45,115,Orford,18,18,"7,755,600",18,x,2,x,15,37,"271,300",7,15,"380,000",17,52,"651,300",1,x,x,0,0,0,18,x,x,12,14,"144,500",12,14,"144,500",0,0,0,6,6,"43,400",9,30,"94,600",0,0,0,8,9,x,10,14,"110,700",2,x,x,2,x,7,"111,500",18,"1,219,600",12,"367,465",18,"9,342,665"
24,13,46,0,Brome-Missisquoi,721,721,"694,614,079",698,"614,972,023",215,"79,642,056",579,"1,336","8,395,545",464,838,"18,353,680",669,"2,173","26,749,225",206,291,"10,840,155",93,133,"9,110,506",683,"2,598","46,699,886",538,749,"8,639,213",518,656,"7,344,000",73,93,"1,295,213",235,278,"2,691,284",461,"1,810","11,468,416",73,81,"4,730,959",316,400,"2,822,962",347,421,"2,908,630",141,160,"1,793,362",51,"599,300",539,"13,917,281",721,"96,271,293",476,"55,228,654",721,"846,114,026"
24,13,46,10,Frelighsburg,42,42,"25,511,205",41,"24,171,205",7,"1,340,000",36,89,"422,988",25,46,"1,050,194",40,135,"1,473,182",6,x,x,1,x,x,41,144,"1,719,637",29,40,"383,476",28,33,"328,476",5,7,"55,000",17,25,"148,816",23,65,"382,461",3,x,"1,650",10,12,"43,766",15,20,"90,511",3,3,x,3,x,27,"578,319",42,"3,380,136",19,"620,871",42,"29,512,212"
24,13,46,17,Saint-Armand,52,52,"38,970,220",49,"34,750,720",19,"4,219,500",41,96,"609,576",35,69,"1,689,222",47,165,"2,298,798",14,23,"725,500",7,10,"397,500",49,197,"3,421,798",35,44,"448,625",35,39,"363,269",5,5,"85,356",19,25,"309,420",33,136,"756,500",6,7,x,29,40,"313,800",31,40,"240,971",15,19,"124,600",2,x,45,"1,033,789",52,"6,783,753",40,"2,710,429",52,"48,464,402"
24,13,46,25,Saint-Pierre-de-VÇronne-Ö-Pike-River,45,45,"62,093,414",40,"54,479,164",18,"7,614,250",36,78,"510,381",28,51,"1,205,870",39,129,"1,716,251",27,38,"1,415,494",20,26,"1,285,267",41,192,"4,417,012",36,48,"547,287",35,45,"524,287",3,3,"23,000",11,13,x,31,124,"1,266,074",9,9,"646,411",17,19,"171,802",17,21,"134,953",14,15,"160,424",1,x,35,"887,782",45,"8,350,828",27,"3,121,657",45,"73,565,899"
24,13,46,40,Bedford,22,22,"27,915,925",22,"23,990,925",10,"3,925,000",17,45,"249,500",16,28,"623,700",19,73,"873,200",7,10,"409,500",6,8,"541,500",20,91,"1,824,200",19,28,"260,250",19,24,"237,250",4,4,"23,000",5,6,x,16,69,"644,600",5,9,"736,000",10,14,"103,500",8,12,"90,500",3,3,x,1,x,17,"352,300",22,"4,074,300",12,"2,575,390",22,"34,565,615"
24,13,46,45,Stanbridge East,47,47,"31,705,996",45,"27,683,836",14,"4,022,160",35,93,"515,300",30,65,"1,368,243",41,158,"1,883,543",8,x,x,3,x,x,41,172,"2,446,515",36,54,"766,012",34,44,"587,012",7,10,"179,000",13,17,"151,000",31,115,"474,513",8,8,"340,000",23,31,"132,826",21,24,"127,874",7,7,"100,521",5,"66,000",29,"576,300",47,"5,181,561",29,"896,595",47,"37,784,152"
24,13,46,50,Dunham,135,135,"97,175,210",133,"81,564,282",34,"15,610,928",109,248,"1,570,937",92,160,"3,491,905",131,408,"5,062,842",33,39,"1,475,933",10,12,"556,741",133,459,"7,095,516",106,137,"1,752,447",102,120,"1,536,593",12,17,"215,854",41,54,"591,917",86,285,"1,428,305",7,8,"431,481",56,72,"448,796",62,74,"481,385",17,19,"114,053",12,"98,000",101,"2,438,716",135,"14,880,616",76,"3,947,472",135,"116,003,298"
24,13,46,58,Sutton,46,46,"38,208,710",44,"32,809,580",19,"5,399,130",41,110,"778,700",24,50,"1,154,500",43,160,"1,933,200",7,x,x,1,x,x,43,168,"2,348,200",33,47,"433,300",31,41,"343,300",4,6,"90,000",12,14,"104,000",24,112,"377,500",4,4,x,18,22,"117,500",26,37,"222,100",4,5,x,7,"126,000",33,"929,200",46,"4,738,600",31,"1,751,959",46,"44,699,269"
24,13,46,65,Bolton-Ouest,27,27,"24,092,700",26,"16,960,300",11,"7,132,400",21,45,"410,199",14,20,"479,118",25,65,"889,317",3,3,"225,000",0,0,0,26,68,"1,114,317",15,22,"340,900",14,17,"255,400",4,5,"85,500",15,16,"200,275",15,45,"108,200",1,x,x,12,15,"86,608",13,16,"125,197",4,5,x,0,0,19,"304,567",27,"2,291,149",19,"1,463,671",27,"27,847,520"
24,13,46,75,Lac-Brome,84,84,"122,940,413",80,"111,654,273",27,"11,286,140",65,132,"845,333",52,84,"1,704,000",78,216,"2,549,333",11,15,"537,917",4,11,"1,545,000",80,242,"4,632,250",55,75,"876,425",51,67,"824,925",8,8,"51,500",33,35,"362,950",45,168,"1,012,080",3,4,x,35,41,"213,849",38,46,"307,016",9,13,x,10,"208,700",59,"1,302,350",84,"9,257,680",62,"17,555,891",84,"149,753,984"
24,13,46,90,Brigham,52,52,"37,041,627",51,"34,413,079",12,"2,628,548",39,91,"559,517",31,54,"1,141,244",47,145,"1,700,761",12,17,"508,804",5,9,"552,302",50,171,"2,761,867",41,47,"484,752",39,x,x,2,x,x,9,9,"66,368",32,134,"625,588",5,5,"312,068",23,29,"213,507",22,26,"206,500",6,7,x,3,x,40,"905,611",52,"5,639,147",36,"3,397,067",52,"46,077,841"
24,13,46,95,Saint-Ignace-de-Stanbridge,40,40,"52,634,900",40,"46,433,900",15,"6,201,000",33,86,"601,754",27,40,"930,263",38,126,"1,532,017",22,31,"1,223,593",10,13,"1,030,000",38,170,"3,785,610",33,58,"444,739",30,49,"376,536",7,9,"68,203",18,19,x,27,136,"1,183,085",5,5,"270,000",20,23,"212,174",20,24,"252,263",15,15,"253,500",1,x,31,"1,015,405",40,"7,619,950",33,"4,587,318",40,"64,842,168"
24,13,46,100,Notre-Dame-de-Stanbridge,33,33,"40,551,849",32,"37,870,349",7,"2,681,500",30,71,"364,694",26,48,"772,208",33,120,"1,136,902",16,28,"778,984",10,19,"1,000,132",33,167,"2,916,018",25,34,"299,912",25,x,x,1,x,x,10,12,x,27,109,"955,908",7,8,"289,555",16,21,"136,675",20,24,"217,600",11,14,"306,000",1,x,26,"794,642",33,"6,019,275",21,"2,843,752",33,"49,414,876"
24,13,46,105,Sainte-Sabine,43,43,"43,949,969",42,"41,219,469",9,"2,730,500",33,60,"375,874",32,60,"1,433,090",40,120,"1,808,964",18,26,"1,099,681",10,12,"1,231,000",40,158,"4,139,645",37,47,"606,251",37,43,x,4,4,x,15,17,"174,504",33,135,"1,048,047",3,4,x,22,29,"288,180",27,28,"167,163",17,18,"357,746",3,x,35,"1,631,359",43,"8,788,995",32,"3,534,299",43,"56,273,263"
24,13,46,112,Farnham,53,53,"51,821,941",53,"46,970,941",13,"4,851,000",43,92,"580,792",32,62,"1,310,123",48,154,"1,890,915",22,36,"1,473,600",6,9,"712,786",48,199,"4,077,301",38,68,"994,837",38,56,"699,037",7,12,"295,800",17,19,x,38,179,"1,205,555",7,8,"882,794",25,32,"339,979",27,31,"244,597",16,18,"213,987",2,x,42,"1,166,941",53,"9,265,303",39,"6,222,283",53,"67,309,527"
24,13,47,0,La Haute-Yamaska,483,483,"336,951,292",472,"306,464,777",96,"30,486,515",392,862,"5,483,674",283,504,"11,124,888",448,"1,367","16,608,562",108,149,"6,231,466",36,50,"3,318,895",461,"1,566","26,158,923",363,489,"6,361,995",353,425,"5,471,356",50,64,"890,639",152,171,"1,762,955",243,864,"4,399,148",31,31,"1,661,030",165,225,"1,571,477",192,260,"2,186,256",66,68,"587,362",26,"217,000",321,"8,876,908",483,"53,783,054",346,"33,430,636",483,"424,164,982"
24,13,47,5,Bromont,43,43,"25,377,195",43,"21,483,865",11,"3,893,330",38,76,"597,915",28,45,"968,527",41,121,"1,566,442",6,6,"229,769",0,0,0,42,127,"1,796,211",34,39,"468,212",32,x,x,2,x,x,20,22,"232,234",26,103,"254,830",0,0,0,19,30,"210,192",21,32,"229,535",7,7,"38,900",5,"38,000",33,"638,489",43,"3,906,603",31,"1,731,843",43,"31,015,641"
24,13,47,10,Saint-Alphonse,53,53,"47,874,780",51,"41,789,053",14,"6,085,727",44,111,"649,100",32,60,"1,506,000",47,171,"2,155,100",13,18,"783,525",6,8,"630,000",50,197,"3,568,625",44,68,"1,126,312",41,52,"882,512",13,16,"243,800",20,23,"259,500",29,123,"1,158,912",9,8,"774,500",13,17,"155,600",14,17,"178,000",11,12,"94,800",0,0,37,"1,124,650",53,"8,440,899",49,"6,506,678",53,"62,822,357"
24,13,47,20,Granby,83,83,"50,189,200",82,"47,003,200",17,"3,186,000",69,146,"830,688",50,85,"1,625,162",79,231,"2,455,850",26,33,"1,297,000",7,8,"414,333",79,272,"4,167,183",65,78,"735,022",62,70,x,8,8,x,24,29,"239,005",50,150,"629,881",5,5,"164,030",31,44,"317,044",36,44,"268,887",14,14,"170,907",6,"27,000",58,"1,232,943",83,"7,951,902",56,"5,365,982",83,"63,507,084"
24,13,47,35,Shefford,72,72,"50,120,968",67,"43,327,948",18,"6,793,020",59,116,"892,913",40,64,"1,445,698",68,180,"2,338,611",10,14,"613,361",3,3,"170,000",68,197,"3,121,972",52,68,"826,083",52,60,"761,083",6,8,"65,000",22,25,"359,500",38,98,"329,077",2,x,x,25,33,"211,808",31,41,"336,730",11,11,"43,700",4,x,47,"1,106,680",72,"6,405,050",49,"3,729,481",72,"60,255,499"
24,13,47,40,Saint-Joachim-de-Shefford,80,80,"45,943,800",79,"42,840,450",16,"3,103,350",64,132,"640,878",42,77,"1,638,972",76,210,"2,279,850",16,17,"734,000",7,12,"1,151,562",79,239,"4,165,412",52,70,"804,562",51,x,"730,562",4,x,"74,000",26,31,"245,802",27,110,"474,875",2,x,x,27,33,"241,200",34,55,"585,062",7,7,x,5,x,55,"1,580,573",80,"8,283,186",60,"5,801,950",80,"60,028,936"
24,13,47,47,Roxton Pond,89,89,"61,510,999",87,"56,976,871",11,"4,534,128",67,158,"1,019,224",49,93,"1,920,222",79,251,"2,939,446",17,29,"1,296,811",6,9,"510,000",83,289,"4,746,257",66,93,"1,495,190",65,83,"1,249,190",8,10,"246,000",23,23,"266,518",34,120,"711,347",4,5,"200,000",30,37,"298,582",34,43,"408,791",9,10,"131,355",5,"67,500",49,"1,995,723",89,"10,321,263",60,"6,413,529",89,"78,245,791"
24,13,47,55,Sainte-CÇcile-de-Milton,63,63,"55,934,350",63,"53,043,390",9,"2,890,960",51,125,"852,956",42,80,"2,020,307",58,205,"2,873,263",20,32,"1,277,000",7,10,"443,000",60,247,"4,593,263",50,73,"906,614",50,60,"749,200",9,13,"157,414",17,18,"160,396",39,161,"840,226",9,10,"380,000",20,31,"137,051",22,29,"179,251",7,8,x,1,x,42,"1,197,850",63,"8,474,151",41,"3,881,173",63,"68,289,674"
24,13,48,0,Acton,444,444,"367,694,080",440,"324,133,998",124,"43,560,082",357,762,"4,360,449",300,531,"11,255,577",410,"1,294","15,616,026",176,259,"11,338,147",66,88,"6,547,368",417,"1,641","33,501,541",357,516,"6,460,570",351,460,"5,423,175",49,57,"1,037,395",161,182,"1,591,373",271,959,"7,459,173",59,59,"4,371,390",169,214,"2,013,140",194,230,"2,475,717",107,113,"1,581,240",28,"682,650",324,"10,503,380",444,"70,640,174",353,"41,857,172",444,"480,191,426"
24,13,48,5,BÇthanie,34,34,"22,537,700",34,"20,919,700",9,"1,618,000",29,59,"289,000",25,44,"778,500",32,103,"1,067,500",10,x,x,2,x,x,33,118,"1,782,000",25,30,"478,300",24,26,"288,300",4,4,"190,000",9,10,"74,200",23,75,"282,700",1,x,x,19,23,"185,500",20,24,"215,500",9,9,x,1,x,26,"811,700",34,"3,927,400",29,"2,389,351",34,"28,854,451"
24,13,48,15,Roxton,102,102,"62,869,777",101,"57,651,377",21,"5,218,400",86,181,"919,064",60,110,"2,441,592",97,291,"3,360,656",17,x,x,6,x,x,97,323,"4,678,688",79,100,"1,228,256",76,90,"1,088,146",10,10,"140,110",38,45,"403,051",49,144,"1,091,611",2,x,x,42,52,"311,508",48,54,"517,930",20,20,"257,181",5,x,64,"1,741,502",102,"10,318,833",80,"6,619,734",102,"79,808,344"
24,13,48,20,Sainte-Christine,42,42,"43,749,749",42,"33,725,149",15,"10,024,600",31,76,"355,104",31,53,"1,081,216",38,129,"1,436,320",22,35,"1,395,491",6,9,"515,228",39,173,"3,347,039",38,59,"787,488",38,55,"750,488",3,4,"37,000",15,17,"162,000",28,123,"701,697",6,6,"394,614",19,27,"331,688",20,28,"313,377",9,10,"100,807",0,0,31,"1,029,471",42,"7,168,181",33,"5,599,176",42,"56,517,106"
