HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NBEEHON,BEEHON,NBEEPOLL,BEEPOLL,NBROILER,BROILER,NPULETS,PULETS,NLAYHEN,LAYHEN,NTCHICK,TCHICK,NHENHATCH,HENHATCH,NTURKEY,TURKEY,NOTHPLT,OTHPLT,NTURKPRD,TURKPRD,ETURKPRD,NBROILPRD,BROILPRD,EBROILPRD,NHATCHNUM,HATCHNUM,NCALFU1,CALFU1,NSTEERS,STEERS,NHEIFER,HEIFER,NFDHEIF,FDHEIF,NBFHEIF,BFHEIF,NMLKHEIF,MLKHEIF,NTOTCOW,TOTCOW,NBFCOWS,BFCOWS,NMLKCOW,MLKCOW,NBULLS,BULLS,NTCATTL,TCATTL,NRAMS,RAMS,NEWES,EWES,NLAMBS,LAMBS,NTSHEEP,TSHEEP,NBOARS,BOARS,NSOWS,SOWS,NNURPIG,NURPIG,NGRWPIG,GRWPIG,NTOPIGS,TOPIGS,NHORSES,HORSES,NGOATS,GOATS,NWLDBOAR,WLDBOAR,NMINK,MINK,NFOX,FOX,NBISON,BISON,NLAMAS,LAMAS,NDEER,DEER,NELK,ELK
24,14,38,70,Deschaillons-sur-Saint-Laurent,20,0,0,0,0,1,x,0,0,2,x,2,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,10,177,0,0,9,262,0,0,0,0,9,262,11,516,1,x,10,x,4,5,11,960,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,1,x,8,49,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14,39,0,Arthabaska,936,12,"3,715",5,x,14,x,7,x,43,"91,545",57,"419,497",3,x,6,x,11,x,3,x,x,14,"3,565,363","7,860,279",0,0,485,"27,991",63,"4,308",417,"13,018",48,"1,601",76,554,315,"10,863",475,"28,509",173,"6,902",315,"21,607",210,380,536,"74,206",38,222,42,"6,068",42,"3,246",43,"9,536",27,101,30,"7,761",31,"28,589",59,"75,148",68,"111,599",147,704,34,"1,752",0,0,0,0,1,x,1,x,8,33,6,795,5,180
24,14,39,10,Ham-Nord,53,1,x,1,x,0,0,0,0,2,x,2,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,17,380,5,117,14,259,2,x,5,x,8,224,19,844,10,425,9,419,11,22,20,"1,622",3,12,3,480,3,440,3,932,0,0,0,0,0,0,1,x,1,x,11,37,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14,39,15,Notre-Dame-de-Ham,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,504,0,0,5,43,0,0,1,x,4,x,9,263,6,150,4,113,5,6,10,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14,39,20,Saint-RÇmi-de-Tingwick,42,0,0,0,0,0,0,0,0,2,x,2,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,22,"1,770",8,"1,420",17,545,2,x,3,x,13,369,23,"1,037",11,381,13,656,11,26,26,"4,798",5,34,5,"1,168",5,960,5,"2,162",0,0,1,x,1,x,1,x,1,x,10,34,0,0,0,0,0,0,1,x,0,0,2,x,1,x,0,0
24,14,39,25,Tingwick,91,2,x,1,x,1,x,0,0,6,46,6,x,0,0,1,x,3,19,0,0,0,1,x,x,0,0,50,"2,335",4,21,43,"1,411",5,103,10,78,29,"1,230",50,"3,618",21,943,29,"2,675",27,41,56,"7,426",3,9,4,405,3,95,4,509,1,x,1,x,2,x,3,x,4,"6,858",11,56,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14,39,30,Chesterville,50,0,0,0,0,1,x,0,0,2,x,3,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,32,"1,843",4,x,28,696,4,x,9,x,17,545,32,"1,540",17,572,18,968,15,x,34,"4,506",1,x,1,x,1,x,1,x,1,x,2,x,2,x,2,x,3,x,8,27,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
24,14,39,35,Chester-Est,36,0,0,0,0,0,0,0,0,4,50,4,50,0,0,0,0,1,x,0,0,0,2,x,x,0,0,14,967,1,x,12,180,0,0,4,11,9,169,13,417,5,113,9,304,2,x,14,"1,568",3,x,3,x,3,x,3,750,1,x,1,x,1,x,2,x,2,x,6,37,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x
24,14,39,42,Saint-Norbert-d'Arthabaska,91,1,x,0,0,0,0,1,x,4,132,5,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,"4,304",5,46,41,986,7,205,9,67,28,714,46,"2,150",20,695,27,"1,455",26,42,58,"7,528",2,x,2,x,2,x,2,x,1,x,1,x,1,x,5,x,5,"5,787",18,54,3,5,0,0,0,0,0,0,0,0,2,x,1,x,0,0
24,14,39,62,Victoriaville,114,2,x,1,x,4,"69,850",1,x,8,x,11,"158,654",3,x,0,0,1,x,1,x,x,4,"1,297,045","2,859,495",0,0,51,"2,769",11,582,47,"2,144",8,534,7,60,35,"1,550",52,"3,402",20,"1,042",35,"2,360",20,36,57,"8,933",6,44,6,"1,220",7,453,7,"1,717",1,x,1,x,1,x,3,x,3,x,14,78,4,26,0,0,0,0,0,0,0,0,1,x,1,x,0,0
24,14,39,77,Warwick,89,2,x,1,x,1,x,0,0,3,14,4,x,0,0,0,0,0,0,0,0,0,2,x,x,0,0,52,"1,690",4,55,51,"1,417",3,48,4,28,45,"1,341",56,"3,471",9,293,48,"3,178",15,18,61,"6,651",5,17,5,619,5,146,5,782,1,x,1,x,2,x,4,x,5,"7,651",13,76,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14,39,85,Saint-Albert,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,19,900,2,x,16,831,1,x,2,x,14,810,19,"3,095",4,142,15,"2,953",6,x,20,"4,908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"5,570",3,"5,570",3,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14,39,90,Sainte-êlisabeth-de-Warwick,40,0,0,0,0,0,0,2,x,0,0,2,x,0,0,1,x,0,0,1,x,x,0,0,0,0,0,26,"1,178",1,x,22,734,0,0,3,16,20,718,24,"1,662",4,90,20,"1,572",9,x,27,"3,598",0,0,0,0,0,0,0,0,3,6,3,x,3,"2,896",2,x,4,"5,891",6,35,3,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14,39,97,Kingsey Falls,31,0,0,0,0,0,0,1,x,3,x,3,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,450,3,7,19,508,1,x,5,x,15,458,20,938,9,313,11,625,9,20,20,"1,923",2,x,4,111,4,x,4,217,1,x,1,x,1,x,1,x,2,x,5,16,2,x,0,0,0,0,0,0,0,0,1,x,1,x,1,x
24,14,39,105,Sainte-SÇraphine,29,0,0,0,0,0,0,0,0,1,x,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,13,499,1,x,14,x,2,x,1,x,11,302,12,621,1,x,11,x,5,6,16,"2,162",0,0,0,0,0,0,0,0,5,13,5,"1,079",5,"3,781",12,"12,607",12,"17,480",3,7,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14,39,117,Sainte-Clotilde-de-Horton,53,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,29,"1,128",5,33,25,488,3,24,4,17,18,447,29,"1,161",11,231,18,930,15,27,31,"2,837",2,x,2,x,2,x,2,x,6,34,6,"1,760",6,"3,320",8,"17,636",8,"22,750",8,42,3,243,0,0,0,0,0,0,0,0,0,0,1,x,0,0
24,14,39,130,Saint-Samuel,20,1,x,0,0,0,0,0,0,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"1,218",0,0,11,309,2,x,1,x,9,297,12,791,2,x,10,x,4,6,15,"2,324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,2,x,2,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
24,14,39,135,Saint-Valäre,57,1,x,0,0,3,x,2,x,3,27,6,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,27,"3,607",2,x,21,"1,201",2,x,4,x,17,"1,148",24,"1,502",9,434,15,"1,068",11,x,29,"6,527",1,x,1,x,1,x,1,x,2,x,2,x,2,x,3,x,4,"15,033",8,58,3,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x
24,14,39,145,Saint-Rosaire,41,1,x,0,0,1,x,0,0,1,x,2,x,0,0,1,x,0,0,0,0,0,1,x,x,0,0,19,676,3,x,16,430,3,x,2,x,12,370,19,"1,040",8,395,12,645,9,x,20,"2,191",2,x,2,x,2,x,2,x,3,8,4,530,3,"1,774",6,"4,950",7,"7,262",6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x
24,14,39,150,Sainte-Anne-du-Sault,22,0,0,0,0,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,15,"1,291",3,x,9,x,1,x,1,x,7,99,10,417,3,139,7,278,6,7,15,"1,865",1,x,1,x,1,x,1,x,0,0,0,0,0,0,2,x,2,x,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14,39,170,Saint-Louis-de-Blandford,26,1,x,0,0,2,x,0,0,3,x,4,144,0,0,2,x,2,x,1,x,x,1,x,x,0,0,7,482,1,x,6,x,2,x,1,x,4,x,6,540,3,x,4,x,4,16,7,"2,023",2,x,3,130,3,x,3,198,1,x,1,x,1,x,0,0,1,x,9,26,2,x,0,0,0,0,0,0,1,x,0,0,0,0,1,x
24,5,40,0,Asbestos,266,6,x,0,0,4,x,1,x,18,238,19,x,0,0,2,x,6,62,1,x,x,5,"1,490","3,285",0,0,154,"4,873",33,"1,025",127,"2,540",22,107,36,254,81,"2,179",158,"6,745",81,"2,661",81,"4,084",86,198,174,"15,381",15,117,17,"3,006",15,"1,516",17,"4,639",5,38,5,"5,157",6,"14,917",16,"27,013",21,"47,125",58,268,12,699,0,0,0,0,0,0,0,0,1,x,0,0,0,0
24,5,40,5,Saint-Joseph-de-Ham-Sud,18,1,x,0,0,0,0,0,0,1,x,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,10,196,1,x,6,164,2,x,0,0,4,x,10,380,6,214,4,166,6,x,11,751,2,x,2,x,2,x,2,x,0,0,0,0,0,0,0,0,0,0,2,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,40,10,Saint-Adrien,19,3,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,9,176,2,x,7,148,1,x,2,x,6,x,9,405,4,170,6,235,3,x,9,738,2,x,3,x,3,382,3,719,0,0,0,0,0,0,0,0,0,0,5,25,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,40,17,Wotton,75,2,x,0,0,2,x,0,0,2,x,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,"1,223",7,57,37,846,3,10,7,40,29,796,44,"2,132",16,519,29,"1,613",20,39,49,"4,297",2,x,2,x,2,x,2,x,2,x,2,x,3,x,5,"5,955",8,"11,073",18,89,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,40,25,Saint-Camille,35,0,0,0,0,1,x,1,x,5,120,6,x,0,0,1,x,2,x,0,0,0,2,x,x,0,0,20,493,3,x,15,265,3,x,3,x,11,227,22,876,10,289,12,587,12,x,24,"1,671",3,6,3,x,2,x,3,213,2,x,2,x,2,x,2,x,4,"13,875",11,52,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,40,32,Saint-Georges-de-Windsor,45,0,0,0,0,0,0,0,0,1,x,1,x,0,0,0,0,1,x,0,0,0,1,x,x,0,0,27,"1,039",7,x,23,549,3,11,7,54,15,484,27,"1,403",12,486,15,917,15,x,30,"3,921",2,x,2,x,2,x,2,x,1,x,1,x,1,x,6,x,6,"18,347",3,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,40,47,Danville,74,0,0,0,0,1,x,0,0,9,x,9,79,0,0,1,x,2,x,1,x,x,1,x,x,0,0,46,"1,746",13,41,39,568,10,47,17,124,16,397,46,"1,549",33,983,15,566,30,99,51,"4,003",4,64,5,"1,504",4,431,5,"1,999",0,0,0,0,0,0,3,"3,830",3,"3,830",19,75,5,523,0,0,0,0,0,0,0,0,1,x,0,0,0,0
24,5,41,0,Le Haut-Saint-Franáois,488,0,0,0,0,19,"8,394",3,x,38,x,46,x,0,0,7,104,14,169,6,"1,061","2,339",16,x,x,0,0,272,"8,167",65,"1,503",213,"4,610",46,"1,183",116,762,81,"2,665",276,"12,930",205,"8,557",80,"4,373",193,376,295,"27,586",28,172,32,"5,262",28,"3,802",33,"9,236",9,46,10,"2,600",13,"20,823",26,"30,420",32,"53,889",86,442,15,129,1,x,0,0,1,x,0,0,1,x,2,x,1,x
24,5,41,12,Saint-Isidore-de-Clifton,52,0,0,0,0,0,0,1,x,1,x,2,x,0,0,0,0,2,x,1,x,x,1,x,x,0,0,30,"1,158",8,97,20,"1,033",1,x,10,x,9,237,29,"1,511",23,"1,173",7,338,21,42,33,"3,841",4,18,4,837,2,x,4,x,1,x,1,x,1,x,2,x,3,x,11,50,2,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x
24,5,41,27,La Patrie,40,0,0,0,0,0,0,0,0,1,x,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,19,635,4,x,14,300,4,43,6,66,7,191,20,"1,030",13,668,7,362,16,x,21,"2,045",1,x,2,x,1,x,2,x,0,0,0,0,0,0,0,0,0,0,8,48,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,41,38,Cookshire-Eaton,185,0,0,0,0,8,"5,611",1,x,13,x,19,x,0,0,2,x,7,140,3,x,x,9,x,x,0,0,108,"3,400",28,"1,175",87,"1,612",18,237,52,314,32,"1,061",111,"5,365",81,"3,388",34,"1,977",72,164,116,"11,716",10,97,11,"2,787",12,"2,192",12,"5,076",8,x,8,x,10,x,15,"17,081",18,"32,366",30,165,6,79,0,0,0,0,1,x,0,0,0,0,1,x,0,0
24,5,41,55,Ascot Corner,16,0,0,0,0,1,x,0,0,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,494,2,x,5,51,1,x,4,x,1,x,5,208,4,x,1,x,4,x,6,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,41,65,Westbury,28,0,0,0,0,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,18,255,4,23,17,260,3,x,7,x,7,204,20,716,13,x,8,x,12,25,20,"1,279",3,9,3,x,3,115,3,x,0,0,1,x,0,0,3,x,3,x,3,5,1,x,0,0,0,0,0,0,0,0,0,0,1,x,0,0
24,5,41,70,Bury,47,0,0,0,0,4,280,0,0,8,75,8,355,0,0,2,x,1,x,0,0,0,1,x,x,0,0,26,555,5,44,19,393,4,25,12,76,6,292,26,904,22,582,5,322,22,33,28,"1,929",2,x,2,x,2,x,2,x,0,0,0,0,0,0,1,x,1,x,9,29,1,x,1,x,0,0,0,0,0,0,1,x,0,0,0,0
24,5,41,85,Lingwick,33,0,0,0,0,1,x,0,0,2,x,3,153,0,0,0,0,0,0,0,0,0,2,x,x,0,0,11,326,3,26,7,174,3,x,3,x,2,x,12,551,10,x,2,x,9,16,15,"1,093",3,18,4,552,3,360,4,930,0,0,0,0,1,x,0,0,1,x,6,10,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,41,98,Weedon,45,0,0,0,0,2,x,0,0,5,x,5,133,0,0,1,x,0,0,0,0,0,0,0,0,0,0,27,679,5,14,24,477,4,12,14,102,11,363,26,"1,343",17,768,10,575,17,32,27,"2,545",0,0,0,0,0,0,0,0,0,0,0,0,1,x,2,x,3,"7,396",9,35,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,41,117,Dudswell,42,0,0,0,0,2,x,0,0,6,x,6,297,0,0,2,x,3,16,2,x,x,2,x,x,0,0,27,665,6,63,20,310,8,85,8,44,6,181,27,"1,302",22,"1,021",6,281,20,34,29,"2,374",5,21,6,429,5,245,6,695,0,0,0,0,0,0,2,x,2,x,5,28,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,42,0,Le Val-Saint-Franáois,491,6,507,1,x,12,849,2,x,35,x,41,"1,680",0,0,2,x,12,275,4,626,"1,380",14,"2,739","6,038",0,0,271,"8,313",57,"1,112",208,"4,287",41,202,81,551,115,"3,534",259,"12,304",157,"5,595",116,"6,709",178,317,292,"26,333",38,271,45,"11,277",41,"5,146",46,"16,694",7,21,12,"6,556",15,"28,260",22,"32,440",32,"67,277",110,644,26,466,2,x,0,0,0,0,3,305,2,x,1,x,3,x
24,5,42,5,Stoke,39,1,x,0,0,3,180,0,0,4,25,5,205,0,0,1,x,1,x,1,x,x,2,x,x,0,0,19,521,7,111,13,638,4,x,2,x,7,576,18,"1,350",12,498,6,852,16,26,24,"2,646",3,x,3,x,3,645,3,"3,094",1,x,1,x,1,x,4,x,4,x,10,33,2,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
24,5,42,20,Saint-Franáois-Xavier-de-Brompton,40,2,x,1,x,1,x,0,0,3,x,4,75,0,0,0,0,1,x,0,0,0,0,0,0,0,0,22,369,3,x,16,395,1,x,4,x,13,383,19,883,8,195,11,688,12,x,23,"1,682",3,24,4,766,3,310,4,"1,100",1,x,2,x,2,x,0,0,2,x,8,49,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,42,32,Racine,48,0,0,0,0,1,x,0,0,6,x,6,118,0,0,0,0,2,x,0,0,0,1,x,x,0,0,19,384,2,x,16,x,5,x,8,39,7,x,20,819,13,413,7,406,17,x,21,"1,432",6,31,6,"1,174",5,640,7,"1,845",1,x,2,x,1,x,1,x,2,x,9,75,7,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,42,40,Bonsecours,26,0,0,0,0,0,0,0,0,2,x,2,x,0,0,0,0,1,x,0,0,0,1,x,x,0,0,8,226,2,x,3,x,0,0,1,x,2,x,8,309,5,152,4,157,2,x,8,591,2,x,2,x,2,x,2,x,1,x,2,x,2,x,2,x,3,"6,033",5,35,2,x,0,0,0,0,0,0,1,x,0,0,1,x,1,x
24,5,42,50,Sainte-Anne-de-la-Rochelle,50,1,x,0,0,4,340,1,x,3,x,6,441,0,0,0,0,1,x,0,0,0,1,x,x,0,0,25,514,3,12,18,354,1,x,9,x,10,293,24,"1,105",14,481,11,624,22,32,27,"2,017",1,x,2,x,2,x,2,x,1,x,3,x,3,x,5,"7,223",7,"10,859",10,76,2,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
24,5,42,60,Valcourt,34,0,0,0,0,0,0,0,0,4,40,4,40,0,0,0,0,0,0,0,0,0,2,x,x,0,0,18,671,3,3,11,225,2,x,3,x,7,155,16,848,10,526,7,322,10,24,18,"1,771",1,x,2,x,2,x,2,x,0,0,0,0,0,0,2,x,2,x,10,55,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,42,65,Maricourt,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,1,x,x,1,x,x,0,0,14,"1,215",3,x,8,x,1,x,1,x,7,169,10,374,4,109,6,265,5,x,15,"2,560",2,x,2,x,2,x,2,x,0,0,0,0,2,x,1,x,3,x,3,20,0,0,2,x,0,0,0,0,0,0,0,0,0,0,1,x
24,5,42,75,Melbourne,71,1,x,0,0,1,x,0,0,4,x,5,94,0,0,0,0,2,x,1,x,x,2,x,x,0,0,45,"1,055",14,92,43,765,9,45,24,131,19,589,47,"1,998",33,887,19,"1,111",31,58,50,"3,968",7,65,10,"2,357",8,"1,412",10,"3,834",1,x,1,x,1,x,4,x,4,"4,696",22,159,3,46,0,0,0,0,0,0,1,x,0,0,0,0,0,0
24,5,42,95,Val-Joli,58,0,0,0,0,0,0,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,"1,363",7,31,28,540,5,27,11,72,17,441,35,"1,689",19,810,18,879,23,47,39,"3,670",5,20,6,"1,475",6,541,6,"2,036",0,0,0,0,1,x,2,x,2,x,11,65,1,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x
24,5,42,100,Saint-Claude,39,0,0,0,0,1,x,0,0,3,25,3,x,0,0,1,x,0,0,0,0,0,2,x,x,0,0,25,803,5,28,20,429,9,33,5,28,9,368,25,"1,224",18,526,10,698,19,29,26,"2,513",2,x,2,x,2,x,2,x,0,0,0,0,1,x,0,0,1,x,9,35,3,27,0,0,0,0,0,0,1,x,0,0,0,0,0,0
24,5,42,110,Cleveland,53,1,x,0,0,1,x,0,0,5,x,5,395,0,0,0,0,2,x,1,x,x,2,x,x,0,0,38,"1,192",8,19,32,524,4,14,13,91,17,419,37,"1,705",21,998,17,707,21,43,41,"3,483",6,16,6,538,6,312,6,866,1,x,1,x,1,x,1,x,2,x,13,42,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,43,0,Sherbrooke,127,4,83,3,3,1,x,2,x,5,x,6,184,0,0,2,x,1,x,3,622,"1,371",5,x,x,0,0,36,718,8,128,31,626,6,61,9,48,17,517,39,"1,842",21,708,19,"1,134",25,46,43,"3,360",3,7,3,208,3,192,3,407,2,x,2,x,3,x,3,x,4,x,24,153,1,x,0,0,0,0,0,0,0,0,2,x,0,0,0,0
24,5,43,27,Sherbrooke,127,4,83,3,3,1,x,2,x,5,x,6,184,0,0,2,x,1,x,3,622,"1,371",5,x,x,0,0,36,718,8,128,31,626,6,61,9,48,17,517,39,"1,842",21,708,19,"1,134",25,46,43,"3,360",3,7,3,208,3,192,3,407,2,x,2,x,3,x,3,x,4,x,24,153,1,x,0,0,0,0,0,0,0,0,2,x,0,0,0,0
24,5,44,0,Coaticook,579,4,46,1,x,12,x,2,x,24,496,34,x,0,0,5,53,4,147,4,622,"1,371",6,"615,953","1,357,944",0,0,329,"9,609",69,"1,465",303,"10,429",43,840,79,626,223,"8,963",344,"21,320",143,"5,507",224,"15,813",207,429,358,"43,252",18,140,24,"2,682",22,"1,485",24,"4,307",30,145,32,"8,628",30,"23,016",49,"63,580",55,"95,369",74,378,18,749,0,0,0,0,1,x,1,x,2,x,1,x,0,0
24,5,44,3,Saint-Malo,30,1,x,0,0,0,0,0,0,2,x,2,x,0,0,0,0,1,x,1,x,x,1,x,x,0,0,18,422,8,26,18,386,3,15,5,45,12,326,18,840,8,312,12,528,13,24,20,"1,698",0,0,0,0,0,0,0,0,4,18,4,865,4,"3,143",5,"8,685",5,"12,711",6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,44,10,East Hereford,25,0,0,0,0,0,0,0,0,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,399,2,x,13,291,1,x,4,x,8,246,14,918,6,450,8,468,7,x,14,"1,631",0,0,0,0,0,0,0,0,1,x,1,x,1,x,2,x,2,x,2,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,44,15,Saint-HermÇnÇgilde,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,281,1,x,13,541,1,x,3,x,11,502,12,954,1,x,11,x,8,x,13,"1,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,2,x,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,44,23,Dixville,29,0,0,0,0,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,384,6,504,19,755,1,x,3,x,17,720,18,"1,138",4,150,16,988,9,14,20,"2,795",1,x,1,x,1,x,1,x,1,x,1,x,1,x,0,0,1,x,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,44,37,Coaticook,132,1,x,0,0,1,x,1,x,3,64,5,x,0,0,0,0,1,x,0,0,0,1,x,x,0,0,76,"1,988",12,453,68,"2,927",7,472,11,76,57,"2,379",78,"5,072",26,717,56,"4,355",41,72,81,"10,512",7,41,8,852,8,582,8,"1,475",4,39,6,"1,685",4,"3,702",12,"14,561",14,"19,987",11,45,2,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0
24,5,44,45,Barnston-Ouest,39,0,0,0,0,1,x,0,0,3,x,4,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,821,4,9,22,714,3,12,9,86,13,616,27,"1,541",15,491,13,"1,050",18,36,27,"3,121",0,0,1,x,1,x,1,x,1,x,1,x,1,x,0,0,1,x,12,95,3,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,44,50,Stanstead-Est,53,0,0,0,0,3,x,1,x,4,26,5,x,0,0,1,x,1,x,2,x,x,3,x,x,0,0,29,920,5,70,25,679,2,x,9,x,17,533,29,"1,780",14,703,17,"1,077",14,28,29,"3,477",3,18,3,x,3,235,3,x,2,x,2,x,2,x,2,x,2,x,6,20,1,x,0,0,0,0,0,0,0,0,0,0,1,x,0,0
24,5,44,55,Sainte-Edwidge-de-Clifton,54,0,0,0,0,2,x,0,0,1,x,3,170,0,0,1,x,0,0,0,0,0,1,x,x,0,0,38,"1,018",9,127,32,"1,028",7,78,12,77,22,873,40,"2,125",21,649,23,"1,476",24,40,40,"4,338",1,x,2,x,2,x,2,x,2,x,2,x,2,x,5,x,5,"10,344",7,28,2,x,0,0,0,0,0,0,1,x,0,0,0,0,0,0
24,5,44,60,Martinville,18,0,0,0,0,1,x,0,0,1,x,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,13,466,4,43,10,172,1,x,5,x,5,129,14,748,10,x,5,x,10,32,14,"1,461",1,x,1,x,1,x,1,x,3,8,3,419,3,"1,467",4,"2,357",4,"4,251",2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,44,71,Compton,180,2,x,1,x,3,209,0,0,9,201,12,410,0,0,2,x,1,x,1,x,x,0,0,0,0,0,88,"2,910",18,219,83,"2,936",17,191,18,106,61,"2,639",94,"6,204",38,"1,511",63,"4,693",63,150,100,"12,419",5,65,8,835,6,261,8,"1,161",12,58,12,"3,236",12,"6,538",17,"18,497",19,"28,329",23,115,9,418,0,0,0,0,0,0,0,0,2,x,0,0,0,0
24,5,45,0,MemphrÇmagog,300,2,x,0,0,12,"93,625",2,x,25,x,31,"94,537",0,0,5,110,7,283,4,x,x,14,"1,436,743","3,167,476",0,0,126,"3,997",38,686,101,"1,736",32,375,62,497,28,864,121,"6,092",101,"4,177",29,"1,915",98,213,140,"12,724",12,33,17,"1,071",17,859,20,"1,963",7,x,8,x,7,x,8,x,11,x,68,392,12,189,0,0,0,0,0,0,1,x,4,47,4,172,0,0
24,5,45,20,Ogden,36,1,x,0,0,0,0,1,x,1,x,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,17,548,3,10,14,279,3,9,8,80,5,190,19,950,15,645,5,305,15,30,21,"1,817",2,x,2,x,2,x,2,x,1,x,1,x,1,x,2,x,2,x,11,72,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0
24,5,45,25,Stanstead,23,0,0,0,0,2,x,0,0,1,x,3,x,0,0,1,x,1,x,0,0,0,1,x,x,0,0,10,314,0,0,8,291,2,x,4,x,5,170,11,745,8,266,5,479,9,18,11,"1,368",2,x,3,x,2,x,3,247,1,x,2,x,1,x,1,x,2,x,7,27,0,0,0,0,0,0,0,0,1,x,1,x,0,0,0,0
