HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NTOTFRT,TOTFRT,ETOTFRT,NAPPLETA,APPLETA,EAPPLETA,NPEARTA,PEARTA,EPEARTA,NPLUMTA,PLUMTA,EPLUMTA,NSWCHTA,SWCHTA,ESWCHTA,NSRCHTA,SRCHTA,ESRCHTA,NPECHTA,PECHTA,EPECHTA,NAPCTTA,APCTTA,EAPCTTA,NGRAPETA,GRAPETA,EGRAPETA,NSTRWBTA,STRWBTA,ESTRWBTA,NRASPBTA,RASPBTA,ERASPBTA,NCRANBTA,CRANBTA,ECRANBTA,NBLUEBTA,BLUEBTA,EBLUEBTA,NSASKBTA,SASKBTA,ESASKBTA,NOTFRTTA,OTFRTTA,EOTFRTTA
24,1,13,65,Saint-Michel-du-Squatec,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,13,70,Cabano,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,13,80,Saint-Louis-du-Ha! Ha!,20,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,1,13,95,PohÇnÇgamook,49,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,13,100,Saint-Athanase,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,14,0,Kamouraska,443,12,40,16,2,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,4,20,8,3,4,1,1,x,x,2,x,x,0,0,0,1,x,x
24,1,14,5,Mont-Carmel,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,14,18,Saint-Pascal,44,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,14,25,Sainte-HÇläne,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,14,30,Saint-Joseph-de-Kamouraska,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,14,35,Saint-Alexandre-de-Kamouraska,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,14,40,Saint-AndrÇ,37,3,9,4,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0
24,1,14,50,Kamouraska,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,14,55,Saint-Denis,31,2,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,14,60,Saint-Philippe-de-NÇri,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,14,65,Riviäre-Ouelle,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,14,80,Saint-OnÇsime-d'Ixworth,35,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
24,1,14,90,Sainte-Anne-de-la-Pocatiäre,66,4,16,6,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x
24,3,15,0,Charlevoix-Est,67,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x
24,3,15,5,Saint-IrÇnÇe,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,15,13,La Malbaie,48,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x
24,3,16,0,Charlevoix,126,8,164,66,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,2,x,x,2,x,x,0,0,0,3,79,32,1,x,x,2,x,x
24,3,16,13,Baie-Saint-Paul,46,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
24,3,16,48,Les êboulements,31,4,59,24,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,1,x,x,2,x,x
24,3,16,50,Saint-Hilarion,49,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
24,12,17,0,L'Islet,517,15,135,54,6,56,22,3,6,2,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,9,27,11,4,5,2,0,0,0,5,x,x,0,0,0,1,x,x
24,12,17,10,Saint-Pamphile,45,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,17,15,Saint-Adalbert,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,17,20,Saint-Marcel,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,17,25,Sainte-FÇlicitÇ,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,17,30,Sainte-PerpÇtue,67,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,17,40,Saint-Damase-de-l'Islet,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,17,45,Saint-Cyrille-de-Lessard,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,17,55,Saint-Aubert,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,17,60,Sainte-Louise,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,17,65,Saint-Roch-des-Aulnaies,28,3,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
24,12,17,70,Saint-Jean-Port-Joli,61,5,44,18,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,1,x,x,0,0,0,2,x,x,0,0,0,1,x,x
24,12,17,78,L'Islet,76,5,54,22,4,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,3,3,1,2,x,x,0,0,0,2,x,x,0,0,0,0,0,0
24,12,18,0,Montmagny,342,17,489,198,9,102,41,2,x,x,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,2,x,x,0,0,0,8,364,147,0,0,0,0,0,0
24,12,18,15,Saint-Fabien-de-Panet,28,4,335,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,335,136,0,0,0,0,0,0
24,12,18,20,Sainte-Lucie-de-Beauregard,21,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0
24,12,18,25,Sainte-Apolline-de-Patton,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,18,30,Saint-Paul-de-Montminy,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,18,45,Cap-Saint-Ignace,73,10,120,49,8,x,x,1,x,x,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
24,12,18,50,Montmagny,61,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
24,12,18,55,Saint-Pierre-de-la-Riviäre-du-Sud,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,18,60,Saint-Franáois-de-la-Riviäre-du-Sud,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,0,Bellechasse,981,32,398,161,4,39,16,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,15,247,100,13,58,24,0,0,0,14,32,13,1,x,x,2,x,x
24,12,19,5,Saint-PhilÇmon,23,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,10,Notre-Dame-Auxiliatrice-de-Buckland,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,15,Saint-Nazaire-de-Dorchester,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,20,Saint-LÇon-de-Standon,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,25,Saint-Malachie,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,37,Armagh,53,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
24,12,19,45,Saint-NÇrÇe,26,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
24,12,19,50,Saint-Lazare-de-Bellechasse,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,55,Sainte-Claire,61,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
24,12,19,62,Saint-Anselme,78,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,68,Saint-Henri,93,7,70,28,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,1,x,x,0,0,0,5,9,4,0,0,0,0,0,0
24,12,19,70,Honfleur,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,75,Saint-Gervais,103,3,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,2,x,x,0,0,0,0,0,0
24,12,19,82,Saint-Raphaâl,42,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
24,12,19,90,La Durantaye,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,97,Saint-Charles-de-Bellechasse,65,5,133,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111,45,3,x,x,0,0,0,1,x,x,1,x,x,1,x,x
24,12,19,105,Beaumont,27,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
24,12,19,110,Saint-Michel-de-Bellechasse,44,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,117,Saint-Vallier,50,6,38,15,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,3,7,3,0,0,0,2,x,x,0,0,0,0,0,0
24,3,20,0,L'?le-d'OrlÇans,179,88,"1,152",466,42,317,128,3,4,2,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7,38,15,44,585,237,35,151,61,0,0,0,14,12,5,0,0,0,4,42,17
24,3,20,5,Saint-Franáois-de-l'?le-d'OrlÇans,24,10,48,19,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,41,17,2,x,x,0,0,0,3,3,1,0,0,0,0,0,0
24,3,20,10,Sainte-Famille,57,39,302,122,31,221,89,3,4,2,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,11,34,14,14,27,11,0,0,0,4,3,1,0,0,0,1,x,x
24,3,20,15,Saint-Jean-de-l'?le-d'OrlÇans,29,5,154,62,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,120,49,2,x,x,0,0,0,1,x,x,0,0,0,1,x,x
24,3,20,20,Saint-Laurent-de-l'?le-d'OrlÇans,37,19,445,180,3,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,16,348,141,9,65,26,0,0,0,3,3,1,0,0,0,0,0,0
24,3,20,25,Saint-Pierre-de-l'?le-d'OrlÇans,32,15,203,82,6,54,22,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,4,x,x,5,43,17,8,49,20,0,0,0,3,x,x,0,0,0,2,x,x
24,3,21,0,La Cìte-de-BeauprÇ,84,18,141,57,7,x,x,3,x,x,5,x,x,0,0,0,2,x,x,0,0,0,0,0,0,1,x,x,12,23,9,13,19,8,0,0,0,4,8,3,0,0,0,5,10,4
24,3,21,5,Saint-Tite-des-Caps,35,3,48,19,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
24,3,21,35,ChÉteau-Richer,29,9,74,30,4,30,12,1,x,x,3,2,1,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,7,17,7,7,13,5,0,0,0,2,x,x,0,0,0,4,x,x
24,3,21,40,L'Ange-Gardien,20,6,19,8,2,x,x,2,x,x,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,4,x,x,5,x,x,0,0,0,1,x,x,0,0,0,1,x,x
24,3,22,0,La Jacques-Cartier,54,6,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,4,x,x,0,0,0,3,x,x,0,0,0,2,x,x
24,3,22,5,Sainte-Catherine-de-la-Jacques-Cartier,26,4,33,13,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,3,x,x,0,0,0,2,x,x,0,0,0,1,x,x
24,3,22,25,Saint-Gabriel-de-Valcartier,28,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x
24,3,23,0,QuÇbec,177,26,192,78,4,11,4,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,3,24,10,9,59,24,13,35,14,2,x,x,5,11,5,0,0,0,2,x,x
24,3,23,27,QuÇbec,177,26,192,78,4,11,4,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,3,24,10,9,59,24,13,35,14,2,x,x,5,11,5,0,0,0,2,x,x
24,12,25,0,LÇvis,187,25,628,254,7,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,12,153,62,13,x,x,0,0,0,10,x,x,0,0,0,0,0,0
24,12,25,213,LÇvis,187,25,628,254,7,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,12,153,62,13,x,x,0,0,0,10,x,x,0,0,0,0,0,0
24,12,26,0,La Nouvelle-Beauce,750,11,45,18,3,9,4,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,3,x,x,0,0,0,4,19,8,0,0,0,1,x,x
24,12,26,5,Frampton,61,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,12,26,10,Saints-Anges,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,26,22,Saint-ElzÇar,81,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
24,12,26,30,Sainte-Marie,102,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
24,12,26,35,Sainte-Marguerite,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,26,40,Sainte-HÇnÇdine,60,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,26,48,Scott,22,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
24,12,26,55,Saint-Bernard,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,26,63,Saint-Isidore,106,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
24,12,26,70,Saint-Lambert-de-Lauzon,47,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
24,12,27,0,Robert-Cliche,470,5,43,17,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,11,3,6,2,0,0,0,2,x,x,0,0,0,0,0,0
24,12,27,8,Saint-Victor,112,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,15,Saint-Alfred,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,28,Beauceville,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,35,Saint-Odilon-de-Cranbourne,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,43,Saint-Joseph-de-Beauce,68,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,50,Saint-Joseph-des-êrables,42,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0
24,12,27,55,Saint-Jules,44,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,65,Saint-FrÇdÇric,62,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0
24,12,27,70,Saint-SÇverin,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,0,Les Etchemins,298,3,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x
24,12,28,5,Saint-Zacharie,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,15,Sainte-AurÇlie,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,20,Saint-Prosper,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,25,Saint-Benjamin,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,30,Sainte-Rose-de-Watford,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,35,Saint-Louis-de-Gonzague,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,40,Saint-Cyprien,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,45,Sainte-Justine,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,53,Lac-Etchemin,27,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
24,12,28,70,Saint-Camille-de-Lellis,17,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,75,Saint-Magloire,23,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,29,0,Beauce-Sartigan,685,13,101,41,4,18,7,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,4,50,20,6,19,8,0,0,0,4,x,x,1,x,x,1,x,x
24,12,29,5,Saint-ThÇophile,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,29,13,Saint-GÇdÇon-de-Beauce,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,29,20,Saint-Hilaire-de-Dorset,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
