HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NTOTWHT,TOTWHT,ETOTWHT,NWHTSPG,WHTSPG,EWHTSPG,NWHTDUR,WHTDUR,EWHTDUR,NWHTWIN,WHTWIN,EWHTWIN,NOATS,OATS,EOATS,NBARLEY,BARLEY,EBARLEY,NMXDGRN,MXDGRN,EMXDGRN,NTOTCORN,TOTCORN,ETOTCRN,NCORNGR,CORNGR,ECORNGR,NCORNSI,CORNSI,ECORNSI,NTOTRYE,TOTRYE,ETOTRYE,NRYEFAL,RYEFAL,ERYEFAL,NRYESPG,RYESPG,ERYESPG,NCANOLA,CANOLA,ECANOLA,NSOYBNS,SOYBNS,ESOYBNS,NFLAXSD,FLAXSD,EFLAXSD,NDFPEAS,DFPEAS,EDFPEAS,NCHICPEA,CHICPEA,ECHICPEA,NLENTIL,LENTIL,ELENTIL,NWHITBN,WHITBN,EWHITBN,NODFBNS,ODFBNS,EODFBNS,NALFALFA,ALFALFA,EALFALFA,NOTTAME,OTTAME,EOTTAME,NFORAGE,FORAGE,EFORAGE,NPOTATS,POTATS,EPOTATS,NMUSTSD,MUSTSD,EMUSTSD,NSUNFLS,SUNFLS,ESUNFLS,NCANARY,CANARY,ECANARY,NTOBACO,TOBACO,ETOBACO,NGINSENG,GINSENG,EGINSENG,NBUCWHT,BUCWHT,EBUCWHT,NSUGARB,SUGARB,ESUGARB,NCARAWAY,CARAWAY,ECARAWAY,NTRITCL,TRITCL,ETRITCL,NOFIELD,OFIELD,EOFIELD
24,12,19,68,Saint-Henri,93,8,541,219,8,541,219,0,0,0,0,0,0,18,534,216,23,"1,339",542,4,145,59,39,"4,528","1,832",23,"3,286","1,330",27,"1,242",503,0,0,0,0,0,0,0,0,0,1,x,x,14,"1,067",432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,"3,931","1,591",36,"3,329","1,347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,70,Honfleur,68,4,280,113,3,x,x,0,0,0,1,x,x,1,x,x,32,"1,410",571,4,190,77,23,"1,649",667,10,"1,304",528,16,345,140,0,0,0,0,0,0,0,0,0,1,x,x,10,851,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,"2,466",998,29,"2,386",966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,75,Saint-Gervais,103,4,168,68,3,x,x,0,0,0,1,x,x,15,429,174,46,"2,015",815,4,222,90,29,"1,478",598,11,973,394,20,505,204,0,0,0,0,0,0,0,0,0,2,x,x,12,697,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,"3,756","1,520",49,"3,498","1,416",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,82,Saint-Raphaâl,42,0,0,0,0,0,0,0,0,0,0,0,0,9,126,51,5,129,52,1,x,x,4,81,33,1,x,x,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,875,354,17,"1,678",679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,90,La Durantaye,36,3,114,46,3,114,46,0,0,0,0,0,0,13,684,277,11,832,337,1,x,x,8,730,295,3,564,228,6,166,67,0,0,0,0,0,0,0,0,0,0,0,0,3,319,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"1,474",597,15,"1,052",426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,97,Saint-Charles-de-Bellechasse,65,1,x,x,0,0,0,0,0,0,1,x,x,28,"1,302",527,20,981,397,2,x,x,21,"1,154",467,11,837,339,13,317,128,0,0,0,0,0,0,0,0,0,4,169,68,7,558,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,"2,966","1,200",38,"3,076","1,245",0,0,0,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x
24,12,19,105,Beaumont,27,0,0,0,0,0,0,0,0,0,0,0,0,9,538,218,10,703,284,1,x,x,5,132,53,3,x,x,3,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"1,521",616,11,648,262,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,110,Saint-Michel-de-Bellechasse,44,0,0,0,0,0,0,0,0,0,0,0,0,13,484,196,25,"1,282",519,2,x,x,15,658,266,7,372,151,11,286,116,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"2,777","1,124",17,"1,275",516,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,19,117,Saint-Vallier,50,1,x,x,1,x,x,0,0,0,0,0,0,8,154,62,23,"1,152",466,2,x,x,20,854,346,10,429,174,14,425,172,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,"2,938","1,189",20,"1,446",585,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,20,0,L'?le-d'OrlÇans,179,5,x,x,2,x,x,0,0,0,3,x,x,68,"4,196","1,698",28,"1,638",663,3,49,20,17,793,321,9,496,201,11,297,120,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,42,"3,140","1,271",46,"4,104","1,661",1,x,x,44,"3,445","1,394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,3,20,5,Saint-Franáois-de-l'?le-d'OrlÇans,24,0,0,0,0,0,0,0,0,0,0,0,0,14,698,282,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,305,123,3,x,x,0,0,0,9,888,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,20,10,Sainte-Famille,57,4,x,x,2,x,x,0,0,0,2,x,x,14,"1,424",576,9,458,185,0,0,0,5,293,119,3,x,x,2,x,x,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,8,404,163,13,772,312,0,0,0,12,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,3,20,15,Saint-Jean-de-l'?le-d'OrlÇans,29,0,0,0,0,0,0,0,0,0,0,0,0,14,"1,135",459,7,262,106,0,0,0,8,362,146,4,220,89,6,142,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,14,"1,578",639,8,x,x,1,x,x,7,"1,070",433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,20,20,Saint-Laurent-de-l'?le-d'OrlÇans,37,0,0,0,0,0,0,0,0,0,0,0,0,17,632,256,6,745,301,1,x,x,3,x,x,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,458,185,11,543,220,0,0,0,14,"1,128",456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,20,25,Saint-Pierre-de-l'?le-d'OrlÇans,32,1,x,x,0,0,0,0,0,0,1,x,x,9,307,124,5,x,x,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,395,160,11,"2,122",859,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,21,0,La Cìte-de-BeauprÇ,84,5,336,136,5,336,136,0,0,0,0,0,0,30,"1,266",512,5,373,151,4,118,48,4,x,x,3,x,x,2,x,x,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,15,751,304,44,"2,796","1,132",0,0,0,10,74,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,21,5,Saint-Tite-des-Caps,35,3,x,x,3,x,x,0,0,0,0,0,0,14,626,253,3,x,x,1,x,x,2,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,170,69,19,"1,682",681,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,21,35,ChÉteau-Richer,29,1,x,x,1,x,x,0,0,0,0,0,0,9,299,121,2,x,x,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,6,229,93,15,768,311,0,0,0,5,53,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,21,40,L'Ange-Gardien,20,1,x,x,1,x,x,0,0,0,0,0,0,7,341,138,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,352,142,10,346,140,0,0,0,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,22,0,La Jacques-Cartier,54,2,x,x,1,x,x,0,0,0,1,x,x,4,"1,358",550,5,637,258,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,12,995,403,0,0,0,6,"2,933","1,187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,22,5,Sainte-Catherine-de-la-Jacques-Cartier,26,2,x,x,1,x,x,0,0,0,1,x,x,3,x,x,5,637,258,1,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,9,789,319,0,0,0,5,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,22,25,Saint-Gabriel-de-Valcartier,28,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,3,206,83,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,23,0,QuÇbec,177,4,186,75,4,186,75,0,0,0,0,0,0,32,820,332,11,461,187,4,188,76,13,455,184,6,219,89,10,236,96,2,x,x,1,x,x,1,x,x,0,0,0,6,225,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,30,"2,393",968,71,"6,232","2,522",1,x,x,5,16,6,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,3,23,27,QuÇbec,177,4,186,75,4,186,75,0,0,0,0,0,0,32,820,332,11,461,187,4,188,76,13,455,184,6,219,89,10,236,96,2,x,x,1,x,x,1,x,x,0,0,0,6,225,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,30,"2,393",968,71,"6,232","2,522",1,x,x,5,16,6,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,12,25,0,LÇvis,187,7,308,125,6,x,x,0,0,0,1,x,x,45,"2,472","1,000",19,681,276,9,344,139,20,"1,297",525,11,849,344,13,448,181,1,x,x,1,x,x,0,0,0,1,x,x,10,645,261,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,"2,786","1,127",73,"6,784","2,745",1,x,x,8,197,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
24,12,25,213,LÇvis,187,7,308,125,6,x,x,0,0,0,1,x,x,45,"2,472","1,000",19,681,276,9,344,139,20,"1,297",525,11,849,344,13,448,181,1,x,x,1,x,x,0,0,0,1,x,x,10,645,261,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,"2,786","1,127",73,"6,784","2,745",1,x,x,8,197,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
24,12,26,0,La Nouvelle-Beauce,750,26,"1,719",696,21,"1,353",548,1,x,x,7,x,x,123,"3,405","1,378",124,"3,850","1,558",22,889,360,199,"18,866","7,635",106,"14,124","5,716",131,"4,742","1,919",0,0,0,0,0,0,0,0,0,13,559,226,59,"4,303","1,741",2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,"12,672","5,128",389,"35,821","14,496",3,136,55,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
24,12,26,5,Frampton,61,0,0,0,0,0,0,0,0,0,0,0,0,5,167,68,13,266,108,0,0,0,5,100,40,0,0,0,5,100,40,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,712,288,26,"2,324",940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,26,10,Saints-Anges,70,3,33,13,3,33,13,0,0,0,0,0,0,15,630,255,11,400,162,0,0,0,10,288,117,3,74,30,9,214,87,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"1,278",517,36,"3,420","1,384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
24,12,26,22,Saint-ElzÇar,81,2,x,x,2,x,x,0,0,0,0,0,0,9,181,73,10,435,176,6,383,155,25,"4,123","1,669",15,"3,506","1,419",12,617,250,0,0,0,0,0,0,0,0,0,5,216,87,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"1,022",414,40,"4,222","1,709",1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,26,30,Sainte-Marie,102,3,68,28,3,x,x,0,0,0,2,x,x,21,361,146,18,545,221,1,x,x,22,"1,385",560,13,801,324,15,584,236,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"1,874",758,59,"5,592","2,263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,26,35,Sainte-Marguerite,75,6,351,142,5,x,x,0,0,0,1,x,x,14,487,197,10,231,93,2,x,x,15,974,394,7,343,139,11,631,255,0,0,0,0,0,0,0,0,0,2,x,x,4,192,78,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"1,602",648,37,"3,442","1,393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,26,40,Sainte-HÇnÇdine,60,1,x,x,1,x,x,1,x,x,0,0,0,9,122,49,9,297,120,11,339,137,16,515,208,5,175,71,13,340,138,0,0,0,0,0,0,0,0,0,0,0,0,7,257,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"1,334",540,31,"2,559","1,036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
24,12,26,48,Scott,22,1,x,x,0,0,0,0,0,0,1,x,x,5,69,28,3,93,38,0,0,0,4,85,34,0,0,0,4,85,34,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,225,91,14,"1,195",484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,26,55,Saint-Bernard,126,1,x,x,1,x,x,0,0,0,0,0,0,16,492,199,14,290,117,0,0,0,53,"5,616","2,273",31,"4,429","1,792",34,"1,187",480,0,0,0,0,0,0,0,0,0,2,x,x,8,623,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,"1,324",536,78,"6,941","2,809",0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,26,63,Saint-Isidore,106,6,352,142,4,x,x,0,0,0,2,x,x,21,640,259,31,"1,188",481,0,0,0,42,"5,450","2,206",26,"4,512","1,826",24,938,380,0,0,0,0,0,0,0,0,0,0,0,0,27,"2,120",858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,"3,175","1,285",50,"4,739","1,918",2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,26,70,Saint-Lambert-de-Lauzon,47,3,94,38,2,x,x,0,0,0,1,x,x,8,256,104,5,105,42,2,x,x,7,330,134,6,284,115,4,46,19,0,0,0,0,0,0,0,0,0,1,x,x,6,274,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,126,51,18,"1,387",561,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,0,Robert-Cliche,470,8,181,73,6,x,x,0,0,0,2,x,x,81,"2,026",820,42,"1,088",440,18,729,295,40,"1,538",622,4,137,55,37,"1,401",567,0,0,0,0,0,0,0,0,0,0,0,0,6,295,119,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,97,"5,689","2,302",280,"29,241","11,833",1,x,x,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,8,Saint-Victor,112,2,x,x,1,x,x,0,0,0,1,x,x,15,382,155,5,115,47,1,x,x,8,248,100,1,x,x,7,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"1,003",406,55,"6,081","2,461",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,15,Saint-Alfred,16,1,x,x,1,x,x,0,0,0,0,0,0,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,6,603,244,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,28,Beauceville,57,0,0,0,0,0,0,0,0,0,0,0,0,6,213,86,9,272,110,4,130,53,3,50,20,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,592,240,25,"2,668","1,080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,35,Saint-Odilon-de-Cranbourne,47,2,x,x,2,x,x,0,0,0,0,0,0,13,557,225,7,202,82,2,x,x,4,605,245,0,0,0,4,605,245,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,13,"1,439",582,34,"5,937","2,403",0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,43,Saint-Joseph-de-Beauce,68,1,x,x,1,x,x,0,0,0,0,0,0,14,277,112,9,153,62,2,x,x,10,298,121,1,x,x,10,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,797,323,46,"3,599","1,456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,50,Saint-Joseph-des-êrables,42,1,x,x,1,x,x,0,0,0,0,0,0,7,117,47,5,68,28,4,38,15,7,161,65,0,0,0,7,161,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,491,199,33,"3,005","1,216",1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,55,Saint-Jules,44,0,0,0,0,0,0,0,0,0,0,0,0,9,187,76,3,154,62,0,0,0,4,103,42,0,0,0,4,103,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,8,382,155,31,"2,898","1,173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,65,Saint-FrÇdÇric,62,1,x,x,0,0,0,0,0,0,1,x,x,12,162,66,4,124,50,4,103,42,4,73,30,0,0,0,4,73,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,535,217,41,"3,674","1,487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,27,70,Saint-SÇverin,22,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,x,x,9,776,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,0,Les Etchemins,298,5,275,111,3,x,x,0,0,0,2,x,x,45,"1,487",602,22,"1,215",492,2,x,x,14,459,186,3,82,33,13,377,153,0,0,0,0,0,0,0,0,0,3,152,62,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"1,823",738,85,"8,994","3,640",0,0,0,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,5,Saint-Zacharie,70,0,0,0,0,0,0,0,0,0,0,0,0,7,114,46,1,x,x,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,14,"1,513",612,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,15,Sainte-AurÇlie,21,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,20,Saint-Prosper,37,1,x,x,1,x,x,0,0,0,0,0,0,8,199,81,2,x,x,1,x,x,4,248,100,2,x,x,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,357,144,12,"1,687",683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,25,Saint-Benjamin,16,1,x,x,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,x,x,4,291,118,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,30,Sainte-Rose-de-Watford,19,1,x,x,1,x,x,0,0,0,0,0,0,4,79,32,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,24,6,621,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,35,Saint-Louis-de-Gonzague,26,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,12,28,40,Saint-Cyprien,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
