PROV ,CAR,CD,CCS,GEO NAMES,ntfarea,tfarea,etfarea,ncrplnd,crplnd,ecrplnd,nsummrf,summrf,esummrf,nimpast,impast,eimpast,nunimpst,unimpst,eunimpst,nothlnd,othlnd,eothlnd,nimpsz1,nimpsz2,nimpsz3,nimpsz4,nimpsz5,nimpsz6,nimpsz7,nimpsz8,nimpsz9,nimpsz10,nimpsz11,nimpsz12,nimpsz13,ntunglas,tunglas,etunglas,ntotgrn,totgrn,etotgrn,nflower,flower,eflower,ngrnveg,grnveg,egrnveg,ngrnothr,grnothr,egrnothr,nmushrm,mushrm,emushrm,nirrig,irrig,eirrig,nfertil,fertil,efertil,nherbci,herbci,eherbci,ninsecti,insecti,einsecti,nfungic,fungic,efungic,nmsolid,msolid,emsolid,nmirrig,mirrig,emirrig,nmliqsur,mliqsur,emliqsur,nmliqinj,mliqinj,emliqinj,ncroprot,nprmgras,ncovcrop,ncontour,nstripcr,ngraswat,nwindyes,ngrmanny,nmchcpny,ntilars,tilars,etilars,ntilconv,tilconv,etilconv,ntilcons,tilcons,etilcons,ntillno,tillno,etillno,nchemsf,chemsf,echemsf,ntillsf,tillsf,etillsf,ncombsf,combsf,ecombsf
13,2,2,0,Charlotte County,127,"26,908","10,889",104,"8,243","3,336",0,0,0,26,939,380,33,"2,792","1,130",93,"14,934","6,044",104,5,10,50,25,2,6,2,1,2,1,0,0,8,"71,320","6,626",8,"71,320","6,626",6,x,x,1,x,x,2,x,x,0,0,0,5,24,10,76,"4,220","1,708",45,"1,936",783,32,"1,020",413,11,562,227,29,"1,226",496,0,0,0,3,155,63,0,0,0,34,28,2,2,0,5,3,6,11,24,434,176,20,338,137,5,96,39,0,0,0,0,0,0,0,0,0,0,0,0
13,2,2,11,Pennfield,19,"3,826","1,548",19,"1,891",765,0,0,0,0,0,0,0,0,0,9,"1,935",783,19,0,1,13,2,0,1,0,1,0,1,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,7,530,214,11,836,338,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,2,16,Saint George,21,"3,806","1,540",19,"1,555",629,0,0,0,4,x,x,3,x,x,13,"2,074",839,19,2,2,10,2,0,1,1,0,1,0,0,0,3,"24,920","2,315",3,"24,920","2,315",3,"24,920","2,315",0,0,0,0,0,0,0,0,0,4,x,x,14,687,278,7,300,121,4,94,38,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,4,3,1,0,0,1,1,1,3,5,32,13,5,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
13,2,2,34,Saint Stephen,17,"2,967","1,201",13,525,212,0,0,0,2,x,x,6,x,x,15,"2,333",944,13,2,2,5,4,0,0,0,0,0,0,0,0,2,x,x,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,9,305,123,3,152,62,2,x,x,2,x,x,4,x,x,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,3,1,4,47,19,4,47,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,2,39,Saint James,21,"5,671","2,295",13,"1,048",424,0,0,0,8,241,98,7,881,357,18,"3,501","1,417",13,0,0,6,6,0,0,1,0,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,13,967,391,6,187,76,9,293,119,0,0,0,7,311,126,0,0,0,1,x,x,0,0,0,7,6,0,1,0,1,0,0,1,4,64,26,3,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
13,2,2,42,Saint David,29,"6,160","2,493",26,"2,220",898,0,0,0,9,311,126,11,558,226,22,"3,071","1,243",26,0,5,10,7,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,980,397,11,245,99,11,210,85,3,39,16,10,640,259,0,0,0,1,x,x,0,0,0,6,11,0,0,0,1,0,0,3,5,223,90,4,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
13,2,2,44,Dumbarton,20,"4,478","1,812",14,"1,004",406,0,0,0,3,228,92,6,"1,226",496,16,"2,020",817,14,1,0,6,4,1,2,0,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,1,x,x,0,0,0,0,0,0,14,751,304,7,216,87,4,21,8,3,115,47,7,227,92,0,0,0,1,x,x,0,0,0,6,7,1,1,0,2,1,2,3,6,68,28,4,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0
13,2,3,0,Sunbury County,102,"25,570","10,348",76,"4,861","1,967",5,72,29,27,771,312,38,"1,468",594,93,"18,398","7,445",76,9,7,33,14,7,4,1,0,1,0,0,0,10,"298,254","27,709",10,"298,254","27,709",5,"245,284","22,788",7,x,x,2,x,x,0,0,0,16,339,137,53,"3,035","1,228",26,897,363,21,794,321,14,263,106,44,"1,439",582,0,0,0,3,420,170,0,0,0,31,39,3,2,2,5,9,8,27,43,"1,331",539,36,"1,243",503,3,x,x,5,x,x,0,0,0,4,x,x,1,x,x
13,2,3,1,Blissville,19,"4,780","1,934",14,953,386,0,0,0,5,77,31,7,174,70,18,"3,576","1,447",14,1,1,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,458,185,2,x,x,0,0,0,0,0,0,7,168,68,0,0,0,1,x,x,0,0,0,4,6,0,0,0,0,0,0,2,10,195,79,8,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
13,2,3,4,Gladstone,16,"3,102","1,255",13,631,255,0,0,0,5,175,71,7,157,64,15,"2,139",866,13,2,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,6,8,524,212,3,x,x,1,x,x,1,x,x,6,394,159,0,0,0,1,x,x,0,0,0,4,9,0,0,0,1,1,2,4,4,51,21,3,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
13,2,3,8,Lincoln,22,"3,929","1,590",17,748,303,1,x,x,5,97,39,11,444,180,17,x,x,17,3,2,7,3,2,0,0,0,0,0,0,0,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,2,x,x,9,177,72,4,113,46,3,x,x,1,x,x,13,167,68,0,0,0,0,0,0,0,0,0,8,10,2,1,0,0,4,1,6,11,316,128,10,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0
13,2,3,11,Burton,17,"1,881",761,11,404,163,1,x,x,4,290,117,4,131,53,16,x,x,11,2,0,7,1,1,0,0,0,0,0,0,0,2,x,x,2,x,x,1,x,x,2,x,x,1,x,x,0,0,0,2,x,x,7,231,93,4,47,19,5,31,13,4,x,x,6,210,85,0,0,0,0,0,0,0,0,0,4,5,0,0,1,0,1,1,5,4,29,12,4,29,12,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
13,2,3,16,Maugerville,28,"11,878","4,807",21,"2,125",860,3,x,x,8,132,53,9,562,227,27,x,x,21,1,1,7,7,1,2,1,0,1,0,0,0,6,x,x,6,x,x,2,x,x,5,"41,450","3,851",1,x,x,0,0,0,9,295,119,20,"1,645",666,13,650,263,12,734,297,8,202,82,12,500,202,0,0,0,1,x,x,0,0,0,11,9,1,1,1,4,3,4,10,14,740,299,11,675,273,1,x,x,3,x,x,0,0,0,3,x,x,0,0,0
13,2,4,0,Queens County,118,"43,114","17,448",101,"9,794","3,963",5,32,13,36,"1,731",701,59,"4,400","1,781",111,"27,157","10,990",101,4,10,51,18,3,8,2,1,2,2,0,0,10,"76,034","7,064",10,"76,034","7,064",5,x,x,4,x,x,2,x,x,0,0,0,10,81,33,57,"3,357","1,359",15,280,113,20,438,177,11,296,120,66,"2,893","1,171",0,0,0,4,"1,123",454,0,0,0,38,64,9,3,1,8,6,10,25,55,"1,197",484,49,"1,115",451,6,x,x,1,x,x,1,x,x,3,x,x,1,x,x
13,2,4,4,Gagetown,34,"10,249","4,148",32,"2,592","1,049",2,x,x,6,220,89,21,"1,430",579,31,x,x,32,1,4,16,6,1,1,2,1,0,0,0,0,2,x,x,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,2,x,x,18,852,345,4,35,14,6,176,71,5,206,83,20,"1,133",459,0,0,0,0,0,0,0,0,0,7,23,2,1,0,2,2,2,9,12,125,51,11,x,x,0,0,0,1,x,x,0,0,0,1,x,x,1,x,x
13,2,4,8,Wickham,24,"14,799","5,989",20,"3,945","1,596",0,0,0,11,493,200,12,965,391,23,"9,396","3,802",20,0,2,6,3,1,5,0,0,2,1,0,0,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,7,"1,523",616,3,110,45,1,x,x,0,0,0,16,951,385,0,0,0,3,x,x,0,0,0,9,12,2,0,0,3,1,0,3,10,405,164,8,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0
13,2,4,11,Cambridge,32,"9,568","3,872",29,"1,961",794,2,x,x,12,878,355,18,"1,607",650,29,x,x,29,3,2,17,6,0,0,0,0,0,1,0,0,3,x,x,3,x,x,1,x,x,1,x,x,1,x,x,0,0,0,4,x,x,15,341,138,4,54,22,5,x,x,3,36,15,17,378,153,0,0,0,1,x,x,0,0,0,12,19,2,2,0,3,1,5,7,18,334,135,15,312,126,3,22,9,0,0,0,1,x,x,1,x,x,0,0,0
13,2,4,18,Waterborough,28,"8,498","3,439",20,"1,296",524,1,x,x,7,140,57,8,398,161,28,x,x,20,0,2,12,3,1,2,0,0,0,0,0,0,3,"38,400","3,567",3,"38,400","3,567",1,x,x,3,x,x,0,0,0,0,0,0,4,38,15,17,641,259,4,81,33,8,100,40,3,54,22,13,431,174,0,0,0,0,0,0,0,0,0,10,10,3,0,1,0,2,3,6,15,333,135,15,x,x,1,x,x,0,0,0,0,0,0,1,x,x,0,0,0
13,2,5,0,Kings County,473,"144,254","58,378",414,"48,577","19,658",6,93,38,199,"10,193","4,125",233,"11,933","4,829",425,"73,458","29,727",414,16,23,141,110,49,23,33,10,8,0,1,0,22,"236,460","21,968",22,"233,971","21,737",17,"221,381","20,567",13,"10,110",939,5,"2,480",230,1,x,x,20,462,187,288,"28,011","11,336",87,"4,793","1,940",42,"1,081",437,19,527,213,312,"17,561","7,107",0,0,0,45,"7,704","3,118",0,0,0,209,209,16,11,11,40,25,40,63,247,"10,219","4,135",225,"8,355","3,381",32,"1,610",652,16,254,103,1,x,x,5,x,x,0,0,0
13,2,5,4,Upham,30,"11,035","4,466",26,"2,264",916,0,0,0,19,861,348,22,"1,521",616,29,"6,389","2,586",26,1,0,13,6,3,2,1,0,0,0,0,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,1,x,x,22,"1,547",626,6,x,x,4,67,27,2,x,x,24,"1,232",499,0,0,0,1,x,x,0,0,0,11,15,0,0,1,3,4,2,5,15,366,148,13,283,115,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0
13,2,5,6,Hampton,21,"4,147","1,678",16,891,361,1,x,x,8,289,117,11,313,127,17,x,x,16,3,1,7,3,1,1,0,0,0,0,0,0,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,1,x,x,11,428,173,0,0,0,0,0,0,0,0,0,13,444,180,0,0,0,0,0,0,0,0,0,4,9,1,0,0,0,1,0,1,7,46,19,7,46,19,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0
13,2,5,14,Kingston,20,"3,833","1,551",18,"1,305",528,0,0,0,8,230,93,5,306,124,16,"1,992",806,18,0,5,6,3,2,1,1,0,0,0,0,0,3,"7,100",660,3,x,x,3,x,x,2,x,x,1,x,x,0,0,0,1,x,x,10,376,152,0,0,0,3,13,5,3,13,5,12,"1,095",443,0,0,0,0,0,0,0,0,0,9,6,1,0,0,1,2,2,6,11,118,48,10,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0
13,2,5,18,Norton,34,"9,583","3,878",34,"3,773","1,527",1,x,x,19,679,275,20,903,365,29,x,x,34,1,0,14,9,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"2,381",964,6,391,158,4,52,21,0,0,0,25,"1,215",492,0,0,0,7,625,253,0,0,0,13,20,1,1,1,2,1,1,4,19,771,312,18,750,304,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0
13,2,5,21,Sussex,59,"18,331","7,418",49,"7,829","3,168",0,0,0,19,956,387,36,"1,990",805,52,"7,556","3,058",49,0,2,22,7,7,0,3,5,3,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,3,17,7,36,"4,959","2,007",14,"1,435",581,5,258,104,2,x,x,36,"2,683","1,086",0,0,0,5,"1,195",484,0,0,0,26,24,3,2,2,6,2,7,6,28,"1,970",797,26,"1,608",651,5,x,x,2,x,x,0,0,0,0,0,0,0,0,0
13,2,5,24,Waterford,19,"6,968","2,820",19,"1,870",757,0,0,0,7,306,124,14,445,180,19,"4,347","1,759",19,2,0,3,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,923,374,2,x,x,2,x,x,0,0,0,17,634,257,0,0,0,2,x,x,0,0,0,15,5,0,1,0,0,0,4,1,13,520,210,12,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0
13,2,5,26,Cardwell,29,"11,458","4,637",23,"2,462",996,1,x,x,16,"1,683",681,10,653,264,24,x,x,23,0,2,6,7,4,2,2,0,0,0,0,0,2,x,x,2,x,x,2,x,x,1,x,x,1,x,x,1,x,x,3,57,23,16,"1,137",460,7,325,132,3,90,36,1,x,x,18,"1,040",421,0,0,0,3,355,144,0,0,0,13,11,1,2,1,1,2,1,2,17,634,257,16,483,195,4,x,x,1,x,x,1,x,x,0,0,0,0,0,0
13,2,5,28,Havelock,50,"14,642","5,925",45,"7,947","3,216",0,0,0,18,958,388,23,"1,401",567,46,"4,336","1,755",45,0,3,8,17,5,3,3,3,2,0,1,0,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,2,x,x,20,"3,132","1,267",9,681,276,3,27,11,2,x,x,36,"1,845",747,0,0,0,12,"2,182",883,0,0,0,21,21,2,2,1,8,5,6,7,22,"1,418",574,21,"1,003",406,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0
13,2,5,31,Studholm,104,"35,852","14,509",97,"13,002","5,262",1,x,x,56,"3,183","1,288",44,"2,530","1,024",96,x,x,97,2,3,25,30,14,7,13,1,2,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,3,37,15,71,"8,924","3,611",21,648,262,6,98,40,0,0,0,79,"5,455","2,208",0,0,0,12,"2,760","1,117",0,0,0,59,56,4,1,5,12,4,6,8,74,"2,855","1,155",65,"2,527","1,023",8,278,113,4,50,20,0,0,0,1,x,x,0,0,0
13,2,5,34,Springfield,41,"11,193","4,530",33,"3,392","1,373",2,x,x,10,410,166,22,864,350,38,x,x,33,1,4,11,7,6,1,2,0,1,0,0,0,2,x,x,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,2,x,x,26,"2,596","1,051",8,480,194,5,222,90,5,185,75,22,891,361,0,0,0,3,287,116,0,0,0,20,18,1,1,0,5,2,3,10,17,"1,094",443,16,705,285,2,x,x,2,x,x,0,0,0,2,x,x,0,0,0
13,2,5,36,Kars,28,"8,943","3,619",23,"2,289",926,0,0,0,8,217,88,13,776,314,26,"5,661","2,291",23,0,1,12,3,2,3,1,1,0,0,0,0,2,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,16,775,314,5,228,92,2,x,x,2,x,x,17,660,267,0,0,0,0,0,0,0,0,0,9,16,0,1,0,1,1,3,6,13,219,89,10,x,x,3,22,9,2,x,x,0,0,0,0,0,0,0,0,0
13,2,5,57,Quispamsis,38,"8,269","3,346",31,"1,553",628,0,0,0,11,421,170,13,231,93,33,"6,064","2,454",31,6,2,14,8,0,0,1,0,0,0,0,0,7,"51,800","4,812",7,"51,800","4,812",5,"50,100","4,654",3,x,x,2,x,x,0,0,0,3,42,17,21,833,337,9,386,156,5,42,17,2,x,x,13,367,149,0,0,0,0,0,0,0,0,0,9,8,2,0,0,1,1,5,7,11,208,84,11,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0
13,3,6,0,Albert County,120,"29,256","11,839",90,"8,048","3,257",3,78,32,37,"2,166",877,46,"2,210",894,104,"16,754","6,780",90,7,5,40,18,7,5,6,2,0,0,0,0,3,x,x,3,x,x,2,x,x,0,0,0,1,x,x,1,x,x,3,40,16,58,"3,772","1,526",17,508,206,5,104,42,3,171,69,61,"2,201",891,2,x,x,4,255,103,0,0,0,35,43,1,3,2,8,3,12,16,41,930,376,31,763,309,5,123,50,6,44,18,0,0,0,3,78,32,0,0,0
13,3,6,1,Hopewell,30,"7,697","3,115",27,"2,246",909,0,0,0,8,995,403,13,"1,043",422,23,"3,413","1,381",27,2,0,13,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,21,"1,544",625,5,x,x,0,0,0,0,0,0,17,556,225,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,0,2,5,8,100,40,5,x,x,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0
13,3,6,8,Elgin,42,"11,535","4,668",26,"2,751","1,113",0,0,0,12,672,272,14,572,231,37,"7,540","3,051",26,1,2,14,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,17,979,396,4,195,79,2,x,x,2,x,x,16,439,178,1,x,x,4,255,103,0,0,0,14,8,0,1,0,1,0,4,4,14,443,179,12,394,159,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0
13,3,6,11,Hillsborough,25,"2,572","1,041",17,736,298,0,0,0,8,136,55,10,379,153,21,"1,321",535,17,3,3,5,5,1,0,0,0,0,0,0,0,3,x,x,3,x,x,2,x,x,0,0,0,1,x,x,0,0,0,0,0,0,9,180,73,1,x,x,1,x,x,0,0,0,14,297,120,0,0,0,0,0,0,0,0,0,6,9,1,1,1,3,2,3,4,10,93,38,9,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0
13,3,6,14,Coverdale,23,"7,452","3,016",20,"2,315",937,3,78,32,9,363,147,9,216,87,23,"4,480","1,813",20,1,0,8,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,11,"1,069",433,7,235,95,2,x,x,1,x,x,14,909,368,1,x,x,0,0,0,0,0,0,6,13,0,1,1,4,1,3,3,9,294,119,5,214,87,3,x,x,1,x,x,0,0,0,3,78,32,0,0,0
13,3,7,0,Westmorland County,418,"116,151","47,005",364,"44,690","18,085",6,x,x,137,"7,598","3,075",192,"14,220","5,755",363,x,x,364,17,22,144,68,30,26,36,11,5,5,0,0,15,"170,617","15,851",15,"160,167","14,880",12,x,x,6,x,x,1,x,x,0,0,0,24,388,157,231,"24,127","9,764",98,"5,467","2,212",34,"1,067",432,23,"1,179",477,254,"12,997","5,260",3,350,142,35,"5,601","2,267",2,x,x,154,172,15,4,12,25,18,42,51,179,"9,318","3,771",157,"7,508","3,038",25,"1,103",446,20,707,286,0,0,0,3,x,x,3,x,x
13,3,7,1,Westmorland,34,"9,904","4,008",28,"3,283","1,329",0,0,0,8,527,213,18,"2,198",889,31,"3,896","1,577",28,1,2,15,4,1,0,4,0,0,1,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,1,x,x,16,"1,231",498,11,327,132,2,x,x,3,48,19,22,"1,200",486,0,0,0,1,x,x,0,0,0,16,13,2,0,1,2,4,4,3,18,741,300,14,587,238,2,x,x,4,x,x,0,0,0,0,0,0,0,0,0
13,3,7,4,Botsford,50,"17,313","7,006",44,"5,418","2,193",0,0,0,18,988,400,13,817,331,47,"10,090","4,083",44,1,2,21,7,4,2,3,3,0,1,0,0,5,"35,400","3,289",5,"25,000","2,323",3,x,x,2,x,x,1,x,x,0,0,0,6,151,61,29,"3,473","1,405",12,"1,238",501,10,559,226,6,587,238,25,"1,222",495,1,x,x,4,756,306,0,0,0,27,20,7,0,0,2,4,13,10,25,"1,974",799,24,"1,559",631,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0
13,3,7,8,Sackville,82,"19,944","8,071",73,"7,859","3,180",0,0,0,23,"1,335",540,47,"2,622","1,061",66,"8,128","3,289",73,2,11,29,11,3,6,8,1,2,0,0,0,2,x,x,2,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,44,"3,512","1,421",24,"1,283",519,3,67,27,3,116,47,50,"2,004",811,0,0,0,1,x,x,0,0,0,30,35,0,1,1,6,0,4,10,30,"1,379",558,29,"1,266",512,1,x,x,4,x,x,0,0,0,0,0,0,0,0,0
13,3,7,13,Memramcook,45,"12,955","5,243",41,"4,397","1,779",2,x,x,8,275,111,23,"3,426","1,386",39,x,x,41,2,3,22,5,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,13,22,"2,378",962,7,569,230,3,117,47,4,176,71,30,"1,121",454,0,0,0,4,x,x,2,x,x,17,9,2,0,1,4,2,3,8,19,662,268,16,568,230,4,x,x,2,x,x,0,0,0,2,x,x,0,0,0
13,3,7,16,Shediac,56,"12,337","4,993",51,"4,596","1,860",1,x,x,20,966,391,20,"1,032",418,47,x,x,51,5,3,20,10,2,6,4,1,0,0,0,0,3,x,x,3,x,x,2,x,x,1,x,x,0,0,0,0,0,0,6,177,72,32,"2,559","1,036",17,586,237,7,203,82,4,178,72,32,"1,493",604,0,0,0,7,627,254,0,0,0,18,18,2,1,3,2,3,10,8,25,884,358,21,617,250,4,72,29,4,195,79,0,0,0,1,x,x,0,0,0
13,3,7,19,Moncton,69,"16,064","6,501",52,"6,444","2,608",2,x,x,17,935,378,26,"1,870",757,61,x,x,52,3,1,19,13,4,3,7,1,0,1,0,0,2,x,x,2,x,x,2,x,x,1,x,x,0,0,0,0,0,0,5,x,x,44,"4,328","1,751",12,478,193,7,34,14,2,x,x,37,"2,120",858,0,0,0,5,"1,149",465,0,0,0,19,29,0,1,3,4,4,3,6,24,"1,035",419,20,734,297,6,x,x,2,x,x,0,0,0,0,0,0,2,x,x
13,3,7,24,Salisbury,82,"27,634","11,183",75,"12,693","5,137",1,x,x,43,"2,572","1,041",45,"2,255",913,72,x,x,75,3,0,18,18,11,9,8,5,3,0,0,0,2,x,x,2,x,x,2,x,x,0,0,0,0,0,0,0,0,0,1,x,x,44,"6,646","2,690",15,986,399,2,x,x,1,x,x,58,"3,837","1,553",2,x,x,13,"2,372",960,0,0,0,27,48,2,1,3,5,1,5,6,38,"2,643","1,070",33,"2,177",881,6,381,154,3,85,34,0,0,0,0,0,0,1,x,x
13,3,8,0,Kent County,177,"47,031","19,033",155,"17,603","7,124",2,x,x,50,"3,162","1,280",77,"4,484","1,815",150,x,x,155,9,10,57,33,15,7,18,4,2,0,0,0,5,x,x,5,x,x,5,"17,659","1,641",2,x,x,0,0,0,1,x,x,15,263,106,112,"8,452","3,420",46,"2,637","1,067",28,"1,310",530,13,779,315,98,"4,451","1,801",1,x,x,8,980,397,0,0,0,88,52,5,3,5,15,15,19,27,103,"4,729","1,914",89,"3,542","1,433",13,880,356,12,307,124,0,0,0,1,x,x,1,x,x
13,3,8,1,Dundas,25,"5,723","2,316",25,"2,228",902,1,x,x,8,721,292,9,406,164,21,x,x,25,1,1,15,4,0,1,2,1,0,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,3,29,12,14,796,322,10,282,114,7,222,90,7,210,85,11,949,384,0,0,0,0,0,0,0,0,0,10,8,0,1,0,1,4,4,3,16,571,231,13,516,209,2,x,x,4,x,x,0,0,0,0,0,0,1,x,x
13,3,8,4,Wellington,24,"5,889","2,383",24,"3,100","1,255",0,0,0,6,323,131,9,265,107,19,"2,201",891,24,1,2,10,4,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,112,45,17,"1,732",701,11,"1,285",520,6,398,161,3,326,132,13,439,178,0,0,0,0,0,0,0,0,0,15,5,1,0,0,1,1,5,5,16,"1,486",601,15,883,357,3,x,x,2,x,x,0,0,0,0,0,0,0,0,0
13,3,8,6,Saint Mary,27,"6,790","2,748",23,"2,874","1,163",0,0,0,3,367,149,17,"1,187",480,25,"2,362",956,23,2,2,2,7,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,16,"1,232",499,5,84,34,2,x,x,2,x,x,18,630,255,0,0,0,3,530,214,0,0,0,13,6,0,1,0,3,2,2,7,13,267,108,9,x,x,1,x,x,3,25,10,0,0,0,0,0,0,0,0,0
13,3,8,14,Weldford,45,"14,477","5,859",41,"4,491","1,817",1,x,x,21,"1,021",413,23,"1,872",758,37,x,x,41,3,3,17,7,3,1,5,1,1,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x,29,"2,809","1,137",6,246,100,2,x,x,0,0,0,36,"1,808",732,0,0,0,5,450,182,0,0,0,24,18,3,1,3,7,3,3,5,32,"1,063",430,27,744,301,7,x,x,1,x,x,0,0,0,1,x,x,0,0,0
13,3,8,16,Richibucto,25,"5,966","2,414",21,"2,018",817,0,0,0,3,88,36,13,516,209,19,"3,344","1,353",21,2,2,7,5,2,2,0,0,1,0,0,0,2,x,x,2,x,x,2,x,x,1,x,x,0,0,0,1,x,x,3,40,16,14,587,238,7,261,106,4,95,38,0,0,0,8,169,68,1,x,x,0,0,0,0,0,0,12,8,0,0,2,3,5,1,4,11,475,192,11,475,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,8,24,Acadieville,31,"8,186","3,313",21,"2,892","1,170",0,0,0,9,642,260,6,238,96,29,"4,414","1,786",21,0,0,6,6,5,0,4,0,0,0,0,0,1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,2,x,x,22,"1,296",524,7,479,194,7,480,194,1,x,x,12,456,185,0,0,0,0,0,0,0,0,0,14,7,1,0,0,0,0,4,3,15,867,351,14,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0
13,4,9,0,Northumberland County,117,"24,309","9,838",104,"9,179","3,715",4,x,x,33,715,289,30,"1,134",459,93,x,x,104,5,9,52,15,6,6,9,2,0,0,0,0,4,x,x,4,x,x,3,x,x,0,0,0,1,x,x,0,0,0,7,19,8,86,"5,819","2,355",49,"2,388",966,25,941,381,7,348,141,52,"1,888",764,0,0,0,3,636,257,1,x,x,52,28,6,3,3,6,12,14,17,61,"2,272",919,51,"1,950",789,11,260,105,4,62,25,0,0,0,2,x,x,2,x,x
13,4,9,16,Rogersville,22,"7,453","3,016",21,"2,701","1,093",1,x,x,11,291,118,5,108,44,20,x,x,21,2,1,8,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"1,594",645,9,805,326,2,x,x,1,x,x,16,559,226,0,0,0,2,x,x,1,x,x,14,7,3,2,0,2,2,5,3,18,"1,024",414,16,976,395,3,48,19,0,0,0,0,0,0,0,0,0,1,x,x
