areaid,PROV,CAR,CD,CCS,CARPUB,areaidold,GEO NAMES,ATOTAL,BSEX01,BSEX02,CAGEDIS01,CAGEDIS02,CAGEDIS03,DAAGE,ERESNY01,ERESNY02,FINJURNY01,FINJURNY02,GWRKONF01,GWRKONF02,GWRKONF03,HWRKOFF01,HWRKOFF02,HWRKOFF03,HWRKOFF04
240334097,24,3,34,97,3,240334097,Saint-Alban - (CCS),45,35,10,5,30,10,47.7,10,35,45,5,15,5,25,30,0,10,5
240334105,24,3,34,105,3,240334105,Sainte-Christine-d'Auvergne - (CCS),55,40,15,5,35,15,47.1,10,45,55,0,10,10,25,35,5,10,5
240334128,24,3,34,128,3,240334128,Saint-Raymond - (CCS),55,50,10,10,40,10,44.8,15,40,55,0,20,10,30,35,5,5,15
240400000,24,4,0,0,4,240400000,Mauricie - (CAR),"1,795","1,355",435,220,"1,150",425,46.7,255,"1,535","1,730",70,360,375,"1,060","1,300",105,230,155
240435000,24,4,35,0,4,240435000,MÇkinac - (CD),270,200,70,40,180,50,45.0,50,220,255,15,60,40,165,190,20,30,30
240435010,24,4,35,10,4,240435010,Lac-aux-Sables - (CCS),30,20,10,5,25,5,46.3,5,25,25,0,15,5,10,15,5,10,5
240435015,24,4,35,15,4,240435015,Saint-Adelphe - (CCS),45,35,15,5,40,0,43.3,5,45,45,0,10,0,35,40,0,0,0
240435020,24,4,35,20,4,240435020,Saint-SÇverin - (CCS),45,35,10,10,25,15,44.8,10,35,40,0,10,5,30,35,5,0,0
240435027,24,4,35,27,4,240435027,Saint-Tite - (CCS),60,50,10,15,35,15,45.5,15,40,55,0,10,10,40,40,5,5,10
240435035,24,4,35,35,4,240435035,HÇrouxville - (CCS),35,25,10,5,25,5,44.6,0,30,35,0,5,10,20,25,0,5,5
240435050,24,4,35,50,4,240435050,Sainte-Thäcle - (CCS),55,35,15,5,40,15,45.8,10,40,50,5,10,15,30,35,5,0,10
240436000,24,4,36,0,4,240436000,Le Centre-de-la-Mauricie - (CD),180,135,50,20,105,55,48.5,30,150,175,10,60,35,85,115,15,35,20
240436005,24,4,36,5,4,240436005,Charette - (CCS),30,20,5,5,15,10,49.2,5,25,25,0,5,5,15,20,5,5,5
240436010,24,4,36,10,4,240436010,Saint-êlie - (CCS),20,15,5,0,10,5,50.7,5,15,20,0,5,5,10,15,0,5,5
240436020,24,4,36,20,4,240436020,Saint-Boniface-de-Shawinigan - (CCS),45,35,10,5,25,15,47.0,10,35,45,0,10,5,25,30,5,5,5
240436040,24,4,36,40,4,240436040,Notre-Dame-du-Mont-Carmel - (CCS),50,30,15,5,35,10,46.9,10,40,45,5,20,5,20,25,5,10,0
240436055,24,4,36,55,4,240436055,Grand-Märe - (CCS),40,30,10,5,20,15,50.6,5,35,40,0,15,15,15,25,0,5,10
240437000,24,4,37,0,4,240437000,Francheville - (CD),660,490,165,80,435,140,46.1,90,565,640,20,115,155,390,475,40,85,50
240437005,24,4,37,5,4,240437005,Sainte-Anne-de-la-PÇrade - (CCS),95,70,25,20,55,25,46.8,15,80,90,5,20,30,45,65,5,10,5
240437010,24,4,37,10,4,240437010,Saint-Prosper - (CCS),50,40,10,5,40,5,45.6,10,35,50,0,10,10,30,35,0,10,0
240437015,24,4,37,15,4,240437015,Saint-Stanislas - (CCS),65,50,15,10,35,20,46.2,5,60,65,0,10,10,40,50,0,5,5
240437020,24,4,37,20,4,240437020,Sainte-Geneviäve-de-Batiscan - (CCS),50,35,15,5,30,10,46.5,5,40,45,0,10,10,30,30,0,10,5
240437025,24,4,37,25,4,240437025,Batiscan - (CCS),35,25,10,5,25,5,46.8,5,30,30,0,0,5,25,25,0,0,5
240437030,24,4,37,30,4,240437030,Champlain - (CCS),55,40,10,5,35,10,45.4,10,40,55,0,10,5,35,40,0,5,0
240437035,24,4,37,35,4,240437035,Saint-Luc-de-Vincennes - (CCS),30,20,10,5,20,5,45.3,5,30,35,0,5,5,25,25,0,5,5
240437040,24,4,37,40,4,240437040,Saint-Narcisse - (CCS),45,35,10,0,35,15,47.0,10,40,45,0,10,15,25,35,0,5,0
240437045,24,4,37,45,4,240437045,Saint-Maurice - (CCS),90,65,25,15,55,20,45.4,5,85,85,5,10,20,60,65,10,5,5
240437050,24,4,37,50,4,240437050,Sainte-Marthe-du-Cap - (CCS),55,40,15,5,35,10,46.4,10,40,50,5,10,15,30,30,5,10,10
240437075,24,4,37,75,4,240437075,Pointe-du-Lac - (CCS),35,25,10,5,25,5,45.3,5,30,35,0,10,10,15,15,0,5,10
240437080,24,4,37,80,4,240437080,Saint-êtienne-des-Gräs - (CCS),60,40,20,5,45,10,46.3,10,45,60,5,10,20,30,40,5,10,5
240451000,24,4,51,0,4,240451000,MaskinongÇ - (CD),660,510,150,75,405,175,47.6,85,575,630,30,115,130,410,510,30,75,45
240451010,24,4,51,10,4,240451010,Saint-Joseph-de-MaskinongÇ - (CCS),55,40,15,5,30,15,47.9,10,45,50,5,10,10,30,40,0,10,5
240451015,24,4,51,15,4,240451015,Louiseville - (CCS),70,55,10,10,45,15,47.4,10,50,60,5,15,10,40,55,5,10,0
240451020,24,4,51,20,4,240451020,Yamachiche - (CCS),130,100,35,20,90,20,45.6,10,125,125,5,25,20,85,100,10,20,5
240451025,24,4,51,25,4,240451025,Saint-BarnabÇ - (CCS),60,45,10,5,40,20,48.8,5,55,55,5,10,15,40,50,0,5,0
240451030,24,4,51,30,4,240451030,Saint-SÇväre - (CCS),40,30,10,5,30,5,44.7,5,35,40,0,5,10,25,35,0,5,0
240451035,24,4,51,35,4,240451035,Saint-LÇon-le-Grand - (CCS),95,70,25,5,60,30,48.3,15,85,95,0,15,20,60,80,5,5,5
240451040,24,4,51,40,4,240451040,Sainte-Ursule - (CCS),60,45,10,10,30,20,48.9,5,50,50,5,5,10,35,45,0,5,5
240451045,24,4,51,45,4,240451045,Saint-Justin - (CCS),55,45,10,5,35,15,47.2,5,50,55,0,15,15,30,40,0,5,5
240451055,24,4,51,55,4,240451055,Sainte-Angäle-de-PrÇmont - (CCS),35,25,10,5,20,10,46.8,5,30,35,0,5,10,20,25,5,5,5
240451060,24,4,51,60,4,240451060,Saint-Paulin - (CCS),60,45,15,5,30,20,51.0,10,55,55,5,10,15,35,50,0,5,5
240490000,24,4,90,0,4,240490000,Le Haut-Saint-Maurice - (CD),30,25,5,5,20,10,45.8,5,25,30,0,10,10,10,10,5,5,5
240490020,24,4,90,20,4,240490020,La Croche - (CCS),25,20,10,5,20,10,45.8,0,30,25,5,10,10,10,10,5,5,10
240500000,24,5,0,0,5,240500000,Estrie - (CAR),"4,320","3,110","1,210",600,"2,565","1,160",47.3,800,"3,525","4,200",120,"1,150",980,"2,185","2,740",245,805,530
240530000,24,5,30,0,5,240530000,Le Granit - (CD),890,640,245,120,560,215,46.7,270,620,865,25,300,225,365,515,50,200,130
240530005,24,5,30,5,5,240530005,Saint-Augustin-de-Woburn - (CCS),50,30,20,5,30,10,45.6,20,30,50,0,20,15,15,25,0,10,10
240530025,24,5,30,25,5,240530025,Frontenac - (CCS),45,35,5,0,25,20,50.6,15,25,40,0,20,15,5,20,0,15,10
240530040,24,5,30,40,5,240530040,Milan - (CCS),55,45,15,15,25,20,47.2,15,40,55,0,25,15,20,30,0,20,10
240530045,24,5,30,45,5,240530045,Nantes - (CCS),55,35,25,5,35,20,48.8,15,45,55,0,15,20,25,40,0,10,5
240530050,24,5,30,50,5,240530050,Sainte-CÇcile-de-Whitton - (CCS),45,35,10,5,30,10,45.2,15,35,45,0,10,15,20,30,5,5,10
240530055,24,5,30,55,5,240530055,Audet - (CCS),60,45,20,0,45,15,48.4,20,45,60,0,25,15,25,30,5,15,5
240530072,24,5,30,72,5,240530072,Saint-Ludger - (CCS),145,105,35,10,115,20,46.7,50,90,135,5,40,40,60,80,10,30,20
240530080,24,5,30,80,5,240530080,Lac-Drolet - (CCS),55,40,15,10,30,10,45.0,20,35,55,0,20,5,30,35,0,10,5
240530085,24,5,30,85,5,240530085,Saint-SÇbastien - (CCS),75,55,20,0,50,20,50.2,15,55,75,0,25,20,30,40,5,15,15
240530090,24,5,30,90,5,240530090,Courcelles - (CCS),45,40,10,10,20,15,46.2,15,30,45,0,10,15,25,30,5,10,5
240530095,24,5,30,95,5,240530095,Lambton - (CCS),90,65,20,20,50,25,44.9,15,75,90,0,30,15,50,60,5,10,15
240530100,24,5,30,100,5,240530100,Saint-Romain - (CCS),60,40,20,10,35,15,45.0,20,40,60,0,25,10,25,30,5,10,15
240530105,24,5,30,105,5,240530105,Stornoway - (CCS),60,40,20,10,40,10,45.0,25,35,60,0,30,15,15,30,5,20,10
240530110,24,5,30,110,5,240530110,Stratford - (CCS),50,35,15,5,40,5,45.8,10,40,50,0,10,15,25,35,0,10,5
240540000,24,5,40,0,5,240540000,Asbestos - (CD),400,290,110,50,250,100,46.9,50,350,395,10,100,95,210,260,20,65,50
240540005,24,5,40,5,5,240540005,Saint-Joseph-de-Ham-Sud - (CCS),35,20,15,10,20,5,42.3,5,30,30,0,5,10,20,25,5,5,0
240540010,24,5,40,10,5,240540010,Saint-Adrien - (CCS),30,25,5,0,25,5,48.6,10,20,30,0,15,5,10,20,0,5,5
240540017,24,5,40,17,5,240540017,Wotton - (CCS),115,80,35,15,80,20,44.8,5,105,115,5,30,25,60,80,5,20,10
240540025,24,5,40,25,5,240540025,Saint-Camille - (CCS),50,40,15,10,30,20,48.6,5,50,55,5,15,10,30,45,0,5,5
240540032,24,5,40,32,5,240540032,Saint-Georges-de-Windsor - (CCS),75,55,20,10,45,20,46.1,15,60,70,5,25,15,40,40,5,15,15
240540047,24,5,40,47,5,240540047,Danville - (CCS),95,70,25,10,55,35,50.1,5,90,95,0,15,30,55,60,5,20,15
240541000,24,5,41,0,5,240541000,Le Haut-Saint-Franáois - (CD),735,530,210,95,430,210,48.1,120,615,710,25,175,190,370,475,50,120,90
240541012,24,5,41,12,5,240541012,Saint-Isidore-de-Clifton - (CCS),75,55,20,10,50,15,45.3,10,65,70,5,15,10,45,45,5,15,10
240541027,24,5,41,27,5,240541027,La Patrie - (CCS),60,40,20,10,25,25,50.4,20,40,55,5,10,25,25,45,5,10,0
240541035,24,5,41,35,5,240541035,Newport - (CCS),70,45,20,10,30,25,49.0,15,50,65,5,20,15,30,45,0,15,10
240541050,24,5,41,50,5,240541050,Eaton - (CCS),235,175,65,35,135,60,47.1,35,205,230,10,55,55,125,145,20,40,30
240541055,24,5,41,55,5,240541055,Ascot Corner - (CCS),30,25,5,5,15,10,49.3,5,20,25,0,5,5,20,15,5,0,10
240541065,24,5,41,65,5,240541065,Westbury - (CCS),40,30,10,5,20,10,50.0,5,40,40,5,10,10,20,25,0,5,10
240541070,24,5,41,70,5,240541070,Bury - (CCS),70,45,25,5,40,30,50.5,10,60,65,5,15,25,30,40,5,20,10
240541085,24,5,41,85,5,240541085,Lingwick - (CCS),45,30,10,0,25,15,50.8,15,30,40,0,15,15,15,30,5,0,10
240541098,24,5,41,98,5,240541098,Weedon - (CCS),70,55,15,5,50,10,46.1,5,65,70,0,15,15,40,50,5,5,5
240541117,24,5,41,117,5,240541117,Dudswell - (CCS),45,35,15,5,30,10,47.9,5,40,45,0,15,10,20,40,0,5,0
240542000,24,5,42,0,5,240542000,Le Val-Saint-Franáois - (CD),745,540,205,115,420,210,47.4,110,635,725,25,205,155,380,460,35,165,85
240542005,24,5,42,5,5,240542005,Stoke - (CCS),55,40,10,10,20,25,49.5,10,40,50,0,15,10,25,35,5,10,5
240542020,24,5,42,20,5,240542020,Saint-Franáois-Xavier-de-Brompton - (CCS),60,45,15,5,40,20,49.3,10,55,55,5,15,10,35,40,5,10,10
240542032,24,5,42,32,5,240542032,Racine - (CCS),75,50,30,10,50,15,45.8,15,55,70,0,25,15,30,35,5,25,5
240542040,24,5,42,40,5,240542040,Bonsecours - (CCS),35,25,10,5,25,10,46.7,5,30,35,5,10,10,15,20,0,10,5
240542050,24,5,42,50,5,240542050,Sainte-Anne-de-la-Rochelle - (CCS),75,55,20,15,45,20,46.2,10,65,70,0,25,20,30,40,0,20,10
240542060,24,5,42,60,5,240542060,Valcourt - (CCS),65,45,20,15,35,15,45.0,15,50,65,0,20,10,35,35,0,15,15
240542065,24,5,42,65,5,240542065,Maricourt - (CCS),45,30,10,5,25,15,46.0,10,35,45,0,15,10,20,30,0,15,5
240542075,24,5,42,75,5,240542075,Melbourne - (CCS),110,75,30,20,60,30,47.2,10,100,105,5,20,20,65,80,10,15,15
240542095,24,5,42,95,5,240542095,Val-Joli - (CCS),85,70,20,15,45,30,47.4,15,75,80,0,20,20,45,55,0,20,5
240542100,24,5,42,100,5,240542100,Saint-Claude - (CCS),65,45,20,10,45,15,46.5,10,60,70,0,15,15,40,40,0,15,15
240542110,24,5,42,110,5,240542110,Cleveland - (CCS),70,55,15,5,35,25,51.3,5,60,70,0,10,20,35,50,0,15,5
240543000,24,5,43,0,5,240543000,La RÇgion-Sherbrookoise - (CD),220,160,60,25,100,90,50.7,25,190,215,5,75,50,95,130,10,50,25
240543015,24,5,43,15,5,240543015,Ascot - (CCS),50,40,15,10,25,20,50.0,5,45,50,0,15,10,25,30,5,10,5
240543023,24,5,43,23,5,240543023,Bromptonville - (CCS),75,55,25,10,40,20,47.1,5,75,75,5,20,15,40,45,0,25,10
240543030,24,5,43,30,5,240543030,Rock Forest - (CCS),40,35,5,0,15,20,55.3,10,25,35,0,15,10,15,25,5,5,5
240543040,24,5,43,40,5,240543040,Saint-êlie-d'Orford - (CCS),50,40,15,5,20,30,53.1,15,40,50,0,25,15,20,30,0,15,5
240544000,24,5,44,0,5,240544000,Coaticook - (CD),935,655,285,160,610,170,44.7,160,780,910,25,190,160,580,665,60,115,100
240544003,24,5,44,3,5,240544003,Saint-Malo - (CCS),45,30,15,5,40,0,43.2,5,40,45,0,5,10,30,35,0,5,5
240544010,24,5,44,10,5,240544010,East Hereford - (CCS),40,30,10,10,25,5,46.6,10,30,35,0,5,5,25,30,0,5,5
240544015,24,5,44,15,5,240544015,Saint-HermÇnÇgilde - (CCS),45,30,15,5,30,10,45.6,5,40,45,0,15,5,30,35,5,10,5
240544023,24,5,44,23,5,240544023,Dixville - (CCS),45,30,15,5,30,10,47.4,10,40,50,0,15,5,25,35,5,10,0
240544037,24,5,44,37,5,240544037,Coaticook - (CCS),220,150,75,55,145,25,42.6,40,180,215,5,55,35,130,150,10,30,30
240544045,24,5,44,45,5,240544045,Barnston-Ouest - (CCS),65,45,20,5,40,20,46.8,5,60,65,0,15,10,40,40,5,10,5
240544050,24,5,44,50,5,240544050,Stanstead-Est - (CCS),90,60,30,10,60,20,47.6,15,75,90,0,20,15,60,65,10,15,10
240544055,24,5,44,55,5,240544055,Sainte-Edwidge-de-Clifton - (CCS),95,70,35,25,60,20,45.5,15,85,95,10,20,15,60,70,10,10,10
240544060,24,5,44,60,5,240544060,Martinville - (CCS),30,20,5,5,15,5,41.6,10,20,30,0,5,5,20,20,0,5,5
240544071,24,5,44,71,5,240544071,Compton - (CCS),255,180,75,45,165,45,44.4,40,220,250,5,45,50,170,185,10,30,30
240545000,24,5,45,0,5,240545000,MemphrÇmagog - (CD),395,305,90,35,190,170,52.1,55,335,380,15,110,105,175,240,25,90,45
240545020,24,5,45,20,5,240545020,Ogden - (CCS),55,40,5,0,35,20,51.3,5,50,50,5,10,10,30,35,0,5,5
240545025,24,5,45,25,5,240545025,Stanstead - (CCS),30,20,10,0,15,5,51.5,0,30,25,0,5,10,10,20,5,10,0
240545030,24,5,45,30,5,240545030,Potton - (CCS),65,45,15,5,30,30,52.3,10,55,60,0,25,15,30,30,0,20,5
240545043,24,5,45,43,5,240545043,Hatley - (CCS),40,30,10,5,20,20,50.6,5,35,40,0,5,5,25,30,5,5,5
240545055,24,5,45,55,5,240545055,Hatley - (CCS),20,20,0,0,5,10,53.4,5,20,25,0,5,5,10,15,0,5,0
240545060,24,5,45,60,5,240545060,Sainte-Catherine-de-Hatley - (CCS),40,35,5,5,20,20,51.3,5,35,40,0,10,15,15,20,5,20,0
240545075,24,5,45,75,5,240545075,Magog - (CCS),60,45,15,10,30,25,49.7,10,55,55,5,15,15,25,35,5,10,10
240545105,24,5,45,105,5,240545105,Stukely-Sud - (CCS),25,20,5,5,10,15,55.7,0,25,25,0,5,5,10,15,5,0,5
240545115,24,5,45,115,5,240545115,Orford - (CCS),55,45,15,0,25,30,55.0,15,40,50,0,25,15,15,35,5,15,5
240600000,24,6,0,0,6,240600000,MontrÇal/Laval - (CAR),300,235,65,30,160,110,50.8,60,235,290,15,50,65,185,220,15,35,30
240665000,24,6,65,0,6,240665000,Laval - (CD),240,190,55,25,130,85,50.2,35,200,230,10,30,50,160,180,10,25,20
240665005,24,6,65,5,6,240665005,Laval - (CCS),240,185,50,20,130,85,50.2,40,200,230,10,35,50,155,185,15,30,15
240666000,24,6,66,0,6,240666000,CommunautÇ-Urbaine-de-MontrÇal - (CD),60,50,10,5,30,25,53.2,25,35,60,0,15,15,30,40,5,5,10
240666025,24,6,66,25,6,240666025,MontrÇal - (CCS),60,50,5,0,30,25,53.2,25,35,60,0,15,15,30,40,0,5,10
240700000,24,7,0,0,7,240700000,Lanaudiäre - (CAR),"2,600","1,930",670,360,"1,530",715,47.2,425,"2,175","2,540",60,490,580,"1,530","1,920",135,360,190
240752000,24,7,52,0,7,240752000,D'Autray - (CD),710,520,190,95,415,210,47.6,95,620,695,20,155,165,400,530,30,100,55
240752010,24,7,52,10,7,240752010,Saint-Antoine-de-Lavaltrie - (CCS),55,45,15,5,40,15,48.3,10,45,60,0,10,10,35,45,0,10,5
240752017,24,7,52,17,7,240752017,Lanoraie - (CCS),60,45,15,5,25,25,49.4,10,50,60,0,15,5,35,45,0,5,10
240752030,24,7,52,30,7,240752030,Sainte-êlisabeth - (CCS),110,80,30,15,70,30,47.2,15,90,105,5,20,25,65,85,5,10,5
240752040,24,7,52,40,7,240752040,Sainte-Geneviäve-de-Berthier - (CCS),55,40,20,10,30,15,46.6,0,55,55,0,15,15,30,45,5,10,0
240752045,24,7,52,45,7,240752045,Saint-Ignace-de-Loyola - (CCS),45,35,10,5,15,20,47.7,10,35,35,5,5,15,25,25,5,5,5
240752055,24,7,52,55,7,240752055,Saint-BarthÇlemy - (CCS),95,70,25,5,55,30,49.7,15,85,95,0,25,30,45,70,5,15,5
240752062,24,7,52,62,7,240752062,Saint-Cuthbert - (CCS),100,75,25,20,50,30,46.3,10,90,95,5,15,20,60,80,5,5,5
240752070,24,7,52,70,7,240752070,Saint-Norbert - (CCS),45,30,10,5,30,10,44.0,5,40,45,0,10,10,20,25,0,10,0
240752085,24,7,52,85,7,240752085,Saint-Gabriel-de-Brandon - (CCS),95,65,30,10,65,20,45.8,10,85,95,0,25,20,50,70,5,15,10
240752090,24,7,52,90,7,240752090,Saint-Didace - (CCS),50,40,15,5,30,20,51.0,10,45,55,0,15,5,25,35,0,15,5
240760000,24,7,60,0,7,240760000,L'Assomption - (CD),265,210,55,30,140,90,48.9,50,215,260,5,30,70,175,205,10,40,15
240760010,24,7,60,10,7,240760010,Le Gardeur - (CCS),25,20,5,5,10,10,49.8,10,15,25,0,5,5,15,20,0,0,0
240760020,24,7,60,20,7,240760020,Saint-Sulpice - (CCS),35,25,5,5,15,15,51.8,5,25,35,0,5,10,20,25,0,5,5
240760028,24,7,60,28,7,240760028,L'Assomption - (CCS),145,115,30,20,75,50,48.4,25,115,140,0,15,40,90,105,5,20,5
240760040,24,7,60,40,7,240760040,L'êpiphanie - (CCS),65,45,15,5,35,20,48.2,10,60,60,0,0,15,45,55,5,10,0
240761000,24,7,61,0,7,240761000,Joliette - (CD),400,290,110,55,255,95,46.6,50,350,390,10,75,100,230,295,30,55,25
240761005,24,7,61,5,7,240761005,Saint-Paul - (CCS),110,85,25,10,65,35,49.1,20,95,105,5,30,25,60,85,0,15,5
240761027,24,7,61,27,7,240761027,Saint-Thomas - (CCS),100,75,30,15,60,25,45.5,10,90,100,5,15,20,65,75,5,15,0
240761040,24,7,61,40,7,240761040,Saint-Ambroise-de-Kildare - (CCS),100,75,30,10,70,15,45.5,10,90,95,0,15,25,60,70,10,10,10
240761045,24,7,61,45,7,240761045,Notre-Dame-de-Lourdes - (CCS),30,20,10,5,20,5,43.2,5,30,25,0,5,10,15,15,10,5,0
240761050,24,7,61,50,7,240761050,Sainte-MÇlanie - (CCS),60,35,25,5,35,15,47.6,10,55,60,5,15,15,30,45,5,5,5
240762000,24,7,62,0,7,240762000,Matawinie - (CD),330,230,95,45,190,90,47.0,60,270,325,5,75,80,170,225,15,50,40
240762007,24,7,62,7,7,240762007,Saint-FÇlix-de-Valois - (CCS),130,90,45,15,80,30,45.6,15,115,125,0,30,30,70,90,10,15,10
240762015,24,7,62,15,7,240762015,Saint-Jean-de-Matha - (CCS),55,40,10,10,30,20,49.1,15,40,50,0,10,10,30,40,0,5,5
240762020,24,7,62,20,7,240762020,Sainte-BÇatrix - (CCS),40,25,10,5,20,15,47.1,5,30,35,0,5,5,25,25,0,0,5
240762030,24,7,62,30,7,240762030,Sainte-Marcelline-de-Kildare - (CCS),35,25,10,5,20,10,46.8,10,20,35,0,15,5,15,20,5,10,5
240762037,24,7,62,37,7,240762037,Rawdon - (CCS),45,35,10,5,30,10,45.9,5,45,45,0,10,15,25,30,5,10,5
240762075,24,7,62,75,7,240762075,Saint-Damien - (CCS),30,20,5,5,15,10,51.4,5,25,30,0,10,10,10,15,0,5,5
240763000,24,7,63,0,7,240763000,Montcalm - (CD),735,555,185,120,455,165,45.9,145,595,725,15,120,135,485,570,40,90,40
240763005,24,7,63,5,7,240763005,Sainte-Marie-SalomÇ - (CCS),35,25,5,5,25,5,43.2,10,25,35,0,5,5,20,30,0,0,0
240763013,24,7,63,13,7,240763013,Saint-Jacques - (CCS),95,70,30,15,60,25,47.0,15,85,100,0,10,20,65,75,5,10,0
240763025,24,7,63,25,7,240763025,Saint-Alexis - (CCS),80,55,25,10,65,10,44.3,5,80,85,0,20,10,60,65,5,10,10
240763030,24,7,63,30,7,240763030,Saint-Esprit - (CCS),110,75,35,15,65,30,47.4,35,75,110,0,25,20,70,75,5,20,10
240763035,24,7,63,35,7,240763035,Saint-Roch-de-l'Achigan - (CCS),180,145,30,30,105,40,46.3,35,145,180,0,20,40,120,155,10,15,5
240763048,24,7,63,48,7,240763048,Saint-Lin - Laurentides - (CCS),120,95,30,30,70,25,44.1,25,100,120,5,25,25,75,85,5,25,5
240763060,24,7,63,60,7,240763060,Sainte-Julienne - (CCS),45,35,10,5,20,15,47.4,5,45,45,5,5,10,35,40,0,5,5
240763065,24,7,63,65,7,240763065,Saint-Liguori - (CCS),65,50,15,10,45,10,46.8,15,55,60,5,15,10,40,40,5,10,5
240764000,24,7,64,0,7,240764000,Les Moulins - (CD),160,120,35,15,85,60,51.0,25,130,155,0,45,35,75,100,10,30,15
240764010,24,7,64,10,7,240764010,Terrebonne - (CCS),50,35,15,5,25,25,54.9,15,40,50,0,20,15,15,30,5,10,5
240764015,24,7,64,15,7,240764015,Mascouche - (CCS),80,60,20,10,45,30,49.4,10,70,75,0,15,15,45,50,5,15,5
240764020,24,7,64,20,7,240764020,La Plaine - (CCS),25,20,5,5,15,5,48.4,5,20,25,0,5,10,15,20,0,5,5
240800000,24,8,0,0,8,240800000,Outaouais - (CAR),"1,780","1,325",455,170,920,690,50.9,220,"1,565","1,720",60,440,515,830,"1,010",105,415,255
240880000,24,8,80,0,8,240880000,Papineau - (CD),430,325,110,45,240,140,49.6,50,385,405,20,100,130,195,250,15,100,60
240880015,24,8,80,15,8,240880015,Notre-Dame-de-Bon-Secours-Partie-Nord - (CCS),25,25,5,0,15,15,53.5,5,20,30,0,5,10,15,20,0,5,0
240880020,24,8,80,20,8,240880020,Notre-Dame-de-la-Paix - (CCS),35,25,10,5,20,5,46.8,5,35,40,0,10,10,20,20,0,15,5
240880027,24,8,80,27,8,240880027,Saint-AndrÇ-Avellin - (CCS),80,65,15,15,35,35,50.3,15,65,75,5,20,35,35,45,5,15,20
240880037,24,8,80,37,8,240880037,Papineauville - (CCS),55,40,15,5,35,20,50.5,0,50,55,5,5,15,35,40,5,10,10
240880055,24,8,80,55,8,240880055,Lochaber - (CCS),50,35,15,10,35,5,44.1,5,45,45,0,15,15,25,30,0,10,5
240880060,24,8,80,60,8,240880060,Lochaber-Partie-Ouest - (CCS),40,30,15,5,30,5,46.1,0,40,40,0,10,5,30,30,5,10,0
240880065,24,8,80,65,8,240880065,Mayo - (CCS),25,20,10,5,10,10,52.4,5,25,25,5,5,10,10,15,5,10,5
240880070,24,8,80,70,8,240880070,Saint-Sixte - (CCS),25,20,10,5,15,10,47.7,0,25,25,5,15,5,10,15,5,5,5
240880078,24,8,80,78,8,240880078,Ripon - (CCS),35,25,5,0,20,15,51.9,5,30,30,5,10,15,10,20,0,10,0
240880085,24,8,80,85,8,240880085,Mulgrave-et-Derry - (CCS),25,25,0,0,20,5,52.2,0,25,25,0,10,10,10,15,0,10,10
240880095,24,8,80,95,8,240880095,Lac-Simon - (CCS),25,15,5,0,10,10,54.5,0,20,20,0,5,5,10,15,0,10,5
240881000,24,8,81,0,8,240881000,CommunautÇ-Urbaine-de-l'Outaouais - (CD),145,100,40,20,55,65,51.5,25,120,140,5,50,35,60,80,10,35,20
240881010,24,8,81,10,8,240881010,Masson-Angers - (CCS),30,20,10,5,10,15,51.3,5,30,30,0,5,10,15,25,0,5,5
240881015,24,8,81,15,8,240881015,Gatineau - (CCS),70,50,15,10,25,30,51.8,10,55,65,5,25,15,25,40,5,15,10
240881025,24,8,81,25,8,240881025,Aylmer - (CCS),40,20,15,5,15,20,51.3,10,35,40,0,15,10,20,15,5,15,5
240882000,24,8,82,0,8,240882000,Les Collines-de-l'Outaouais - (CD),450,330,115,40,240,170,50.8,60,385,435,15,115,145,190,240,30,115,65
240882005,24,8,82,5,8,240882005,L'Ange-Gardien - (CCS),70,50,20,5,25,40,54.7,10,60,65,5,20,20,30,50,5,15,10
240882010,24,8,82,10,8,240882010,Notre-Dame-de-la-Salette - (CCS),30,25,5,0,20,10,48.4,0,30,25,0,5,10,15,10,0,10,5
240882015,24,8,82,15,8,240882015,Val-des-Monts - (CCS),70,50,25,5,45,20,48.5,5,70,70,0,20,20,35,35,10,20,5
240882020,24,8,82,20,8,240882020,Cantley - (CCS),30,25,5,5,15,15,54.3,10,25,30,0,10,15,10,15,5,10,5
240882030,24,8,82,30,8,240882030,Pontiac - (CCS),135,105,30,10,75,50,50.7,25,105,130,0,35,45,55,75,10,35,20
240882035,24,8,82,35,8,240882035,La Pàche - (CCS),110,80,35,15,55,40,49.7,15,95,105,5,25,35,50,55,5,25,20
240883000,24,8,83,0,8,240883000,La VallÇe-de-la-Gatineau - (CD),280,200,75,30,145,100,50.0,30,245,275,5,70,75,130,160,15,65,40
240883010,24,8,83,10,8,240883010,Low - (CCS),55,35,15,5,20,25,52.4,5,45,50,0,15,15,15,25,0,15,10
240883015,24,8,83,15,8,240883015,Kazabazua - (CCS),25,20,5,5,15,10,51.7,5,20,25,0,0,10,15,15,0,5,0
240883020,24,8,83,20,8,240883020,Lac-Sainte-Marie - (CCS),55,35,10,5,25,20,50.3,5,50,50,0,20,10,25,25,5,15,10
240883035,24,8,83,35,8,240883035,Wright - (CCS),35,25,10,0,25,5,44.8,0,35,35,0,5,10,15,15,0,10,5
240883050,24,8,83,50,8,240883050,Bouchette - (CCS),25,20,10,0,15,5,49.2,0,20,25,0,0,10,10,20,5,5,0
240883060,24,8,83,60,8,240883060,Messines - (CCS),35,25,10,5,15,10,50.7,10,25,35,0,10,5,15,25,5,5,5
