PROV ,CAR,CD,CCS,GEO NAMES,nsalesxfp,ntchick,tchick,nbroiler,broiler,npulets,pulets,nlayhen,layhen,nhenhtch,henhtch,nturkey,turkey,nothplt,othplt,nbroilpd,broilpd,ebroilpd,nturkprd,turkprd,eturkprd,nhatchnm,hatchnm,ntcattl,tcattl,nbulls,bulls,ntotcow,totcow,nmlkcow,mlkcow,nbfcows,bfcows,nheifer,heifer,nbfheif,bfheif,nmlkheif,mlkheif,nfdheif,fdheif,nsteers,steers,ncalfu1,calfu1,ntopigs,topigs,nboars,boars,nsows,sows,nnurpig,nurpig,ngrwpig,grwpig,ntsheep,tsheep,nrams,rams,newes,ewes,nlambs,lambs,nhorses,horses,ngoats,goats,nwldboar,wldboar,nmink,mink,nfox,fox,nbison,bison,ndeer,deer,nelk,elk,nlamas,lamas,nrabbit,rabbit,nbees,bees,ntottrc,tottrc,tottrco,tottrcl,tvaltrc,nttru100,ttru100,otru100,ltru100,vtru100,nttrc100,ttrc100,otrc100,ltrc100,vtrc100,nttrc149,ttrc149,otrc149,ltrc149,vtrc149,ntottrk,tottrk,tottrko,tottrkl,tvaltrk,ntotptrk,totptrk,opickup,lpickup,vpickup,ntototrk,tototrk,oothtrk,lothtrk,vothtrk,ntautmbl,tautmbl,oautmbl,lautmbl,vautmbl,ntotcomb,totcomb,ocomb,lcomb,vcomb,ntswtmow,tswtmow,oswtmow,lswtmow,vswtmow,ntotbal,totbal,obaler,lbaler,vbaler,ntharvst,tharvst,oharvst,lharvst,vharvst,ntcultsd,tcultsd,ocultsd,lcultsd,vcultsd,nvirrig,virrig,nvaloeq,valoeq
24,1,8,0,Matane,158,11,x,2,x,1,x,10,284,0,0,5,x,5,78,2,x,x,5,x,x,0,0,104,"8,989",54,91,102,"4,112",60,"2,392",47,"1,720",88,"2,163",36,301,60,"1,115",14,747,32,417,97,"2,206",3,x,2,x,3,x,3,x,3,x,14,"5,881",14,124,14,"3,062",14,"2,695",34,109,8,32,0,0,0,0,1,x,1,x,0,0,0,0,0,0,4,150,2,x,149,488,475,13,"8,088,278",146,428,420,8,"5,496,109",38,49,x,x,"2,045,488",8,12,x,x,"546,681",134,193,189,4,"1,723,572",130,164,160,4,"1,491,679",22,29,29,0,"231,893",42,45,x,x,x,61,61,x,x,"1,064,639",106,122,x,x,"832,609",112,148,x,x,"1,103,439",26,29,29,0,"270,284",127,433,429,4,"1,456,059",10,x,118,"2,421,943"
24,1,8,23,Sainte-FÇlicitÇ,22,1,x,1,x,0,0,0,0,0,0,1,x,1,x,0,0,0,1,x,x,0,0,8,485,1,x,8,233,4,148,4,85,6,125,2,x,5,x,0,0,3,x,6,102,0,0,0,0,0,0,0,0,0,0,4,"1,633",4,27,4,817,4,789,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,20,57,x,x,"782,524",20,53,x,x,"637,524",3,x,x,x,x,1,x,x,0,x,17,21,21,0,"187,030",17,21,21,0,"187,030",0,0,0,0,0,6,6,6,0,"32,962",8,8,8,0,"71,414",14,16,x,x,"134,421",15,19,x,x,"110,721",3,3,3,0,"20,500",17,57,57,0,"128,902",0,0,13,"326,995"
24,1,8,45,Saint-Luc-de-Matane,38,2,x,0,0,1,x,2,x,0,0,0,0,1,x,1,x,x,0,0,0,0,0,32,"2,361",18,27,31,"1,199",13,566,20,633,27,378,16,99,13,233,5,46,13,85,30,672,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,12,42,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,34,121,x,x,"2,009,954",34,111,111,0,"1,567,428",6,x,x,x,x,2,x,x,0,x,33,46,46,0,"462,725",32,39,39,0,"413,563",4,7,7,0,"49,162",12,12,12,0,x,14,13,13,0,"367,613",28,31,31,0,"180,742",32,40,40,0,"332,686",6,6,6,0,"78,190",33,98,x,x,"255,921",2,x,29,"460,133"
24,1,8,50,Petit-Matane,22,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,927,6,x,14,503,10,393,4,110,14,228,5,20,11,208,0,0,2,x,14,185,0,0,0,0,0,0,0,0,0,0,3,"2,702",3,57,3,"1,405",3,"1,240",6,12,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,58,54,4,"1,335,049",20,47,x,x,"808,800",8,11,x,x,"526,249",0,0,0,0,0,21,23,23,0,"219,810",20,x,x,0,x,2,x,x,0,x,3,4,4,0,x,6,6,6,0,"110,000",12,13,13,0,"151,500",16,20,20,0,"208,312",2,x,x,0,x,17,66,66,0,"195,905",0,0,13,"343,768"
24,1,8,65,Saint-LÇandre,18,2,x,0,0,0,0,2,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,13,837,5,6,13,404,7,307,6,97,10,254,3,x,8,175,3,x,3,4,13,169,1,x,1,x,1,x,1,x,1,x,2,x,2,x,2,x,2,x,5,16,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,17,57,x,x,"777,813",17,49,x,x,"403,813",6,8,x,x,"374,000",0,0,0,0,0,16,23,x,x,"220,875",15,x,x,x,x,3,x,x,0,x,4,5,x,x,"24,300",7,7,7,0,"48,125",10,13,13,0,"68,500",10,11,11,0,"100,000",2,x,x,0,x,13,40,40,0,"127,700",2,x,14,"249,548"
24,1,8,73,Saint-Ulric,30,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,1,x,x,0,0,21,"2,761",14,34,21,993,15,523,8,470,19,858,7,x,13,x,2,x,7,231,20,645,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,4,18,1,x,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,29,108,x,x,"1,848,929",28,92,92,0,"1,236,627",6,8,8,0,"263,292",4,8,x,x,"349,010",22,37,37,0,"293,183",21,29,29,0,"234,452",6,8,8,0,"58,731",11,11,11,0,"102,144",15,15,x,x,"336,001",23,24,x,x,"172,503",23,31,31,0,"219,129",3,3,3,0,"40,000",24,91,x,x,"427,932",3,"10,500",25,"547,008"
24,1,8,80,Baie-des-Sables,28,4,236,1,x,0,0,4,x,0,0,4,135,3,x,1,x,x,2,x,x,0,0,15,"1,618",10,15,15,780,11,455,5,325,12,320,3,32,10,228,4,60,4,70,14,433,1,x,0,0,1,x,1,x,1,x,3,827,3,15,3,391,3,421,4,4,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,2,x,27,88,x,x,"1,334,009",27,76,x,x,"841,917",9,x,x,x,x,1,x,x,0,x,25,43,x,x,"339,949",25,34,x,x,"274,949",7,9,9,0,"65,000",6,7,7,0,"62,500",11,12,12,0,"131,486",19,26,26,0,"124,943",16,27,27,0,"132,591",10,13,13,0,"84,594",23,82,82,0,"319,699",3,"21,000",24,"494,491"
24,1,9,0,La Mitis,308,21,710,7,239,0,0,15,471,0,0,5,77,3,x,4,901,"1,986",4,"1,823","4,019",0,0,205,"15,697",84,240,199,"7,371",133,"4,922",77,"2,449",180,"2,649",58,327,128,"2,189",16,133,48,"1,096",193,"4,341",21,"29,379",6,14,10,697,7,"3,937",20,"24,731",60,"25,827",54,555,59,"14,767",55,"10,505",35,183,5,14,0,0,0,0,1,x,1,x,2,x,2,x,0,0,2,x,4,480,285,883,861,22,"15,325,232",274,745,731,13,"9,900,345",85,120,x,x,"4,588,209",16,18,x,x,"836,678",239,326,322,4,"2,986,395",231,265,261,4,"2,378,818",37,61,61,0,"607,577",89,99,96,3,"795,937",130,138,138,0,"1,810,314",216,265,x,x,"1,849,499",238,288,284,4,"2,047,047",71,80,80,0,"885,165",253,769,764,5,"2,931,985",9,"73,500",226,"6,186,709"
24,1,9,15,Les Hauteurs,37,2,x,1,x,0,0,2,x,0,0,1,x,1,x,0,0,0,0,0,0,0,0,28,"2,254",6,x,25,"1,113",23,946,3,167,26,480,5,x,23,440,1,x,6,x,26,471,4,"6,331",2,x,2,x,1,x,3,x,11,"2,366",11,58,10,"1,018",10,"1,290",2,x,0,0,0,0,0,0,0,0,1,x,1,x,0,0,0,0,0,0,0,0,32,106,x,x,"2,501,553",30,81,x,x,"1,212,074",15,21,21,0,"975,801",5,4,4,0,"313,678",29,34,34,0,"416,738",27,29,29,0,"380,738",5,5,5,0,"36,000",7,7,x,x,"66,367",16,17,17,0,"242,440",31,36,x,x,"371,823",30,41,41,0,"290,190",11,11,11,0,"146,018",33,92,92,0,"489,286",0,0,30,"758,155"
24,1,9,20,Sainte-Jeanne-d'Arc,36,2,x,0,0,0,0,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,"1,217",17,24,24,638,9,265,18,373,20,x,13,44,9,107,2,x,13,x,23,x,1,x,0,0,0,0,0,0,1,x,6,895,4,23,6,643,4,229,4,10,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,36,79,79,0,"1,217,833",33,x,x,0,"994,477",8,9,9,0,x,1,x,x,0,x,28,34,x,x,"237,871",25,29,x,x,"216,341",5,5,5,0,"21,530",14,14,14,0,x,11,11,11,0,"77,894",24,25,25,0,"133,492",29,35,35,0,"183,441",1,x,x,0,x,26,65,65,0,"133,615",0,0,21,"477,438"
24,1,9,25,Saint-Gabriel-de-Rimouski,41,2,x,1,x,0,0,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,19,"1,664",7,14,18,851,16,x,3,x,18,281,4,x,16,246,2,x,3,30,18,488,5,"10,575",0,0,0,0,0,0,5,"10,575",12,"7,991",11,161,12,"4,559",12,"3,271",5,11,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,37,122,x,x,"1,816,861",37,x,x,x,"1,476,671",9,12,12,0,x,1,x,x,0,x,28,47,47,0,"359,431",28,32,32,0,"259,957",6,15,15,0,"99,474",15,16,x,x,"139,595",20,21,21,0,"205,711",27,40,40,0,"203,443",29,37,x,x,"296,375",9,9,9,0,x,30,88,88,0,"329,281",2,x,32,"823,183"
24,1,9,30,Saint-Donat,20,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,751,4,4,12,397,6,243,7,154,9,129,4,x,5,107,1,x,2,x,10,x,1,x,1,x,1,x,1,x,1,x,5,"2,507",4,62,5,"1,610",4,835,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,16,46,46,0,"776,163",16,41,41,0,"546,163",4,5,5,0,"230,000",0,0,0,0,0,15,20,20,0,"123,408",14,16,16,0,x,3,4,4,0,x,6,6,6,0,"49,639",6,6,6,0,"62,293",10,12,12,0,"76,834",13,18,18,0,"130,940",4,x,x,0,"56,179",13,40,40,0,"128,179",0,0,16,"543,465"
24,1,9,35,Sainte-Angäle-de-MÇrici,32,4,104,2,x,0,0,2,x,0,0,1,x,0,0,1,x,x,1,x,x,0,0,23,"1,389",13,18,23,776,10,356,14,420,17,x,10,50,7,113,1,x,4,10,19,x,2,x,1,x,2,x,1,x,2,x,9,"4,227",8,112,9,"2,592",9,"1,523",5,73,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,30,85,79,6,"1,463,770",28,x,x,x,"1,087,658",6,8,x,x,x,3,x,3,x,x,24,29,29,0,"221,354",23,26,26,0,"203,281",3,3,3,0,"18,073",5,5,5,0,x,10,11,11,0,"127,013",24,29,x,x,"131,170",25,30,x,x,"203,428",7,9,9,0,x,27,78,x,x,"222,949",1,x,21,"356,581"
24,1,9,55,Saint-Octave-de-MÇtis,50,5,110,1,x,0,0,4,x,0,0,2,x,1,x,3,x,x,3,x,x,0,0,34,"2,874",17,32,33,"1,442",19,727,16,715,31,527,11,73,19,365,4,89,5,148,33,725,5,x,2,x,5,x,3,x,5,x,7,"3,843",6,56,7,"2,296",6,"1,491",8,40,2,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0,1,x,0,0,48,167,163,4,"2,476,458",46,142,x,x,"1,473,458",14,25,x,x,"1,003,000",0,0,0,0,0,42,65,x,x,"614,873",42,51,x,x,x,4,14,14,0,x,17,21,21,0,"110,000",26,29,29,0,"363,863",36,47,47,0,"264,671",40,50,50,0,"276,480",12,17,17,0,"88,500",44,160,x,x,"409,623",0,0,34,"766,978"
24,1,9,85,Sainte-Flavie,49,3,248,1,x,0,0,2,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,36,"2,189",14,19,36,"1,163",25,862,12,301,32,452,8,63,25,386,3,3,10,27,36,528,0,0,0,0,0,0,0,0,0,0,6,"2,348",6,49,6,"1,171",6,"1,128",4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,47,145,140,5,"2,575,012",46,125,x,x,"1,811,012",12,17,x,x,"729,000",3,3,3,0,"35,000",43,55,x,x,"539,915",42,49,x,x,"392,915",5,6,6,0,"147,000",14,17,17,0,"126,500",23,25,25,0,"382,100",35,42,42,0,"270,319",41,45,x,x,"351,166",10,10,10,0,x,45,129,129,0,"713,273",3,x,40,"717,495"
24,1,9,95,Sainte-Luce,43,2,x,0,0,0,0,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,"3,359",6,x,28,991,25,x,4,x,27,x,3,10,24,425,2,x,5,x,28,x,3,"4,545",0,0,0,0,1,x,3,x,4,"1,650",4,34,4,878,4,738,5,27,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,1,x,39,134,130,4,"2,497,582",38,105,x,x,"1,298,832",17,24,x,x,"945,750",3,5,5,0,"253,000",30,43,43,0,"472,805",30,34,34,0,"383,805",6,9,9,0,"89,000",11,13,x,x,"127,110",18,18,18,0,"349,000",29,35,35,0,"397,747",31,33,33,0,"315,027",17,19,19,0,"317,396",35,119,x,x,"505,779",3,"9,000",32,"1,743,414"
24,1,10,0,Rimouski-Neigette,294,9,x,2,x,1,x,9,x,0,0,2,x,4,35,2,x,x,0,0,0,1,x,161,"12,819",49,65,158,"6,753",121,"5,331",43,"1,422",148,"2,733",35,237,117,"2,430",8,66,22,234,158,"3,034",6,"10,652",2,x,2,x,2,x,5,x,39,"14,701",37,446,37,"8,780",36,"5,475",28,203,7,20,0,0,0,0,0,0,1,x,4,141,0,0,0,0,4,x,4,155,256,782,750,33,"16,666,207",251,635,617,18,"9,609,310",90,128,114,15,"5,894,524",18,19,19,0,"1,162,373",226,306,x,x,"2,929,707",220,276,x,x,"2,726,786",28,30,x,x,"202,921",68,82,x,x,x,94,95,x,x,"1,389,316",179,215,212,3,"1,887,011",191,230,x,x,"1,654,793",74,79,74,5,"806,802",202,661,635,25,"3,003,477",6,x,217,"7,841,879"
24,1,10,10,La TrinitÇ-des-Monts,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,213,2,x,4,122,0,0,4,122,3,22,3,22,0,0,0,0,0,0,3,x,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,32,32,0,"416,974",18,x,x,0,x,1,x,x,0,x,0,0,0,0,0,15,17,17,0,"164,037",15,x,x,0,x,1,x,x,0,x,7,12,12,0,x,0,0,0,0,0,6,6,6,0,"28,958",5,5,5,0,x,0,0,0,0,0,6,28,28,0,x,0,0,9,"1,297,000"
24,1,10,15,Saint-Narcisse-de-Rimouski,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"1,585",1,x,15,847,15,x,1,x,15,405,1,x,14,x,0,0,1,x,15,x,2,x,1,x,1,x,1,x,2,x,8,"5,111",8,268,7,"3,081",7,"1,762",1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,106,99,7,"2,092,445",31,86,x,x,"1,224,945",13,16,x,x,"686,500",4,4,4,0,"181,000",26,42,x,x,"533,381",26,38,x,x,"508,381",4,4,x,x,"25,000",4,x,3,x,"38,000",10,10,x,x,"158,000",19,21,x,x,"281,535",22,26,x,x,"223,581",12,12,x,x,"183,000",22,79,x,x,"560,117",0,0,27,"974,013"
24,1,10,30,Saint-Anaclet-de-Lessard,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,25,"2,271",4,6,25,"1,189",22,"1,104",4,85,24,596,3,9,22,587,0,0,4,21,24,459,1,x,0,0,0,0,0,0,1,x,2,x,1,x,1,x,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,33,117,x,x,"2,515,866",32,90,90,0,"1,224,213",16,27,x,x,"1,291,653",0,0,0,0,0,29,36,36,0,"326,954",28,32,32,0,"280,954",3,4,4,0,"46,000",7,9,9,0,x,12,12,12,0,"284,000",26,31,x,x,"399,713",28,31,31,0,"239,977",14,14,14,0,"204,028",29,102,102,0,"397,329",1,x,31,"1,614,285"
24,1,10,45,Rimouski,35,2,x,1,x,0,0,2,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,14,972,2,x,14,552,11,x,3,x,12,185,2,x,10,x,0,0,0,0,14,x,0,0,0,0,0,0,0,0,0,0,2,x,2,x,2,x,1,x,6,71,1,x,0,0,0,0,0,0,1,x,0,0,0,0,0,0,1,x,1,x,30,91,84,7,"2,051,480",30,77,x,x,"1,337,480",6,x,x,x,x,2,x,x,0,x,26,44,44,0,"603,432",24,37,37,0,"547,023",6,7,7,0,"56,409",5,6,6,0,"46,032",10,11,11,0,"91,403",16,18,18,0,"167,032",19,21,21,0,"119,027",7,8,8,0,"49,300",22,75,75,0,"197,038",0,0,24,"1,052,488"
24,1,10,50,Sainte-Odile-sur-Rimouski,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"1,333",4,7,15,677,10,469,5,208,13,240,3,x,10,167,1,x,3,67,15,342,0,0,0,0,0,0,0,0,0,0,2,x,2,x,2,x,2,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,50,46,4,"1,165,700",14,44,x,x,"908,700",5,6,x,x,"257,000",0,0,0,0,0,15,21,21,0,"198,300",14,18,18,0,x,3,3,3,0,x,4,4,4,0,"32,300",9,9,9,0,"86,300",12,14,14,0,"136,800",14,19,19,0,"149,500",7,7,x,x,"62,800",15,49,x,x,"182,300",0,0,12,"312,800"
24,1,10,55,Sainte-Blandine,18,1,x,0,0,0,0,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,8,706,3,x,8,375,7,x,1,x,8,189,1,x,7,x,0,0,1,x,8,133,0,0,0,0,0,0,0,0,0,0,2,x,2,x,2,x,2,x,3,29,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,2,x,15,42,x,x,"886,793",14,x,32,x,x,6,7,7,0,x,2,x,x,0,x,11,12,12,0,"162,655",11,x,x,0,x,1,x,x,0,x,2,x,x,0,x,3,3,3,0,"47,000",12,14,14,0,"138,414",12,12,12,0,x,6,6,6,0,x,14,36,36,0,x,1,x,12,"251,694"
24,1,10,60,Saint-ValÇrien,24,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,909,10,15,14,471,8,227,6,244,12,136,6,50,6,x,1,x,3,9,14,278,1,x,0,0,0,0,0,0,1,x,4,"1,646",4,33,4,970,4,643,3,25,0,0,0,0,0,0,0,0,0,0,2,x,0,0,0,0,0,0,0,0,22,58,x,x,"1,039,426",21,50,x,x,"617,426",6,8,8,0,"422,000",0,0,0,0,0,17,20,x,x,"96,890",16,x,x,x,x,2,x,x,0,x,8,8,8,0,x,10,10,10,0,"138,500",16,23,23,0,"102,225",17,22,22,0,"162,525",5,5,5,0,"18,523",18,54,54,0,"181,761",1,x,18,"439,925"
24,1,10,65,Le Bic,38,4,65,1,x,1,x,4,x,0,0,1,x,0,0,1,x,x,0,0,0,0,0,26,"2,030",11,x,26,"1,085",19,770,9,315,26,397,8,52,19,337,3,8,2,x,26,515,2,x,1,x,1,x,1,x,1,x,7,"1,904",7,44,7,"1,097",6,763,4,34,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,0,0,35,125,x,x,"2,807,931",35,92,92,0,"1,255,144",18,26,x,x,"1,111,414",7,7,7,0,"441,373",34,51,51,0,"392,657",33,47,47,0,"379,145",4,4,4,0,"13,512",12,16,x,x,x,19,19,19,0,"346,507",32,36,36,0,"252,228",32,40,40,0,"228,660",16,19,x,x,"150,212",34,97,x,x,"501,873",1,x,30,"911,790"
24,1,10,70,Saint-Fabien,48,1,x,0,0,0,0,1,x,0,0,0,0,1,x,0,0,0,0,0,0,1,x,32,"2,198",10,10,30,"1,087",22,831,9,256,28,436,7,x,22,395,2,x,6,105,31,560,0,0,0,0,0,0,0,0,0,0,6,"1,379",6,31,6,920,6,428,5,31,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,114,109,5,"2,781,800",39,90,x,x,"1,569,300",14,21,x,x,x,3,3,3,0,x,37,42,42,0,"288,900",37,x,x,0,x,1,x,x,0,x,14,16,16,0,"85,500",17,17,17,0,"193,100",29,36,36,0,"264,800",30,37,x,x,"282,000",4,4,x,x,x,30,93,x,x,"334,400",2,x,42,"720,942"
24,1,10,75,Saint-Eugäne-de-Ladriäre,23,0,0,0,0,0,0,0,0,0,0,1,x,1,x,0,0,0,0,0,0,0,0,8,602,2,x,7,348,7,x,1,x,7,127,1,x,7,x,1,x,2,x,8,122,0,0,0,0,0,0,0,0,0,0,5,"1,868",4,23,5,"1,079",5,766,1,x,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,17,49,46,3,"907,792",17,43,40,3,"669,784",5,6,6,0,"238,008",0,0,0,0,0,16,21,21,0,"162,501",16,18,18,0,"150,501",3,3,3,0,"12,000",5,5,5,0,"28,601",4,4,4,0,"44,506",11,16,16,0,"115,306",12,17,17,0,"135,803",3,4,4,0,"11,805",12,48,48,0,"176,302",0,0,12,"266,942"
24,1,11,0,Les Basques,231,7,x,2,x,0,0,6,x,0,0,1,x,1,x,2,x,x,0,0,0,0,0,112,"8,372",41,64,109,"4,281",86,"3,097",27,"1,184",104,"1,766",26,339,83,"1,403",5,24,26,235,107,"2,026",8,"11,188",1,x,1,x,1,x,7,x,19,"7,297",19,145,19,"4,084",19,"3,068",12,38,7,465,0,0,0,0,0,0,0,0,3,x,0,0,2,x,1,x,1,x,207,682,658,24,"11,596,878",202,551,541,10,"7,002,725",70,113,x,x,"3,979,358",11,18,x,x,"614,795",164,202,199,3,"1,709,535",162,176,173,3,"1,508,379",22,26,26,0,"201,156",95,110,x,x,"767,470",75,82,x,x,"1,096,553",128,159,x,x,"1,155,921",131,162,x,x,"950,673",50,54,x,x,"555,843",155,492,484,8,"1,792,614",7,"91,165",178,"6,593,428"
24,1,11,5,Saint-ClÇment,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,"1,708",10,12,21,823,16,603,6,220,21,436,6,123,15,313,0,0,4,9,21,428,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,1,x,5,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,85,85,0,"1,338,216",24,72,72,0,"995,624",6,x,x,0,x,1,x,x,0,x,20,23,23,0,"132,049",20,x,x,0,x,2,x,x,0,x,10,14,14,0,"65,514",7,7,7,0,"109,000",20,24,24,0,"231,937",20,26,26,0,"195,828",7,7,7,0,x,21,61,61,0,"239,629",1,x,23,"664,771"
24,1,11,10,Saint-Jean-de-Dieu,50,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,36,"2,849",16,25,34,"1,495",26,938,9,557,34,538,9,x,27,397,1,x,9,136,35,655,4,"6,825",0,0,0,0,0,0,4,"6,825",3,x,3,21,3,x,3,x,4,7,2,x,0,0,0,0,0,0,0,0,1,x,0,0,1,x,1,x,0,0,47,191,183,8,"3,099,507",46,147,x,x,"1,699,467",22,37,x,x,"1,075,040",5,7,x,x,"325,000",40,50,x,x,"371,600",39,42,x,x,x,8,8,8,0,x,22,26,26,0,x,18,23,23,0,"237,000",38,54,x,x,"361,200",38,49,x,x,"265,500",17,18,x,x,"209,500",41,116,111,5,"412,491",2,x,41,"712,098"
24,1,11,15,Sainte-Rita,35,3,75,0,0,0,0,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,112,1,x,4,57,1,x,3,x,3,x,2,x,1,x,0,0,1,x,3,33,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,1,x,2,x,0,0,0,0,0,0,0,0,0,0,2,x,0,0,0,0,0,0,0,0,25,43,43,0,"655,950",25,x,x,0,x,2,x,x,0,x,0,0,0,0,0,22,29,29,0,"427,088",22,26,26,0,"402,588",3,3,3,0,"24,500",11,13,13,0,"163,500",0,0,0,0,0,2,x,x,0,x,4,5,5,0,x,0,0,0,0,0,3,11,11,0,"5,850",0,0,21,"2,132,862"
24,1,11,30,Sainte-Franáoise,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,417,4,8,6,213,5,x,1,x,6,88,2,x,5,x,1,x,4,13,6,95,0,0,0,0,0,0,0,0,0,0,2,x,2,x,2,x,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,51,51,0,"823,523",18,45,45,0,x,3,x,x,0,"220,000",1,x,x,0,x,14,14,x,x,"128,300",14,14,x,x,"128,300",0,0,0,0,0,9,11,11,0,x,5,5,5,0,"50,500",10,x,x,0,x,11,13,13,0,x,2,x,x,0,x,11,41,41,0,"149,123",0,0,13,"270,823"
24,1,11,35,Saint-êloi,27,2,x,2,x,0,0,1,x,0,0,0,0,0,0,2,x,x,0,0,0,0,0,19,"1,540",5,x,19,781,17,531,3,250,17,248,4,x,15,206,1,x,3,x,18,436,2,x,0,0,0,0,0,0,2,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,107,102,5,"1,944,178",26,x,x,x,"1,010,135",13,21,x,x,x,2,x,x,0,x,18,19,19,0,"162,374",18,19,19,0,"162,374",0,0,0,0,0,17,18,18,0,"106,070",17,17,x,x,"304,295",18,21,21,0,"198,966",17,20,20,0,"111,277",8,9,9,0,"109,943",25,81,x,x,"329,594",0,0,22,"884,908"
24,1,11,45,Notre-Dame-des-Neiges,41,2,x,0,0,0,0,2,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,14,940,3,3,14,493,11,412,4,81,12,x,2,x,10,x,0,0,2,x,13,227,2,x,1,x,1,x,1,x,1,x,6,"1,580",6,34,6,954,6,592,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,129,124,5,"2,117,142",35,99,x,x,"1,315,526",15,x,x,x,x,2,x,x,0,x,33,48,48,0,"376,624",32,36,36,0,"274,868",8,12,12,0,"101,756",13,13,13,0,"157,105",18,22,22,0,"284,758",26,32,32,0,"152,008",25,31,31,0,"141,899",11,13,13,0,x,33,113,x,x,"411,983",4,x,34,"1,114,522"
