PROV ,CAR,CD,CCS,GEO NAMES,ntotfcap,totfcap,nvalulb,valulb,nvlbown,vlbown,nvlbrnt,vlbrnt,nvallvsk,vallvsk,nvalmch,valmch,ncap1,ncap2,ncap3,ncap4,ncap5,ncap6,ncap7,ncap8,ncap9,ntotexp,totexp,nfertpd,fertpd,nchempd,chempd,nseedpd,seedpd,nfeedpd,feedpd,ncostfd,costfd,nlvstpd,lvstpd,nvetser,vetser,ncustwrk,custwrk,ntcshwge,tcshwge,ncshwgef,cshwgef,ncshwgnf,cshwgnf,nfuel,fuel,nrepmch,repmch,nrntmch,rntmch,nrepbldg,repbldg,nrntexp,rntexp,nutilexp,utilexp,ntotint,totint,nothexp,othexp,nsalesxfp,salesxfp,nsale1,nsale2,nsale3,nsale4,nsale5,nsale6,nsale7,nsale8,nsale9,ntype0,ntype1,ntype2,ntype3,ntype4,ntype5,ntype6,ntype7,ntype8,ntype9,ntype10,ntype11,ntype12,nnaic1,nnaic2,nnaic3,nnaic4,nnaic5,nnaic6,nnaic7,nnaic8,nnaic9,nnaic10,ntotlab,totlab,npdlbyr,pdlbyr,npdlbsl,pdlbsl
24,14,38,47,Fortierville,28,"19,300,621",28,"13,633,125",27,"11,426,525",12,"2,206,600",23,"2,267,080",28,"3,400,416",0,2,3,2,7,9,1,4,0,28,"6,633,764",16,"197,951",15,"95,850",16,"136,066",22,"1,940,524",6,"52,154",13,"1,036,607",21,"149,236",22,"236,118",18,"354,830",9,"98,366",14,"256,464",28,"211,861",26,"265,537",15,"29,853",27,"158,142",11,"25,790",28,"110,213",24,"471,542",27,"1,213,644",28,7709952,0,1,1,5,1,4,7,6,3,28,12,5,2,0,0,5,0,0,3,1,0,0,17,2,0,1,1,5,0,0,0,2,18,623,9,371,12,252
24,14,38,55,Parisville,27,"16,102,048",27,"9,861,063",27,"9,230,163",9,"630,900",23,"1,948,526",27,"4,292,459",0,1,5,5,1,12,3,0,0,27,"4,134,413",22,"116,692",19,"45,738",23,"117,838",23,"907,831",9,"69,442",9,"471,945",22,"130,065",25,"161,328",15,"452,253",7,"95,282",11,"356,971",26,"174,724",22,"214,297",9,"21,499",25,"101,285",10,"21,542",25,"109,361",22,"398,175",27,"689,840",27,5701203,0,0,2,1,4,1,12,5,2,27,17,2,2,0,0,3,1,0,1,0,0,1,18,2,0,0,1,3,0,0,1,2,15,"1,065",8,764,9,301
24,14,38,60,Sainte-CÇcile-de-LÇvrard,25,"16,535,246",25,"10,807,700",23,"9,232,100",6,"1,575,600",19,"1,511,845",25,"4,215,701",1,1,2,6,3,6,4,1,1,25,"2,344,036",16,"137,455",12,"37,016",18,"88,003",21,"355,327",6,"32,111",11,"95,639",18,"73,048",18,"121,700",9,"183,426",8,"173,450",5,"9,976",25,"118,691",24,"173,713",7,x,22,"79,310",7,x,25,"77,807",24,"316,932",25,"444,802",25,3046978,0,0,0,4,6,5,6,4,0,25,11,4,1,0,0,3,0,1,5,0,0,0,15,1,0,1,2,3,0,1,1,1,9,502,7,430,4,72
24,14,38,65,Saint-Pierre-les-Becquets,30,"16,590,779",30,"12,036,430",28,"11,106,180",10,"930,250",22,"1,670,950",30,"2,883,399",0,3,5,3,2,13,3,1,0,30,"3,229,428",22,"209,318",19,"66,218",20,"109,317",20,"661,424",6,"64,866",11,"177,086",20,"133,214",25,"179,676",16,"361,147",10,"255,453",10,"105,694",30,"126,570",29,"168,037",9,"17,690",25,"121,308",7,"31,671",29,"117,731",24,"323,974",30,"425,047",30,4139396,0,1,1,3,3,6,11,4,1,30,12,6,1,0,0,4,0,0,3,0,4,0,18,1,0,0,1,4,4,0,2,0,16,830,9,632,8,198
24,14,38,70,Deschaillons-sur-Saint-Laurent,21,"12,654,960",21,"9,017,991",21,"8,413,991",7,"604,000",17,"1,651,348",21,"1,985,621",0,1,3,1,4,11,1,0,0,21,"2,526,665",16,"114,549",18,"29,656",21,"88,731",16,"470,726",3,x,9,"162,634",16,"96,024",17,"153,885",12,"240,664",6,"115,635",8,"125,029",20,"78,572",19,"181,995",5,x,18,"60,645",6,x,21,"85,865",18,"247,916",20,"424,036",21,3355669,1,1,2,0,0,3,8,6,0,20,12,1,1,0,0,1,0,1,3,0,0,1,13,1,0,0,2,1,0,1,1,1,12,499,4,335,10,164
24,14,39,0,Arthabaska,993,"733,365,582",993,"533,354,578",970,"491,414,837",216,"41,939,741",761,"86,185,537",993,"113,825,467",22,48,134,171,150,257,94,43,74,993,"189,116,908",614,"6,088,784",458,"1,967,316",570,"4,008,446",692,"34,017,434",176,"5,572,972",423,"35,600,710",672,"5,527,262",623,"6,261,808",494,"23,644,383",347,"8,894,857",297,"14,749,526",945,"8,327,423",916,"8,743,927",242,"992,163",847,"5,426,368",202,"1,310,175",946,"4,552,821",768,"18,998,432",919,"23,649,456",993,231444681,50,42,53,143,88,99,255,180,83,943,371,181,65,26,1,53,40,14,171,4,5,12,542,65,26,25,36,55,5,14,17,158,494,"51,138",345,"43,140",250,"7,998"
24,14,39,10,Ham-Nord,53,"30,601,300",53,"23,252,520",53,"22,013,620",14,"1,238,900",33,"2,293,771",53,"5,055,009",3,1,12,13,9,11,2,0,2,53,"16,923,750",24,"439,912",12,x,22,"419,658",30,"760,601",8,"100,690",18,"141,008",32,x,24,"180,435",24,x,18,x,16,x,48,x,48,"466,940",5,"4,742",43,"503,105",9,x,50,"257,397",41,"1,335,647",48,"4,250,985",53,18220703,6,8,4,6,5,3,13,7,1,47,14,7,1,0,0,1,3,0,19,0,2,0,20,1,0,1,1,1,2,0,3,18,24,"11,293",16,"10,842",15,451
24,14,39,15,Notre-Dame-de-Ham,20,"3,689,738",20,"2,478,490",19,x,2,x,13,"602,849",20,"608,399",2,0,11,6,0,1,0,0,0,20,"596,905",4,"18,034",0,0,6,"5,050",10,"94,051",2,x,4,"21,503",13,"19,012",5,"13,243",3,x,3,x,1,x,19,x,20,"53,705",3,x,15,"20,715",0,0,19,"32,452",12,"80,971",20,"158,792",20,719825,5,2,2,5,2,1,3,0,0,15,3,5,0,0,0,0,1,0,6,0,0,0,7,0,0,1,1,0,0,0,0,6,3,106,2,x,1,x
24,14,39,20,Saint-RÇmi-de-Tingwick,43,"21,487,822",43,"13,395,577",41,"12,250,277",9,"1,145,300",35,"2,971,571",43,"5,120,674",1,2,7,10,8,11,2,1,1,43,"4,140,000",30,"189,189",15,x,29,"102,781",34,"970,234",7,"446,479",20,"210,458",32,"213,240",27,"134,195",15,"359,978",11,"307,054",7,"52,924",40,x,41,"278,384",10,"20,441",39,"129,003",8,"26,750",42,"140,591",37,"470,864",40,"707,813",43,5311932,2,0,3,12,3,3,14,4,2,41,17,9,1,0,0,2,0,0,12,0,0,0,26,1,0,6,1,2,0,0,1,4,15,"1,275",11,x,5,x
24,14,39,25,Tingwick,92,"60,666,033",92,"43,165,649",91,"37,556,517",19,"5,609,132",70,"7,125,966",92,"10,374,418",4,3,12,23,15,14,13,2,6,92,"11,444,670",52,"364,827",41,"79,327",52,"264,471",61,"2,750,380",16,"186,794",39,"750,103",58,"381,211",56,"343,003",41,"914,648",27,"690,123",18,"224,525",89,"416,864",84,"668,169",27,"139,957",75,"327,788",20,"68,468",92,"335,853",71,"1,803,174",87,"1,836,427",92,14976270,8,2,6,16,14,4,15,21,6,84,30,22,2,0,1,4,4,1,19,0,0,1,51,2,0,4,4,5,0,1,4,13,41,"2,544",27,"2,034",20,510
24,14,39,30,Chesterville,60,"44,397,945",60,"32,797,563",60,"32,047,563",10,"750,000",45,"5,166,968",60,"6,433,414",0,3,9,10,9,17,6,2,4,60,"7,973,981",27,"250,758",19,"44,966",29,"122,106",39,"1,707,463",9,"302,750",23,"1,310,950",37,"334,190",35,"228,952",27,"647,971",20,"487,750",13,"160,221",57,"306,488",57,"617,586",17,"39,887",51,"162,464",11,"25,272",60,"221,690",48,"844,464",57,"1,108,774",60,9804501,2,5,4,10,5,7,15,9,3,58,19,13,2,3,0,1,4,0,12,2,0,2,31,2,3,1,4,1,0,0,0,16,27,"1,403",17,"1,098",14,305
24,14,39,35,Chester-Est,41,"16,561,338",41,"12,338,030",39,"10,953,030",7,"1,385,000",20,"1,284,786",41,"2,938,522",3,6,8,6,5,8,4,1,0,41,"2,805,780",15,"43,756",7,x,12,"14,781",19,"590,803",3,"5,700",10,"409,414",18,"61,218",21,"118,109",16,x,11,x,10,x,41,"163,208",37,"206,506",7,x,32,"120,949",5,"29,217",37,"95,926",25,"211,770",37,"528,355",41,3031964,7,5,5,6,3,5,8,1,1,34,9,3,0,1,0,0,3,0,17,0,0,1,12,0,1,1,0,0,0,0,1,19,16,488,7,287,11,201
24,14,39,42,Saint-Norbert-d'Arthabaska,95,"52,500,537",95,"38,057,768",93,"36,394,268",15,"1,663,500",73,"5,998,431",95,"8,444,338",3,6,17,13,22,20,7,2,5,95,"9,723,968",56,"412,356",36,"92,795",40,"172,463",64,"2,295,184",9,"149,772",33,"1,604,925",61,"388,412",54,"357,106",45,"727,905",30,"469,257",24,"258,648",87,"317,967",89,"526,823",21,"47,612",77,"369,596",15,"31,761",89,"292,847",67,"1,064,837",87,"1,021,379",95,12229026,6,6,3,20,7,7,30,15,1,89,34,22,5,1,0,3,3,0,17,0,0,4,54,5,1,0,2,3,0,0,0,24,45,"2,060",29,"1,804",21,256
24,14,39,62,Victoriaville,107,"82,593,791",107,"60,982,537",103,"55,757,572",28,"5,224,965",75,"9,079,557",107,"12,531,697",1,7,12,16,16,32,9,6,8,107,"39,559,893",64,"536,035",50,"177,336",58,"373,845",69,"3,653,773",13,"194,943",45,"18,062,686",62,"699,483",63,"866,536",55,"6,130,599",37,"1,406,776",38,"4,723,823",98,"917,237",102,"1,064,317",33,"140,064",93,"1,200,235",27,"107,059",97,"807,702",81,"2,285,394",100,"2,537,592",107,46075689,2,5,6,18,9,13,27,13,14,105,37,19,2,10,0,3,4,2,25,0,2,1,55,2,10,0,6,3,2,2,4,21,55,"11,493",41,"9,340",25,"2,153"
24,14,39,77,Warwick,100,"79,673,861",100,"53,339,439",98,"48,479,789",24,"4,859,650",85,"11,163,205",100,"15,171,217",2,6,7,14,11,33,14,8,5,100,"16,575,198",83,"836,568",70,"274,789",77,"562,331",80,"3,128,484",20,"346,801",44,"1,004,878",78,"729,185",77,"755,503",59,"1,658,845",42,"1,231,508",44,"427,337",96,"541,542",90,"902,198",28,"117,454",87,"413,120",22,"171,200",95,"501,813",79,"2,372,851",92,"2,604,437",100,22570742,4,1,6,13,4,3,30,28,11,96,60,9,4,0,0,6,1,2,10,1,1,2,67,4,0,5,3,6,1,2,0,8,59,"4,053",43,"3,530",30,523
24,14,39,85,Saint-Albert,40,"50,545,554",40,"34,081,329",40,"31,648,505",8,"2,432,824",34,"8,845,354",40,"7,618,871",0,1,4,5,3,11,3,6,7,40,"21,825,372",29,"603,418",23,"137,832",27,"306,252",33,"4,628,007",12,"1,367,596",27,"5,756,276",34,"611,433",32,"829,156",33,"2,152,495",28,"1,071,740",21,"1,080,755",36,"846,435",32,"802,528",10,"65,594",36,"495,521",9,"377,215",39,"325,078",37,"1,859,204",38,"2,028,928",40,26137097,0,0,0,1,4,5,7,11,12,40,16,5,5,5,0,7,2,0,0,0,0,0,21,5,5,0,0,7,0,0,0,2,33,"3,942",25,"3,353",19,589
24,14,39,90,Sainte-êlisabeth-de-Warwick,46,"39,152,733",46,"28,603,123",45,"27,564,423",7,"1,038,700",39,"4,849,241",46,"5,700,369",0,1,2,6,9,17,3,3,5,46,"8,090,462",30,"286,247",28,"101,875",33,"195,369",35,"1,965,175",9,"94,479",22,"539,690",36,"323,458",35,"307,203",28,"756,575",17,"532,410",20,"224,165",45,"292,418",44,"642,221",18,"54,530",44,"225,869",8,"43,000",44,"251,750",39,"1,107,926",43,"997,156",46,10951492,0,0,1,2,4,6,17,13,3,46,23,6,5,2,0,5,1,0,4,0,0,0,29,5,2,2,1,5,0,0,1,1,28,"1,593",24,"1,455",9,138
24,14,39,97,Kingsey Falls,30,"22,630,529",30,"17,541,889",27,"16,625,889",7,"916,000",25,"2,469,479",30,"2,619,161",0,0,5,4,3,10,5,1,2,30,"3,768,415",20,"177,087",19,x,21,"133,769",24,"794,552",6,"57,779",12,"445,112",21,"196,391",18,"149,136",14,"363,326",12,"183,033",9,"180,293",29,x,27,"182,799",3,"7,300",26,"148,863",9,"19,831",27,"118,940",21,"348,925",27,"538,195",30,4865391,1,2,0,4,4,4,6,6,3,29,14,6,2,1,0,2,1,0,2,0,0,1,20,2,1,0,1,3,0,0,1,1,14,984,12,840,7,144
24,14,39,105,Sainte-SÇraphine,35,"39,382,143",35,"29,411,434",35,"25,155,434",12,"4,256,000",32,"4,427,810",35,"5,542,899",0,2,1,2,4,9,8,3,6,35,"9,331,980",25,"408,291",22,"140,122",26,"357,302",31,"2,601,569",13,"653,601",23,"1,067,687",29,"318,763",26,"458,579",23,"794,859",20,"550,364",12,"244,495",35,"321,673",34,"472,780",15,"115,047",32,"297,803",13,"85,473",34,"278,515",31,"831,367",32,"782,150",35,11582629,0,0,0,3,2,3,7,12,8,35,11,7,14,0,0,3,0,0,0,0,0,0,17,14,0,0,1,3,0,0,0,0,23,"1,673",15,"1,212",15,461
24,14,39,117,Sainte-Clotilde-de-Horton,64,"46,590,445",64,"35,273,454",62,"31,259,054",16,"4,014,400",55,"5,644,066",64,"5,672,925",0,4,10,12,8,18,4,3,5,64,"8,556,450",41,"339,978",29,"99,190",35,"189,727",50,"2,553,964",17,"387,760",28,"775,223",50,"320,734",43,"381,690",31,"909,693",23,"542,306",17,"367,387",62,"296,074",56,"414,986",9,"8,956",59,"229,693",11,"49,123",62,"230,511",50,"746,377",58,"1,010,531",64,10735231,2,0,2,12,4,11,16,13,4,62,24,12,7,0,0,3,5,0,10,1,0,0,36,7,0,2,5,3,0,0,2,7,31,"2,170",26,"2,008",14,162
24,14,39,130,Saint-Samuel,17,"16,065,511",17,"11,582,792",17,x,3,x,17,"2,021,794",17,"2,460,925",0,0,0,4,1,7,2,0,3,17,"3,409,565",13,"196,259",13,"102,837",13,"138,905",14,"634,286",5,x,8,"213,388",14,"119,958",15,"226,657",10,"255,281",7,x,8,x,17,x,16,"210,226",4,"32,301",16,"125,881",4,x,17,"76,605",13,"443,995",17,"380,436",17,4541975,0,0,0,1,2,2,5,4,3,17,11,4,2,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,10,607,6,447,7,160
24,14,39,135,Saint-Valäre,57,"44,216,252",57,"32,947,567",56,"31,761,497",11,"1,186,070",44,"4,613,460",57,"6,655,225",1,2,10,10,8,12,7,1,6,57,"10,109,410",43,"422,707",32,"158,377",35,"248,437",39,"2,033,844",9,"75,836",29,"2,083,429",38,"346,031",40,"333,274",29,"858,919",17,"402,039",16,"456,880",56,"342,246",53,"452,192",11,"17,106",47,"206,946",10,"19,476",54,"230,527",45,"976,685",54,"1,379,214",57,11608637,3,1,4,7,7,7,13,11,4,54,21,17,2,1,0,6,3,1,3,0,0,0,38,2,1,0,1,6,0,1,0,5,29,"2,111",20,"1,501",15,610
24,14,39,145,Saint-Rosaire,42,"29,872,533",42,"20,799,072",41,"18,658,872",11,"2,140,200",31,"4,265,307",42,"4,808,154",2,2,1,9,9,10,3,3,3,42,"5,204,941",24,"192,039",23,"88,571",23,"175,039",27,"1,434,215",4,x,17,"277,316",29,"198,285",24,"197,914",18,"278,319",10,"127,183",10,"151,136",40,"225,911",38,"312,635",8,"46,516",39,"171,415",10,"76,255",41,"158,867",35,"690,549",40,"681,095",42,6546502,1,2,5,4,3,7,13,4,3,41,15,5,7,1,0,2,3,1,7,0,0,0,20,7,1,1,1,2,0,1,0,8,18,753,8,454,11,299
24,14,39,150,Sainte-Anne-du-Sault,29,"23,520,347",29,"18,120,545",29,"16,937,545",8,"1,183,000",22,"2,391,853",29,"3,007,949",0,2,2,3,5,13,1,1,2,29,"4,311,582",21,"161,632",13,"59,048",18,"128,252",20,"1,081,296",10,"618,876",12,"646,546",19,"103,391",17,"118,019",14,"411,726",9,"218,957",8,"192,769",29,"160,879",27,"181,914",9,"78,429",22,"218,546",8,"22,600",27,"108,282",20,"361,385",22,"469,637",29,5320209,0,1,1,1,2,5,13,4,2,29,9,5,3,0,0,4,2,1,5,0,0,0,14,3,0,1,2,4,0,1,0,4,14,999,9,626,6,373
24,14,39,170,Saint-Louis-de-Blandford,22,"29,217,170",22,"25,185,800",21,"22,886,900",5,"2,298,900",13,"970,069",22,"3,061,301",0,0,4,5,5,3,1,0,4,22,"4,764,586",13,"209,691",6,"203,623",14,"97,908",13,"339,553",4,"19,007",9,"280,118",11,x,11,"263,098",9,"842,031",5,x,5,x,21,"217,990",21,"287,018",4,"36,211",14,"58,856",3,x,20,"87,475",16,"1,162,047",20,"627,560",22,6214866,1,2,1,2,4,3,3,4,2,21,4,5,1,1,0,1,0,6,3,0,0,0,9,1,1,0,2,1,0,6,0,1,9,"1,591",7,962,5,629
24,5,40,0,Asbestos,268,"144,815,539",268,"97,616,206",256,"85,813,512",91,"11,802,694",220,"20,338,053",268,"26,861,280",4,17,42,60,46,66,16,9,8,268,"29,250,745",169,"893,139",82,"179,848",149,"599,497",198,"6,878,473",51,"454,423",129,"4,012,482",197,"982,277",158,"980,802",130,"2,543,909",83,"1,585,109",81,"958,800",259,"1,049,191",254,"1,747,160",59,"281,515",231,"823,611",84,"211,437",249,"860,190",194,"3,440,159",243,"3,767,055",268,35202611,20,11,28,35,40,34,61,28,11,248,90,70,13,0,1,7,12,1,45,4,0,5,158,13,0,8,11,9,0,1,8,40,130,"6,883",88,"5,644",73,"1,239"
24,5,40,5,Saint-Joseph-de-Ham-Sud,20,"7,678,843",20,"5,305,100",20,"4,245,100",7,"1,060,000",13,"738,893",20,"1,634,850",0,2,3,5,6,3,1,0,0,20,"1,097,568",11,"34,936",4,x,7,"9,770",13,"101,125",3,"4,900",8,x,13,"18,724",10,"57,817",8,"123,235",1,x,7,x,19,"80,382",19,"84,633",2,x,16,"43,242",8,"25,749",18,"39,932",18,"158,552",20,"270,205",20,1321642,3,0,1,6,4,2,3,1,0,17,6,3,0,0,0,0,1,0,6,0,0,1,9,0,0,1,1,1,0,0,1,4,8,275,3,199,5,76
24,5,40,10,Saint-Adrien,23,"9,656,203",23,"6,803,100",21,"5,848,800",9,"954,300",14,"1,014,649",23,"1,838,454",0,3,6,3,5,5,1,0,0,23,"1,516,472",11,"52,128",3,x,11,"17,050",13,"219,832",5,"32,780",5,x,14,"54,665",14,"84,048",11,"168,793",6,x,8,x,21,"72,079",23,"117,886",5,x,20,"40,990",11,"14,146",22,"54,667",20,"213,302",21,"311,995",23,1779911,1,1,4,1,5,5,4,2,0,22,7,3,0,0,1,0,0,0,10,1,0,0,10,0,0,1,2,1,0,0,1,7,11,468,5,245,7,223
24,5,40,17,Wotton,74,"45,319,770",74,"29,898,711",71,"27,272,411",30,"2,626,300",62,"6,521,014",74,"8,900,045",2,4,9,13,14,21,5,3,3,74,"8,794,069",50,"354,813",26,"67,753",44,"238,504",58,"1,641,571",14,"180,006",39,"385,804",55,"326,488",40,"266,987",45,"1,114,881",34,"761,848",25,"353,033",71,"343,022",71,"644,961",21,"90,729",67,"269,327",29,"83,579",71,"290,070",61,"1,400,010",69,"1,275,570",74,11269542,4,2,8,8,7,7,21,13,4,70,33,10,5,0,0,1,5,0,13,2,0,1,43,5,0,2,5,1,0,0,0,14,45,"2,864",33,"2,401",25,463
24,5,40,25,Saint-Camille,33,"18,707,620",33,"12,926,189",30,"11,706,135",13,"1,220,054",31,"2,511,931",33,"3,269,500",1,3,3,4,6,11,2,3,0,33,"2,945,095",25,"127,260",14,"29,967",21,"66,355",24,"573,203",6,"38,430",18,"99,345",24,"142,474",21,"97,929",16,"245,928",11,"156,538",11,"89,390",33,"135,348",32,"193,988",10,"33,000",27,"88,980",8,"12,124",29,"119,608",21,"496,192",29,"483,394",33,3880509,3,1,4,3,4,4,11,2,1,30,16,9,1,0,0,2,0,0,1,0,0,1,25,1,0,0,0,2,0,0,1,1,16,785,10,580,12,205
24,5,40,32,Saint-Georges-de-Windsor,51,"32,917,032",51,"22,233,906",49,"19,208,366",15,"3,025,540",40,"5,218,841",51,"5,464,285",1,3,6,15,5,13,3,0,5,51,"7,264,255",29,"151,555",14,"34,002",26,"166,545",34,"2,030,452",9,"88,430",24,"1,948,835",35,"179,368",30,"210,743",21,"363,537",13,"218,070",13,"145,467",49,"182,570",42,"317,894",6,"24,722",40,"208,211",17,"54,864",47,"181,020",32,"599,188",41,"610,749",51,8329006,4,3,6,5,10,6,10,4,3,47,12,15,5,0,0,3,3,1,8,0,0,0,27,5,0,1,0,3,0,1,3,7,21,"1,213",17,"1,076",12,137
24,5,40,47,Danville,67,"30,536,071",67,"20,449,200",65,"17,532,700",17,"2,916,500",60,"4,332,725",67,"5,754,146",0,2,15,20,10,13,4,3,0,67,"7,633,286",43,"172,447",21,"40,538",40,"101,273",56,"2,312,290",14,"109,877",35,"1,463,984",56,"260,558",43,"263,278",29,"527,535",18,"376,682",17,"150,853",66,"235,790",67,"387,798",15,"111,009",61,"172,861",11,"20,975",62,"174,893",42,"572,915",63,"815,142",67,8622001,5,4,5,12,10,10,12,6,3,62,16,30,2,0,0,1,3,0,7,1,0,2,44,2,0,3,3,1,0,0,2,7,29,"1,278",20,"1,143",12,135
24,5,41,0,Le Haut-Saint-Franáois,495,"263,272,937",495,"185,277,390",482,"168,070,455",153,"17,206,935",359,"31,667,357",495,"46,328,190",12,22,80,114,92,108,43,13,11,495,"47,785,222",320,"1,618,530",154,"512,845",258,"1,153,037",334,"9,076,213",93,"2,029,688",214,"6,912,700",329,"1,469,291",266,"2,016,372",224,"4,818,002",146,"2,390,063",156,"2,427,939",475,"1,925,330",465,"2,761,574",88,"487,580",396,"1,363,002",147,"277,623",460,"1,326,502",333,"4,699,182",455,"7,367,439",495,56328592,36,27,42,90,88,66,86,38,22,459,92,175,22,3,0,5,37,8,106,5,1,5,259,22,3,6,18,5,3,8,46,89,224,"11,499",113,"7,669",151,"3,830"
24,5,41,12,Saint-Isidore-de-Clifton,47,"23,587,481",47,"15,670,083",47,"14,553,683",14,"1,116,400",37,"3,340,596",47,"4,576,802",2,3,4,10,14,10,1,3,0,47,"4,093,186",37,"157,470",20,"40,106",31,"93,303",34,"523,014",10,"21,791",26,"694,977",34,"126,586",31,"241,805",23,"218,946",14,"165,039",14,"53,907",46,"191,589",45,"295,236",3,x,39,"99,929",14,x,47,"122,735",36,"611,900",44,"652,789",47,4425794,1,2,2,5,12,8,14,3,0,46,9,20,1,0,0,0,0,1,13,1,0,1,28,1,0,1,3,0,0,1,6,6,23,692,12,576,12,116
24,5,41,27,La Patrie,41,"19,432,651",41,"14,802,204",40,"13,986,604",8,"815,600",24,"1,953,387",41,"2,677,060",1,2,7,7,14,6,3,0,1,41,"2,937,814",27,"141,907",13,"26,618",22,"99,800",22,"280,255",7,"49,729",14,"128,855",22,"101,324",19,"260,090",16,"383,156",9,"102,559",12,"280,597",41,"153,174",40,"208,578",7,"66,912",30,"117,725",13,"29,025",33,"105,327",26,"303,726",37,"531,342",41,3453313,2,5,4,10,3,5,6,6,0,39,8,10,0,0,0,0,4,0,17,0,0,0,17,0,0,0,4,0,0,0,6,12,16,951,9,571,10,380
24,5,41,35,Newport,43,"31,050,330",43,"21,507,818",42,"18,719,418",15,"2,788,400",34,"4,578,283",43,"4,964,229",0,3,11,6,4,10,3,3,3,43,"6,559,246",26,"82,297",13,"29,247",20,"84,030",30,"1,708,177",9,x,21,"1,932,283",27,"178,600",16,"115,216",21,"407,874",13,"158,290",18,"249,584",42,"190,466",40,"207,455",9,"120,474",37,"137,119",14,"34,436",40,"138,129",26,"464,217",43,"729,226",43,7684031,5,1,4,8,7,5,5,2,6,38,7,15,3,0,0,0,2,0,11,0,0,0,22,3,0,1,1,0,0,0,1,10,21,"1,037",9,485,18,552
24,5,41,50,Eaton,155,"94,008,622",155,"65,426,140",151,"60,974,365",47,"4,451,775",121,"10,954,471",155,"17,628,011",5,4,19,33,26,41,17,4,6,155,"18,353,319",108,"716,756",48,"291,971",80,"456,860",112,"3,739,929",29,"626,878",79,"2,004,964",107,"427,200",100,"866,102",70,"2,317,196",43,"1,039,863",51,"1,277,333",151,"678,723",144,"951,855",31,"141,259",127,"451,267",46,"95,671",147,"472,853",106,"1,707,164",143,"3,033,549",155,22438923,10,6,13,27,22,20,32,15,10,145,32,58,11,3,0,2,14,2,20,2,0,1,89,11,3,2,3,2,2,2,12,19,70,"5,094",39,"3,641",46,"1,453"
24,5,41,55,Ascot Corner,20,"8,789,634",20,"6,193,900",20,"5,368,900",5,"825,000",12,"819,933",20,"1,775,801",1,2,2,4,5,5,1,0,0,20,"1,621,379",13,"59,653",7,"12,125",13,"37,352",12,"273,836",1,x,9,"423,663",10,"38,788",5,"16,791",10,"127,822",7,"72,796",6,"55,026",19,"75,691",19,"83,052",3,x,17,"39,597",7,x,17,"32,484",12,"107,273",20,"277,399",20,1804898,3,1,1,3,4,4,1,2,1,17,1,7,1,0,0,0,2,1,5,0,0,0,7,1,0,0,1,0,0,1,3,4,10,397,4,175,8,222
24,5,41,65,Westbury,29,"11,869,137",29,"7,614,898",28,"7,131,148",8,"483,750",26,"2,032,022",29,"2,222,217",0,3,2,10,6,6,2,0,0,29,"4,287,037",20,"70,281",9,"18,313",18,"210,814",24,"1,229,798",9,"102,947",16,"1,038,499",24,"96,701",11,"58,116",13,"360,702",9,"224,053",9,"136,649",27,"126,966",27,"160,796",4,"13,384",23,"127,951",5,"7,650",29,"88,888",17,"321,286",25,"356,892",29,4861870,3,2,2,5,5,1,5,3,3,26,10,11,2,0,0,0,1,0,2,0,0,0,21,2,0,0,1,0,0,0,1,1,13,710,6,508,10,202
24,5,41,70,Bury,49,"24,305,703",49,"18,062,737",47,"15,887,537",16,"2,175,200",33,"2,284,456",49,"3,958,510",1,1,9,16,9,5,5,3,0,49,"2,992,627",27,"97,701",9,"35,607",19,"25,803",32,"311,116",8,"46,740",15,"370,615",34,"162,658",22,"176,724",22,"230,227",15,"130,278",12,"99,949",45,"169,880",46,"242,210",6,"25,663",38,"182,708",12,"17,538",44,"115,510",32,"319,795",43,"508,872",49,2923196,5,7,7,7,8,8,5,1,1,44,5,16,1,0,0,1,5,1,14,1,0,0,20,1,0,2,2,1,0,1,4,13,22,764,11,514,13,250
24,5,41,85,Lingwick,30,"14,458,321",30,"11,245,720",28,"10,411,320",11,"834,400",17,"1,033,721",30,"2,178,880",0,1,7,7,6,7,1,0,1,30,"1,878,868",16,"98,749",8,"32,320",10,"40,936",17,"172,297",6,x,9,"143,800",17,"67,735",15,"109,198",10,"187,622",9,"148,214",5,"39,408",29,"102,007",29,"187,539",5,"29,737",22,"39,525",9,"25,480",27,"48,889",23,"246,245",27,"346,789",30,2257368,2,2,1,6,10,6,2,0,1,28,3,10,0,0,0,1,3,0,10,0,0,1,12,0,0,0,1,1,0,0,5,9,10,328,6,249,4,79
24,5,41,98,Weedon,48,"22,907,448",48,"15,780,860",48,"13,611,970",13,"2,168,890",31,"2,953,009",48,"4,173,579",1,1,10,15,3,11,7,0,0,48,"3,226,601",25,"85,729",20,"19,310",29,"68,566",28,"535,241",9,"173,109",15,"114,775",29,"187,079",26,"89,363",24,"389,949",17,"246,842",19,"143,107",46,"150,474",45,"244,214",14,"64,892",40,"85,307",14,"14,136",47,"138,810",33,"403,910",44,"634,846",48,4260081,3,0,5,10,11,5,9,5,0,45,9,15,3,0,0,1,2,1,10,1,1,2,23,3,0,0,2,1,1,1,7,7,24,950,11,536,16,414
