AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,VALMCH,NTOTTRC,TOTTRC,NTTRC20,TTRC20,VTRC20,NTTRC50,TTRC50,VTRC50,NTTRC100,TTRC100,VTRC100,NTTRC150,TTRC150,VTRC150,NTOTTRK,TOTTRK,TVALTRK,NTOTCOMB,TOTCOMB,NSPCOMB,SPCOMB,VSPCOMB,NPTCOMB,PTCOMB,VPTCOMB,NSWTHER,SWTHER,NSPSWTH,SPSWTH,VSPSWTH,NPTSWTH,PTSWTH,VPTSWTH,NTOTBAL,TOTBAL,NBALSML,BALSML,VBALSML,NBALLRG,BALLRG,VBALLRG,NHARVST,HARVST,VHARVST,NAUTMBL,AUTMBL,VALATO,NVALOEQ,VALOEQ
240652480,24,6,52,480,2452480,NOTRE-DAME-DE-BON-SECOURS,34,"1,651,021",30,71,21,31,"101,300",21,29,"232,000",10,10,"201,800",1,1,x,18,18,"55,500",12,12,12,12,"208,900",0,0,0,5,5,4,4,x,1,1,x,21,22,21,21,"25,800",1,1,x,5,5,x,29,36,"104,003",25,"611,958"
240652550,24,6,52,550,2452550,SAINT-MATHIAS,69,"2,485,132",59,136,45,67,"185,600",41,63,"511,300",3,3,x,2,3,x,26,34,"121,900",17,17,12,12,"296,400",5,5,x,12,13,11,12,"37,600",1,1,x,33,35,32,34,"64,400",1,1,x,6,7,"20,200",54,71,"226,632",49,"774,400"
240652600,24,6,52,600,2452600,SAINT-JEAN-BAPTISTE,106,"5,109,496",95,248,77,114,"378,530",66,100,"785,408",20,24,"394,093",10,10,"350,753",60,86,"290,250",22,22,19,19,"602,100",3,3,x,9,9,3,3,"9,500",6,6,"13,800",32,34,31,33,"78,900",1,1,x,18,18,"90,300",85,105,"387,874",81,"1,713,488"
240652780,24,6,52,780,2452780,MONT-SAINT-HILAIRE,63,"1,266,125",51,121,42,76,"263,250",20,38,"226,800",3,5,x,2,2,x,24,30,"82,900",3,3,3,3,x,0,0,0,2,2,1,1,x,1,1,x,5,5,5,5,"17,900",0,0,0,0,0,0,42,53,"176,200",34,"368,675"
240653000,24,6,53,0,2453000,IBERVILLE,509,"30,454,453",468,"1,282",323,476,"1,531,143",345,637,"5,566,570",119,134,"2,857,200",31,35,"1,300,400",245,294,"1,149,300",71,72,62,63,"1,785,999",9,9,x,89,93,44,44,"167,600",49,49,"148,735",292,303,291,301,"722,640",2,2,x,167,183,"1,091,745",436,569,"1,907,063",409,"12,201,558"
240653120,24,6,53,120,2453120,SAINT-SEBASTIEN,61,"5,524,223",59,185,39,55,"163,600",48,96,"906,950",22,23,"474,500",8,11,"404,000",33,43,"237,200",15,15,15,15,"606,700",0,0,0,14,14,6,6,"16,900",8,8,"30,500",39,40,39,40,"108,650",0,0,0,24,27,"136,200",53,72,"277,968",54,"2,161,055"
240653280,24,6,53,280,2453280,HENRYVILLE,71,"4,400,873",69,190,42,57,"206,800",54,106,"972,900",22,25,"536,500",2,2,x,39,44,"127,500",8,8,7,7,"140,100",1,1,x,13,14,4,4,x,10,10,"27,650",45,46,45,45,"154,980",1,1,x,31,33,"161,245",64,82,"266,173",49,"1,713,725"
240653320,24,6,53,320,2453320,SAINTE-ANNE-DE-SABREVOIS,41,"3,595,770",38,119,18,31,"75,200",30,64,"500,100",12,16,"328,000",7,8,"305,000",25,32,"116,050",7,7,4,4,"206,000",3,3,"4,000",11,11,8,8,"29,200",3,3,"4,300",20,21,20,21,"66,860",0,0,0,17,20,"169,250",37,48,"175,250",38,"1,616,560"
240653480,24,6,53,480,2453480,SAINT-ALEXANDRE,89,"5,366,552",84,232,63,90,"336,000",64,117,"1,046,200",22,24,"512,500",1,1,x,41,45,"120,200",12,12,10,10,"206,000",2,2,x,14,14,9,9,x,5,5,"18,500",62,63,61,62,"125,300",1,1,x,34,36,"200,250",76,99,"341,670",75,"2,401,932"
240653510,24,6,53,510,2453510,SAINTE-BRIGIDE-D'IBERVILLE,91,"4,873,369",78,184,44,55,"152,100",57,96,"913,200",25,28,"654,700",5,5,"223,000",44,51,"187,125",8,8,8,8,"240,200",0,0,0,14,15,7,7,"30,200",8,8,"21,485",43,44,43,44,"94,700",0,0,0,26,28,"239,500",83,108,"308,053",76,"1,809,106"
240653600,24,6,53,600,2453600,SAINT-GREGOIRE-LE-GRAND,95,"3,945,621",87,227,71,115,"381,723",57,98,"733,720",8,9,"147,500",5,5,x,47,55,"245,525",12,12,10,10,"193,999",2,2,x,13,15,6,6,x,9,9,"24,200",46,50,46,50,"104,100",0,0,0,21,23,"108,100",80,105,"369,849",69,"1,490,505"
240653780,24,6,53,780,2453780,SAINT-ATHANASE,61,"2,748,045",53,145,46,73,"215,720",35,60,"493,500",8,9,"203,500",3,3,"151,000",16,24,"115,700",9,10,8,9,"193,000",1,1,x,10,10,4,4,x,6,6,"22,100",37,39,37,39,"68,050",0,0,0,14,16,"77,200",43,55,"168,100",48,"1,008,675"
240654000,24,6,54,0,2454000,MISSISQUOI,779,"36,930,705",730,"1,863",575,870,"2,706,397",469,824,"7,122,443",122,138,"2,877,600",25,31,"1,086,500",418,511,"1,856,084",77,78,61,62,"1,790,200",16,16,x,96,103,36,37,"128,525",63,66,"183,400",434,460,431,457,"1,104,515",3,3,x,216,243,"1,260,935",632,839,"2,797,534",626,"13,984,572"
240654160,24,6,54,160,2454160,FRELIGHSBURG,62,"1,906,891",58,128,47,75,"276,100",33,47,"451,600",4,6,x,0,0,0,30,37,"122,736",3,3,0,0,0,3,3,"2,000",5,5,2,2,x,3,3,"1,900",24,25,24,25,"46,900",0,0,0,8,8,"38,900",47,60,"198,300",46,"667,155"
240654200,24,6,54,200,2454200,SAINT-ARMAND-OUEST,69,"2,922,355",65,179,51,89,"244,750",43,76,"620,483",9,12,"193,500",2,2,x,47,54,"187,200",12,12,9,9,"121,000",3,3,x,10,11,4,4,x,7,7,"27,800",49,54,48,53,"122,450",1,1,x,29,34,"91,700",60,78,"266,600",53,"945,372"
240654260,24,6,54,260,2454260,SAINT-GEORGES-DE-CLARENCEVILLE,49,"2,880,780",44,109,32,46,"138,600",28,53,"534,400",6,8,"179,000",1,2,x,22,29,"110,900",4,4,3,3,x,1,1,x,10,10,3,3,x,7,7,x,32,32,31,31,"99,580",1,1,x,17,17,"168,100",41,56,"205,000",39,"1,143,000"
240654280,24,6,54,280,2454280,NOYAN,32,"4,148,281",32,122,21,39,"159,700",26,60,"606,800",16,19,"434,800",4,4,"165,000",23,33,"145,351",10,10,9,9,"456,600",1,1,x,5,5,1,1,x,4,4,x,26,27,26,27,"83,600",0,0,0,17,20,"122,300",28,42,"134,191",29,"1,820,039"
240654310,24,6,54,310,2454310,ST-PIERRE-DE-VERONNE,60,"4,026,497",55,170,46,62,"169,147",45,77,"608,400",24,25,"535,000",3,6,"170,000",34,42,"182,021",13,14,12,13,"388,000",1,1,x,9,10,7,7,"30,700",3,3,x,35,37,34,36,"95,100",1,1,x,21,24,"147,975",47,71,"200,124",43,"1,486,530"
240654380,24,6,54,380,2454380,BEDFORD,39,"1,139,710",37,72,31,45,"125,700",14,21,"208,000",4,5,"94,000",1,1,x,17,22,"88,700",3,3,3,3,x,0,0,0,2,2,0,0,0,2,2,x,13,14,13,14,"25,650",0,0,0,7,7,x,30,47,"168,800",35,"331,235"
240654400,24,6,54,400,2454400,STANBRIDGE,46,"1,901,911",42,108,36,61,"180,900",26,43,"380,100",3,3,x,1,1,x,24,30,"111,200",4,4,4,4,"187,300",0,0,0,6,7,1,1,x,5,6,"13,950",30,31,30,31,"51,300",0,0,0,12,15,"41,800",37,44,"142,500",38,"741,861"
240654450,24,6,54,450,2454450,DUNHAM,192,"6,144,436",179,378,142,204,"636,150",99,162,"1,321,660",10,10,"266,000",2,2,x,97,116,"406,700",11,11,5,5,"78,500",6,6,x,23,23,9,9,"21,800",14,14,"44,000",92,95,92,95,"215,960",0,0,0,32,37,"137,360",151,193,"693,704",160,"2,246,202"
240654520,24,6,54,520,2454520,SAINT-IGNACE-DE-STANBRIDGE,64,"2,993,350",61,162,47,66,"210,700",39,80,"656,700",10,10,"123,500",4,6,"157,500",37,42,"140,200",3,3,3,3,"100,000",0,0,0,5,6,2,2,x,3,4,x,34,39,34,39,"104,300",0,0,0,20,21,"89,300",55,71,"235,965",49,"1,160,585"
240654600,24,6,54,600,2454600,NOTRE-DAME-DE-STANBRIDGE,46,"1,735,706",45,108,38,58,"134,300",28,42,"315,400",7,7,"180,000",1,1,x,20,24,"95,201",5,5,5,5,"77,000",0,0,0,2,2,1,1,x,1,1,x,29,29,29,29,"60,900",0,0,0,14,16,x,38,48,"137,950",40,"651,055"
240654700,24,6,54,700,2454700,SAINTE-SABINE,55,"3,370,955",52,156,39,57,"171,400",41,77,"654,200",17,18,"451,000",4,4,"210,000",29,36,"110,800",2,2,2,2,x,0,0,0,14,16,4,4,x,11,12,"38,950",33,36,33,36,"80,725",0,0,0,17,18,"165,800",44,58,"156,100",44,"1,301,155"
240654780,24,6,54,780,2454780,RAINVILLE,65,"3,759,833",60,171,45,68,"258,950",47,86,"764,700",12,15,"281,500",2,2,x,38,46,"155,075",7,7,6,6,"138,000",1,1,x,5,6,2,3,x,3,3,"7,675",37,41,37,41,"118,050",0,0,0,22,26,"188,700",54,71,"258,300",50,"1,490,383"
240656000,24,6,56,0,2456000,CHAMBLY,148,"6,110,557",130,326,103,160,"518,100",80,140,"1,104,670",17,21,"366,500",5,5,"196,500",81,110,"400,600",45,46,36,36,"569,000",10,10,x,28,30,23,23,"88,300",7,7,"21,900",71,76,70,75,"190,450",1,1,x,14,14,"35,500",104,132,"423,637",130,"2,183,000"
240656200,24,6,56,200,2456200,CARIGNAN,48,"1,796,237",40,105,34,57,"169,150",20,36,"309,450",8,10,"148,000",2,2,x,26,29,"88,450",18,18,14,14,"114,000",4,4,x,13,14,11,11,"56,800",3,3,"10,000",26,27,26,27,"66,000",0,0,0,2,2,x,38,47,"165,687",37,"600,300"
240656280,24,6,56,280,2456280,SAINT-BASILE-LE-GRAND,15,"800,100",13,35,9,12,x,12,19,"139,500",2,2,x,2,2,x,9,12,x,8,8,7,7,"140,000",1,1,x,4,4,4,4,"10,500",0,0,0,10,10,10,10,"16,550",0,0,0,4,4,"11,000",12,19,x,13,"246,900"
240656310,24,6,56,310,2456310,SAINT-BRUNO-DE-MONTARVILLE,22,x,19,41,19,25,"74,050",10,12,"64,720",3,4,x,0,0,0,10,13,"53,000",2,3,2,2,x,1,1,x,2,2,2,2,x,0,0,0,5,6,5,6,x,0,0,0,1,1,x,14,16,"51,500",20,"260,350"
240656400,24,6,56,400,2456400,SAINT-HUBERT,22,"1,038,600",21,45,12,17,"45,900",11,24,"177,500",2,3,x,1,1,x,12,15,"59,800",5,5,5,5,x,0,0,0,4,5,3,3,x,2,2,x,10,11,9,10,"44,000",1,1,x,1,1,x,16,19,"62,800",19,"428,900"
240656650,24,6,56,650,2456650,LONGUEUIL,10,x,8,11,3,3,x,6,8,"39,500",0,0,0,0,0,0,2,3,x,1,1,0,0,0,1,1,x,0,0,0,0,0,0,0,0,2,2,2,2,x,0,0,0,1,1,x,1,1,x,10,"55,600"
240656750,24,6,56,750,2456750,BOUCHERVILLE,31,"1,670,450",29,89,26,46,"189,700",21,41,"374,000",2,2,x,0,0,0,22,38,"150,700",11,11,8,8,"152,000",3,3,x,5,5,3,3,"7,000",2,2,x,18,20,18,20,"45,100",0,0,0,5,5,"11,700",23,30,"96,400",31,"590,950"
240657000,24,6,57,0,2457000,VERCHERES,525,"18,921,490",481,"1,108",372,507,"1,413,522",340,534,"4,270,301",55,59,"1,115,900",7,8,"225,000",218,261,"828,173",150,152,131,133,"1,481,450",19,19,x,87,92,51,52,"158,150",39,40,"118,559",283,300,283,299,"582,865",1,1,x,106,110,"385,236",426,506,"1,571,663",410,"6,740,411"
240657200,24,6,57,200,2457200,SAINT-MATHIEU-DE-BELOEIL,63,"2,760,055",59,149,46,69,"201,100",44,66,"590,500",11,13,"259,000",1,1,x,25,28,"91,600",19,20,16,17,"191,100",3,3,x,13,13,10,10,"39,950",3,3,x,39,40,39,40,"95,975",0,0,0,19,19,"73,100",54,61,"194,220",48,"968,710"
240657280,24,6,57,280,2457280,SAINTE-JULIE,39,"1,376,882",33,80,29,36,"102,700",24,40,"293,000",4,4,"65,000",0,0,0,17,25,"112,800",13,13,13,13,"105,500",0,0,0,4,4,0,0,0,4,4,x,18,18,18,18,"45,700",0,0,0,3,3,x,30,41,"133,810",29,"501,272"
240657320,24,6,57,320,2457320,VARENNES,66,"2,483,762",60,149,44,65,"153,300",47,72,"541,502",6,8,"146,500",3,4,"54,000",24,26,"74,900",28,28,27,27,"315,800",1,1,x,18,19,14,14,"39,100",5,5,x,46,51,46,51,"96,250",0,0,0,12,12,"30,750",55,64,"194,100",57,"827,560"
240657400,24,6,57,400,2457400,SAINT-AMABLE,51,"1,429,415",46,86,27,36,"131,800",25,45,"364,500",5,5,"74,000",0,0,0,33,46,"170,278",0,0,0,0,0,0,0,0,1,1,1,1,x,0,0,0,5,5,5,5,x,0,0,0,0,0,0,39,45,"142,200",38,"541,637"
240657480,24,6,57,480,2457480,SAINT-MARC-SUR-RICHELIEU,71,"3,437,766",66,180,54,74,"205,222",53,97,"831,442",8,8,"158,500",1,1,x,24,28,"72,973",18,18,17,17,"246,500",1,1,x,14,16,8,8,x,7,8,"32,300",45,47,45,47,"109,986",0,0,0,26,29,"114,800",61,75,"248,210",56,"1,361,033"
240657520,24,6,57,520,2457520,VERCHERES,96,"2,841,633",91,190,73,100,"266,400",60,84,"628,575",5,5,x,1,1,x,38,45,"102,000",31,32,24,25,"303,000",7,7,x,13,13,5,5,"15,500",8,8,"16,900",51,54,51,54,"84,200",0,0,0,18,19,"48,300",77,90,"314,325",82,"981,233"
240657600,24,6,57,600,2457600,CALIXA-LAVALLEE,28,"1,040,280",27,61,22,27,"61,150",21,29,"247,200",5,5,"99,000",0,0,0,8,9,"21,800",9,9,9,9,"52,000",0,0,0,8,9,6,7,"25,400",2,2,x,20,21,20,21,"34,500",0,0,0,8,8,x,25,32,"78,750",26,"390,480"
240657700,24,6,57,700,2457700,SAINT-ANTOINE-SUR-RICHELIEU,75,"3,009,847",69,164,55,73,"238,550",51,80,"607,432",10,10,"248,900",1,1,x,36,41,"140,922",25,25,18,18,"223,550",7,7,x,14,14,5,5,x,9,9,"28,859",47,52,47,51,"86,154",1,1,x,15,15,"70,286",57,67,"177,348",58,"1,078,386"
240657780,24,6,57,780,2457780,CONTRECOEUR,36,"541,850",30,49,22,27,"53,300",15,21,"166,150",1,1,x,0,0,0,13,13,"40,900",7,7,7,7,"44,000",0,0,0,2,3,2,2,x,1,1,x,12,12,12,12,x,0,0,0,5,5,x,28,31,"88,700",16,"90,100"
240700000,24,7,0,0,2400000,S.O. DE MONTREAL - S.W. MONTREAL,"4,124","190,946,813","3,807","9,682","2,912","4,653","14,364,990","2,528","4,185","36,546,051",597,658,"14,166,400",167,186,"6,016,700","2,289","2,873","10,702,555",950,980,723,737,"13,796,320",239,243,"503,740",636,683,411,413,"1,412,271",253,270,"697,700","2,091","2,164","2,070","2,132","4,254,157",32,32,"135,550",962,"1,045","4,489,290","3,372","4,169","14,429,588","3,425","69,431,501"
240755000,24,7,55,0,2455000,SAINT-JEAN,373,"20,021,339",341,907,237,358,"978,550",248,447,"3,966,931",75,83,"1,766,100",17,19,"636,000",176,210,"648,476",110,112,91,92,"1,775,900",19,20,"44,300",86,90,61,62,"190,750",27,28,"83,600",214,226,209,220,"475,100",6,6,"24,300",107,113,"546,875",314,386,"1,259,701",326,"7,624,756"
240755180,24,7,55,180,2455180,NOTRE-DAME-DU-MONT-CARMEL,39,"2,842,750",38,109,24,38,"158,400",30,59,"632,000",10,11,"225,000",1,1,x,21,25,"78,300",8,8,3,3,"12,000",5,5,"13,500",6,6,4,4,"21,150",2,2,x,30,33,29,32,"83,300",1,1,x,18,22,"116,200",36,47,"123,800",39,"1,345,700"
240755200,24,7,55,200,2455200,SAINT-BERNARD-DE-LACOLLE,94,"4,028,440",83,205,62,91,"256,600",57,103,"937,300",10,11,"252,000",0,0,0,42,47,"134,850",31,32,23,23,"241,700",8,9,"22,300",20,21,17,17,"29,900",4,4,x,57,59,56,58,"100,150",1,1,x,27,27,"91,500",80,100,"368,050",82,"1,571,090"
240755300,24,7,55,300,2455300,SAINT-VALENTIN,33,"2,234,275",28,103,24,45,"114,300",23,42,"402,200",11,13,"263,500",3,3,"92,000",17,20,"65,600",10,11,8,9,"204,000",2,2,x,7,7,4,4,"19,800",3,3,"4,300",22,23,21,22,"44,800",1,1,x,15,15,"148,375",29,38,"125,200",29,"741,700"
240755380,24,7,55,380,2455380,SAINT-PAUL-DE-L'ILE-AUX-NOIX,30,"2,129,675",29,77,19,26,"55,500",21,40,"339,500",6,8,"137,500",1,3,x,10,12,"45,700",8,8,7,7,"138,500",1,1,x,7,7,5,5,x,2,2,x,19,20,19,20,"50,000",0,0,0,14,14,x,29,36,"132,500",24,"952,075"
240755450,24,7,55,450,2455450,SAINT-BLAISE,50,"3,308,604",48,139,28,35,"83,350",43,88,"729,500",13,13,"279,000",3,3,"93,000",23,24,"53,176",18,18,18,18,"403,500",0,0,0,14,16,8,9,"32,200",6,7,x,31,33,30,32,"96,200",1,1,x,20,21,"79,800",43,53,"162,200",45,"1,280,878"
240755550,24,7,55,550,2455550,SAINT-JEAN-SUR-RICHELIEU,27,"892,300",22,51,13,19,"34,600",17,26,"209,500",4,4,"67,000",2,2,x,10,14,"43,800",5,5,5,5,"105,500",0,0,0,3,3,1,1,x,2,2,x,7,7,7,7,"15,000",0,0,0,2,2,x,21,22,"61,600",23,"260,700"
240755650,24,7,55,650,2455650,L'ACADIE,70,"3,576,895",66,159,45,70,"205,000",42,65,"534,731",18,19,"400,100",5,5,"112,000",39,47,"148,450",20,20,18,18,"568,000",2,2,x,22,23,16,16,"53,900",7,7,"31,800",35,37,34,35,"65,900",2,2,x,8,8,"24,000",58,70,"208,001",59,"1,219,013"
240755750,24,7,55,750,2455750,SAINT-LUC,30,"1,008,400",27,64,22,34,"70,800",15,24,"182,200",3,4,"142,000",2,2,x,14,21,"78,600",10,10,9,9,"102,700",1,1,x,7,7,6,6,x,1,1,x,13,14,13,14,"19,750",0,0,0,3,4,x,18,20,"78,350",25,"253,600"
240766000,24,7,66,0,2466000,LAPRAIRIE                      *,382,"16,583,778",353,882,256,402,"1,112,167",242,392,"3,078,450",60,63,"1,277,500",20,25,"693,500",219,286,"1,029,601",133,134,125,126,"2,016,700",8,8,x,100,111,88,89,"277,550",15,22,"53,950",184,188,183,187,"443,450",1,1,x,51,54,"153,875",299,382,"1,277,068",302,"5,140,467"
240766120,24,7,66,120,2466120,SAINT-JACQUES-LE-MINEUR,85,"4,398,205",79,211,52,87,"254,900",54,85,"625,500",20,22,"377,000",12,17,"420,000",46,53,"154,400",33,33,31,31,"674,600",2,2,x,25,34,23,24,"94,050",4,10,"25,000",39,40,38,39,"99,800",1,1,x,11,12,"24,350",67,76,"262,280",65,"1,375,325"
240766200,24,7,66,200,2466200,SAINT-MATHIEU,51,"1,441,925",50,104,40,58,"178,357",31,39,"267,500",5,5,x,2,2,x,33,39,"114,426",18,18,15,15,x,3,3,x,11,11,8,8,x,3,3,x,19,20,19,20,"72,550",0,0,0,2,2,x,41,48,"161,800",46,"359,492"
240766280,24,7,66,280,2466280,SAINT-PHILIPPE,72,"2,375,863",67,143,48,71,"155,100",41,62,"392,400",8,9,"228,500",1,1,x,36,39,"124,900",30,30,29,29,"385,300",1,1,x,27,27,23,23,"55,700",4,4,"11,700",45,45,45,45,"94,950",0,0,0,8,8,x,57,76,"266,388",56,"579,725"
240766300,24,7,66,300,2466300,LA PRAIRIE,17,x,15,32,9,15,"24,100",7,15,"81,000",1,1,x,1,1,x,12,16,"25,500",6,6,5,5,"123,000",1,1,x,5,5,4,4,x,1,1,x,10,10,10,10,"15,800",0,0,0,1,1,x,15,19,"58,400",12,"110,700"
240766380,24,7,66,380,2466380,BROSSARD,19,x,19,43,13,24,"57,950",10,15,"99,450",4,4,"128,000",0,0,0,12,20,"181,500",2,2,2,2,x,0,0,0,2,2,2,2,x,0,0,0,4,4,4,4,"15,800",0,0,0,0,0,0,6,8,"33,300",18,"118,800"
240766700,24,7,66,700,2466700,SAINT-CONSTANT,65,"2,602,975",55,144,46,70,"216,500",41,66,"560,800",8,8,"141,500",0,0,0,40,56,"170,500",21,22,21,22,"224,700",0,0,0,17,18,16,16,"51,800",1,2,x,27,29,27,29,"63,150",0,0,0,8,8,x,52,67,"200,400",43,"947,000"
240766780,24,7,66,780,2466780,SAINT-ISIDORE,73,"4,593,060",68,205,48,77,"225,260",58,110,"1,051,800",14,14,"285,500",4,4,"134,000",40,63,"258,375",23,23,22,22,"483,000",1,1,x,13,14,12,12,x,2,2,x,40,40,40,40,"81,400",0,0,0,21,23,"85,700",61,88,"294,500",62,"1,649,425"
240767000,24,7,67,0,2467000,NAPIERVILLE,660,"30,109,741",625,"1,901",532,"1,072","3,364,383",405,714,"5,659,090",74,80,"1,371,100",31,35,"801,900",448,636,"2,971,881",113,120,102,105,"1,479,800",14,15,"34,600",65,73,37,37,"86,700",31,36,"79,050",216,226,214,222,"431,000",4,4,"5,000",82,92,"332,650",544,672,"2,281,167",560,"11,211,420"
240767300,24,7,67,300,2467300,SAINT-CYPRIEN,119,"7,877,399",107,310,80,129,"395,600",78,144,"1,246,900",23,25,"641,500",12,12,"467,400",67,86,"311,900",33,34,29,30,"672,000",4,4,"7,500",18,19,12,12,"28,300",7,7,"19,600",56,59,56,59,"156,200",0,0,0,27,28,"136,600",96,121,"432,250",102,"3,361,649"
240767400,24,7,67,400,2467400,SAINT-PATRICE-DE-SHERRINGTON,114,"6,915,650",107,378,90,210,"735,500",67,140,"1,225,390",16,19,"339,000",7,9,"212,000",88,140,"703,109",21,22,19,19,"254,700",2,3,x,13,14,8,8,"15,500",6,6,x,36,37,36,37,"76,900",0,0,0,13,16,"84,400",93,129,"487,895",91,"2,752,256"
240767500,24,7,67,500,2467500,SAINT-EDOUARD,85,"3,112,289",82,224,70,115,"331,100",54,97,"678,500",10,11,"194,500",1,1,x,49,58,"229,524",19,20,18,19,"215,900",1,1,x,13,13,8,8,"23,800",5,5,"18,500",48,52,47,51,"77,550",1,1,x,27,31,"79,050",70,85,"252,488",76,"1,007,577"
240767600,24,7,67,600,2467600,SAINT-MICHEL,145,"5,406,890",141,472,132,313,"903,800",85,151,"1,174,700",4,4,x,3,4,x,105,148,"738,865",15,18,14,14,"130,500",4,4,x,6,11,0,0,0,6,11,"18,100",29,31,29,29,"38,950",2,2,x,4,4,"5,000",129,152,"495,725",127,"1,826,550"
240767700,24,7,67,700,2467700,SAINT-REMI,197,"6,797,513",188,517,160,305,"998,383",121,182,"1,333,600",21,21,x,8,9,"111,000",139,204,"988,483",25,26,22,23,"206,700",3,3,"6,200",15,16,9,9,"19,100",7,7,x,47,47,46,46,"81,400",1,1,x,11,13,"27,600",156,185,"612,809",164,"2,263,388"
240768000,24,7,68,0,2468000,HUNTINGDON,788,"32,991,844",724,"1,722",554,865,"2,681,271",443,729,"6,331,555",96,106,"2,222,000",20,22,"693,900",465,551,"1,834,820",111,116,60,63,"1,186,300",52,53,"103,240",88,92,51,51,"223,195",40,41,"130,850",399,411,399,408,"782,615",3,3,"25,200",219,242,"1,201,075",655,830,"2,991,070",655,"12,584,753"
240768180,24,7,68,180,2468180,HEMMINGFORD,148,"3,794,893",128,264,103,167,"487,600",62,90,"687,500",5,5,x,2,2,x,74,92,"308,350",9,9,5,5,"11,300",4,4,x,13,13,8,8,"17,895",5,5,"18,000",61,65,61,64,"85,340",1,1,x,25,26,"97,800",121,155,"577,150",123,"1,359,718"
240768240,24,7,68,240,2468240,HAVELOCK,58,"1,468,225",55,119,49,90,"310,300",21,27,"220,200",1,2,x,0,0,0,28,30,"95,300",2,2,2,2,x,0,0,0,5,5,4,4,x,1,1,x,26,27,26,27,"40,600",0,0,0,2,3,x,47,61,"214,200",52,"530,125"
240768300,24,7,68,300,2468300,FRANKLIN,135,"4,401,395",120,254,100,148,"476,300",67,91,"729,400",11,13,"261,000",2,2,x,83,103,"326,360",9,9,6,6,"163,000",3,3,x,12,12,6,6,"15,900",6,6,"20,400",46,46,46,46,"87,700",0,0,0,18,21,x,107,133,"438,900",109,"1,744,535"
240768360,24,7,68,360,2468360,HINCHINBROOK,113,"5,031,175",106,265,84,144,"426,050",62,104,"913,700",14,16,"345,000",1,1,x,73,87,"328,900",16,16,6,6,x,10,10,x,13,14,11,11,"75,300",3,3,x,68,68,68,68,"146,850",0,0,0,29,32,"203,900",96,125,"469,350",101,"1,938,025"
240768420,24,7,68,420,2468420,ELGIN,48,"2,299,101",44,102,33,49,"202,725",26,47,"400,000",6,6,"173,000",0,0,0,33,37,"113,100",7,7,5,5,"65,000",2,2,x,4,4,4,4,x,0,0,0,30,30,30,30,"62,450",0,0,0,19,24,"91,250",41,46,"199,927",42,"970,449"
240768540,24,7,68,540,2468540,GODMANCHESTER,116,"7,279,084",111,305,79,116,"330,446",85,158,"1,436,355",20,21,"393,500",9,10,"324,000",76,89,"285,108",32,35,18,19,"575,000",15,16,x,25,27,10,10,"51,500",16,17,"51,700",77,83,77,82,"173,775",1,1,x,52,56,"303,750",101,128,"500,743",100,"2,797,107"
240768600,24,7,68,600,2468600,SAINTE-BARBE,36,"1,983,369",35,89,22,33,"119,100",25,44,"420,500",10,11,"249,500",1,1,x,23,26,"79,500",6,7,4,5,x,2,2,x,2,2,0,0,0,2,2,x,17,17,17,17,"37,700",0,0,0,13,13,"86,200",24,28,"82,100",31,"828,219"
240768660,24,7,68,660,2468660,SAINT-ANICET,96,"4,599,267",89,218,58,83,"247,350",65,108,"954,900",19,22,"515,500",4,5,"154,000",53,61,"186,252",19,20,10,11,"192,000",9,9,x,9,10,4,4,"14,900",6,6,"18,900",47,48,47,47,"89,200",1,1,x,40,45,"230,275",82,104,"331,800",66,"1,648,390"
240768720,24,7,68,720,2468720,DUNDEE,38,"2,135,335",36,106,26,35,"81,400",30,60,"569,000",10,10,"178,000",1,1,x,22,26,"111,950",11,11,4,4,"37,500",7,7,x,5,5,4,4,"21,000",1,1,x,27,27,27,27,"59,000",0,0,0,21,22,"93,600",36,50,"176,900",31,"768,185"
240769000,24,7,69,0,2469000,CHATEAUGUAY,719,"35,617,544",678,"1,712",513,774,"2,333,000",474,770,"7,168,650",133,152,"3,575,200",16,16,"493,400",406,505,"2,025,750",142,147,100,103,"2,051,100",44,44,"126,200",90,94,52,52,"204,725",41,42,"81,050",379,384,376,380,"764,500",4,4,"17,950",187,206,"944,820",595,739,"2,639,301",615,"13,191,898"
240769120,24,7,69,120,2469120,SAINTE-CLOTHILDE,87,"4,074,178",83,240,71,133,"420,250",49,98,"977,200",7,7,x,2,2,x,57,94,"543,250",5,5,4,4,x,1,1,x,2,2,0,0,0,2,2,x,30,30,29,29,"37,400",1,1,x,9,13,"36,500",68,84,"327,630",77,"1,546,948"
240769240,24,7,69,240,2469240,SAINT-JEAN-CHRYSOSTOME,110,"4,855,478",103,232,76,104,"268,500",69,104,"1,054,530",23,24,"612,500",0,0,0,59,66,"236,825",12,12,8,8,"208,000",4,4,x,17,19,12,12,"28,025",6,7,x,56,57,55,55,"115,350",2,2,x,29,34,"103,920",82,97,"349,600",104,"1,800,478"
