AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTOTFCAP,TOTFCAP,VALULB,VALMCH,VALULVSK,FCAPDIST_1,FCAPDIST_2,FCAPDIST_3,FCAPDIST_4,FCAPDIST_5,FCAPDIST_6,FCAPDIST_7,FRMTYP,FRMTYP1_1,FRMTYP1_2,FRMTYP1_3,FRMTYP1_4,FRMTYP1_5,FRMTYP1_6,FRMTYP1_7,FRMTYP1_8,FRMTYP1_9,FRMTYP1_10,FRMTYP1_11,FRMTYP1_12,FRMTYP1_13,FRMTYP1_14,FRMTYP1_15,NTOTWRK,TOTWRK,NWRKAGR,WRKAGR,NWRKNAG,WRKNAG,TOTWRK_1,TOTWRK_2,TOTWRK_3,TOTWRK_4,TOTWRK_5,TOTWRK_6,TOTWRK_7,TOTWRK_8,TOTWRK_9,TOTWRK_10
240214440,24,2,14,440,2414440,STE-EUPHEMIE-SUR-RIVIERE-DU-SUD,10,"813,017","506,120","151,200","155,697",0,2,3,2,3,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,698,1,145,4,553,0,0,0,0,0,1,1,1,2,0
240214480,24,2,14,480,2414480,NOTRE-DAME-DU-ROSAIRE,17,"1,018,440","748,585","165,800","104,055",1,2,5,6,3,0,0,14,2,4,0,0,0,0,0,0,8,0,0,0,0,0,0,12,"1,550",1,240,11,"1,310",0,0,0,1,0,4,2,2,1,2
240214510,24,2,14,510,2414510,CAP-SAINT-IGNACE,86,"15,854,014","10,160,023","2,816,975","2,877,016",1,7,13,17,20,20,8,61,35,6,7,4,0,0,1,4,3,1,0,0,1,0,0,32,"4,741",9,701,25,"4,040",0,1,3,4,1,3,2,4,7,7
240214550,24,2,14,550,2414550,MONTMAGNY,88,"16,137,527","10,420,673","2,938,001","2,778,853",0,0,11,31,22,20,4,68,46,10,7,1,0,1,0,0,3,0,0,0,0,0,0,23,"3,596",2,32,21,"3,564",2,0,0,1,2,2,2,2,6,6
240214600,24,2,14,600,2414600,ST-PIERRE-DE-LA-RIVIERE-DU-SUD,51,"10,613,282","6,255,954","2,075,587","2,281,741",0,2,2,10,13,22,2,40,29,2,6,2,0,0,1,0,0,0,0,0,0,0,0,10,835,4,384,6,451,2,1,0,1,0,0,3,2,1,0
240214650,24,2,14,650,2414650,ST-FRANCOIS-DE-SALES (SUD),96,"21,378,528","13,064,700","3,554,865","4,758,963",1,1,3,11,34,42,4,91,63,5,14,3,0,1,2,1,0,2,1,1,0,0,1,20,"2,194",5,121,16,"2,073",2,1,2,0,3,2,3,0,5,2
240214700,24,2,14,700,2414700,BERTHIER-SUR-MER,25,"3,964,842","2,657,000","676,844","630,998",0,2,4,3,7,9,0,15,8,3,1,0,0,0,0,0,2,1,1,0,0,0,1,7,"1,325",0,0,7,"1,325",0,0,0,1,0,0,0,1,2,3
240214790,24,2,14,790,2414790,ST-ANTOINE-DE-L'ISLE-AUX-GRUES,14,"2,108,987","1,164,930","441,205","502,852",0,0,1,3,8,2,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,150,3,43,2,107,2,0,2,0,0,0,1,0,0,0
240215000,24,2,15,0,2415000,BELLECHASSE,987,"171,087,331","105,652,339","29,757,154","35,677,838",14,41,90,211,311,297,23,830,432,64,184,19,1,4,4,20,72,30,20,1,9,0,14,257,"39,550",40,"2,923",228,"36,627",7,9,16,13,10,18,32,29,61,62
240215120,24,2,15,120,2415120,SAINT-CAMILLE-DE-LELLIS,31,"3,729,571","2,145,341","914,050","670,180",0,2,3,12,7,7,0,27,18,3,0,2,0,0,0,0,3,1,0,0,1,0,0,12,"1,509",0,0,12,"1,509",0,0,1,2,0,0,4,1,3,1
240215160,24,2,15,160,2415160,SAINTE-SABINE,10,"1,261,113","623,000","312,150","325,963",1,0,1,1,6,1,0,9,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,608,1,1,4,607,0,1,0,0,0,0,0,1,0,2
240215200,24,2,15,200,2415200,SAINT-MAGLOIRE-DE-BELLECHASSE,22,"2,512,160","1,179,000","580,250","752,910",0,0,2,7,11,2,0,21,12,3,3,2,0,0,0,0,1,0,0,0,0,0,0,5,207,1,15,4,192,0,1,1,1,1,1,0,0,0,0
240215240,24,2,15,240,2415240,SAINT-PHILEMON,25,"3,266,605","2,067,400","529,250","669,955",1,4,4,9,3,2,2,22,8,1,4,0,0,0,0,0,9,0,0,0,0,0,0,7,"1,016",3,344,4,672,0,0,1,0,0,0,2,1,2,1
240215280,24,2,15,280,2415280,N.-D.-AUXILIATRICE-DE-BUCKLAND,42,"3,076,339","1,908,765","557,000","610,574",3,7,7,16,7,2,0,30,17,3,5,0,0,0,0,0,3,2,2,0,0,0,0,16,"2,000",0,0,16,"2,000",0,0,1,1,1,3,2,4,4,0
240215310,24,2,15,310,2415310,SAINT-DAMIEN-DE-BUCKLAND,23,"3,103,461","1,864,500","615,380","623,581",0,4,3,7,5,2,2,19,10,3,2,0,0,0,0,0,4,0,0,0,0,0,0,8,"1,815",3,310,8,"1,505",0,0,0,0,0,0,1,1,2,4
240215340,24,2,15,340,2415340,SAINT-LAZARE,87,"11,631,475","6,412,951","2,223,349","2,995,175",0,1,9,26,36,15,0,70,34,4,26,1,0,0,1,1,2,1,1,0,0,0,1,17,"2,861",4,375,14,"2,486",0,0,2,0,1,2,1,0,4,7
240215370,24,2,15,370,2415370,HONFLEUR,90,"23,379,811","15,044,673","3,262,890","5,072,248",0,2,3,12,19,50,4,80,40,2,32,2,0,0,0,1,2,1,1,0,0,0,1,23,"3,153",7,623,16,"2,530",1,4,1,1,0,0,2,3,7,4
240215400,24,2,15,400,2415400,SAINT-NEREE,44,"4,228,997","2,660,040","720,601","848,356",1,3,11,18,7,4,0,36,12,6,11,0,0,1,0,0,5,1,0,0,1,0,0,12,"1,434",3,227,9,"1,207",1,2,0,0,1,1,0,3,3,1
240215470,24,2,15,470,2415470,SAINT-CAJETAN-D'ARMAGH,62,"7,980,966","5,550,830","1,089,976","1,340,160",1,7,8,17,19,9,1,50,15,7,7,3,0,0,0,0,18,0,0,0,0,0,0,21,"2,841",2,130,21,"2,711",1,0,0,1,2,4,4,3,3,3
240215540,24,2,15,540,2415540,SAINT-RAPHAEL,77,"7,684,936","4,887,130","1,262,435","1,535,371",4,8,17,18,20,9,1,47,26,2,6,0,0,0,0,3,6,4,4,0,0,0,2,29,"4,575",1,18,28,"4,557",1,0,2,1,1,2,5,4,7,6
240215570,24,2,15,570,2415570,SAINTS-GERVAIS ET PROTAIS,143,"29,581,978","18,180,210","4,640,801","6,760,967",2,0,9,24,35,72,1,121,48,5,49,4,0,2,0,1,7,5,4,0,1,0,3,31,"6,452",3,344,28,"6,108",0,0,2,1,0,2,2,2,7,15
240215630,24,2,15,630,2415630,SAINT-CHARLES-BOROME,116,"24,219,069","15,177,925","4,488,552","4,552,592",0,0,4,14,55,37,6,102,50,6,19,3,0,0,0,8,3,13,7,1,5,0,6,30,"5,099",3,106,28,"4,993",2,0,2,0,1,0,5,3,8,9
240215660,24,2,15,660,2415660,LA DURANTAYE,39,"7,507,294","4,717,775","1,407,630","1,381,889",1,0,0,10,17,8,3,35,26,1,4,0,0,0,1,0,1,2,1,0,1,0,1,8,"1,033",3,65,6,968,0,0,2,1,0,0,1,1,1,2
240215720,24,2,15,720,2415720,SAINT-VALLIER,73,"16,784,130","10,309,067","2,998,270","3,476,793",0,1,2,8,25,36,1,69,54,3,6,1,1,1,0,1,2,0,0,0,0,0,0,13,"1,535",4,267,10,"1,268",1,1,1,0,2,1,2,0,2,3
240215750,24,2,15,750,2415750,SAINT-MICHEL,64,"13,876,023","8,151,222","2,938,995","2,785,806",0,1,4,3,24,31,1,60,41,8,5,1,0,0,0,3,2,0,0,0,0,0,0,8,"1,440",0,0,8,"1,440",0,0,0,1,0,0,1,0,4,2
240215780,24,2,15,780,2415780,SAINT-ETIENNE-DE-BEAUMONT,39,"7,263,403","4,772,510","1,215,575","1,275,318",0,1,3,9,15,10,1,32,15,6,4,0,0,0,2,2,3,0,0,0,0,0,0,13,"1,972",2,98,12,"1,874",0,0,0,3,0,2,0,2,4,2
240216000,24,2,16,0,2416000,MONTMORENCY NO. 2,293,"40,875,773","29,438,800","7,833,815","3,603,158",9,6,31,72,114,58,3,235,75,6,13,6,3,2,30,57,11,32,6,5,21,0,2,83,"12,573",20,"2,177",70,"10,396",3,3,6,8,5,4,7,3,26,18
240216200,24,2,16,200,2416200,"SAINT-FRANCOIS, ILE ORLEANS",54,"6,513,939","4,822,500","1,365,869","325,570",0,1,11,15,20,6,1,40,6,2,2,2,1,0,9,6,1,11,1,4,6,0,1,21,"2,884",4,533,19,"2,351",0,2,0,2,2,0,5,1,5,4
240216300,24,2,16,300,2416300,"SAINT-JEAN, ILE ORLEANS",48,"8,047,767","5,447,700","1,464,636","1,135,431",1,1,1,8,21,16,0,45,25,1,3,1,0,0,7,2,1,5,4,0,1,0,1,13,"1,455",3,405,10,"1,050",1,1,2,1,2,0,1,1,3,1
240216400,24,2,16,400,2416400,"SAINTE-FAMILLE, ILE ORLEANS",87,"12,063,420","8,057,300","2,782,415","1,223,705",5,1,11,22,29,18,1,70,22,1,4,2,0,0,8,22,4,7,1,1,5,0,0,21,"3,767",6,605,17,"3,162",1,0,2,1,0,2,1,1,6,7
240216500,24,2,16,500,2416500,"SAINT-PIERRE, ILE ORLEANS",46,"5,590,648","4,125,600","944,575","520,473",2,2,3,14,18,7,0,29,15,1,2,0,2,2,3,1,1,2,0,0,2,0,0,16,"2,311",4,222,14,"2,089",1,0,1,2,1,2,0,0,7,2
240216600,24,2,16,600,2416600,"SAINT-LAURENT, ILE ORLEANS",58,"8,659,999","6,985,700","1,276,320","397,979",1,1,5,13,26,11,1,51,7,1,2,1,0,0,3,26,4,7,0,0,7,0,0,12,"2,156",3,412,10,"1,744",0,0,1,2,0,0,0,0,5,4
240217000,24,2,17,0,2417000,MONTMORENCY NO. 1,155,"20,343,434","14,779,690","2,998,402","2,565,342",1,7,18,48,59,20,2,103,42,17,1,4,0,2,1,14,13,9,2,0,7,0,0,60,"8,743",9,707,52,"8,036",1,2,2,6,4,4,8,8,8,17
240217160,24,2,17,160,2417160,SAINT-FERREOL-LES-NEIGES,14,"1,249,196","806,500","186,350","256,346",0,3,1,4,5,1,0,8,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,565,1,29,4,536,0,0,0,1,1,1,0,1,0,1
240217200,24,2,17,200,2417200,SAINT-JOACHIM,22,"4,056,060","3,090,000","357,850","608,210",0,1,3,6,8,3,1,13,4,3,0,0,0,1,0,1,4,0,0,0,0,0,0,11,"2,080",3,433,9,"1,647",1,0,0,0,1,0,1,0,3,5
240217280,24,2,17,280,2417280,SAINTE-ANNE-DE-BEAUPRE,15,"2,102,924","1,430,790","337,487","334,647",0,1,1,4,6,3,0,10,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,5,893,0,0,5,893,0,0,0,1,0,0,0,1,1,2
240217320,24,2,17,320,2417320,CHATEAU-RICHER,42,"5,094,606","3,965,750","801,055","327,801",0,0,7,12,19,4,0,28,6,5,0,0,0,0,1,7,5,4,1,0,3,0,0,18,"2,387",1,80,17,"2,307",0,1,0,1,2,2,3,3,2,4
240217400,24,2,17,400,2417400,L'ANGE-GARDIEN,30,"3,348,163","2,445,750","639,960","262,453",1,1,2,14,10,1,1,23,10,1,1,0,0,0,0,5,2,4,0,0,4,0,0,4,660,0,0,4,660,0,0,0,1,0,0,0,1,1,1
240217920,24,2,17,920,2417920,"MONTMORENCY 1, SAULT-AU-COCHON",32,"4,492,485","3,040,900","675,700","775,885",0,1,4,8,11,8,0,21,11,3,0,4,0,0,0,0,2,1,1,0,0,0,0,17,"2,158",4,165,13,"1,993",0,1,2,2,0,1,4,2,1,4
240220000,24,2,20,0,2420000,QUEBEC,261,"47,317,767","37,447,660","5,097,147","4,772,960",6,8,36,61,73,57,20,160,27,16,1,31,1,5,3,37,32,7,2,0,5,0,0,90,"19,542",8,917,85,"18,625",0,3,1,2,2,1,7,4,30,40
240220110,24,2,20,110,2420110,BEAUPORT,32,"7,485,166","6,227,430",x,x,1,0,3,7,8,8,5,25,1,0,0,0,0,0,0,19,5,0,0,0,0,0,0,1,220,0,0,1,220,0,0,0,0,0,0,0,0,1,0
240220140,24,2,20,140,2420140,CHARLESBOURG,18,"2,300,196","1,660,035","415,800","224,361",1,2,2,5,6,1,1,14,1,1,0,0,0,0,0,5,5,2,0,0,2,0,0,6,"1,223",0,0,6,"1,223",0,0,0,0,1,0,0,0,3,2
240220230,24,2,20,230,2420230,QUEBEC,63,"9,945,696","8,589,465","875,042","481,189",3,2,14,10,19,12,3,33,5,0,0,4,1,1,1,9,8,4,2,0,2,0,0,21,"4,383",2,204,20,"4,179",0,0,0,2,1,0,1,0,7,10
240220400,24,2,20,400,2420400,SAINTE-FOY,83,"11,192,244","8,708,880","1,494,050","989,314",0,2,9,28,30,13,1,49,19,9,0,0,0,4,2,3,12,0,0,0,0,0,0,37,"8,211",4,388,34,"7,823",0,2,1,0,0,0,6,1,11,16
240220430,24,2,20,430,2420430,VAL-BELAIR,20,"3,366,696","3,008,940","194,000","163,756",1,2,4,6,2,3,2,6,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,6,"1,410",0,0,6,"1,410",0,0,0,0,0,0,0,1,3,2
240220470,24,2,20,470,2420470,SAINT-GABRIEL-DE-VALCARTIER,34,"11,192,633","7,721,930","986,982","2,483,721",0,0,2,3,4,18,7,27,0,1,0,24,0,0,0,0,1,1,0,0,1,0,0,14,"3,130",1,200,13,"2,930",0,0,0,0,0,1,0,1,4,8
240220560,24,2,20,560,2420560,STONEHAM ET TEWKESBURY,11,"1,835,136","1,530,980",x,x,0,0,2,2,4,2,1,6,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,5,965,1,125,5,840,0,1,0,0,0,0,0,1,1,2
240221000,24,2,21,0,2421000,LEVIS,488,"109,941,233","73,778,718","17,146,947","19,015,568",6,18,25,103,155,151,30,378,195,35,49,11,0,10,11,18,35,14,8,2,4,0,3,182,"32,801",21,868,171,"31,933",2,2,8,10,9,7,20,14,41,69
240221140,24,2,21,140,2421140,SAINT-HENRI,160,"43,352,501","26,644,958","7,378,461","9,329,082",1,4,2,24,42,72,15,141,88,6,31,4,0,2,2,1,4,3,2,0,1,0,1,36,"5,996",4,73,34,"5,923",1,0,0,2,1,2,7,3,9,11
240221170,24,2,21,170,2421170,SAINT-LAMBERT-DE-LAUZON,64,"15,967,478","11,854,419","1,794,392","2,318,667",0,0,1,20,25,14,4,46,22,5,6,2,0,1,2,1,6,1,0,1,0,0,0,39,"6,783",6,316,36,"6,467",0,0,2,3,4,2,3,2,9,14
240221220,24,2,21,220,2421220,SAINT-ETIENNE,23,"2,674,230","1,612,172","577,020","485,038",0,3,4,4,9,3,0,15,10,2,1,0,0,0,0,1,1,0,0,0,0,0,0,8,"1,521",2,96,7,"1,425",0,0,1,0,0,0,1,1,1,4
240221300,24,2,21,300,2421300,SAINT-JEAN-CHRYSOSTOME,79,"19,555,245","13,031,900","3,156,507","3,366,838",1,6,7,18,23,21,3,62,23,9,4,2,0,3,1,2,13,5,2,1,2,0,0,38,"6,676",4,62,36,"6,614",0,1,4,2,4,0,2,2,11,12
240221340,24,2,21,340,2421340,SAINT-LOUIS-DE-PINTENDRE,53,"9,288,965","6,488,500","1,492,315","1,308,150",1,0,3,15,18,14,2,38,20,4,3,3,0,3,0,0,5,0,0,0,0,0,0,21,"4,437",1,40,20,"4,397",0,0,0,1,0,0,3,4,3,10
240221380,24,2,21,380,2421380,ST-JOSEPH-DE-LA-POINTE-DE-LEVY,37,"6,497,431","4,676,600","869,427","951,404",2,2,3,10,8,9,3,22,12,3,3,0,0,1,0,0,2,1,1,0,0,0,0,15,"3,269",2,19,14,"3,250",0,1,0,0,0,1,0,0,3,10
240221700,24,2,21,700,2421700,BERNIERES,43,"7,586,470","5,598,939","1,076,200","911,331",1,2,2,8,19,8,3,31,16,3,1,0,0,0,2,8,1,0,0,0,0,0,0,16,"2,909",2,262,15,"2,647",1,0,0,0,0,2,3,0,4,6
240221780,24,2,21,780,2421780,SAINT-NICOLAS,29,"5,018,913","3,871,230","802,625","345,058",0,1,3,4,11,10,0,23,4,3,0,0,0,0,4,5,3,4,3,0,1,0,2,9,"1,210",0,0,9,"1,210",0,0,1,2,0,0,1,2,1,2
240228000,24,2,28,0,2428000,LOTBINIERE,"1,378","254,189,638","153,873,139","45,541,124","54,775,375",7,32,113,278,458,443,47,"1,140",693,107,198,12,2,15,14,20,56,23,16,1,6,1,10,395,"63,766",85,"7,561",331,"56,205",15,15,21,19,34,17,47,29,75,123
240228130,24,2,28,130,2428130,SAINT-SYLVESTRE,102,"18,460,894","10,846,637","2,683,523","4,930,734",1,6,10,24,29,24,8,83,39,10,17,2,0,0,2,0,8,5,4,0,1,1,2,20,"2,932",5,553,16,"2,379",0,0,2,2,1,0,6,2,2,5
240228170,24,2,28,170,2428170,SAINTE-AGATHE,61,"11,431,955","6,136,540","2,199,850","3,095,565",0,1,4,16,22,15,3,56,34,12,4,0,0,1,0,0,3,2,0,1,1,0,0,17,"2,396",7,716,11,"1,680",0,1,0,1,2,3,3,2,2,3
240228210,24,2,28,210,2428210,SAINT-PATRICE-DE-BEAURIVAGE,81,"20,911,365","12,034,812","3,238,796","5,637,757",1,2,2,9,18,43,6,75,28,3,36,3,0,0,0,1,2,2,2,0,0,0,2,14,"1,323",6,195,10,"1,128",0,2,2,0,2,1,2,1,4,0
240228230,24,2,28,230,2428230,SAINT-NARCISSE-DE-BEAURIVAGE,108,"28,326,537","16,234,748","4,284,217","7,807,572",0,0,4,8,33,55,8,104,41,3,57,1,0,0,0,0,0,2,2,0,0,0,1,16,"2,381",4,389,12,"1,992",1,2,0,1,3,0,1,0,2,6
240228250,24,2,28,250,2428250,SAINT-GILLES,72,"13,193,053","8,762,200","2,074,511","2,356,342",0,3,7,16,22,21,3,58,22,7,14,2,0,0,0,4,6,3,3,0,0,0,2,31,"5,073",6,309,25,"4,764",1,0,3,1,1,2,4,1,9,9
240228280,24,2,28,280,2428280,SAINT-AGAPIT,73,"12,026,624","7,488,620","1,984,622","2,553,382",0,1,4,17,30,20,1,64,48,4,8,0,0,0,1,0,1,2,0,0,2,0,0,21,"3,352",5,692,18,"2,660",0,3,1,1,2,1,3,1,1,8
240228290,24,2,28,290,2428290,SAINT-OCTAVE-DE-DOSQUET,32,"5,377,374","3,169,540","921,145","1,286,689",0,2,2,9,8,10,1,24,15,3,6,0,0,0,0,0,0,0,0,0,0,0,0,12,"2,579",3,745,9,"1,834",1,0,1,0,0,1,0,0,3,6
240228310,24,2,28,310,2428310,VILLEROY,23,"3,162,442","2,078,100","536,725","547,617",1,0,3,5,11,3,0,17,14,1,1,0,0,0,0,0,1,0,0,0,0,0,0,9,"1,419",0,0,9,"1,419",0,0,2,0,1,0,0,0,5,1
240228340,24,2,28,340,2428340,VAL-ALAIN,19,"2,160,356","1,338,000","384,725","437,631",0,1,2,10,2,4,0,11,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,10,"1,083",3,227,8,856,1,0,0,0,2,1,2,3,1,0
240228370,24,2,28,370,2428370,SAINT-JANVIER-DE-JOLY,42,"8,467,377","5,377,640","1,556,710","1,533,027",0,0,3,15,9,12,3,31,20,2,5,0,0,1,0,0,2,1,0,0,1,0,0,14,"2,558",0,0,14,"2,558",0,1,0,1,2,1,0,1,2,6
240228420,24,2,28,420,2428420,SAINT-FLAVIEN,73,"13,626,962","7,713,665","2,774,582","3,138,715",0,1,5,12,27,27,1,67,47,7,9,0,0,1,0,0,2,1,0,0,1,0,0,25,"4,341",5,"1,052",20,"3,289",0,1,1,1,5,0,3,0,4,10
240228470,24,2,28,470,2428470,N.-D.-DU-SACRE-COEUR-D'ISSOUDUN,63,"9,501,990","5,720,377","1,757,301","2,024,312",0,0,5,12,31,15,0,53,43,4,1,0,1,0,0,1,3,0,0,0,0,0,0,17,"2,335",3,250,15,"2,085",1,0,1,2,1,1,3,0,5,3
240228490,24,2,28,490,2428490,SAINT-APOLLINAIRE,52,"9,466,691","6,350,350","1,679,015","1,437,326",0,0,2,14,23,10,3,42,22,8,4,0,0,0,2,0,5,1,1,0,0,0,0,19,"3,747",1,6,18,"3,741",1,0,0,0,1,1,2,1,3,10
240228510,24,2,28,510,2428510,SAINT-ANTOINE-DE-TILLY,69,"9,939,015","6,813,943","1,833,496","1,291,576",0,4,7,15,27,15,1,45,20,8,0,0,1,0,4,8,4,0,0,0,0,0,0,28,"6,395",2,390,26,"6,005",0,0,0,0,0,0,2,5,7,14
240228590,24,2,28,590,2428590,SAINTE-CROIX,79,"13,929,358","9,187,881","2,471,649","2,269,828",1,1,7,17,25,26,2,59,34,9,8,1,0,1,0,0,5,1,1,0,0,0,1,32,"5,182",7,126,28,"5,056",3,0,2,1,2,1,2,3,6,12
240228630,24,2,28,630,2428630,SAINT-EDOUARD-DE-LOTBINIERE,110,"18,830,980","11,275,827","3,893,205","3,661,948",2,2,15,18,33,38,2,90,65,5,12,2,0,3,0,0,3,0,0,0,0,0,0,25,"3,977",7,414,19,"3,563",1,2,0,2,2,0,2,3,6,7
240228660,24,2,28,660,2428660,LOTBINIERE,91,"16,402,892","10,169,818","3,336,414","2,896,660",1,4,4,11,38,32,1,77,58,5,3,0,0,2,1,4,4,0,0,0,0,0,0,19,"3,041",3,377,16,"2,664",0,0,1,1,3,2,3,1,1,7
240228700,24,2,28,700,2428700,SAINTE-EMMELIE,65,"10,547,490","5,894,600","2,652,952","1,999,938",0,3,6,16,18,21,1,52,40,2,4,0,0,1,2,0,3,0,0,0,0,0,0,17,"2,731",7,289,13,"2,442",3,1,0,1,0,1,2,0,3,6
240228710,24,2,28,710,2428710,SAINTE-FRANCOISE,38,"6,523,252","4,096,296","1,205,772","1,221,184",0,0,5,9,12,11,1,31,27,0,0,0,0,0,1,1,0,2,2,0,0,0,1,11,"1,133",4,353,7,780,0,1,0,1,1,0,4,3,1,0
240228750,24,2,28,750,2428750,SAINTE-PHILOMENE-DE-FORTIERVILLE,49,"8,755,619","5,232,800","1,479,030","2,043,789",0,0,9,11,16,12,1,37,24,4,4,1,0,1,0,1,1,1,1,0,0,0,1,18,"3,273",5,473,17,"2,800",1,0,1,1,2,0,2,1,4,6
240228760,24,2,28,760,2428760,SAINT-JACQUES-DE-PARISVILLE,45,"7,043,094","4,212,395","1,481,680","1,349,019",0,0,4,12,15,14,0,41,25,6,4,0,0,3,1,0,2,0,0,0,0,0,0,14,"1,683",0,0,14,"1,683",0,1,3,1,1,1,1,1,2,3
240228780,24,2,28,780,2428780,DESCHAILLONS,31,"6,104,318","3,738,350","1,111,204","1,254,764",0,1,3,2,9,15,1,23,20,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,832,2,5,6,827,1,0,1,1,0,0,0,0,2,1
240229000,24,2,29,0,2429000,PORTNEUF,967,"163,163,765","104,711,161","31,739,901","26,712,703",21,38,97,214,331,229,37,760,515,79,22,12,0,14,36,27,46,9,3,1,5,2,0,260,"36,492",62,"4,458",210,"32,034",13,11,13,28,16,17,29,20,60,53
240229110,24,2,29,110,2429110,SAINT-AUGUSTIN-DE-DESMAURES,96,"17,248,039","12,480,760","2,794,754","1,972,525",2,5,5,18,32,31,3,68,47,8,0,0,0,2,2,1,7,1,1,0,0,1,0,32,"5,599",7,542,27,"5,057",1,1,0,3,0,0,3,4,10,10
240229130,24,2,29,130,2429130,SAINTE-CATHERINE,25,"5,871,203","4,125,210","1,443,250","302,743",1,0,0,9,5,7,3,19,3,3,0,1,0,0,9,2,1,0,0,0,0,0,0,4,285,2,25,2,260,0,1,1,0,0,0,1,0,1,0
240229220,24,2,29,220,2429220,SAINTE-JEANNE-DE-PONT-ROUGE,77,"15,156,178","9,042,955","3,185,159","2,928,064",2,1,8,16,22,24,4,65,41,6,5,3,0,0,2,3,3,2,0,0,2,0,0,25,"4,168",5,371,22,"3,797",3,1,0,0,0,3,2,2,7,7
240229270,24,2,29,270,2429270,POINTE-AUX-TREMBLES,67,"9,917,243","7,296,620","1,511,587","1,109,036",1,5,6,15,22,16,2,53,26,3,0,0,0,1,0,13,7,3,0,0,3,0,0,21,"3,340",4,187,18,"3,153",0,0,0,3,2,2,2,2,5,5
240229300,24,2,29,300,2429300,CAP-SANTE,58,"11,435,717","6,572,840","2,740,615","2,122,262",0,0,5,12,17,23,1,47,37,3,2,0,0,0,0,1,4,0,0,0,0,0,0,11,"1,284",2,72,9,"1,212",0,0,1,3,2,0,0,0,4,1
240229340,24,2,29,340,2429340,SAINT-BASILE,86,"13,180,445","7,901,379","2,862,746","2,416,320",0,4,18,18,29,11,6,59,45,7,1,1,0,1,0,1,2,1,1,0,0,1,0,32,"4,742",6,538,29,"4,204",1,0,3,1,0,2,8,4,6,7
240229360,24,2,29,360,2429360,NOTRE-DAME-DE-PORTNEUF,32,"3,450,093","2,155,350","650,227","644,516",0,4,4,8,14,2,0,21,15,2,0,1,0,1,1,0,1,0,0,0,0,0,0,7,"1,020",0,0,7,"1,020",1,0,1,0,1,0,1,0,0,3
240229410,24,2,29,410,2429410,SAINT-JOSEPH-DE-DESCHAMBAULT,52,"8,663,708","5,898,310","1,409,656","1,355,742",1,1,6,15,22,6,1,40,27,6,1,0,0,1,1,3,1,0,0,0,0,0,0,17,"2,837",6,782,12,"2,055",1,1,1,1,1,1,1,0,4,6
240229430,24,2,29,430,2429430,SAINT-GILBERT,47,"7,702,534","4,790,840","1,489,075","1,422,619",0,2,3,10,14,18,0,40,35,1,1,0,0,1,1,0,0,1,1,0,0,0,0,13,"1,193",6,321,7,872,1,0,2,1,3,0,2,1,3,0
240229470,24,2,29,470,2429470,SAINT-CHARLES-DES-GRONDINES,32,"5,649,466","3,681,720","991,475","976,271",1,0,0,8,14,8,1,27,20,1,1,0,0,0,0,1,4,0,0,0,0,0,0,6,476,1,10,5,466,0,1,0,1,1,1,1,0,1,0
240229520,24,2,29,520,2429520,SAINT-CASIMIR,61,"9,666,608","5,781,720","1,774,115","2,110,773",2,3,2,7,29,18,0,52,45,6,0,0,0,0,0,0,1,0,0,0,0,0,0,6,689,1,4,6,685,0,0,0,3,0,0,0,1,1,1
240229530,24,2,29,530,2429530,SAINT-THURIBE,48,"7,619,050","4,899,630","1,210,266","1,509,154",0,0,3,15,22,5,3,46,40,1,0,0,0,4,0,0,1,0,0,0,0,0,0,7,716,3,290,4,426,1,0,0,0,1,2,1,1,0,1
240229550,24,2,29,550,2429550,SAINT-ALBAN,53,"8,858,940","4,800,900","2,185,850","1,872,190",3,4,3,7,21,14,1,45,31,6,2,0,0,0,4,0,2,0,0,0,0,0,0,13,"1,178",5,342,9,836,1,2,0,3,0,1,2,2,1,1
240229560,24,2,29,560,2429560,SAINTE-CHRISTINE,20,"2,283,077","1,404,715","445,706","432,656",0,2,2,9,5,2,0,16,6,2,4,0,0,1,0,1,2,0,0,0,0,0,0,7,"1,030",3,560,4,470,0,0,0,0,2,1,1,0,2,1
240229580,24,2,29,580,2429580,SAINT-LEONARD-DE-PORTNEUF,25,"3,558,745","2,223,315","739,889","595,541",0,1,2,6,11,4,1,22,14,4,2,0,0,0,0,0,2,0,0,0,0,0,0,5,840,0,0,5,840,0,0,0,0,1,0,1,0,2,1
240229620,24,2,29,620,2429620,SAINT-RAYMOND,54,"8,311,611","5,504,351","1,395,430","1,411,830",4,1,8,14,13,11,3,42,19,11,1,5,0,1,2,0,2,1,0,1,0,0,0,21,"2,900",5,273,16,"2,627",2,2,1,4,1,0,2,1,2,6
