AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,TFAREA,AGEDST_1,AGEDST_2,AGEDST_3,AGEDST_4,AGEDST_5,AGEDST_6,AGEDST_7,AGEDST_8,AGEDST_9,AGEDST_10,AGEDST_11,AGEDST_12,LRESID,LRESID_1,LRESID_2,LRESID_3,LRESID_4,TYPORG_1,TYPORG_2,TYPORG_3,TYPORG_4,TYPORG_5,TYPORG_6
240434340,24,4,34,340,2434340,SAINT-CHRISTOPHE-D'ARTHABASKA,78,0,6,6,9,14,15,9,4,9,3,1,2,71,66,5,0,7,69,5,1,2,0,1
240434360,24,4,34,360,2434360,CHESTER-NORD,49,0,1,5,3,13,8,9,3,4,2,0,1,47,46,0,1,2,45,3,0,1,0,0
240434420,24,4,34,420,2434420,SAINT-NORBERT-D'ARTHABASKA,54,0,2,3,8,8,12,3,12,1,3,1,1,51,49,2,0,3,51,1,0,1,1,0
240434460,24,4,34,460,2434460,SAINTE-VICTOIRE-D'ARTHABASKA,78,0,6,8,8,10,6,8,12,10,6,1,3,73,69,3,1,5,65,6,0,6,0,1
240434480,24,4,34,480,2434480,PRINCEVILLE,116,1,3,12,8,21,14,20,11,16,8,2,0,112,109,1,2,4,109,3,1,3,0,0
240434510,24,4,34,510,2434510,SAINT-LOUIS-DE-BLANDFORD,27,0,0,1,5,4,3,4,4,4,1,0,1,25,24,0,1,2,26,1,0,0,0,0
240434530,24,4,34,530,2434530,SAINT-ROSAIRE,51,0,5,2,7,11,10,2,9,2,2,1,0,49,42,4,3,2,50,1,0,0,0,0
240434600,24,4,34,600,2434600,SAINTE-ANNE-DU-SAULT,49,1,3,4,10,5,7,5,5,3,3,3,0,48,41,5,2,1,44,2,1,0,2,0
240434640,24,4,34,640,2434640,SAINT-VALERE,79,0,5,8,11,9,11,11,9,7,5,3,0,77,77,0,0,2,75,3,0,0,1,0
240434680,24,4,34,680,2434680,SAINT-ALBERT-DE-WARWICK,55,0,6,6,8,7,10,3,7,7,1,0,0,53,51,2,0,2,48,6,0,0,1,0
240434700,24,4,34,700,2434700,SAINTE-SERAPHINE,40,0,1,9,11,5,2,7,4,1,0,0,0,40,36,1,3,0,38,2,0,0,0,0
240434720,24,4,34,720,2434720,SAINT-JACQUES-DE-HORTON,24,0,2,2,3,5,3,2,2,2,1,1,1,24,21,3,0,0,24,0,0,0,0,0
240434780,24,4,34,780,2434780,SAINTE-CLOTHILDE-DE-HORTON,53,0,1,8,11,4,4,6,6,2,7,2,2,50,49,0,1,3,50,2,1,0,0,0
240441000,24,4,41,0,2441000,DRUMMOND,964,3,31,86,142,127,137,124,124,93,55,33,9,935,894,20,21,29,854,53,15,36,5,1
240441160,24,4,41,160,2441160,KINGSEY FALLS,47,1,2,4,8,6,6,7,4,3,2,3,1,47,46,0,1,0,43,1,1,2,0,0
240441200,24,4,41,200,2441200,KINGSEY,105,0,4,13,15,13,16,15,11,12,3,3,0,104,100,2,2,1,90,9,1,3,1,1
240441250,24,4,41,250,2441250,ULVERTON,22,0,0,1,7,3,3,3,2,1,0,2,0,21,20,1,0,1,17,1,4,0,0,0
240441300,24,4,41,300,2441300,L'AVENIR,65,1,3,5,6,9,11,6,7,9,6,2,0,63,57,1,5,2,60,3,0,2,0,0
240441340,24,4,41,340,2441340,DURHAM-SUD,67,0,1,5,11,9,9,8,9,6,4,3,2,64,62,1,1,3,61,1,3,2,0,0
240441380,24,4,41,380,2441380,LEFEBVRE,30,0,2,3,7,4,2,4,4,3,1,0,0,30,30,0,0,0,28,1,1,0,0,0
240441440,24,4,41,440,2441440,WICKHAM,105,0,6,12,19,12,19,16,7,8,3,3,0,98,96,1,1,7,85,13,0,6,1,0
240441520,24,4,41,520,2441520,SAINT-NICEPHORE,42,0,0,1,5,1,6,8,8,7,5,0,1,41,40,1,0,1,33,5,0,4,0,0
240441580,24,4,41,580,2441580,SAINT-LUCIEN,32,0,4,0,4,1,8,4,4,5,0,2,0,32,30,2,0,0,32,0,0,0,0,0
240441640,24,4,41,640,2441640,NOTRE-DAME-DU-BON-CONSEIL,52,0,3,2,4,11,7,7,9,5,1,2,1,50,48,1,1,2,48,1,0,3,0,0
240441680,24,4,41,680,2441680,WENDOVER ET SIMPSON,106,0,1,12,17,17,13,13,16,9,6,2,0,103,100,1,2,3,101,1,2,1,1,0
240441710,24,4,41,710,2441710,GRANTHAM-OUEST,35,0,0,1,0,7,5,6,5,4,6,1,0,32,29,1,2,3,32,1,2,0,0,0
240441750,24,4,41,750,2441750,SAINT-GERMAIN-DE-GRANTHAM,96,1,4,13,16,14,10,8,10,10,5,3,2,94,93,0,1,2,84,5,0,6,1,0
240441760,24,4,41,760,2441760,SAINT-MAJORIQUE-DE-GRANTHAM,46,0,1,3,7,6,4,4,11,5,3,2,0,44,40,1,3,2,41,4,0,1,0,0
240441770,24,4,41,770,2441770,SAINT-EDMOND-DE-GRANTHAM,35,0,0,3,10,5,5,3,3,1,4,0,1,34,34,0,0,1,29,4,0,2,0,0
240441780,24,4,41,780,2441780,SAINT-EUGENE,79,0,0,8,6,9,13,12,14,5,6,5,1,78,69,7,2,1,70,3,1,4,1,0
240442000,24,4,42,0,2442000,YAMASKA,909,6,31,77,116,123,118,105,123,101,59,34,16,868,837,15,16,41,834,53,10,11,0,1
240442120,24,4,42,120,2442120,SAINT-JOACHIM-DE-COURVAL,35,0,1,5,9,2,4,2,3,4,4,0,1,35,33,0,2,0,32,1,1,1,0,0
240442200,24,4,42,200,2442200,SAINT-BONAVENTURE,69,0,5,1,6,18,9,10,7,5,5,1,2,67,64,2,1,2,64,3,0,1,0,1
240442340,24,4,42,340,2442340,SAINT-GUILLAUME,102,0,7,16,17,14,10,8,12,10,1,5,2,99,95,3,1,3,93,7,1,1,0,0
240442380,24,4,42,380,2442380,SAINT-DAVID,115,2,3,6,18,17,14,11,21,11,8,3,1,108,105,1,2,7,104,7,3,1,0,0
240442420,24,4,42,420,2442420,SAINT-PIE-DE-GUIRE,54,0,1,3,8,7,8,3,8,5,6,3,2,52,50,2,0,2,48,5,1,0,0,0
240442440,24,4,42,440,2442440,SAINT-ELPHEGE,36,0,3,3,4,4,5,2,6,5,2,1,1,35,35,0,0,1,32,2,1,1,0,0
240442460,24,4,42,460,2442460,SAINT-ZEPHIRIN-DE-COURVAL,86,2,2,10,8,13,12,11,15,9,3,1,0,81,76,1,4,5,80,2,1,3,0,0
240442480,24,4,42,480,2442480,LA VISITATION-DE-LA-B.-V.-MARIE,49,0,3,5,6,7,6,6,3,6,5,1,1,47,45,0,2,2,43,4,1,1,0,0
240442540,24,4,42,540,2442540,ST-ANTOINE-DE-LA-BAIE-DU-FEBVRE,65,0,0,8,5,6,10,10,9,8,4,5,0,64,63,0,1,1,58,6,1,0,0,0
240442560,24,4,42,560,2442560,ST-JOSEPH-DE-LA-BAIE-DU-FEBVRE,26,1,0,6,3,0,4,2,4,3,2,1,0,24,23,1,0,2,22,4,0,0,0,0
240442640,24,4,42,640,2442640,SAINT-THOMAS-DE-PIERREVILLE,99,1,2,5,8,13,13,15,9,16,10,4,3,94,92,1,1,5,93,6,0,0,0,0
240442700,24,4,42,700,2442700,SAINT-FRANCOIS-DU-LAC,65,0,4,2,10,8,8,8,12,8,3,1,1,59,57,1,1,6,64,1,0,0,0,0
240442720,24,4,42,720,2442720,SAINT-GERARD-MAJELLA,40,0,0,3,3,5,8,7,3,5,2,4,0,39,35,3,1,1,39,1,0,0,0,0
240442780,24,4,42,780,2442780,SAINT-MICHEL-D'YAMASKA,68,0,0,4,11,9,7,10,11,6,4,4,2,64,64,0,0,4,62,4,0,2,0,0
240500000,24,5,0,0,2400000,CANTONS DE L'EST - EASTERN TWPS.,"4,772",5,136,356,607,646,622,596,591,500,347,217,149,"4,495","4,319",84,92,277,"4,223",248,104,168,20,9
240525000,24,5,25,0,2425000,COMPTON,864,1,24,75,121,109,99,118,93,94,60,39,31,829,804,19,6,35,733,79,17,30,3,2
240525150,24,5,25,150,2425150,SAINT-ISIDORE-D'AUCKLAND,49,0,2,3,6,4,6,12,8,1,4,2,1,45,45,0,0,4,44,3,0,2,0,0
240525200,24,5,25,200,2425200,SAINT-MALO,32,0,5,4,6,1,2,2,4,2,6,0,0,32,31,1,0,0,29,3,0,0,0,0
240525260,24,5,25,260,2425260,HEREFORD,16,0,1,2,2,1,2,3,0,4,0,1,0,15,12,3,0,1,14,2,0,0,0,0
240525300,24,5,25,300,2425300,"CLIFTON, PARTIE EST",47,0,3,7,5,7,6,4,3,5,4,1,2,45,43,2,0,2,39,5,1,2,0,0
240525340,24,5,25,340,2425340,SAINTE-EDWIDGE-DE-CLIFTON,71,0,3,12,11,13,5,11,6,5,1,1,3,67,63,3,1,4,58,10,1,2,0,0
240525360,24,5,25,360,2425360,MARTINVILLE,39,0,0,3,4,5,7,5,4,4,1,5,1,38,38,0,0,1,35,1,0,3,0,0
240525390,24,5,25,390,2425390,COMPTON,104,0,1,6,14,17,12,21,8,15,4,5,1,101,99,1,1,3,80,16,2,6,0,0
240525480,24,5,25,480,2425480,COMPTON-STATION,93,1,2,6,16,13,17,10,13,8,4,1,2,93,92,1,0,0,68,13,5,5,1,1
240525540,24,5,25,540,2425540,EATON,148,0,1,5,25,23,15,20,16,13,12,9,9,142,137,4,1,6,128,10,1,7,1,1
240525580,24,5,25,580,2425580,NEWPORT,61,0,1,5,7,8,5,3,8,10,7,2,5,60,58,1,1,1,57,2,1,1,0,0
240525630,24,5,25,630,2425630,DITTON,46,0,1,11,5,3,8,8,3,2,2,2,1,44,43,0,1,2,37,8,1,0,0,0
240525700,24,5,25,700,2425700,LINGWICK,39,0,2,2,6,3,4,6,2,8,3,3,0,37,35,2,0,2,36,2,0,1,0,0
240525710,24,5,25,710,2425710,BURY,83,0,2,6,9,6,6,8,14,13,8,7,4,78,77,0,1,5,76,3,3,0,1,0
240525760,24,5,25,760,2425760,WESTBURY,36,0,0,3,5,5,4,5,4,4,4,0,2,32,31,1,0,4,32,1,2,1,0,0
240526000,24,5,26,0,2426000,WOLFE,636,0,22,55,87,86,86,78,82,69,43,15,13,594,569,8,17,42,579,31,11,11,3,1
240526110,24,5,26,110,2426110,SAINTE-PRAXEDE,21,0,0,1,4,0,0,5,3,3,3,2,0,21,20,0,1,0,19,1,1,0,0,0
240526150,24,5,26,150,2426150,STRATFORD,34,0,2,5,10,1,1,3,7,3,1,0,1,31,29,1,1,3,28,3,0,3,0,0
240526250,24,5,26,250,2426250,GARTHBY,31,0,0,4,2,6,5,6,2,2,1,1,2,29,27,1,1,2,27,1,1,1,0,1
240526400,24,5,26,400,2426400,WEEDON,58,0,1,4,8,7,9,7,11,6,4,1,0,54,54,0,0,4,53,5,0,0,0,0
240526480,24,5,26,480,2426480,DUDSWELL,85,0,1,8,6,7,13,11,9,13,9,4,4,82,78,2,2,3,79,3,3,0,0,0
240526530,24,5,26,530,2426530,SAINT-CAMILLE,48,0,4,3,6,8,9,3,9,3,2,0,1,45,44,0,1,3,40,7,0,1,0,0
240526560,24,5,26,560,2426560,SAINT-JOSEPH-DE-HAM-SUD,24,0,3,1,5,5,4,1,1,1,1,1,1,21,21,0,0,3,23,0,0,0,1,0
240526620,24,5,26,620,2426620,DISRAELI,39,0,2,3,5,4,6,5,4,4,5,1,0,38,37,1,0,1,37,0,0,1,1,0
240526640,24,5,26,640,2426640,ST-JACQUES-LE-MAJEUR-WOLFESTOWN,19,0,1,3,6,1,3,3,0,0,1,0,1,19,18,0,1,0,19,0,0,0,0,0
240526660,24,5,26,660,2426660,SAINT-JULIEN,45,0,1,6,7,4,8,4,7,2,6,0,0,38,37,1,0,7,45,0,0,0,0,0
240526680,24,5,26,680,2426680,SAINT-FORTUNAT,34,0,2,4,4,8,1,3,6,6,0,0,0,32,29,1,2,2,32,1,0,1,0,0
240526690,24,5,26,690,2426690,HAM-NORD,60,0,1,3,10,11,8,7,6,10,1,2,1,51,50,0,1,9,56,0,2,1,1,0
240526700,24,5,26,700,2426700,NOTRE-DAME-DE-LOURDES-DE-HAM,22,0,1,2,1,2,7,6,0,1,2,0,0,21,19,1,1,1,19,2,1,0,0,0
240526710,24,5,26,710,2426710,SAINT-ADRIEN,31,0,2,1,6,8,2,3,4,2,2,0,1,30,25,0,5,1,29,1,1,0,0,0
240526740,24,5,26,740,2426740,WOTTON,85,0,1,7,7,14,10,11,13,13,5,3,1,82,81,0,1,3,73,7,2,3,0,0
240535000,24,5,35,0,2435000,RICHMOND,697,1,17,36,94,95,100,94,96,65,53,29,17,665,638,13,14,32,623,27,18,25,3,1
240535140,24,5,35,140,2435140,STOKE,58,0,0,4,9,13,14,4,5,2,2,4,1,58,58,0,0,0,55,1,2,0,0,0
240535200,24,5,35,200,2435200,BROMPTON,73,1,1,4,8,7,13,8,6,6,14,3,2,72,67,5,0,1,60,4,3,4,1,1
240535220,24,5,35,220,2435220,SAINT-DENIS-DE-BROMPTON,22,0,0,2,2,2,6,2,4,3,1,0,0,21,17,0,4,1,21,1,0,0,0,0
240535280,24,5,35,280,2435280,BROMPTON GORE,27,0,1,1,4,5,2,6,3,2,0,3,0,24,24,0,0,3,22,3,0,2,0,0
240535380,24,5,35,380,2435380,MELBOURNE,82,0,2,5,7,11,9,11,19,8,4,5,1,81,79,1,1,1,76,1,2,3,0,0
240535450,24,5,35,450,2435450,ST-FRANCOIS-XAVIER-DE-BROMPTON,52,0,0,3,10,4,7,6,8,7,5,1,1,50,48,0,2,2,46,2,3,1,0,0
240535500,24,5,35,500,2435500,WINDSOR,79,0,3,2,10,13,6,16,14,8,3,2,2,76,73,3,0,3,75,0,1,3,0,0
240535530,24,5,35,530,2435530,SAINT-CLAUDE,61,0,4,5,10,9,9,7,4,2,8,1,2,60,56,2,2,1,50,5,0,6,0,0
240535580,24,5,35,580,2435580,SAINT-GEORGES-DE-WINDSOR,67,0,2,7,7,9,9,14,10,6,0,3,0,61,59,0,2,6,57,3,4,2,1,0
240535680,24,5,35,680,2435680,CLEVELAND,64,0,0,2,10,8,4,7,12,9,5,3,4,64,60,1,3,0,58,3,1,1,1,0
240535780,24,5,35,780,2435780,SHIPTON,112,0,4,1,17,14,21,13,11,12,11,4,4,98,97,1,0,14,103,4,2,3,0,0
240536000,24,5,36,0,2436000,SHERBROOKE,279,0,2,14,23,35,43,41,40,29,18,21,13,253,239,2,12,26,241,8,4,24,0,2
240536200,24,5,36,200,2436200,ASCOT,100,0,2,5,7,20,19,11,11,5,8,6,6,95,93,0,2,5,81,5,3,9,0,2
240536250,24,5,36,250,2436250,ASCOT CORNER,46,0,0,1,6,5,7,6,9,5,4,3,0,43,42,1,0,3,43,1,0,2,0,0
240536300,24,5,36,300,2436300,FLEURIMONT,19,0,0,1,2,4,1,1,1,6,0,2,1,15,13,0,2,4,18,0,0,1,0,0
240536350,24,5,36,350,2436350,SHERBROOKE,11,0,0,0,1,0,0,5,2,2,0,1,0,9,5,0,4,2,10,0,0,1,0,0
240536500,24,5,36,500,2436500,ROCK FOREST,42,0,0,3,3,2,5,11,6,5,2,3,2,36,33,0,3,6,34,1,1,6,0,0
240536700,24,5,36,700,2436700,ORFORD,61,0,0,4,4,4,11,7,11,6,4,6,4,55,53,1,1,6,55,1,0,5,0,0
240537000,24,5,37,0,2437000,STANSTEAD,607,1,15,44,72,78,70,84,88,56,50,25,24,577,554,12,11,30,524,44,15,22,2,0
240537150,24,5,37,150,2437150,SAINT-HERMENEGILDE,34,0,2,2,5,3,5,7,5,1,3,1,0,33,33,0,0,1,32,1,0,1,0,0
240537200,24,5,37,200,2437200,SAINT-MATHIEU-DE-DIXVILLE,41,0,1,3,1,3,4,10,7,3,4,2,3,41,40,1,0,0,37,2,0,2,0,0
240537240,24,5,37,240,2437240,BARFORD,31,0,1,4,4,4,4,4,2,3,5,0,0,28,27,0,1,3,27,3,1,0,0,0
240537300,24,5,37,300,2437300,BARNSTON,111,0,5,16,18,15,13,7,22,8,5,1,1,107,100,3,4,4,86,18,3,4,0,0
240537340,24,5,37,340,2437340,BARNSTON-OUEST,52,0,3,1,8,7,1,10,7,6,5,3,1,51,51,0,0,1,48,1,0,3,0,0
240537400,24,5,37,400,2437400,STANSTEAD-EST,85,1,1,10,8,11,8,9,12,10,6,5,4,82,77,2,3,3,74,4,3,3,1,0
240537460,24,5,37,460,2437460,OGDEN,59,0,0,1,9,9,6,4,10,6,4,6,4,57,57,0,0,2,55,2,1,1,0,0
240537480,24,5,37,480,2437480,STANSTEAD,39,0,0,1,4,5,2,8,7,7,3,0,2,35,32,1,2,4,34,3,0,2,0,0
240537580,24,5,37,580,2437580,"HATLEY, PARTIE OUEST",31,0,1,0,0,3,8,6,4,1,4,1,3,27,26,1,0,4,27,1,1,2,0,0
240537680,24,5,37,680,2437680,HATLEY,34,0,1,2,7,4,2,5,3,1,4,1,4,31,30,0,1,3,31,2,0,1,0,0
240537700,24,5,37,700,2437700,SAINTE-CATHERINE-DE-HATLEY,41,0,0,0,3,9,11,7,3,3,2,2,1,40,37,3,0,1,36,1,4,0,0,0
240537780,24,5,37,780,2437780,MAGOG,49,0,0,4,5,5,6,7,6,7,5,3,1,45,44,1,0,4,37,6,2,3,1,0
240538000,24,5,38,0,2438000,BROME,512,0,7,24,53,54,61,41,73,64,53,51,31,480,458,14,8,32,448,18,23,18,4,1
240538140,24,5,38,140,2438140,POTTON,71,0,2,2,6,7,8,6,11,3,12,9,5,66,64,0,2,5,64,1,4,2,0,0
240538280,24,5,38,280,2438280,SUTTON,99,0,1,2,8,9,8,7,12,17,19,9,7,94,89,4,1,5,85,3,7,4,0,0
240538320,24,5,38,320,2438320,AUSTIN,17,0,0,0,0,0,2,2,5,2,0,2,4,15,12,2,1,2,13,3,0,1,0,0
240538380,24,5,38,380,2438380,SAINT-ETIENNE-DE-BOLTON,21,0,0,1,2,3,3,1,5,3,1,1,1,19,19,0,0,2,20,0,1,0,0,0
240538400,24,5,38,400,2438400,BOLTON-OUEST,40,0,0,1,2,3,4,4,1,8,6,7,4,38,36,2,0,2,32,3,3,2,0,0
240538500,24,5,38,500,2438500,LAC-BROME,115,0,0,5,9,15,16,11,20,17,4,14,4,111,104,4,3,4,103,4,2,3,2,1
240538700,24,5,38,700,2438700,ADAMSVILLE,81,0,3,8,16,11,11,3,9,8,5,3,4,75,74,1,0,6,71,2,5,2,1,0
240538780,24,5,38,780,2438780,BROMONT,68,0,1,5,10,6,9,7,10,6,6,6,2,62,60,1,1,6,60,2,1,4,1,0
240539000,24,5,39,0,2439000,SHEFFORD,"1,177",2,49,108,157,189,163,140,119,123,70,37,20,"1,097","1,057",16,24,80,"1,075",41,16,38,5,2
240539140,24,5,39,140,2439140,STUKELY-SUD,40,0,0,5,4,6,5,5,3,5,3,3,1,36,33,0,3,4,35,2,2,1,0,0
240539200,24,5,39,200,2439200,SHEFFORD,93,0,1,6,8,11,16,10,8,18,4,6,5,84,82,1,1,9,81,3,4,2,2,1
240539240,24,5,39,240,2439240,GRANBY,50,0,0,1,1,6,7,8,7,9,4,4,3,47,45,1,1,3,48,0,0,1,0,1
240539260,24,5,39,260,2439260,SAINT-ALPHONSE,72,0,8,11,5,18,7,6,7,6,3,1,0,66,65,1,0,6,58,5,0,8,1,0
240539280,24,5,39,280,2439280,GRANBY,65,0,6,2,8,6,15,6,6,5,5,3,3,62,62,0,0,3,57,5,0,3,0,0
240539320,24,5,39,320,2439320,SAINTE-CECILE-DE-MILTON,83,1,4,6,8,12,14,12,12,7,4,1,2,81,79,0,2,2,80,0,0,3,0,0
240539360,24,5,39,360,2439360,SAINTE-PUDENTIENNE,96,0,4,10,17,10,13,13,10,12,5,2,0,87,83,2,2,9,86,4,3,3,0,0
240539380,24,5,39,380,2439380,SAINT-JOACHIM-DE-SHEFFORD,110,0,3,12,16,11,15,10,10,17,13,2,1,102,98,3,1,8,105,2,1,2,0,0
240539420,24,5,39,420,2439420,SAINTE-ANNE-DE-LA-ROCHELLE,60,0,3,7,8,7,8,9,6,6,5,0,1,54,53,0,1,6,53,3,1,3,0,0
240539450,24,5,39,450,2439450,BONSECOURS,39,0,0,2,6,4,7,8,5,3,2,2,0,31,30,1,0,8,37,2,0,0,0,0
240539540,24,5,39,540,2439540,RACINE,22,0,0,1,2,4,2,3,6,1,2,1,0,16,15,0,1,6,22,0,0,0,0,0
240539650,24,5,39,650,2439650,VALCOURT,59,0,2,7,11,18,1,7,3,5,1,4,0,55,49,2,4,4,52,3,3,1,0,0
240539680,24,5,39,680,2439680,BETHANIE,50,0,2,4,5,9,8,2,8,3,3,5,1,48,44,2,2,2,47,2,0,0,1,0
240539700,24,5,39,700,2439700,MARICOURT,63,0,3,4,10,18,11,4,3,3,4,1,2,62,58,1,3,1,58,3,0,1,1,0
240539750,24,5,39,750,2439750,ROXTON,124,0,6,15,18,25,13,18,8,15,5,0,1,119,118,1,0,5,116,4,0,4,0,0
240539780,24,5,39,780,2439780,SAINT-VALERIEN-DE-MILTON,151,1,7,15,30,24,21,19,17,8,7,2,0,147,143,1,3,4,140,3,2,6,0,0
240600000,24,6,0,0,2400000,REGION DU RICHELIEU REGION,"5,491",5,227,479,696,792,733,707,654,538,343,175,142,"5,116","4,937",83,96,375,"4,840",220,124,249,42,16
240640000,24,6,40,0,2440000,BAGOT,"1,206",1,81,129,174,182,169,164,117,103,45,26,15,"1,108","1,069",21,18,98,"1,086",52,16,44,8,0
240640160,24,6,40,160,2440160,SAINT-PIE,182,0,12,14,21,29,31,27,23,17,2,6,0,163,160,1,2,19,170,5,1,5,1,0
240640180,24,6,40,180,2440180,SAINT-DOMINIQUE,114,0,3,10,15,20,19,23,10,4,5,3,2,101,100,1,0,13,99,2,4,6,3,0
240640240,24,6,40,240,2440240,SAINTE-ROSALIE,92,0,5,13,10,9,13,16,9,6,6,3,2,75,71,1,3,17,80,5,3,4,0,0
240640280,24,6,40,280,2440280,SAINT-SIMON,78,0,2,3,10,11,7,14,10,11,6,1,3,74,72,1,1,4,68,2,2,5,1,0
240640340,24,6,40,340,2440340,SAINT-LIBOIRE,123,0,8,13,14,21,18,17,9,15,5,2,1,114,109,4,1,9,109,10,0,2,2,0
240640380,24,6,40,380,2440380,SAINT-EPHREM-D'UPTON,98,0,8,13,15,20,16,8,12,4,2,0,0,92,91,0,1,6,89,3,0,6,0,0
240640440,24,6,40,440,2440440,SAINT-ANDRE-D'ACTON,65,0,2,4,12,9,9,9,8,5,2,4,1,60,58,0,2,5,58,2,3,2,0,0
240640460,24,6,40,460,2440460,SAINTE-CHRISTINE,46,0,3,4,6,9,5,6,5,3,3,1,1,46,43,3,0,0,40,4,0,2,0,0
240640480,24,6,40,480,2440480,SAINT-THEODORE-D'ACTON,81,0,5,7,9,10,14,14,9,10,3,0,0,78,75,1,2,3,73,4,0,4,0,0
240640520,24,6,40,520,2440520,SAINT-NAZAIRE-D'ACTON,116,0,8,15,27,14,12,14,4,9,7,2,4,111,105,2,4,5,107,6,2,1,0,0
240640600,24,6,40,600,2440600,SAINTE-HELENE-DE-BAGOT,93,0,8,16,23,13,8,10,8,4,2,0,1,89,83,4,2,4,84,5,0,4,0,0
240640780,24,6,40,780,2440780,SAINT-HUGUES,118,1,17,17,12,17,17,6,10,15,2,4,0,105,102,3,0,13,109,4,1,3,1,0
240650000,24,6,50,0,2450000,RICHELIEU,496,0,19,43,64,56,63,62,57,40,43,33,16,460,449,5,6,36,457,13,10,12,3,1
240650120,24,6,50,120,2450120,SAINT-MARCEL,75,0,7,11,13,7,13,5,6,6,3,3,1,70,68,0,2,5,69,4,1,1,0,0
240650200,24,6,50,200,2450200,SAINT-AIME,87,0,5,8,12,13,8,14,9,5,7,2,4,79,76,1,2,8,80,2,3,1,1,0
240650280,24,6,50,280,2450280,SAINT-LOUIS,44,0,4,6,7,3,3,6,7,3,3,2,0,43,43,0,0,1,41,2,1,0,0,0
240650360,24,6,50,360,2450360,SAINT-OURS,62,0,0,4,4,4,8,10,9,6,8,4,5,61,59,2,0,1,56,2,1,3,0,0
240650400,24,6,50,400,2450400,SAINT-ROCH-DE-RICHELIEU,26,0,0,2,2,6,5,1,1,4,1,3,1,25,24,1,0,1,25,0,1,0,0,0
240650500,24,6,50,500,2450500,SAINTE-VICTOIRE-DE-SOREL,68,0,2,7,8,5,9,8,8,5,7,8,1,61,60,0,1,7,64,1,1,2,0,0
240650550,24,6,50,550,2450550,SAINT-ROBERT,83,0,1,5,14,11,12,13,9,6,8,3,1,77,76,0,1,6,78,1,1,1,2,0
240650750,24,6,50,750,2450750,SAINT-PIERRE-DE-SOREL,28,0,0,0,2,5,4,0,4,2,3,5,3,22,21,1,0,6,24,1,0,3,0,0
240650780,24,6,50,780,2450780,SAINTE-ANNE-DE-SOREL,23,0,0,0,2,2,1,5,4,3,3,3,0,22,22,0,0,1,20,0,1,1,0,1
240651000,24,6,51,0,2451000,SAINT-HYACINTHE,876,2,43,82,114,128,127,124,104,84,37,17,14,813,791,9,13,63,770,35,11,46,10,4
240651160,24,6,51,160,2451160,SAINT-DAMASE,155,0,11,12,15,20,25,28,29,8,6,1,0,146,144,1,1,9,143,2,2,7,1,0
240651280,24,6,51,280,2451280,SAINTE-MARIE-MADELEINE,94,1,6,6,14,16,11,14,11,12,1,0,2,91,86,2,3,3,84,5,0,4,1,0
240651340,24,6,51,340,2451340,SAINT-CHARLES,61,0,2,4,7,8,10,12,6,6,3,3,0,59,58,1,0,2,57,0,1,3,0,0
240651400,24,6,51,400,2451400,LA PRESENTATION,125,0,1,11,16,21,19,19,16,10,6,4,2,111,110,1,0,14,107,10,0,6,2,0
240651420,24,6,51,420,2451420,SAINT-THOMAS-D'AQUIN,68,0,0,5,10,5,9,17,6,8,4,4,0,60,59,0,1,8,60,2,0,5,1,0
240651460,24,6,51,460,2451460,SAINT-HYACINTHE,102,0,6,9,15,16,13,8,6,12,7,4,6,88,86,0,2,14,85,3,1,8,1,4
240651520,24,6,51,520,2451520,SAINT-BARNABE,64,1,5,11,8,11,8,7,5,6,2,0,0,62,60,2,0,2,53,4,1,6,0,0
240651600,24,6,51,600,2451600,SAINT-JUDE,66,0,6,7,12,9,13,5,7,4,3,0,0,62,56,1,5,4,54,6,2,1,3,0
240651740,24,6,51,740,2451740,SAINT-DENIS,100,0,4,10,15,11,14,12,15,12,2,1,4,93,91,1,1,7,92,1,4,2,1,0
240651780,24,6,51,780,2451780,"SAINT-BERNARD, PARTIE SUD",41,0,2,7,2,11,5,2,3,6,3,0,0,41,41,0,0,0,35,2,0,4,0,0
240652000,24,6,52,0,2452000,ROUVILLE,952,0,45,87,117,139,141,125,124,86,51,15,22,906,870,14,22,46,832,34,20,50,9,7
240652160,24,6,52,160,2452160,SAINT-ANGE-GARDIEN,157,0,10,23,26,23,20,13,16,15,8,0,3,150,144,1,5,7,133,7,5,12,0,0
240652200,24,6,52,200,2452200,SAINT-PAUL-D'ABBOTSFORD,140,0,10,17,22,19,22,17,12,5,8,2,6,129,125,0,4,11,117,3,5,8,4,3
240652280,24,6,52,280,2452280,SAINT-CESAIRE,137,0,7,10,21,18,14,22,17,18,8,1,1,135,129,3,3,2,122,3,1,11,0,0
240652320,24,6,52,320,2452320,SAINTE-ANGELE-DE-MONNOIR,65,0,1,6,11,8,9,13,9,5,2,0,1,61,61,0,0,4,60,0,2,2,0,1
240652380,24,6,52,380,2452380,SAINT-MICHEL-DE-ROUGEMONT,102,0,7,7,9,11,15,18,16,9,5,2,3,100,94,4,2,2,90,3,1,4,2,2
240652420,24,6,52,420,2452420,SAINTE-MARIE-DE-MONNOIR,79,0,3,9,6,14,6,12,12,9,4,4,0,75,72,1,2,4,71,4,0,4,0,0
