AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,TFAREA,ETFAREA,NTOTIMP,TOTIMP,ETOTIMP,NCRPLND,CRPLND,ECRPLND,NSUMMRF,SUMMRF,ESUMMRF,NIMPAST,IMPAST,EIMPAST,NOTHIMP,OTHIMP,EOTHIMP,TOTUNIM,ETOTUNIM,NWDLAND,WDLAND,EWDLAND,NOUNIMP,OUNIMP,EOUNIMP,ILANDIST,ILANDIST_1,ILANDIST_2,ILANDIST_3,ILANDIST_4,ILANDIST_5,ILANDIST_6,ILANDIST_7,ILANDIST_8,ILANDIST_9,ILANDIST_10,ILANDIST_11,ILANDIST_12,ILANDIST_13,NFORAGE,FORAGE,EFORAGE,NALFASD,ALFASD,EALFASD,NALSIKE,ALSIKE,EALSIKE,NCLOVRD,CLOVRD,ECLOVRD,NCLOVSW,CLOVSW,ECLOVSW,NTIMOTHY,TIMOTHY,ETIMOTHY,NBROMSD,BROMSD,EBROMSD,NFESCUE,FESCUE,EFESCUE,NOFORGSD,OFORGSD,EOFORGSD,NTOTFER,TOTFER,ETOTFER,TOTTON,NFERCPA,FERCPA,EFERCPA,FERCPT,NFERTHA,FERTHA,EFERTHA,FERTHT,NFERIPA,FERIPA,EFERIPA,FERIPT,NSPRAY,NHERBCI,HERBCI,EHERBCI,NINSECTI,INSECTI,EINSECTI,NIRRIG,IRRIG,EIRRIG,NIRGSSY,IRGSSY,EIRGSSY
130415000,13,4,15,0,1315000,GLOUCESTER COUNTY,188,"44,066","17,833",183,"16,780","6,791",172,"12,353","4,999",27,611,247,109,"2,942","1,191",77,874,354,"27,286","11,042",125,"25,152","10,179",57,"2,134",864,183,5,4,12,86,46,14,7,9,4,0,1,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117,"4,444","1,798","1,039",85,"2,420",979,732,44,"1,332",539,217,48,692,280,90,63,48,"1,746",707,36,926,375,..,..,..,2,21,8
130415001,13,4,15,1,1315001,SAUMAREZ,29,"15,096","6,109",28,"2,334",945,27,"1,897",768,7,249,101,16,174,70,7,14,6,"12,763","5,165",18,"12,602","5,100",9,161,65,28,1,0,3,15,6,2,0,1,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19,662,268,148,12,155,63,64,13,390,158,68,10,117,47,16,13,11,709,287,7,167,68,..,..,..,0,0,0
130415008,13,4,15,8,1315008,BATHURST,41,"5,780","2,339",40,"2,670","1,081",38,"1,703",689,3,72,29,26,800,324,21,95,38,"3,109","1,258",25,"2,669","1,080",11,440,178,40,1,1,2,22,11,1,1,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23,472,191,73,17,301,122,41,6,83,34,18,9,88,36,14,13,7,60,24,9,67,27,..,..,..,0,0,0
130415012,13,4,15,12,1315012,BERESFORD,17,"1,930",781,16,"1,000",405,13,738,299,1,5,2,9,147,59,5,110,45,930,376,11,677,274,9,253,102,16,1,2,0,8,4,1,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,345,140,209,11,305,123,201,2,27,11,6,1,13,5,2,8,5,104,42,7,203,82,..,..,..,1,15,6
130415016,13,4,15,16,1315016,NEW BANDON,35,"7,488","3,030",35,"3,170","1,283",34,"2,357",954,4,39,16,28,665,269,17,109,44,"4,318","1,747",31,"3,870","1,566",10,448,181,35,0,0,2,17,10,2,1,3,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24,958,388,113,17,548,222,73,5,189,76,15,12,221,89,25,13,12,233,94,3,107,43,..,..,..,0,0,0
130415019,13,4,15,19,1315019,PAQUETVILLE,14,"3,351","1,356",13,"1,929",781,13,"1,441",583,3,40,16,9,381,154,5,67,27,"1,422",575,11,"1,216",492,3,206,83,13,1,0,0,3,3,4,1,1,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,453,183,93,7,237,96,72,4,99,40,11,5,117,47,10,0,0,0,0,0,0,0,..,..,..,0,0,0
130415021,13,4,15,21,1315021,SAINT-ISIDORE,17,"4,932","1,996",16,"3,017","1,221",16,"2,093",847,3,60,24,12,513,208,6,351,142,"1,915",775,10,"1,624",657,7,291,118,16,1,0,0,6,4,0,2,2,1,0,1,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,915,370,173,8,437,177,114,7,376,152,44,5,102,41,15,6,5,409,166,3,94,38,..,..,..,1,6,2
130415024,13,4,15,24,1315024,INKERMAN,15,"3,875","1,568",15,"1,695",686,15,"1,417",573,3,129,52,4,139,56,4,10,4,"2,180",882,10,"1,900",769,5,280,113,15,0,0,1,4,6,3,0,0,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,361,146,136,8,275,111,94,4,64,26,38,3,22,9,4,4,4,59,24,1,100,40,..,..,..,0,0,0
130415026,13,4,15,26,1315026,CARAQUET,20,"1,614",653,20,965,391,16,707,286,3,17,7,5,123,50,12,118,48,649,263,9,594,240,3,55,22,20,0,1,4,11,2,1,1,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,278,113,94,5,162,66,73,3,104,42,17,3,12,5,4,6,4,172,70,6,188,76,..,..,..,0,0,0
240000000,24,0,0,0,2400000,QUEBEC,"48,144","9,338,532","3,779,169","45,895","5,832,526","2,360,339","42,646","4,339,264","1,756,038","4,651","131,155","53,077","24,783","1,096,059","443,559","21,220","266,048","107,666","3,506,278","1,418,940","31,457","2,642,792","1,069,500","17,874","863,486","349,440","45,895","2,249","1,412","2,337","12,215","12,317","6,991","4,997","4,296",909,287,100,22,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"27,368","2,731,505","1,105,401","461,644","22,353","1,411,997","571,415","300,544","14,373","896,982","362,996","111,798","12,279","422,526","170,990","49,302","17,082","15,411","990,475","400,831","5,214","218,313","88,348",..,..,..,618,"14,799","5,989"
240100000,24,1,0,0,2400000,BAS ST-L.& GASPE-L.ST-L.& GASPE,"4,219","1,127,613","456,329","4,100","639,350","258,736","3,962","459,064","185,777",460,"15,604","6,315","2,864","132,897","53,782","1,985","31,785","12,863","488,228","197,579","3,360","422,251","170,879","1,703","65,977","26,700","4,100",119,70,112,759,983,756,651,610,127,31,1,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"2,814","309,834","125,385","34,649","2,338","111,798","45,243","16,204","1,671","136,249","55,138","12,454","1,619","61,787","25,004","5,991","1,082",980,"37,038","14,989",327,"7,664","3,102",..,..,..,22,136,55
240101000,24,1,1,0,2401000,ILES-DE-LA-MADELEINE,72,"2,232",903,72,"1,434",580,58,770,312,12,66,27,35,334,135,47,264,107,798,323,34,303,123,46,495,200,72,0,3,25,42,1,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24,374,151,126,16,96,39,49,13,174,70,58,11,104,42,19,3,3,27,11,2,17,7,..,..,..,0,0,0
240101250,24,1,1,250,2401250,L'ETANG-DU-NORD,72,"2,232",903,72,"1,434",580,58,770,312,12,66,27,35,334,135,47,264,107,798,323,34,303,123,46,495,200,72,0,3,25,42,1,1,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24,374,151,126,16,96,39,49,13,174,70,58,11,104,42,19,3,3,27,11,2,17,7,..,..,..,0,0,0
240102000,24,1,2,0,2402000,GASPE-EST,91,"11,624","4,704",80,"6,146","2,487",72,"3,592","1,454",14,293,119,46,"1,199",485,36,"1,062",430,"5,478","2,217",58,"3,828","1,549",40,"1,650",668,80,11,7,3,36,20,6,4,3,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43,"2,363",956,327,29,846,342,141,19,819,331,116,22,698,282,70,9,5,115,47,6,14,6,..,..,..,0,0,0
240102150,24,1,2,150,2402150,PERCE,28,"5,398","2,184",28,"2,914","1,179",26,"1,725",698,5,177,72,20,569,230,12,443,179,"2,484","1,005",18,"1,801",729,15,683,276,28,0,1,2,8,9,4,1,2,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,"1,237",501,148,8,298,121,43,9,566,229,75,10,373,151,30,3,2,105,42,1,3,1,..,..,..,0,0,0
240102200,24,1,2,200,2402200,GRANDE-RIVIERE,19,"1,721",696,18,"1,081",437,17,649,263,4,40,16,9,243,98,8,149,60,639,259,10,496,201,6,143,58,18,1,3,1,7,6,0,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,366,148,70,7,166,67,44,4,88,36,6,5,112,45,20,3,2,4,2,2,2,1,..,..,..,0,0,0
240102500,24,1,2,500,2402500,GASPE,26,"3,581","1,449",26,"1,886",763,22,"1,108",448,4,70,28,13,240,97,15,468,189,"1,696",686,18,"1,308",529,10,388,157,26,0,1,0,16,4,2,3,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,454,184,101,11,253,102,49,5,80,32,34,6,121,49,18,3,1,6,2,3,9,4,..,..,..,0,0,0
240102750,24,1,2,750,2402750,GRANDE-VALLEE,18,924,374,8,265,107,7,110,45,1,6,2,4,147,59,1,2,1,659,267,12,223,90,9,436,176,8,10,2,0,5,1,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,306,124,8,3,129,52,5,1,85,34,1,1,92,37,2,0,0,0,0,0,0,0,..,..,..,0,0,0
240103000,24,1,3,0,2403000,GASPE-OUEST,76,"16,072","6,504",70,"7,739","3,132",67,"4,604","1,863",12,407,165,43,"1,525",617,35,"1,203",487,"8,333","3,372",56,"6,424","2,600",27,"1,909",773,70,6,1,0,25,24,7,8,4,0,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37,"1,430",579,334,30,605,245,192,14,443,179,76,10,382,155,66,4,3,71,29,2,60,24,..,..,..,0,0,0
240103370,24,1,3,370,2403370,SAINT-MAXIME-DU-MONT-LOUIS,11,"2,055",832,10,990,401,10,673,272,3,136,55,7,87,35,3,94,38,"1,065",431,8,675,273,5,390,158,10,1,0,0,4,4,0,2,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,167,68,126,4,102,41,92,3,65,26,34,0,0,0,0,1,1,59,24,1,59,24,..,..,..,0,0,0
240103550,24,1,3,550,2403550,MARSOUI,10,"1,817",735,6,990,401,5,211,85,3,120,49,4,175,71,3,484,196,827,335,8,450,182,4,377,153,6,4,0,0,3,1,1,0,0,0,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,48,19,33,2,23,9,31,1,25,10,2,0,0,0,0,0,0,0,0,0,0,0,..,..,..,0,0,0
240103680,24,1,3,680,2403680,SAINTE-ANNE-DES-MONTS,26,"5,158","2,087",25,"2,186",885,24,"1,342",543,5,149,60,14,405,164,8,290,117,"2,972","1,203",17,"2,300",931,9,672,272,25,1,0,0,12,8,3,1,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,640,259,78,13,215,87,33,6,188,76,27,6,237,96,18,2,1,8,3,1,1,0,..,..,..,0,0,0
240103730,24,1,3,730,2403730,CAP-CHAT,29,"7,042","2,850",29,"3,573","1,446",28,"2,378",962,1,2,1,18,858,347,21,335,136,"3,469","1,404",23,"2,999","1,214",9,470,190,29,0,1,0,6,11,3,5,3,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,575,233,97,11,265,107,36,4,165,67,13,4,145,59,48,1,1,4,2,0,0,0,..,..,..,0,0,0
240104000,24,1,4,0,2404000,BONAVENTURE,477,"110,493","44,715",468,"53,109","21,492",452,"36,525","14,781",73,"2,398",970,291,"10,881","4,403",212,"3,305","1,337","57,382","23,222",376,"49,926","20,204",173,"7,456","3,017",468,9,13,22,161,112,63,51,35,8,3,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,302,"17,895","7,242","3,485",247,"8,770","3,549","1,817",132,"5,578","2,257","1,206",130,"3,547","1,435",462,108,97,"3,280","1,327",41,"1,046",423,..,..,..,0,0,0
240104160,24,1,4,160,2404160,"PORT-DANIEL, PARTIE OUEST",24,"4,533","1,834",24,"2,148",869,23,"1,478",598,3,53,21,16,466,189,13,151,61,"2,386",966,20,"2,141",866,7,245,99,24,0,1,1,9,7,5,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,897,363,103,12,420,170,54,10,337,136,35,9,140,57,14,8,7,184,74,2,8,3,..,..,..,0,0,0
240104180,24,1,4,180,2404180,SHIGAWAKE,40,"6,850","2,772",40,"3,733","1,511",40,"2,766","1,119",8,214,87,29,658,266,11,95,38,"3,117","1,261",27,"2,932","1,187",9,185,75,40,0,0,1,22,7,3,5,2,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26,"1,244",503,160,20,510,206,81,9,490,198,45,11,244,99,34,14,14,377,153,1,40,16,..,..,..,0,0,0
240104220,24,1,4,220,2404220,HOPE,20,"2,998","1,213",20,"1,540",623,19,852,345,4,166,67,11,386,156,5,136,55,"1,458",590,16,"1,324",536,4,134,54,20,0,2,0,7,8,2,0,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,183,74,85,5,100,40,13,3,48,19,32,1,35,14,40,3,3,67,27,0,0,0,..,..,..,0,0,0
240104260,24,1,4,260,2404260,NEW CARLISLE,17,"1,752",709,17,731,296,16,575,233,0,0,0,5,109,44,6,47,19,"1,021",413,13,881,357,9,140,57,17,0,1,2,10,4,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,79,32,49,4,28,11,8,4,51,21,41,0,0,0,0,7,7,111,45,1,2,1,..,..,..,0,0,0
240104280,24,1,4,280,2404280,BONAVENTURE,60,"11,921","4,824",60,"5,692","2,303",59,"3,749","1,517",15,513,208,35,978,396,27,452,183,"6,229","2,521",53,"5,535","2,240",22,694,281,60,0,2,4,26,11,6,8,3,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39,"1,977",800,489,32,946,383,265,20,659,267,177,17,372,151,47,20,17,419,170,16,323,131,..,..,..,0,0,0
240104310,24,1,4,310,2404310,SAINT-SIMEON,19,"3,273","1,325",19,"2,017",816,18,"1,286",520,5,93,38,11,510,206,10,128,52,"1,256",508,14,"1,064",431,8,192,78,19,0,1,1,6,5,2,3,0,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14,762,308,138,8,191,77,35,7,413,167,94,5,158,64,9,1,1,25,10,1,8,3,..,..,..,0,0,0
240104330,24,1,4,330,2404330,CAPLAN,38,"8,387","3,394",38,"5,428","2,197",37,"3,980","1,611",3,8,3,22,"1,110",449,18,330,134,"2,960","1,198",25,"2,397",970,12,563,228,38,0,0,2,10,9,5,7,3,1,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31,"3,391","1,372",396,28,"1,520",615,203,15,"1,298",525,130,15,573,232,63,6,6,463,187,1,85,34,..,..,..,0,0,0
240104340,24,1,4,340,2404340,SAINT-ALPHONSE,17,"3,734","1,511",15,"2,381",964,15,"1,453",588,2,46,19,12,557,225,5,325,132,"1,354",548,11,"1,257",509,4,97,39,15,2,1,0,3,4,3,1,1,2,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,599,242,96,10,249,101,48,5,134,54,28,7,216,87,20,3,3,26,11,1,1,0,..,..,..,0,0,0
240104360,24,1,4,360,2404360,NEW RICHMOND,53,"11,294","4,571",52,"5,881","2,380",47,"3,538","1,432",7,743,301,28,"1,241",502,30,359,145,"5,411","2,190",42,"4,427","1,792",25,984,398,52,1,2,3,19,11,7,4,5,0,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22,470,190,84,19,388,157,74,3,45,18,5,3,37,15,5,9,8,234,95,2,16,6,..,..,..,0,0,0
240104460,24,1,4,460,2404460,MARIA,33,"8,030","3,250",33,"3,848","1,557",30,"2,328",942,10,275,111,18,888,359,25,357,144,"4,179","1,691",28,"2,416",978,20,"1,763",713,33,0,1,1,9,10,5,4,2,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,660,267,173,16,326,132,145,6,169,68,14,6,165,67,14,5,5,192,78,3,66,27,..,..,..,0,0,0
240104480,24,1,4,480,2404480,CARLETON,32,"7,476","3,025",31,"3,617","1,464",29,"2,653","1,074",6,123,50,21,766,310,14,75,30,"3,858","1,561",19,"2,968","1,201",16,890,360,31,1,0,3,9,8,3,2,6,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23,"1,334",540,246,20,909,368,192,6,121,49,22,12,304,123,32,10,7,374,151,5,185,75,..,..,..,0,0,0
240104530,24,1,4,530,2404530,NOUVELLE,40,"12,092","4,893",40,"5,144","2,082",40,"3,859","1,562",1,4,2,27,788,319,18,493,200,"6,948","2,812",34,"6,439","2,606",18,509,206,40,0,0,2,14,7,7,7,1,1,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32,"2,824","1,143",387,28,"1,364",552,190,17,743,301,107,19,717,290,90,13,12,661,267,4,300,121,..,..,..,0,0,0
240104560,24,1,4,560,2404560,ESCUMINAC,17,"3,982","1,611",17,"1,457",590,17,"1,040",421,3,40,16,8,313,127,7,64,26,"2,525","1,022",14,"2,124",860,5,401,162,17,0,1,0,6,7,1,1,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,350,142,49,7,178,72,25,5,95,38,15,4,77,31,9,7,6,109,44,3,10,4,..,..,..,0,0,0
240104640,24,1,4,640,2404640,RISTIGOUCHE,16,"8,852","3,582",16,"2,519","1,019",16,"1,935",783,2,10,4,14,571,231,2,3,1,"6,333","2,563",14,"6,292","2,546",2,41,17,16,0,0,2,1,4,3,4,1,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,927,375,392,11,452,183,205,5,345,140,149,5,130,53,38,1,0,0,0,1,2,1,..,..,..,0,0,0
240104660,24,1,4,660,2404660,SAINT-ALEXIS-DE-MATAPEDIA,27,"8,153","3,299",22,"3,573","1,446",22,"2,653","1,074",2,63,25,14,693,280,10,164,66,"4,580","1,853",25,"4,065","1,645",8,515,208,22,5,1,0,4,3,5,3,6,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,"1,067",432,276,15,553,224,88,9,274,111,160,9,240,97,28,1,1,38,15,0,0,0,..,..,..,0,0,0
240104700,24,1,4,700,2404700,L'ASCENSION-DE-PATAPEDIA,24,"7,166","2,900",24,"3,400","1,376",24,"2,380",963,2,47,19,20,847,343,11,126,51,"3,767","1,524",21,"3,664","1,483",4,103,42,24,0,0,0,6,7,6,2,2,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,"1,131",458,362,12,636,257,191,8,356,144,152,7,139,56,19,0,0,0,0,0,0,0,..,..,..,0,0,0
240105000,24,1,5,0,2405000,MATAPEDIA,486,"180,754","73,149",480,"90,411","36,588",462,"66,236","26,805",32,"1,394",564,364,"20,286","8,209",215,"2,495","1,010","90,347","36,562",437,"83,815","33,919",183,"6,532","2,643",480,6,9,4,62,98,85,84,106,26,6,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,354,"47,872","19,373","5,070",289,"16,056","6,498","2,181",242,"21,646","8,760","2,025",229,"10,170","4,116",864,92,89,"4,657","1,885",9,323,131,..,..,..,1,1,0
240105260,24,1,5,260,2405260,ST-JACQUES-LE-MAJEUR-CAUSAPSCAL,47,"18,084","7,318",46,"7,636","3,090",45,"4,815","1,949",5,270,109,35,"2,371",960,16,180,73,"10,451","4,229",44,"9,812","3,971",15,639,259,46,1,2,0,6,13,10,3,10,1,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35,"3,696","1,496",339,24,959,388,125,22,"1,492",604,109,22,"1,245",504,105,8,8,385,156,0,0,0,..,..,..,0,0,0
240105280,24,1,5,280,2405280,SAINT-RAPHAEL-D'ALBERTVILLE,19,"8,440","3,416",19,"2,894","1,171",19,"1,826",739,3,122,49,18,906,367,8,40,16,"5,546","2,244",18,"5,133","2,077",10,413,167,19,0,0,0,3,4,6,2,4,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,"1,002",405,216,7,204,83,32,7,506,205,136,8,292,118,48,1,1,50,20,0,0,0,..,..,..,0,0,0
240105360,24,1,5,360,2405360,SAINT-ZENON-DU-LAC-HUMQUI,15,"9,556","3,867",14,"3,112","1,259",14,"2,409",975,0,0,0,11,574,232,8,129,52,"6,444","2,608",14,"6,003","2,429",6,441,178,14,1,0,0,0,1,5,5,1,2,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,"1,518",614,154,10,573,232,86,8,661,267,45,8,284,115,23,1,1,80,32,0,0,0,..,..,..,0,0,0
240105380,24,1,5,380,2405380,SAINT-LEON-LE-GRAND,41,"15,370","6,220",41,"8,688","3,516",40,"6,449","2,610",0,0,0,35,"2,014",815,25,225,91,"6,680","2,703",35,"6,315","2,556",14,365,148,41,0,1,0,1,6,8,11,12,2,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31,"4,537","1,836",489,26,"1,400",567,254,26,"2,326",941,179,20,811,328,56,3,3,105,42,0,0,0,..,..,..,0,0,0
240105400,24,1,5,400,2405400,SAINTE-IRENE,16,"7,776","3,147",16,"3,839","1,554",15,"2,858","1,157",0,0,0,12,942,381,4,39,16,"3,937","1,593",14,"3,877","1,569",3,60,24,16,0,1,0,1,3,1,4,3,2,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,"2,873","1,163",256,10,632,256,100,11,"1,360",550,100,10,881,357,56,1,1,40,16,1,40,16,..,..,..,0,0,0
240105440,24,1,5,440,2405440,SAINT-BENOIT-JOSEPH-LABRE,69,"23,779","9,623",68,"16,552","6,698",67,"12,588","5,094",5,430,174,57,"3,333","1,349",22,201,81,"7,230","2,926",51,"6,428","2,601",18,802,325,68,1,0,0,3,13,9,15,16,10,2,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57,"9,392","3,801",827,50,"3,226","1,306",355,45,"4,281","1,732",309,44,"1,885",763,163,30,29,"1,535",621,1,40,16,..,..,..,0,0,0
240105460,24,1,5,460,2405460,SAINT-EDMOND,23,"8,347","3,378",23,"4,516","1,828",22,"3,417","1,383",0,0,0,20,"1,041",421,6,58,23,"3,832","1,551",23,"3,681","1,490",5,151,61,23,0,0,0,3,1,6,4,9,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,"2,623","1,061",343,13,577,234,98,13,"1,558",631,210,13,488,197,35,4,4,280,113,0,0,0,..,..,..,0,0,0
240105500,24,1,5,500,2405500,SAINT-ALEXANDRE-DES-LACS,10,"3,142","1,272",10,"1,566",634,10,"1,160",469,1,10,4,8,366,148,3,30,12,"1,576",638,8,"1,430",579,5,146,59,10,0,0,0,3,3,1,1,1,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,925,374,92,4,390,158,36,2,360,146,35,2,175,71,21,0,0,0,0,0,0,0,..,..,..,0,0,0
240105520,24,1,5,520,2405520,SAINT-THARCISIUS,25,"8,391","3,396",25,"3,912","1,583",22,"3,121","1,263",1,10,4,17,712,288,6,69,28,"4,478","1,812",23,"4,260","1,724",6,218,88,25,0,0,0,8,3,3,6,4,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,"1,979",801,200,14,746,302,90,11,878,355,71,10,355,144,39,1,1,80,32,1,2,1,..,..,..,0,0,0
240105580,24,1,5,580,2405580,SAINT-PIERRE-DU-LAC,41,"13,017","5,268",41,"8,325","3,369",41,"6,213","2,514",3,112,45,36,"1,861",753,19,139,56,"4,693","1,899",38,"4,531","1,834",10,162,66,41,0,0,1,3,6,8,12,9,1,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34,"5,108","2,067",511,30,"1,708",691,237,25,"2,290",927,171,28,"1,110",449,103,20,19,"1,172",474,2,215,87,..,..,..,0,0,0
240105620,24,1,5,620,2405620,SAINTE-MARIE-DE-SAYABEC,23,"8,131","3,290",23,"4,874","1,972",23,"3,772","1,526",6,113,46,20,853,345,6,136,55,"3,255","1,317",21,"3,215","1,301",1,40,16,23,0,0,0,3,2,6,5,5,1,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20,"2,903","1,175",364,18,"1,156",468,172,12,"1,338",541,145,11,409,166,47,14,14,681,276,2,23,9,..,..,..,0,0,0
240105640,24,1,5,640,2405640,SAINT-CLEOPHAS,14,"5,682","2,299",13,"1,972",798,11,"1,270",514,2,148,60,7,330,134,10,224,91,"3,711","1,502",13,"3,436","1,390",9,275,111,13,1,1,0,5,1,0,4,1,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,810,328,166,6,500,202,128,3,150,61,11,7,160,65,27,1,1,35,14,0,0,0,..,..,..,0,0,0
