AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,TFAREA,NTCHICK,TCHICK,NPULLETS,PULLETS,NHENS,HENS,NAOCHCK,AOCHCK,NTURKEY,TURKEY,NGEESE,GEESE,NDUCKS,DUCKS,NOTHPLT,OTHPLT,NTCATTL,TCATTL,NBULLS,BULLS,NTOTCOW,TOTCOW,NMLKCOW,MLKCOW,NBFCOWS,BFCOWS,NHEIFER,HEIFER,NMLKHEF,MLKHEF,NBFHEFS,BFHEFS,NBFSLGH,BFSLGH,NSTEERS,STEERS,NCALFU1,CALFU1,NCATTFE,CATTFE,NTOPIGS,TOPIGS,NBOARS,BOARS,NSOWS,SOWS,NTOTOTP,TOTOTP,NPIGU45,PIGU45,NPIGS45,PIGS45,NPIG130,PIG130,NTSHEEP,TSHEEP,NEWEWETH,EWEWETH,NLAMBS,LAMBS,NHORSES,HORSES,NGOATS,GOATS,NRABBIT,RABBIT,NCHINCH,CHINCH,NMINK,MINK,NFOX,FOX,NOTHLIV
120312011,12,3,12,11,1212011,"PICTOU, SUBD. C",115,29,x,9,x,21,x,15,x,0,0,9,65,8,89,3,x,85,"2,541",43,50,82,"1,149",32,608,59,541,63,525,22,285,41,188,13,52,27,99,75,718,31,149,13,x,2,x,1,x,13,156,8,132,6,x,1,x,17,906,16,476,16,430,21,91,5,24,4,x,0,0,1,x,1,x,6
120314000,12,3,14,0,1214000,ANTIGONISH COUNTY,243,56,"65,365",7,x,43,x,24,x,3,x,4,32,13,93,1,x,206,"10,468",105,124,192,"4,776",100,"3,347",114,"1,429",179,"2,543",87,"1,767",83,407,40,369,80,466,178,"2,559",79,799,35,"5,886",10,36,15,734,34,"5,116",23,"1,963",16,"1,711",9,"1,442",47,"4,324",46,"2,211",46,"2,113",51,131,10,44,3,19,0,0,2,x,3,143,10
120314001,12,3,14,1,1214001,"ANTIGONISH, SUBD. A",151,36,"41,963",6,x,26,x,15,x,2,x,3,x,9,77,1,x,128,"6,900",76,92,120,"3,223",58,"2,183",73,"1,040",114,"1,671",52,"1,082",59,280,25,309,49,225,113,"1,689",48,403,23,"3,807",7,25,10,510,22,"3,272",15,"1,313",9,"1,007",6,952,26,"2,225",25,"1,135",26,"1,090",34,91,5,16,1,x,0,0,1,x,1,x,6
120314006,12,3,14,6,1214006,"ANTIGONISH, SUBD. B",92,20,"23,402",1,x,17,x,9,x,1,x,1,x,4,16,0,0,78,"3,568",29,32,72,"1,553",42,"1,164",41,389,65,872,35,685,24,127,15,60,31,241,65,870,31,396,12,"2,079",3,11,5,224,12,"1,844",8,650,7,704,3,490,21,"2,099",21,"1,076",20,"1,023",17,40,5,28,2,x,0,0,1,x,2,x,4
120400000,12,4,0,0,1200000,AGRICULTURAL REGION AGRICOLE 4,345,105,"106,193",23,x,87,x,54,x,14,x,27,137,47,337,4,x,209,"7,951",116,145,193,"3,718",95,"2,416",129,"1,302",170,"1,717",71,"1,005",98,511,42,201,100,454,176,"1,917",87,429,45,"1,345",15,16,20,132,42,"1,197",26,481,26,439,8,277,60,"3,961",60,"2,189",57,"1,772",80,265,17,163,9,99,1,x,10,"20,639",3,x,12
120409000,12,4,9,0,1209000,HALIFAX COUNTY,225,73,"104,937",17,x,57,x,41,x,13,x,19,95,37,278,4,x,127,"6,238",78,101,115,"2,976",56,"2,122",72,854,106,"1,389",47,870,57,359,24,160,55,332,106,"1,440",53,315,33,"1,296",13,x,17,x,32,"1,156",22,451,21,x,7,x,22,890,22,533,19,357,52,207,14,120,7,x,1,x,2,x,0,0,6
120409012,12,4,9,12,1209012,"HALIFAX, SUBD. C",14,7,x,0,0,6,x,4,x,0,0,4,x,3,x,0,0,5,x,2,x,4,x,1,x,4,x,4,x,1,x,4,x,0,0,2,x,4,x,3,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,2,x,2,x,3,11,4,71,0,0,0,0,0,0,0,0,1
120409018,12,4,9,18,1209018,"HALIFAX, SUBD. D",30,5,x,2,x,3,x,3,x,0,0,1,x,3,x,0,0,2,x,2,x,2,x,1,x,2,x,2,x,0,0,2,x,0,0,0,0,2,x,0,0,2,x,2,x,2,x,2,x,0,0,2,x,1,x,0,0,0,0,0,0,5,18,1,x,2,x,1,x,0,0,0,0,1
120409026,12,4,9,26,1209026,"HALIFAX, SUBD. E",73,21,x,4,x,16,x,15,x,4,x,8,51,11,87,1,x,42,"1,910",28,32,38,"1,028",21,899,20,129,33,419,17,333,11,x,8,x,13,89,32,342,16,x,18,584,7,7,10,63,17,514,12,x,13,x,4,x,9,325,9,204,7,121,12,103,4,x,3,10,0,0,0,0,0,0,3
120409031,12,4,9,31,1209031,"HALIFAX, SUBD. F",67,26,"1,113",8,x,21,x,14,x,6,x,6,29,14,113,2,x,53,"3,076",30,48,48,"1,414",26,967,30,447,45,696,22,407,25,194,13,95,25,176,45,742,23,138,10,635,4,x,4,x,10,583,8,222,5,x,2,x,8,256,8,137,7,119,23,62,4,20,2,x,0,0,0,0,0,0,1
120409036,12,4,9,36,1209036,"HALIFAX, SUBD. G",41,14,x,3,x,11,x,5,x,3,x,0,0,6,19,1,x,25,"1,106",16,x,23,469,7,x,16,x,22,250,7,x,15,x,3,x,15,x,23,311,11,78,3,x,0,0,1,x,3,x,2,x,1,x,0,0,3,x,3,x,3,x,9,13,1,x,0,0,0,0,2,x,0,0,0
120413000,12,4,13,0,1213000,GUYSBOROUGH COUNTY,73,17,645,3,x,15,x,5,x,1,x,3,x,6,45,0,0,48,"1,249",28,31,47,541,19,200,34,341,40,227,13,92,28,108,12,27,28,80,44,370,15,52,6,12,1,x,1,x,5,x,2,x,2,x,1,x,20,"1,386",20,729,20,657,15,29,0,0,1,x,0,0,3,x,2,x,2
120413001,12,4,13,1,1213001,ST. MARY'S,34,7,x,1,x,6,x,1,x,0,0,2,x,2,x,0,0,20,639,12,14,20,305,10,165,15,140,16,125,5,70,13,47,5,8,8,16,19,179,5,12,2,x,0,0,0,0,2,x,1,x,1,x,0,0,7,710,7,393,7,317,4,10,0,0,0,0,0,0,0,0,0,0,1
120413004,12,4,13,4,1213004,GUYSBOROUGH,39,10,x,2,x,9,x,4,x,1,x,1,x,4,x,0,0,28,610,16,17,27,236,9,35,19,201,24,102,8,22,15,61,7,19,20,64,25,191,10,40,4,x,1,x,1,x,3,3,1,x,1,x,1,x,13,676,13,336,13,340,11,19,0,0,1,x,0,0,3,x,2,x,1
120416000,12,4,16,0,1216000,RICHMOND COUNTY,47,15,611,3,x,15,x,8,x,0,0,5,x,4,14,0,0,34,464,10,13,31,201,20,94,23,107,24,101,11,43,13,44,6,14,17,42,26,107,19,62,6,37,1,x,2,x,5,x,2,x,3,x,0,0,18,"1,685",18,927,18,758,13,29,3,43,1,x,0,0,5,"13,790",1,x,4
120416001,12,4,16,1,1216001,"RICHMOND, SUBD. C",10,3,x,0,0,3,x,1,x,0,0,1,x,0,0,0,0,7,139,3,3,6,53,5,x,3,x,7,34,4,x,3,x,1,x,4,12,6,37,6,36,1,x,1,x,1,x,1,x,1,x,0,0,0,0,4,698,4,405,4,293,5,x,1,x,0,0,0,0,1,x,0,0,2
120416006,12,4,16,6,1216006,"RICHMOND, SUBD. A",19,6,x,1,x,6,x,3,x,0,0,2,x,2,x,0,0,13,177,4,6,13,73,8,x,10,x,9,34,2,x,7,26,3,x,5,11,12,53,6,19,3,x,0,0,1,x,2,x,1,x,1,x,0,0,5,96,5,59,5,37,6,17,1,x,0,0,0,0,4,x,1,x,2
120416011,12,4,16,11,1216011,"RICHMOND, SUBD. B",18,6,x,2,x,6,x,4,x,0,0,2,x,2,x,0,0,14,148,3,4,12,75,7,44,10,31,8,33,5,23,3,x,2,x,8,19,8,17,7,7,2,x,0,0,0,0,2,x,0,0,2,x,0,0,9,891,9,463,9,428,2,x,1,x,1,x,0,0,0,0,0,0,0
120500000,12,5,0,0,1200000,AGRICULTURAL REGION AGRICOLE 5,355,109,"201,546",26,x,92,"155,057",44,x,6,x,15,112,32,287,3,x,271,"8,531",105,138,241,"4,033",137,"2,717",147,"1,316",218,"1,865",113,"1,231",114,429,60,205,108,393,237,"2,102",121,482,60,434,8,8,12,44,55,382,35,174,22,122,8,86,81,"6,314",81,"3,462",79,"2,852",71,230,19,98,13,116,0,0,4,"6,900",8,589,15
120515000,12,5,15,0,1215000,INVERNESS COUNTY,155,44,x,6,x,40,x,12,x,2,x,6,30,10,36,1,x,139,"4,954",56,75,133,"2,333",68,"1,451",87,882,108,"1,079",47,704,60,261,32,114,56,212,122,"1,255",62,281,29,258,4,4,8,32,25,222,15,98,10,x,5,x,43,"4,549",43,"2,436",43,"2,113",32,89,7,45,4,x,0,0,0,0,1,x,4
120515001,12,5,15,1,1215001,"INVERNESS, SUBD. C",52,15,x,4,x,15,x,5,x,0,0,4,x,4,20,1,x,43,"1,107",16,22,42,527,14,166,37,361,32,197,7,x,26,125,7,x,16,43,36,318,19,101,12,68,1,x,5,x,11,x,7,49,4,x,0,0,12,"1,045",12,560,12,485,11,27,3,x,3,6,0,0,0,0,1,x,2
120515006,12,5,15,6,1215006,"INVERNESS, SUBD. B",82,19,x,1,x,16,x,5,x,1,x,2,x,4,x,0,0,76,"3,344",30,40,72,"1,561",47,"1,266",33,295,62,810,38,644,24,92,21,74,32,140,67,793,32,142,13,x,3,x,2,x,11,x,7,x,5,x,3,x,20,"2,497",20,"1,346",20,"1,151",15,49,4,x,1,x,0,0,0,0,0,0,2
120515011,12,5,15,11,1215011,"INVERNESS, SUBD. A",21,10,x,1,x,9,x,2,x,1,x,0,0,2,x,0,0,20,503,10,13,19,245,7,19,17,226,14,72,2,x,10,44,4,x,8,29,19,144,11,38,4,x,0,0,1,x,3,x,1,x,1,x,2,x,11,"1,007",11,530,11,477,6,13,0,0,0,0,0,0,0,0,0,0,0
120517000,12,5,17,0,1217000,CAPE BRETON COUNTY,142,49,x,18,x,38,x,26,x,4,x,6,66,16,185,1,x,95,"2,424",36,48,73,"1,142",45,891,42,251,77,550,47,394,35,107,16,49,35,135,81,549,45,158,22,122,3,x,3,x,21,x,13,x,10,38,2,x,28,"1,067",28,616,27,451,30,121,7,27,7,100,0,0,2,x,1,x,7
120517006,12,5,17,6,1217006,"CAPE BRETON, SUBD. B",70,24,x,11,x,21,x,14,x,3,x,6,66,11,170,0,0,43,937,22,30,31,422,16,322,19,100,35,255,18,171,19,58,8,26,14,66,35,164,24,85,15,98,3,x,3,x,14,x,9,48,6,x,1,x,16,492,16,287,16,205,16,46,4,21,6,x,0,0,1,x,1,x,3
120517016,12,5,17,16,1217016,"CAPE BRETON, SUBD. A",72,25,"104,681",7,"32,145",17,x,12,x,1,x,0,0,5,15,1,x,52,"1,487",14,18,42,720,29,569,23,151,42,295,29,223,16,49,8,23,21,69,46,385,21,73,7,24,0,0,0,0,7,24,4,x,4,x,1,x,12,575,12,329,11,246,14,75,3,6,1,x,0,0,1,x,0,0,4
120518000,12,5,18,0,1218000,VICTORIA COUNTY,58,16,x,2,x,14,x,6,x,0,0,3,16,6,66,1,x,37,"1,153",13,15,35,558,24,375,18,183,33,236,19,133,19,61,12,42,17,46,34,298,14,43,9,54,1,x,1,x,9,x,7,x,2,x,1,x,10,698,10,410,9,288,9,20,5,26,2,x,0,0,2,x,6,x,4
120518001,12,5,18,1,1218001,"VICTORIA, SUBD. B",58,16,x,2,x,14,x,6,x,0,0,3,16,6,66,1,x,37,"1,153",13,15,35,558,24,375,18,183,33,236,19,133,19,61,12,42,17,46,34,298,14,43,9,54,1,x,1,x,9,x,7,x,2,x,1,x,10,698,10,410,9,288,9,20,5,26,2,x,0,0,2,x,6,x,4
130000000,13,0,0,0,1300000,NEW BRUNSWICK - N.-B.,"4,063","1,093","2,241,161",265,"316,985",921,"514,673",512,"1,409,503",92,"85,742",125,"1,071",206,"1,443",41,x,"2,733","110,942","1,683","2,677","2,547","47,504","1,264","28,050","1,586","19,454","2,208","21,480","1,019","11,784","1,128","5,600",497,"4,096",943,"8,485","2,447","30,796","1,035","11,839",849,"89,620",322,725,429,"11,044",774,"77,851",515,"30,295",353,"27,516",227,"20,040",223,"13,317",213,"7,140",200,"6,177",930,"2,972",126,816,128,"19,448",3,333,11,"18,863",42,"7,904",186
130100000,13,1,0,0,1300000,AGRICULTURAL REGION AGRICOLE 1,"1,645",389,"1,242,046",81,"159,111",334,"229,271",179,"853,664",31,x,45,434,89,692,14,164,"1,041","39,788",643,"1,072",972,"16,374",464,"8,676",610,"7,698",848,"7,045",366,"3,377",445,"2,205",178,"1,463",324,"3,166",946,"12,131",399,"5,652",356,"43,168",144,345,191,"5,449",318,"37,374",210,"14,306",137,"13,863",94,"9,205",81,"5,043",77,"2,729",73,"2,314",353,"1,155",50,377,35,484,0,0,4,"12,988",4,528,62
130110000,13,1,10,0,1310000,YORK COUNTY,409,112,"461,496",25,x,102,x,50,x,5,x,19,289,32,295,7,83,300,"10,383",159,248,285,"4,842",139,"3,134",166,"1,708",253,"2,166",118,"1,515",133,530,34,121,67,257,276,"2,870",92,419,96,"6,258",27,49,41,868,86,"5,341",59,"2,402",34,"1,678",17,"1,261",33,"1,603",32,857,30,746,130,496,21,101,14,122,0,0,1,x,2,x,25
130110004,13,1,10,4,1310004,MANNERS SUTTON,64,21,x,5,x,19,"1,143",11,x,0,0,2,x,6,52,2,x,50,"1,423",32,44,48,669,19,398,33,271,42,258,19,186,24,61,6,11,12,43,47,409,15,59,9,626,5,8,5,78,8,540,5,213,5,x,2,x,5,255,5,133,5,122,20,99,5,32,3,x,0,0,1,x,0,0,3
130110011,13,1,10,11,1310011,CANTERBURY,18,7,173,0,0,6,x,4,x,1,x,1,x,1,x,0,0,16,321,8,9,15,122,4,18,12,104,10,61,1,x,9,x,1,x,5,21,14,108,6,51,5,38,2,x,3,x,5,30,4,x,1,x,1,x,1,x,1,x,1,x,4,x,1,x,1,x,0,0,0,0,0,0,4
130110016,13,1,10,16,1310016,PRINCE WILLIAM,31,10,349,0,0,10,349,0,0,1,x,2,x,2,x,0,0,24,693,11,x,23,316,12,239,13,77,22,154,11,89,10,33,4,32,2,x,23,208,4,34,3,5,0,0,0,0,3,5,2,x,1,x,0,0,3,137,3,x,3,x,9,32,1,x,2,x,0,0,0,0,0,0,0
130110018,13,1,10,18,1310018,KINGSCLEAR,23,5,350,2,x,5,x,2,x,0,0,1,x,2,x,1,x,14,501,9,10,14,215,7,132,7,83,11,120,5,83,6,x,2,x,4,17,14,139,5,14,5,69,2,x,3,x,4,x,3,x,2,x,0,0,3,x,3,x,3,x,4,13,3,16,2,x,0,0,0,0,0,0,1
130110021,13,1,10,21,1310021,QUEENSBURY,34,10,x,5,x,10,x,5,24,0,0,1,x,2,x,0,0,31,"1,410",16,49,31,690,21,441,13,249,25,247,15,168,10,65,4,14,4,18,29,406,11,69,16,"1,942",4,9,9,243,13,"1,690",7,627,7,x,5,x,7,218,6,99,7,119,13,35,3,17,2,x,0,0,0,0,0,0,2
130110024,13,1,10,24,1310024,SOUTHAMPTON,50,13,x,3,x,11,x,7,x,1,x,4,16,4,23,1,x,39,"1,109",25,36,36,531,14,286,23,245,33,167,11,103,20,49,8,15,13,45,35,330,16,60,14,362,4,x,8,x,12,262,7,x,3,x,3,x,3,98,3,55,3,43,22,88,2,x,0,0,0,0,0,0,1,x,0
130110026,13,1,10,26,1310026,BRIGHT,43,9,x,0,0,9,x,3,x,0,0,0,0,2,x,0,0,28,"1,434",8,9,26,716,21,636,9,80,25,361,20,336,6,x,3,x,5,40,25,308,9,23,8,x,2,x,3,x,7,x,6,x,3,x,1,x,5,378,5,203,4,175,11,54,0,0,1,x,0,0,0,0,0,0,5
130110028,13,1,10,28,1310028,DOUGLAS,61,13,"276,977",3,x,13,x,4,x,1,x,4,x,5,x,2,x,37,"1,748",18,39,36,802,18,544,18,258,33,449,19,360,15,x,1,x,6,11,36,447,7,20,12,54,1,x,2,x,11,x,7,29,4,x,0,0,2,x,2,x,2,x,24,106,4,10,1,x,0,0,0,0,1,x,3
130110031,13,1,10,31,1310031,SAINT MARYS,20,6,331,1,x,5,x,3,x,0,0,1,x,2,x,1,x,15,497,9,x,15,231,5,107,10,124,15,84,5,49,10,x,1,x,2,x,14,160,2,x,8,"1,294",5,9,6,175,7,"1,110",7,x,3,x,2,x,1,x,1,x,1,x,9,26,1,x,0,0,0,0,0,0,0,0,4
130110032,13,1,10,32,1310032,FREDERICTON,23,1,x,0,0,0,0,1,x,0,0,0,0,0,0,0,0,12,612,5,7,11,249,4,169,7,80,11,163,3,x,8,x,1,x,3,10,11,183,2,x,3,x,1,x,1,x,3,x,2,x,0,0,2,x,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,1
130110036,13,1,10,36,1310036,STANLEY,42,17,512,6,x,14,x,10,x,1,x,3,12,6,35,0,0,34,635,18,22,30,301,14,164,21,137,26,102,9,47,15,x,3,x,11,38,28,172,15,61,13,x,1,x,1,x,13,x,9,x,5,x,1,x,3,x,3,x,1,x,13,37,1,x,2,x,0,0,0,0,0,0,2
130111000,13,1,11,0,1311000,CARLETON COUNTY,639,151,"33,124",29,x,135,x,66,x,9,119,14,84,35,228,5,x,441,"19,928",278,428,411,"7,382",189,"3,218",271,"4,164",367,"3,383",149,"1,137",218,"1,261",78,985,163,"2,172",402,"6,563",158,"3,934",148,"9,061",69,110,91,"1,225",129,"7,726",90,"3,135",54,"2,546",36,"2,045",34,"2,501",31,"1,357",30,"1,144",133,427,19,194,11,110,0,0,2,x,2,x,24
130111001,13,1,11,1,1311001,RICHMOND,49,14,"1,260",5,x,14,845,2,x,0,0,1,x,1,x,1,x,38,"1,878",26,35,38,872,17,406,25,466,32,307,12,119,21,163,6,25,12,158,36,506,14,128,9,137,3,8,6,35,6,94,6,84,3,x,1,x,2,x,2,x,2,x,12,32,0,0,0,0,0,0,2,x,1,x,1
130111004,13,1,11,4,1311004,WOODSTOCK,56,16,"1,891",2,x,15,"1,358",7,x,0,0,3,13,5,30,0,0,32,"1,242",16,27,31,579,15,316,22,263,24,210,11,x,17,74,1,x,12,71,29,355,13,122,13,263,8,9,10,53,10,201,9,x,0,0,2,x,4,519,4,361,3,158,19,65,2,x,2,x,0,0,0,0,1,x,2
130111008,13,1,11,8,1311008,NORTHAMPTON,28,6,333,1,x,6,x,4,x,1,x,0,0,2,x,0,0,25,"1,157",18,24,23,507,8,x,18,x,22,151,8,x,14,55,7,x,11,76,22,399,6,x,7,77,3,3,5,23,6,51,4,x,3,x,0,0,1,x,1,x,1,x,6,23,1,x,0,0,0,0,0,0,0,0,0
130111011,13,1,11,11,1311011,BRIGHTON,75,19,x,7,x,16,x,9,x,0,0,0,0,4,47,1,x,56,"3,972",33,52,49,742,25,332,29,410,42,844,21,x,22,158,11,x,9,692,50,"1,642",18,x,18,795,10,14,14,117,17,664,12,x,6,x,3,x,3,x,3,43,3,x,24,91,5,97,2,x,0,0,0,0,0,0,3
130111014,13,1,11,14,1311014,WAKEFIELD,90,20,"2,012",4,x,18,"1,296",7,x,1,x,0,0,4,17,0,0,61,"3,313",34,44,56,"1,099",28,545,38,554,50,524,23,253,28,152,12,119,35,694,56,952,27,558,20,882,9,10,11,130,18,742,12,475,9,95,4,172,4,40,4,x,3,x,20,63,2,x,2,x,0,0,0,0,0,0,7
130111018,13,1,11,18,1311018,WILMOT,67,12,374,1,x,11,x,4,x,1,x,0,0,1,x,0,0,43,"1,909",29,46,43,824,21,414,28,410,39,314,18,150,22,127,9,37,15,115,41,610,17,165,15,"2,280",10,19,12,336,13,"1,925",7,644,9,716,8,565,0,0,0,0,0,0,6,11,1,x,2,x,0,0,0,0,0,0,1
130111021,13,1,11,21,1311021,SIMONDS,32,5,110,0,0,5,x,3,x,0,0,1,x,2,x,1,x,16,431,6,8,11,130,2,x,10,x,14,90,3,x,9,44,6,x,9,87,12,116,9,132,3,x,2,x,2,x,3,x,2,x,2,x,0,0,1,x,1,x,1,x,7,16,1,x,0,0,0,0,0,0,0,0,2
130111024,13,1,11,24,1311024,PEEL,41,6,x,1,x,5,x,3,x,0,0,1,x,4,11,0,0,29,"1,222",22,31,27,529,16,240,13,289,27,226,11,89,13,84,8,53,8,52,28,384,11,x,5,x,1,x,1,x,5,x,3,x,2,x,1,x,3,x,2,x,3,x,4,31,2,x,0,0,0,0,0,0,0,0,2
130111026,13,1,11,26,1311026,ABERDEEN,49,19,"1,083",2,x,17,x,12,x,1,x,1,x,7,47,0,0,37,"1,382",26,44,37,628,22,328,20,300,35,202,19,109,17,73,4,20,10,23,37,485,8,x,13,135,4,4,4,14,11,117,6,58,5,x,2,x,7,514,6,266,6,248,11,23,2,x,0,0,0,0,0,0,0,0,3
130111028,13,1,11,28,1311028,KENT,91,22,776,2,x,17,x,10,x,4,71,2,x,2,x,0,0,64,"2,221",47,84,61,945,20,242,45,703,49,295,10,x,37,232,10,x,26,122,56,775,26,183,31,"1,864",12,18,15,205,28,"1,641",20,571,9,523,10,547,6,222,5,108,6,114,16,43,2,x,2,x,0,0,0,0,0,0,1
130111031,13,1,11,31,1311031,WICKLOW,61,12,"1,053",4,x,11,630,5,x,1,x,5,45,3,12,2,x,40,"1,201",21,33,35,527,15,205,23,322,33,220,13,107,18,99,4,14,16,82,35,339,9,x,14,"2,508",7,22,11,287,12,"2,199",9,667,6,916,5,616,3,x,3,x,2,x,8,29,1,x,1,x,0,0,0,0,0,0,2
130112000,13,1,12,0,1312000,VICTORIA COUNTY,342,66,"5,470",12,x,62,x,29,x,9,69,5,18,14,117,2,x,168,"4,389",110,193,153,"1,915",80,"1,030",94,885,122,667,54,343,57,223,29,101,71,275,147,"1,339",90,464,43,"1,003",12,26,16,242,40,735,19,577,12,92,11,66,5,244,5,110,4,134,59,168,7,x,5,x,0,0,0,0,0,0,7
130112001,13,1,12,1,1312001,ANDOVER,31,9,424,0,0,9,x,2,x,0,0,0,0,0,0,0,0,17,315,14,28,13,145,7,79,8,66,12,40,8,x,4,16,2,x,5,15,11,87,7,25,5,20,1,x,1,x,5,x,2,x,2,x,1,x,2,x,2,x,1,x,11,37,2,x,0,0,0,0,0,0,0,0,1
130112004,13,1,12,4,1312004,PERTH,41,16,613,1,x,16,x,7,x,1,x,2,x,4,60,0,0,31,629,19,27,26,265,10,59,22,206,20,94,7,x,13,58,3,x,13,45,28,198,20,73,12,79,3,3,6,14,10,62,7,50,1,x,2,x,0,0,0,0,0,0,12,31,1,x,2,x,0,0,0,0,0,0,1
130112008,13,1,12,8,1312008,GORDON,35,7,574,3,x,7,x,4,x,0,0,0,0,2,x,0,0,25,"1,077",16,18,25,523,13,343,13,180,18,196,9,147,6,38,5,11,11,67,21,273,10,72,5,36,2,x,2,x,5,x,1,x,3,x,2,x,1,x,1,x,1,x,7,x,0,0,0,0,0,0,0,0,0,0,0
130112014,13,1,12,14,1312014,DENMARK,81,17,"1,002",6,x,16,x,10,x,3,x,2,x,5,x,1,x,45,799,27,32,43,317,23,141,24,176,33,125,16,54,13,34,8,37,20,57,40,268,22,101,12,x,2,x,4,x,12,x,5,x,4,10,3,3,0,0,0,0,0,0,14,39,0,0,0,0,0,0,0,0,0,0,1
130112016,13,1,12,16,1312016,GRAND FALLS,75,10,"2,147",1,x,9,x,3,x,3,24,1,x,3,30,1,x,32,896,24,56,30,366,19,208,18,158,25,130,8,49,15,52,8,29,17,67,30,277,21,107,6,75,3,x,2,x,5,59,2,x,0,0,3,x,2,x,2,x,2,x,11,26,4,x,0,0,0,0,0,0,0,0,2
130112021,13,1,12,21,1312021,DRUMMOND,79,7,710,1,x,5,x,3,x,2,x,0,0,0,0,0,0,18,673,10,32,16,299,8,200,9,99,14,82,6,49,6,25,3,8,5,24,17,236,10,86,3,x,1,x,1,x,3,x,2,x,2,x,0,0,0,0,0,0,0,0,4,x,0,0,3,x,0,0,0,0,0,0,2
130113000,13,1,13,0,1313000,MADAWASKA COUNTY,255,60,"741,956",15,x,35,x,34,x,8,x,7,43,8,52,0,0,132,"5,088",96,203,123,"2,235",56,"1,294",79,941,106,829,45,382,37,191,37,256,23,462,121,"1,359",59,835,69,"26,846",36,160,43,"3,114",63,"23,572",42,"8,192",37,"9,547",30,"5,833",9,695,9,405,9,290,31,64,3,x,5,x,0,0,1,x,0,0,6
130113001,13,1,13,1,1313001,SAINT-ANDRE,68,10,x,6,x,8,x,4,x,4,76,3,17,3,x,0,0,26,898,20,45,25,458,12,285,15,173,17,118,9,40,6,46,7,32,5,19,24,258,13,72,17,269,5,19,8,18,13,232,4,36,8,127,6,69,1,x,1,x,1,x,6,11,3,x,2,x,0,0,0,0,0,0,0
130113004,13,1,13,4,1313004,SAINT-LEONARD,21,4,x,0,0,3,x,1,x,0,0,0,0,0,0,0,0,9,382,5,x,9,167,3,75,7,92,9,64,3,x,5,21,2,x,2,x,9,125,4,64,2,x,0,0,0,0,2,x,0,0,2,x,0,0,1,x,1,x,1,x,2,x,0,0,0,0,0,0,0,0,0,0,1
130113008,13,1,13,8,1313008,NOTRE-DAME-DE-LOURDES,12,6,x,2,x,5,x,2,x,0,0,0,0,0,0,0,0,10,214,9,x,9,87,5,x,5,x,10,42,5,23,2,x,6,x,1,x,9,72,6,14,6,x,2,x,4,x,6,x,3,x,4,x,3,x,0,0,0,0,0,0,2,x,0,0,0,0,0,0,0,0,0,0,0
130113011,13,1,13,11,1313011,SAINTE-ANNE,36,9,x,2,x,5,x,6,x,1,x,3,x,4,26,0,0,23,839,15,50,23,438,11,236,16,202,17,122,7,67,5,35,6,20,4,14,21,215,4,21,10,"2,610",4,x,4,x,9,"2,351",8,x,5,x,4,x,1,x,1,x,1,x,7,9,0,0,2,x,0,0,0,0,0,0,0
130113018,13,1,13,18,1313018,SAINT-BASILE,16,4,x,3,x,1,x,2,x,0,0,0,0,0,0,0,0,12,517,8,x,12,259,6,182,7,77,10,94,5,73,2,x,3,x,2,x,11,140,5,29,2,x,1,x,1,x,2,x,2,x,1,x,0,0,3,x,3,x,3,x,3,8,0,0,0,0,0,0,0,0,0,0,1
130113022,13,1,13,22,1313022,SAINT-JOSEPH,21,5,x,0,0,5,x,4,x,1,x,0,0,0,0,0,0,14,914,10,20,11,178,4,86,7,92,13,197,5,50,5,x,4,x,5,358,11,161,8,x,6,"3,880",1,x,3,x,6,"3,872",4,x,4,"1,933",4,x,1,x,1,x,1,x,3,7,0,0,0,0,0,0,0,0,0,0,1
130113032,13,1,13,32,1313032,SAINT-HILAIRE,10,3,x,0,0,1,x,3,x,0,0,0,0,0,0,0,0,8,287,7,x,8,133,4,94,4,39,6,52,3,44,2,x,1,x,1,x,8,84,3,x,1,x,1,x,1,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130113034,13,1,13,34,1313034,BAKER BROOK,12,2,x,0,0,2,x,0,0,0,0,0,0,0,0,0,0,5,268,5,5,5,162,3,x,3,x,5,41,2,x,1,x,2,x,0,0,5,60,1,x,3,x,2,x,2,x,2,x,0,0,0,0,2,x,0,0,0,0,0,0,1,x,0,0,0,0,0,0,0,0,0,0,1
130113038,13,1,13,38,1313038,CLAIR,10,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,5,94,4,x,5,38,1,x,4,x,5,19,1,x,2,x,3,13,1,x,5,27,4,24,3,x,3,x,3,x,3,x,3,x,1,x,1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0
130113041,13,1,13,41,1313041,SAINT-FRANCOIS,49,16,x,1,x,4,x,12,x,2,x,1,x,1,x,0,0,20,675,13,x,16,315,7,137,11,178,14,80,5,39,7,32,3,9,2,x,18,217,11,135,19,"15,375",17,91,17,"2,133",19,"13,151",17,"5,602",11,"5,014",9,"2,535",1,x,1,x,1,x,7,18,0,0,1,x,0,0,1,x,0,0,2
